sample,replicate,read_pairs_in,n_reads_out,read_pairs_out,n_dup,p_dup,unpair_repair
D23-13404,1,10000,19994,9997,3,0.0003,TRUE
D23-13404,2,10000,19992,9996,4,0.0004,TRUE
D23-13404,3,10000,19996,9998,2,0.0002,TRUE
D23-13405,1,10000,20000,10000,0,0,TRUE
D23-13405,2,10000,19998,9999,1,0.0001,TRUE
D23-13405,3,10000,19990,9995,5,0.0005,TRUE
D23-13406,1,10000,19996,9998,2,0.0002,TRUE
D23-13406,2,10000,19998,9999,1,0.0001,TRUE
D23-13406,3,10000,20000,10000,0,0,TRUE
D23-13404,1,100000,199486,99743,257,0.00257,TRUE
D23-13404,2,100000,199500,99750,250,0.0025,TRUE
D23-13404,3,100000,199598,99799,201,0.00201,TRUE
D23-13405,1,100000,199512,99756,244,0.00244,TRUE
D23-13405,2,100000,199568,99784,216,0.00216,TRUE
D23-13405,3,100000,199524,99762,238,0.00238,TRUE
D23-13406,1,100000,199840,99920,80,0.0008,TRUE
D23-13406,2,100000,199806,99903,97,0.00097,TRUE
D23-13406,3,100000,199808,99904,96,0.00096,TRUE
D23-13404,1,1000000,1970336,985168,14832,0.014832,TRUE
D23-13404,2,1000000,1970432,985216,14784,0.014784,TRUE
D23-13404,3,1000000,1969858,984929,15071,0.015071,TRUE
D23-13405,1,1000000,1970370,985185,14815,0.014815,TRUE
D23-13405,2,1000000,1969994,984997,15003,0.015003,TRUE
D23-13405,3,1000000,1970210,985105,14895,0.014895,TRUE
D23-13406,1,1000000,1988396,994198,5802,0.005802,TRUE
D23-13406,2,1000000,1988482,994241,5759,0.005759,TRUE
D23-13406,3,1000000,1987738,993869,6131,0.006131,TRUE
D23-13404,1,10000000,17731492,8865746,1134254,0.1134254,TRUE
D23-13404,2,10000000,17729818,8864909,1135091,0.1135091,TRUE
D23-13404,3,10000000,17732345,8866172.5,1133827.5,0.11338275,TRUE
D23-13405,1,10000000,17728293,8864146.5,1135853.5,0.11358535,TRUE
D23-13405,2,10000000,17726169,8863084.5,1136915.5,0.11369155,TRUE
D23-13405,3,10000000,17726870,8863435,1136565,0.1136565,TRUE
D23-13406,1,10000000,18907178,9453589,546411,0.0546411,TRUE
D23-13406,2,10000000,18908203,9454101.5,545898.5,0.05458985,TRUE
D23-13406,3,10000000,18909204,9454602,545398,0.0545398,TRUE
D23-13404,1,100000000,140097589,70048794.5,29951205.5,0.299512055,TRUE
D23-13404,2,100000000,140098194,70049097,29950903,0.29950903,TRUE
D23-13404,3,100000000,140115115,70057557.5,29942442.5,0.299424425,TRUE
D23-13405,1,100000000,139910932,69955466,30044534,0.30044534,TRUE
D23-13405,2,100000000,139927287,69963643.5,30036356.5,0.300363565,TRUE
D23-13405,3,100000000,139919577,69959788.5,30040211.5,0.300402115,TRUE
D23-13406,1,100000000,169354120,84677060,15322940,0.1532294,TRUE
D23-13406,2,100000000,169362691,84681345.5,15318654.5,0.153186545,TRUE
D23-13406,3,100000000,169362791,84681395.5,15318604.5,0.153186045,TRUE
D23-13404,1,229823475,279881653,139940826.5,89882648.5,0.391094289,TRUE
D23-13405,1,196470009,246083898,123041949,73428060,0.373736737,TRUE
D23-13406,1,118938720,198682176,99341088,19597632,0.164770833,TRUE
D23-13404,1,10000,19996,9998,2,0.0002,FALSE
D23-13404,2,10000,19994,9997,3,0.0003,FALSE
D23-13404,3,10000,20000,10000,0,0,FALSE
D23-13405,1,10000,20000,10000,0,0,FALSE
D23-13405,2,10000,20000,10000,0,0,FALSE
D23-13405,3,10000,19994,9997,3,0.0003,FALSE
D23-13406,1,10000,20000,10000,0,0,FALSE
D23-13406,2,10000,19998,9999,1,0.0001,FALSE
D23-13406,3,10000,20000,10000,0,0,FALSE
D23-13404,1,100000,199716,99858,142,0.00142,FALSE
D23-13404,2,100000,199748,99874,126,0.00126,FALSE
D23-13404,3,100000,199792,99896,104,0.00104,FALSE
D23-13405,1,100000,199736,99868,132,0.00132,FALSE
D23-13405,2,100000,199764,99882,118,0.00118,FALSE
D23-13405,3,100000,199786,99893,107,0.00107,FALSE
D23-13406,1,100000,199910,99955,45,0.00045,FALSE
D23-13406,2,100000,199896,99948,52,0.00052,FALSE
D23-13406,3,100000,199908,99954,46,0.00046,FALSE
D23-13404,1,1000000,1982716,991358,8642,0.008642,FALSE
D23-13404,2,1000000,1982784,991392,8608,0.008608,FALSE
D23-13404,3,1000000,1982104,991052,8948,0.008948,FALSE
D23-13405,1,1000000,1982832,991416,8584,0.008584,FALSE
D23-13405,2,1000000,1982594,991297,8703,0.008703,FALSE
D23-13405,3,1000000,1982574,991287,8713,0.008713,FALSE
D23-13406,1,1000000,1993000,996500,3500,0.0035,FALSE
D23-13406,2,1000000,1993062,996531,3469,0.003469,FALSE
D23-13406,3,1000000,1992524,996262,3738,0.003738,FALSE
D23-13404,1,10000000,19050540,9525270,474730,0.047473,FALSE
D23-13404,2,10000000,19051530,9525765,474235,0.0474235,FALSE
D23-13404,3,10000000,19053706,9526853,473147,0.0473147,FALSE
D23-13405,1,10000000,19044532,9522266,477734,0.0477734,FALSE
D23-13405,2,10000000,19045302,9522651,477349,0.0477349,FALSE
D23-13405,3,10000000,19045442,9522721,477279,0.0477279,FALSE
D23-13406,1,10000000,19613738,9806869,193131,0.0193131,FALSE
D23-13406,2,10000000,19614816,9807408,192592,0.0192592,FALSE
D23-13406,3,10000000,19615128,9807564,192436,0.0192436,FALSE
D23-13404,1,100000000,166457946,83228973,16771027,0.16771027,FALSE
D23-13404,2,100000000,166457242,83228621,16771379,0.16771379,FALSE
D23-13404,3,100000000,166480106,83240053,16759947,0.16759947,FALSE
D23-13405,1,100000000,166191238,83095619,16904381,0.16904381,FALSE
D23-13405,2,100000000,166206048,83103024,16896976,0.16896976,FALSE
D23-13405,3,100000000,166199686,83099843,16900157,0.16900157,FALSE
D23-13406,1,100000000,184420200,92210100,7789900,0.077899,FALSE
D23-13406,2,100000000,184422484,92211242,7788758,0.07788758,FALSE
D23-13406,3,100000000,184425006,92212503,7787497,0.07787497,FALSE
D23-13404,1,229823475,350045876,175022938,54800537,0.238446212,FALSE
D23-13405,1,196470009,304338346,152169173,44300836,0.225483962,FALSE
D23-13406,1,118938720,217466564,108733282,10205438,0.085804169,FALSE
