sample	percent_gc	mean_seq_len	n_read_pairs	percent_duplicates	n_bases_approx	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	stage
1A	51	133.8680771459585	65476301	96.2554841175091	17400000000	pass/pass	fail/fail	warn/pass	fail/fail	warn/pass	pass/pass	warn/warn	fail/fail	warn/warn	pass/pass	cleaned
1C	51	132.7943818065906	40169799	95.3012205067167	10600000000	pass/pass	fail/fail	warn/pass	fail/fail	pass/pass	pass/pass	warn/warn	fail/fail	warn/warn	pass/pass	cleaned
2A	51	133.8210224632644	59990791	95.96230957773497	16000000000	pass/pass	fail/fail	warn/pass	fail/fail	pass/pass	pass/pass	warn/warn	fail/fail	warn/warn	pass/pass	cleaned
2C	51	135.9326951584075	40816343	95.22968500547375	11000000000	pass/pass	fail/fail	warn/warn	fail/fail	warn/pass	pass/pass	warn/warn	fail/fail	warn/warn	pass/pass	cleaned
6A	51	135.0995848516524	59731901	95.9628713760691	16000000000	pass/pass	fail/fail	warn/pass	fail/fail	warn/pass	pass/pass	warn/warn	fail/fail	warn/warn	pass/pass	cleaned
6C	51	133.0791847046676	44075930	95.46884644870812	11600000000	pass/pass	fail/fail	warn/warn	fail/fail	pass/pass	pass/pass	warn/warn	fail/fail	warn/warn	pass/pass	cleaned
SS1	51	132.6186958110153	50058144	93.48542280139144	13200000000	pass/pass	fail/fail	warn/pass	fail/fail	pass/pass	pass/pass	warn/warn	fail/fail	warn/warn	pass/pass	cleaned
SS2	50	130.4142505343276	32226953	92.96294155910216	8300000000	pass/pass	fail/fail	warn/warn	fail/fail	fail/pass	pass/pass	warn/warn	fail/fail	fail/warn	pass/pass	cleaned
1A	51	139.36127232383092	22856964	84.03839818359835	6200000000	pass/pass	fail/fail	warn/warn	fail/fail	warn/pass	pass/pass	warn/warn	fail/fail	warn/warn	pass/pass	dedup
1C	51	139.20760796494162	14350237	85.5109357195937	3900000000	pass/pass	fail/fail	warn/warn	fail/fail	warn/pass	pass/pass	warn/warn	fail/fail	warn/warn	pass/pass	dedup
2A	51	139.63674225763492	20427705	87.47183915601975	5600000000	pass/pass	fail/fail	warn/warn	fail/fail	pass/pass	pass/pass	warn/warn	fail/fail	warn/warn	pass/pass	dedup
