name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads	sample
Bacteria	2	D	253305	260	253565	0.97434	1A
Archaea	2157	D	3621	6	3627	0.01394	1A
Eukaryota	2759	D	656	15	671	0.00258	1A
Viruses	10239	D	2378	0	2378	0.00914	1A
Bacteria	2	D	193411	160	193571	0.97017	2C
Archaea	2157	D	2648	4	2652	0.01329	2C
Eukaryota	2759	D	1538	34	1572	0.00788	2C
Viruses	10239	D	1726	0	1726	0.00865	2C
Bacteria	2	D	234400	242	234642	0.97591	2A
Archaea	2157	D	3298	6	3304	0.01374	2A
Eukaryota	2759	D	200	5	205	8.5e-4	2A
Viruses	10239	D	2283	0	2283	0.0095	2A
Bacteria	2	D	165562	162	165724	0.97464	1C
Archaea	2157	D	2334	3	2337	0.01374	1C
Eukaryota	2759	D	224	5	229	0.00135	1C
Viruses	10239	D	1744	0	1744	0.01026	1C
Bacteria	2	D	361317	1704	363021	0.97672	SS1
Archaea	2157	D	5476	44	5520	0.01485	SS1
Eukaryota	2759	D	1597	213	1810	0.00487	SS1
Viruses	10239	D	1321	0	1321	0.00355	SS1
Bacteria	2	D	203068	204	203272	0.97502	6C
Archaea	2157	D	2547	4	2551	0.01224	6C
Eukaryota	2759	D	138	3	141	6.8e-4	6C
Viruses	10239	D	2514	0	2514	0.01206	6C
Bacteria	2	D	253688	2001	255689	0.9684	SS2
Archaea	2157	D	3455	42	3497	0.01324	SS2
Eukaryota	2759	D	505	122	627	0.00237	SS2
Viruses	10239	D	4218	0	4218	0.01598	SS2
Bacteria	2	D	241267	207	241474	0.97392	6A
Archaea	2157	D	3470	4	3474	0.01401	6A
Eukaryota	2759	D	345	6	351	0.00142	6A
Viruses	10239	D	2640	0	2640	0.01065	6A
