position	mean_phred_score	sample	read_pair	stage
1	37.11885344592084	1A	1	cleaned
2	41.108290402660344	1A	1	cleaned
3	41.69860685929708	1A	1	cleaned
4	41.9887133514155	1A	1	cleaned
5	33.44048613864122	1A	1	cleaned
6	30.369830620089548	1A	1	cleaned
7	30.22517907662499	1A	1	cleaned
8	30.02311957115598	1A	1	cleaned
9	37.71863114258699	1A	1	cleaned
12	38.292148983797965	1A	1	cleaned
17	34.167161850635644	1A	1	cleaned
22	33.4625128299236	1A	1	cleaned
27	33.96102298621814	1A	1	cleaned
32	32.572726426945216	1A	1	cleaned
37	23.747540264800524	1A	1	cleaned
42	28.050245803936576	1A	1	cleaned
47	34.21718239934834	1A	1	cleaned
52	34.43461202526191	1A	1	cleaned
57	28.064734729843224	1A	1	cleaned
62	31.529965629551747	1A	1	cleaned
67	30.34653802832449	1A	1	cleaned
72	33.32428292250172	1A	1	cleaned
77	30.742860911471656	1A	1	cleaned
82	35.98799379414275	1A	1	cleaned
87	27.624237018895606	1A	1	cleaned
92	25.225250663513638	1A	1	cleaned
97	28.040240539965595	1A	1	cleaned
102	32.710143546958285	1A	1	cleaned
107	34.75516609264201	1A	1	cleaned
112	30.237802928688303	1A	1	cleaned
117	27.736027109079448	1A	1	cleaned
122	27.678930996841	1A	1	cleaned
127	26.751267687985933	1A	1	cleaned
132	24.92991037803856	1A	1	cleaned
137	25.842542903962016	1A	1	cleaned
142	27.948650200380904	1A	1	cleaned
147	27.054575023444983	1A	1	cleaned
150	29.71893271663665	1A	1	cleaned
1	35.71974097925904	1A	2	cleaned
2	33.807527199803175	1A	2	cleaned
3	33.85504495741139	1A	2	cleaned
4	33.99096126398466	1A	2	cleaned
5	33.25617111449225	1A	2	cleaned
6	33.0145450183571	1A	2	cleaned
7	29.606932422770797	1A	2	cleaned
8	29.028478197019712	1A	2	cleaned
9	36.3909011139771	1A	2	cleaned
12	32.784361275998165	1A	2	cleaned
17	29.21396805485789	1A	2	cleaned
22	30.81280661984987	1A	2	cleaned
27	32.429105310015636	1A	2	cleaned
32	31.312913186910077	1A	2	cleaned
37	30.71924927411423	1A	2	cleaned
42	31.32949025414457	1A	2	cleaned
47	32.24032750751154	1A	2	cleaned
52	32.3293865234631	1A	2	cleaned
57	32.149748478714834	1A	2	cleaned
62	32.96548476573175	1A	2	cleaned
67	32.145010220422485	1A	2	cleaned
72	33.13151927150697	1A	2	cleaned
77	32.51360714974659	1A	2	cleaned
82	33.204830691889256	1A	2	cleaned
87	33.65399258074801	1A	2	cleaned
92	31.56477924293818	1A	2	cleaned
97	31.915307774679945	1A	2	cleaned
102	33.72123066717301	1A	2	cleaned
107	32.75418503868125	1A	2	cleaned
112	31.13819648530326	1A	2	cleaned
117	29.336693321703507	1A	2	cleaned
122	28.827980059870885	1A	2	cleaned
127	29.892265957535976	1A	2	cleaned
132	28.731811813454737	1A	2	cleaned
137	29.02977299422909	1A	2	cleaned
142	27.83355947166451	1A	2	cleaned
147	27.615038870330313	1A	2	cleaned
150	27.342700928997623	1A	2	cleaned
1	37.149580932680294	1C	1	cleaned
2	41.15373776204357	1C	1	cleaned
3	41.73231740591981	1C	1	cleaned
4	42.01830325314797	1C	1	cleaned
5	33.489868296328794	1C	1	cleaned
6	30.474028062724436	1C	1	cleaned
7	30.295411137108253	1C	1	cleaned
8	30.03123839379928	1C	1	cleaned
9	37.83363929702511	1C	1	cleaned
12	38.419370537552354	1C	1	cleaned
17	34.20679201299896	1C	1	cleaned
22	33.45419956767781	1C	1	cleaned
27	33.948616015889094	1C	1	cleaned
32	32.58693829406438	1C	1	cleaned
37	23.866363757332444	1C	1	cleaned
42	28.109159101870194	1C	1	cleaned
47	34.222661219712165	1C	1	cleaned
52	34.4367064001258	1C	1	cleaned
57	28.15492411500454	1C	1	cleaned
62	31.581381772388244	1C	1	cleaned
67	30.310692321851878	1C	1	cleaned
72	33.273967814808834	1C	1	cleaned
77	30.740108887462007	1C	1	cleaned
82	36.00269250345116	1C	1	cleaned
87	27.567888056106046	1C	1	cleaned
92	25.187839042056517	1C	1	cleaned
97	28.007464147001354	1C	1	cleaned
102	32.67089869166805	1C	1	cleaned
107	34.700836913123084	1C	1	cleaned
112	30.15799523397166	1C	1	cleaned
117	27.67970349856415	1C	1	cleaned
122	27.624464194826675	1C	1	cleaned
127	26.71428346617524	1C	1	cleaned
132	24.914229037915824	1C	1	cleaned
137	25.847319711428007	1C	1	cleaned
142	27.88857946090269	1C	1	cleaned
147	27.05170797838516	1C	1	cleaned
150	29.599308414607552	1C	1	cleaned
1	35.725767012177485	1C	2	cleaned
2	33.86761380110465	1C	2	cleaned
3	33.896206650175174	1C	2	cleaned
4	33.974114782102845	1C	2	cleaned
5	33.27733434762768	1C	2	cleaned
6	33.09718119326412	1C	2	cleaned
7	29.72848355551891	1C	2	cleaned
8	29.075749171660032	1C	2	cleaned
9	36.56183577119716	1C	2	cleaned
12	32.87146527170823	1C	2	cleaned
17	29.31813991896009	1C	2	cleaned
22	30.92052618777342	1C	2	cleaned
27	32.53599747167768	1C	2	cleaned
32	31.41129746966548	1C	2	cleaned
37	30.817188727917284	1C	2	cleaned
42	31.43952080477582	1C	2	cleaned
47	32.34281403731299	1C	2	cleaned
52	32.42222381170252	1C	2	cleaned
57	32.24320906204221	1C	2	cleaned
62	33.033199100175665	1C	2	cleaned
67	32.2335701787457	1C	2	cleaned
72	33.21003953415426	1C	2	cleaned
77	32.61302637524146	1C	2	cleaned
82	33.284256206983436	1C	2	cleaned
87	33.74136772815982	1C	2	cleaned
92	31.64264624469211	1C	2	cleaned
97	32.01353699820088	1C	2	cleaned
102	33.823428849201065	1C	2	cleaned
107	32.89562439805506	1C	2	cleaned
112	31.25388836652118	1C	2	cleaned
117	29.432693362625137	1C	2	cleaned
122	28.89667662756592	1C	2	cleaned
127	29.968687531140876	1C	2	cleaned
132	28.83078601762535	1C	2	cleaned
137	29.11973423555305	1C	2	cleaned
142	27.923165974574395	1C	2	cleaned
147	27.683369480110933	1C	2	cleaned
150	27.41214842228014	1C	2	cleaned
1	37.13591579414247	2A	1	cleaned
2	41.12425730475866	2A	1	cleaned
3	41.70784785951564	2A	1	cleaned
4	41.981941645010146	2A	1	cleaned
5	33.40534669729559	2A	1	cleaned
6	30.341078166480585	2A	1	cleaned
7	30.19426735013379	2A	1	cleaned
8	29.896717764564897	2A	1	cleaned
9	37.761169743536136	2A	1	cleaned
12	38.31396959910064	2A	1	cleaned
17	34.18312342111046	2A	1	cleaned
22	33.480016586505954	2A	1	cleaned
27	33.955929638516466	2A	1	cleaned
32	32.56628127385732	2A	1	cleaned
37	23.803719269964844	2A	1	cleaned
42	28.10721281425814	2A	1	cleaned
47	34.23237671070039	2A	1	cleaned
52	34.466976936998925	2A	1	cleaned
57	28.106154134341427	2A	1	cleaned
62	31.594470849842388	2A	1	cleaned
67	30.377023460976034	2A	1	cleaned
72	33.31633931049406	2A	1	cleaned
77	30.769969120974384	2A	1	cleaned
82	36.01871967059892	2A	1	cleaned
87	27.613471765871036	2A	1	cleaned
92	25.19459613259156	2A	1	cleaned
97	28.038064662272795	2A	1	cleaned
102	32.72242881804054	2A	1	cleaned
107	34.75377531237918	2A	1	cleaned
112	30.198860319660476	2A	1	cleaned
117	27.699457495653217	2A	1	cleaned
122	27.62570374810922	2A	1	cleaned
127	26.72065645134851	2A	1	cleaned
132	24.92292692864561	2A	1	cleaned
137	25.858143307848184	2A	1	cleaned
142	27.898098639115425	2A	1	cleaned
147	27.054790719600515	2A	1	cleaned
150	29.612570727694326	2A	1	cleaned
1	35.759184605517206	2A	2	cleaned
2	33.96043404395184	2A	2	cleaned
3	33.958997540139116	2A	2	cleaned
4	34.007930767240595	2A	2	cleaned
5	33.31298115405746	2A	2	cleaned
6	33.10408857586159	2A	2	cleaned
7	29.738808144736748	2A	2	cleaned
8	29.086146722086063	2A	2	cleaned
9	36.68208297170144	2A	2	cleaned
12	32.965719775223505	2A	2	cleaned
17	29.40311912182287	2A	2	cleaned
22	31.04704260634805	2A	2	cleaned
27	32.63046350101463	2A	2	cleaned
32	31.502454070714293	2A	2	cleaned
37	30.901335503244447	2A	2	cleaned
42	31.520123038476253	2A	2	cleaned
47	32.41380147530863	2A	2	cleaned
52	32.4987036240654	2A	2	cleaned
57	32.3124889148129	2A	2	cleaned
62	33.1055152952797	2A	2	cleaned
67	32.28911870156403	2A	2	cleaned
72	33.281803691678206	2A	2	cleaned
77	32.674016744475274	2A	2	cleaned
82	33.356570913657706	2A	2	cleaned
87	33.80733839510308	2A	2	cleaned
92	31.70804465859162	2A	2	cleaned
97	32.0564360695571	2A	2	cleaned
102	33.87241390206418	2A	2	cleaned
107	32.92090809415921	2A	2	cleaned
112	31.310245812325718	2A	2	cleaned
