name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads	sample
Bacteria	2	D	253384	2019	255403	0.96905	SS2
Archaea	2157	D	3449	42	3491	0.01325	SS2
Eukaryota	2759	D	365	89	454	0.00172	SS2
Viruses	10239	D	4211	0	4211	0.01598	SS2
Bacteria	2	D	234049	244	234293	0.97618	2A
Archaea	2157	D	3292	6	3298	0.01374	2A
Eukaryota	2759	D	133	3	136	5.7e-4	2A
Viruses	10239	D	2282	0	2282	0.00951	2A
Bacteria	2	D	202759	205	202964	0.97524	6C
Archaea	2157	D	2545	4	2549	0.01225	6C
Eukaryota	2759	D	89	2	91	4.4e-4	6C
Viruses	10239	D	2513	0	2513	0.012070000000000001	6C
Bacteria	2	D	193163	177	193340	0.97477	2C
Archaea	2157	D	2649	4	2653	0.01338	2C
Eukaryota	2759	D	614	15	629	0.00317	2C
Viruses	10239	D	1722	0	1722	0.00868	2C
Bacteria	2	D	360872	1804	362676	0.97937	SS1
Archaea	2157	D	5467	47	5514	0.01489	SS1
Eukaryota	2759	D	703	101	804	0.00217	SS1
Viruses	10239	D	1319	0	1319	0.00356	SS1
Bacteria	2	D	240929	211	241140	0.97468	6A
Archaea	2157	D	3466	5	3471	0.01403	6A
Eukaryota	2759	D	153	3	156	6.3e-4	6A
Viruses	10239	D	2638	0	2638	0.01066	6A
Bacteria	2	D	252899	268	253167	0.97557	1A
Archaea	2157	D	3622	6	3628	0.01398	1A
Eukaryota	2759	D	330	8	338	0.0013	1A
Viruses	10239	D	2374	0	2374	0.00915	1A
Bacteria	2	D	165343	164	165507	0.97526	1C
Archaea	2157	D	2328	3	2331	0.01374	1C
Eukaryota	2759	D	119	2	121	7.1e-4	1C
Viruses	10239	D	1744	0	1744	0.01028	1C
