position	pc_adapters	sample	adapter	read_pair	stage
1	9.649230829473503e-4	1A	illumina_universal_adapter	1	raw_concat
2	0.0011051364767706113	1A	illumina_universal_adapter	1	raw_concat
3	0.002448635723040766	1A	illumina_universal_adapter	1	raw_concat
4	0.006049570609865422	1A	illumina_universal_adapter	1	raw_concat
5	0.013014352281231765	1A	illumina_universal_adapter	1	raw_concat
6	0.015988150897501472	1A	illumina_universal_adapter	1	raw_concat
7	0.01681795925549186	1A	illumina_universal_adapter	1	raw_concat
8	0.01727938878789205	1A	illumina_universal_adapter	1	raw_concat
9	0.01751520222295844	1A	illumina_universal_adapter	1	raw_concat
10	0.01850816798467044	1A	illumina_universal_adapter	1	raw_concat
12	0.018905864156241875	1A	illumina_universal_adapter	1	raw_concat
14	0.019308658996679606	1A	illumina_universal_adapter	1	raw_concat
16	0.01948456307256697	1A	illumina_universal_adapter	1	raw_concat
18	0.01960693112535818	1A	illumina_universal_adapter	1	raw_concat
20	0.019684048491960975	1A	illumina_universal_adapter	1	raw_concat
22	0.019740771183098565	1A	illumina_universal_adapter	1	raw_concat
24	0.0198312725554754	1A	illumina_universal_adapter	1	raw_concat
26	0.01994280593692572	1A	illumina_universal_adapter	1	raw_concat
28	0.020097678003739593	1A	illumina_universal_adapter	1	raw_concat
30	0.02037619279056125	1A	illumina_universal_adapter	1	raw_concat
32	0.02079045963594816	1A	illumina_universal_adapter	1	raw_concat
34	0.02128184384793786	1A	illumina_universal_adapter	1	raw_concat
36	0.021745185381162907	1A	illumina_universal_adapter	1	raw_concat
38	0.022216812251295695	1A	illumina_universal_adapter	1	raw_concat
40	0.02276491915442299	1A	illumina_universal_adapter	1	raw_concat
42	0.023446228781682378	1A	illumina_universal_adapter	1	raw_concat
44	0.024233335787917504	1A	illumina_universal_adapter	1	raw_concat
46	0.025088637490239395	1A	illumina_universal_adapter	1	raw_concat
48	0.026138963276697277	1A	illumina_universal_adapter	1	raw_concat
50	0.02725111042315905	1A	illumina_universal_adapter	1	raw_concat
52	0.028803655092947522	1A	illumina_universal_adapter	1	raw_concat
54	0.030992896037415257	1A	illumina_universal_adapter	1	raw_concat
56	0.0351419378273672	1A	illumina_universal_adapter	1	raw_concat
58	0.04838445554036591	1A	illumina_universal_adapter	1	raw_concat
60	0.1183777070697212	1A	illumina_universal_adapter	1	raw_concat
62	0.18565336809333838	1A	illumina_universal_adapter	1	raw_concat
64	0.23845135887109556	1A	illumina_universal_adapter	1	raw_concat
66	0.337471332256299	1A	illumina_universal_adapter	1	raw_concat
68	0.4529823127559428	1A	illumina_universal_adapter	1	raw_concat
70	0.5449151364169887	1A	illumina_universal_adapter	1	raw_concat
72	0.5943021177231909	1A	illumina_universal_adapter	1	raw_concat
74	0.6259782353886905	1A	illumina_universal_adapter	1	raw_concat
76	0.6431429041270907	1A	illumina_universal_adapter	1	raw_concat
78	0.6540629781714896	1A	illumina_universal_adapter	1	raw_concat
80	0.6637415263469444	1A	illumina_universal_adapter	1	raw_concat
82	0.6754359607254126	1A	illumina_universal_adapter	1	raw_concat
84	0.6920595332303767	1A	illumina_universal_adapter	1	raw_concat
86	0.7198549265550134	1A	illumina_universal_adapter	1	raw_concat
88	0.7521664658279756	1A	illumina_universal_adapter	1	raw_concat
90	0.7867035740610779	1A	illumina_universal_adapter	1	raw_concat
92	0.8786841977427453	1A	illumina_universal_adapter	1	raw_concat
94	1.355417384745132	1A	illumina_universal_adapter	1	raw_concat
96	2.1558969247493454	1A	illumina_universal_adapter	1	raw_concat
98	3.1178793504280566	1A	illumina_universal_adapter	1	raw_concat
100	4.21032014172158	1A	illumina_universal_adapter	1	raw_concat
102	5.187227008505561	1A	illumina_universal_adapter	1	raw_concat
104	6.353592125024358	1A	illumina_universal_adapter	1	raw_concat
106	7.716221576880871	1A	illumina_universal_adapter	1	raw_concat
108	9.236076768566665	1A	illumina_universal_adapter	1	raw_concat
110	10.69766054844673	1A	illumina_universal_adapter	1	raw_concat
112	12.110651464696517	1A	illumina_universal_adapter	1	raw_concat
114	13.452972918458556	1A	illumina_universal_adapter	1	raw_concat
116	15.027182469593548	1A	illumina_universal_adapter	1	raw_concat
118	17.034399660867138	1A	illumina_universal_adapter	1	raw_concat
120	19.056387058512797	1A	illumina_universal_adapter	1	raw_concat
122	20.667416009532168	1A	illumina_universal_adapter	1	raw_concat
124	22.101890167050108	1A	illumina_universal_adapter	1	raw_concat
126	23.848217395105628	1A	illumina_universal_adapter	1	raw_concat
128	26.116943400530943	1A	illumina_universal_adapter	1	raw_concat
130	28.27694092971601	1A	illumina_universal_adapter	1	raw_concat
132	29.83257603017107	1A	illumina_universal_adapter	1	raw_concat
134	31.15516754742135	1A	illumina_universal_adapter	1	raw_concat
136	32.384153240288825	1A	illumina_universal_adapter	1	raw_concat
138	33.732052000456996	1A	illumina_universal_adapter	1	raw_concat
1	8.030403464423127e-5	1A	illumina_universal_adapter	2	raw_concat
2	1.962987513525653e-4	1A	illumina_universal_adapter	2	raw_concat
3	0.00134732324791988	1A	illumina_universal_adapter	2	raw_concat
4	0.004694599358646091	1A	illumina_universal_adapter	2	raw_concat
5	0.0115382876444378	1A	illumina_universal_adapter	2	raw_concat
6	0.014444528898229027	1A	illumina_universal_adapter	2	raw_concat
7	0.015181286549409435	1A	illumina_universal_adapter	2	raw_concat
8	0.015460438669839382	1A	illumina_universal_adapter	2	raw_concat
9	0.015610849401395243	1A	illumina_universal_adapter	2	raw_concat
10	0.016181900314420888	1A	illumina_universal_adapter	2	raw_concat
12	0.01625391901215738	1A	illumina_universal_adapter	2	raw_concat
14	0.016287060359788334	1A	illumina_universal_adapter	2	raw_concat
16	0.01628769769339662	1A	illumina_universal_adapter	2	raw_concat
18	0.01629088436143806	1A	illumina_universal_adapter	2	raw_concat
20	0.016294071029479495	1A	illumina_universal_adapter	2	raw_concat
22	0.01629534569669607	1A	illumina_universal_adapter	2	raw_concat
24	0.01629853236473751	1A	illumina_universal_adapter	2	raw_concat
26	0.016299807031954085	1A	illumina_universal_adapter	2	raw_concat
28	0.016305543034428674	1A	illumina_universal_adapter	2	raw_concat
30	0.016313191037728124	1A	illumina_universal_adapter	2	raw_concat
32	0.016322751041852435	1A	illumina_universal_adapter	2	raw_concat
34	0.016330399045151885	1A	illumina_universal_adapter	2	raw_concat
36	0.016333585713193325	1A	illumina_universal_adapter	2	raw_concat
38	0.016342508383709348	1A	illumina_universal_adapter	2	raw_concat
40	0.016355255055875102	1A	illumina_universal_adapter	2	raw_concat
42	0.016364815059999413	1A	illumina_universal_adapter	2	raw_concat
44	0.01636863906164914	1A	illumina_universal_adapter	2	raw_concat
