position	mean_phred_score	sample	read_pair	stage
1	37.04100038483478	1A	1	raw_concat
2	40.7634599408868	1A	1	raw_concat
3	41.425347170593774	1A	1	raw_concat
4	41.75716118558277	1A	1	raw_concat
5	32.49573240778557	1A	1	raw_concat
6	29.722066678122527	1A	1	raw_concat
7	29.635246264240376	1A	1	raw_concat
8	29.40920785691106	1A	1	raw_concat
9	37.11863891187574	1A	1	raw_concat
12	37.6195701901175	1A	1	raw_concat
17	33.1132120697372	1A	1	raw_concat
22	32.10016002809571	1A	1	raw_concat
27	32.63394345747032	1A	1	raw_concat
32	31.324641363137278	1A	1	raw_concat
37	23.249845002378464	1A	1	raw_concat
42	27.0893794765755	1A	1	raw_concat
47	32.78667522801152	1A	1	raw_concat
52	33.01204826160311	1A	1	raw_concat
57	27.02165471715013	1A	1	raw_concat
62	30.265819060555224	1A	1	raw_concat
67	29.183818107333583	1A	1	raw_concat
72	32.108738910666084	1A	1	raw_concat
77	29.56549063872287	1A	1	raw_concat
82	34.656457341113786	1A	1	raw_concat
87	26.527336973281535	1A	1	raw_concat
92	24.414811684043293	1A	1	raw_concat
97	26.90160929667827	1A	1	raw_concat
102	31.290950200549126	1A	1	raw_concat
107	33.24910863987412	1A	1	raw_concat
112	28.523712813958024	1A	1	raw_concat
117	26.299087971782534	1A	1	raw_concat
122	26.254587338024372	1A	1	raw_concat
127	25.343430605440542	1A	1	raw_concat
132	23.922656214259526	1A	1	raw_concat
137	24.36669618328562	1A	1	raw_concat
142	25.464675643272603	1A	1	raw_concat
147	24.19920430428606	1A	1	raw_concat
150	25.098008614175555	1A	1	raw_concat
1	35.50956147636495	1A	2	raw_concat
2	33.33397365816069	1A	2	raw_concat
3	33.37216182119557	1A	2	raw_concat
4	33.49971669883778	1A	2	raw_concat
5	32.83172677039135	1A	2	raw_concat
6	32.60510167198226	1A	2	raw_concat
7	29.212948900668994	1A	2	raw_concat
8	28.66895274832847	1A	2	raw_concat
9	35.93379379751776	1A	2	raw_concat
12	32.20348350744417	1A	2	raw_concat
17	28.359397543326224	1A	2	raw_concat
22	29.64694730394436	1A	2	raw_concat
27	31.252476499311058	1A	2	raw_concat
32	30.247684002960845	1A	2	raw_concat
37	29.587209252391233	1A	2	raw_concat
42	30.194774211121523	1A	2	raw_concat
47	31.16314706871982	1A	2	raw_concat
52	31.17285367741938	1A	2	raw_concat
57	31.017234339499122	1A	2	raw_concat
62	31.848172152067445	1A	2	raw_concat
67	31.009143269523197	1A	2	raw_concat
72	31.874346900351572	1A	2	raw_concat
77	31.261014801575932	1A	2	raw_concat
82	31.99096576551051	1A	2	raw_concat
87	32.45220096979486	1A	2	raw_concat
92	30.43751928651165	1A	2	raw_concat
97	30.705251948873762	1A	2	raw_concat
102	32.40655151416508	1A	2	raw_concat
107	31.477057273691535	1A	2	raw_concat
112	29.840958682822123	1A	2	raw_concat
117	28.064150572155416	1A	2	raw_concat
122	27.54753914340502	1A	2	raw_concat
127	28.457625810705878	1A	2	raw_concat
132	27.291394875855634	1A	2	raw_concat
137	27.376988677475275	1A	2	raw_concat
142	26.21751526850565	1A	2	raw_concat
147	25.68067397876116	1A	2	raw_concat
150	25.35158876880008	1A	2	raw_concat
1	37.07066110971614	1C	1	raw_concat
2	40.82518805070454	1C	1	raw_concat
3	41.46841534628162	1C	1	raw_concat
4	41.793018698857644	1C	1	raw_concat
5	32.589385317438676	1C	1	raw_concat
6	29.87371491367972	1C	1	raw_concat
7	29.72500868783617	1C	1	raw_concat
8	29.43420317091667	1C	1	raw_concat
9	37.236699864219844	1C	1	raw_concat
12	37.76126400333127	1C	1	raw_concat
17	33.18883599543606	1C	1	raw_concat
22	32.14035843107642	1C	1	raw_concat
27	32.672812488971346	1C	1	raw_concat
32	31.379068579532877	1C	1	raw_concat
37	23.383377011732208	1C	1	raw_concat
42	27.19159345891211	1C	1	raw_concat
47	32.85832790308393	1C	1	raw_concat
52	33.073994714350874	1C	1	raw_concat
57	27.15513536391733	1C	1	raw_concat
62	30.37706295582645	1C	1	raw_concat
67	29.202393338447536	1C	1	raw_concat
72	32.116545553389834	1C	1	raw_concat
77	29.621552127945733	1C	1	raw_concat
82	34.720002607195156	1C	1	raw_concat
87	26.515753600977224	1C	1	raw_concat
92	24.40432007508182	1C	1	raw_concat
97	26.913291810992536	1C	1	raw_concat
102	31.30999481093867	1C	1	raw_concat
107	33.24657395307353	1C	1	raw_concat
112	28.51706185486062	1C	1	raw_concat
117	26.30901615869983	1C	1	raw_concat
122	26.271067411698574	1C	1	raw_concat
127	25.3690813926137	1C	1	raw_concat
132	23.946710197594662	1C	1	raw_concat
137	24.409872370705322	1C	1	raw_concat
142	25.516237266072203	1C	1	raw_concat
147	24.314415091641052	1C	1	raw_concat
150	25.187732931525836	1C	1	raw_concat
1	35.52880583370046	1C	2	raw_concat
2	33.42812960090158	1C	2	raw_concat
3	33.439926736803145	1C	2	raw_concat
4	33.51555012915241	1C	2	raw_concat
5	32.88582629764949	1C	2	raw_concat
6	32.71193568958032	1C	2	raw_concat
7	29.360298581256934	1C	2	raw_concat
8	28.729758629284035	1C	2	raw_concat
9	36.141557103399435	1C	2	raw_concat
12	32.337256426085936	1C	2	raw_concat
17	28.53367729087433	1C	2	raw_concat
22	29.85733114063268	1C	2	raw_concat
27	31.47122691243421	1C	2	raw_concat
32	30.449304306110378	1C	2	raw_concat
37	29.79339561923671	1C	2	raw_concat
42	30.413767733866166	1C	2	raw_concat
47	31.37652108898353	1C	2	raw_concat
52	31.38517614524509	1C	2	raw_concat
57	31.227328238777197	1C	2	raw_concat
62	32.03331360910276	1C	2	raw_concat
67	31.213393958500678	1C	2	raw_concat
72	32.07579475548512	1C	2	raw_concat
77	31.478826611897556	1C	2	raw_concat
82	32.18214883116098	1C	2	raw_concat
87	32.65288178649605	1C	2	raw_concat
92	30.61454929295873	1C	2	raw_concat
97	30.907113919399507	1C	2	raw_concat
102	32.619301788410915	1C	2	raw_concat
107	31.716867509907424	1C	2	raw_concat
112	30.04269348334612	1C	2	raw_concat
117	28.266593087420567	1C	2	raw_concat
122	27.745998960161415	1C	2	raw_concat
127	28.66710464393127	1C	2	raw_concat
132	27.499058378712995	1C	2	raw_concat
137	27.56912218069585	1C	2	raw_concat
142	26.404666752672586	1C	2	raw_concat
147	25.8895711349725	1C	2	raw_concat
150	25.574753553358764	1C	2	raw_concat
1	37.05478923471889	2A	1	raw_concat
2	40.786997396170406	2A	1	raw_concat
3	41.43733180241149	2A	1	raw_concat
4	41.74803718137011	2A	1	raw_concat
5	32.472436412709456	2A	1	raw_concat
6	29.713755629946938	2A	1	raw_concat
7	29.60912625450403	2A	1	raw_concat
8	29.286663160740932	2A	1	raw_concat
9	37.1560435978131	2A	1	raw_concat
12	37.64578112279852	2A	1	raw_concat
17	33.13442331380725	2A	1	raw_concat
22	32.12578179592276	2A	1	raw_concat
27	32.64263214410921	2A	1	raw_concat
32	31.3264042699583	2A	1	raw_concat
37	23.312479126013677	2A	1	raw_concat
42	27.16118680127071	2A	1	raw_concat
47	32.823252444408936	2A	1	raw_concat
52	33.06693923137506	2A	1	raw_concat
57	27.07380530955287	2A	1	raw_concat
62	30.35586543357841	2A	1	raw_concat
67	29.238691431846757	2A	1	raw_concat
72	32.12586281263954	2A	1	raw_concat
77	29.62007242440107	2A	1	raw_concat
82	34.705025517777415	2A	1	raw_concat
87	26.537750437049255	2A	1	raw_concat
92	24.396409045232165	2A	1	raw_concat
97	26.92181679045447	2A	1	raw_concat
102	31.332546517447337	2A	1	raw_concat
107	33.2821605612484	2A	1	raw_concat
112	28.558315409010355	2A	1	raw_concat
117	26.336296606771963	2A	1	raw_concat
122	26.287743055598025	2A	1	raw_concat
127	25.397143923143837	2A	1	raw_concat
132	23.978793954517634	2A	1	raw_concat
137	24.449081079263348	2A	1	raw_concat
142	25.54498836154403	2A	1	raw_concat
147	24.310806336348517	2A	1	raw_concat
150	25.20743484848287	2A	1	raw_concat
1	35.573563686347214	2A	2	raw_concat
2	33.517635834131895	2A	2	raw_concat
3	33.50417874772151	2A	2	raw_concat
4	33.548312951432045	2A	2	raw_concat
5	32.917325173515415	2A	2	raw_concat
6	32.71720595404544	2A	2	raw_concat
7	29.370458258290455	2A	2	raw_concat
8	28.741782693084346	2A	2	raw_concat
9	36.26449968740071	2A	2	raw_concat
12	32.42814478115231	2A	2	raw_concat
17	28.60504341011715	2A	2	raw_concat
22	29.960211029793072	2A	2	raw_concat
27	31.542270547894315	2A	2	raw_concat
32	30.520631506946778	2A	2	raw_concat
37	29.852954881176352	2A	2	raw_concat
42	30.47211499166489	2A	2	raw_concat
47	31.427600402463064	2A	2	raw_concat
52	31.439168053860737	2A	2	raw_concat
57	31.276046509623747	2A	2	raw_concat
62	32.08874994149878	2A	2	raw_concat
67	31.251927048008987	2A	2	raw_concat
72	32.12858219522546	2A	2	raw_concat
77	31.523226274384257	2A	2	raw_concat
82	32.24665468567368	2A	2	raw_concat
87	32.70972710786755	2A	2	raw_concat
92	30.672272174892413	2A	2	raw_concat
97	30.941781427813208	2A	2	raw_concat
102	32.664628649458436	2A	2	raw_concat
107	31.742828720850667	2A	2	raw_concat
112	30.096618786416876	2A	2	raw_concat
117	28.320798339975518	2A	2	raw_concat
122	27.79978240429324	2A	2	raw_concat
127	28.7260707191811	2A	2	raw_concat
132	27.568650826906	2A	2	raw_concat
137	27.656342810537502	2A	2	raw_concat
142	26.481220521027687	2A	2	raw_concat
147	25.946696092374577	2A	2	raw_concat
150	25.62600066955337	2A	2	raw_concat
1	37.00100782684557	2C	1	raw_concat
2	40.675511835796584	2C	1	raw_concat
3	41.36386109056861	2C	1	raw_concat
4	41.720063140576656	2C	1	raw_concat
5	32.43351001579674	2C	1	raw_concat
6	29.647960974848452	2C	1	raw_concat
7	29.485881453134027	2C	1	raw_concat
8	29.174217281877795	2C	1	raw_concat
9	36.90691154847144	2C	1	raw_concat
12	37.40998683720327	2C	1	raw_concat
17	33.02595904662668	2C	1	raw_concat
22	31.96557634298018	2C	1	raw_concat
27	32.52598680188874	2C	1	raw_concat
32	31.2155596886024	2C	1	raw_concat
37	23.164875597880364	2C	1	raw_concat
42	27.011778223332055	2C	1	raw_concat
47	32.696604354028416	2C	1	raw_concat
