mean_phred_score	n_sequences	sample	read_pair	stage
5	7	1A	1	raw_concat
6	15	1A	1	raw_concat
7	41	1A	1	raw_concat
8	87	1A	1	raw_concat
9	172	1A	1	raw_concat
10	338	1A	1	raw_concat
11	777	1A	1	raw_concat
12	1962	1A	1	raw_concat
13	4658	1A	1	raw_concat
14	10325	1A	1	raw_concat
15	22806	1A	1	raw_concat
16	48126	1A	1	raw_concat
17	99811	1A	1	raw_concat
18	200232	1A	1	raw_concat
19	381689	1A	1	raw_concat
20	698710	1A	1	raw_concat
21	1201816	1A	1	raw_concat
22	1970553	1A	1	raw_concat
23	3045789	1A	1	raw_concat
24	4409313	1A	1	raw_concat
25	5920990	1A	1	raw_concat
26	7244200	1A	1	raw_concat
27	7841405	1A	1	raw_concat
28	7291529	1A	1	raw_concat
29	6147456	1A	1	raw_concat
30	5202278	1A	1	raw_concat
31	4613977	1A	1	raw_concat
32	4268259	1A	1	raw_concat
33	3992552	1A	1	raw_concat
34	3647875	1A	1	raw_concat
35	3189377	1A	1	raw_concat
36	2613122	1A	1	raw_concat
37	1976499	1A	1	raw_concat
38	1360361	1A	1	raw_concat
39	772541	1A	1	raw_concat
40	259369	1A	1	raw_concat
41	12832	1A	1	raw_concat
0	9	1A	2	raw_concat
1	53	1A	2	raw_concat
2	143	1A	2	raw_concat
3	181	1A	2	raw_concat
4	367	1A	2	raw_concat
5	552	1A	2	raw_concat
6	758	1A	2	raw_concat
7	1292	1A	2	raw_concat
8	2001	1A	2	raw_concat
9	3257	1A	2	raw_concat
10	5525	1A	2	raw_concat
11	9175	1A	2	raw_concat
12	14972	1A	2	raw_concat
13	23972	1A	2	raw_concat
14	38301	1A	2	raw_concat
15	58484	1A	2	raw_concat
16	88245	1A	2	raw_concat
17	130966	1A	2	raw_concat
18	197009	1A	2	raw_concat
19	298342	1A	2	raw_concat
20	457397	1A	2	raw_concat
21	717912	1A	2	raw_concat
22	1140887	1A	2	raw_concat
23	1829958	1A	2	raw_concat
24	2928135	1A	2	raw_concat
25	4646453	1A	2	raw_concat
26	6708365	1A	2	raw_concat
27	8112903	1A	2	raw_concat
28	7663958	1A	2	raw_concat
29	5724023	1A	2	raw_concat
30	5396660	1A	2	raw_concat
31	5275425	1A	2	raw_concat
32	5137854	1A	2	raw_concat
33	4831165	1A	2	raw_concat
34	4429384	1A	2	raw_concat
35	3844895	1A	2	raw_concat
36	3080163	1A	2	raw_concat
37	2298055	1A	2	raw_concat
38	1624941	1A	2	raw_concat
39	1033561	1A	2	raw_concat
40	542395	1A	2	raw_concat
41	149863	1A	2	raw_concat
42	3893	1A	2	raw_concat
5	3	1C	1	raw_concat
6	11	1C	1	raw_concat
7	22	1C	1	raw_concat
8	44	1C	1	raw_concat
9	96	1C	1	raw_concat
10	160	1C	1	raw_concat
11	479	1C	1	raw_concat
12	969	1C	1	raw_concat
13	2520	1C	1	raw_concat
14	5513	1C	1	raw_concat
15	12045	1C	1	raw_concat
16	25953	1C	1	raw_concat
17	55982	1C	1	raw_concat
18	113989	1C	1	raw_concat
19	222432	1C	1	raw_concat
20	407168	1C	1	raw_concat
21	709717	1C	1	raw_concat
22	1162188	1C	1	raw_concat
23	1797125	1C	1	raw_concat
24	2611639	1C	1	raw_concat
25	3520039	1C	1	raw_concat
26	4333599	1C	1	raw_concat
27	4754402	1C	1	raw_concat
28	4459740	1C	1	raw_concat
29	3758366	1C	1	raw_concat
30	3167464	1C	1	raw_concat
31	2799495	1C	1	raw_concat
32	2583334	1C	1	raw_concat
33	2413648	1C	1	raw_concat
34	2214891	1C	1	raw_concat
35	1939431	1C	1	raw_concat
36	1594134	1C	1	raw_concat
37	1211797	1C	1	raw_concat
38	839352	1C	1	raw_concat
39	481868	1C	1	raw_concat
40	168117	1C	1	raw_concat
41	8852	1C	1	raw_concat
0	9	1C	2	raw_concat
1	30	1C	2	raw_concat
2	86	1C	2	raw_concat
3	153	1C	2	raw_concat
4	221	1C	2	raw_concat
5	336	1C	2	raw_concat
6	571	1C	2	raw_concat
7	902	1C	2	raw_concat
8	1465	1C	2	raw_concat
9	2400	1C	2	raw_concat
10	3722	1C	2	raw_concat
11	5823	1C	2	raw_concat
12	9025	1C	2	raw_concat
13	13606	1C	2	raw_concat
14	21190	1C	2	raw_concat
15	31880	1C	2	raw_concat
16	46422	1C	2	raw_concat
17	68208	1C	2	raw_concat
18	100666	1C	2	raw_concat
19	152248	1C	2	raw_concat
20	233629	1C	2	raw_concat
21	367400	1C	2	raw_concat
22	587199	1C	2	raw_concat
23	953358	1C	2	raw_concat
24	1558979	1C	2	raw_concat
25	2554702	1C	2	raw_concat
26	3877358	1C	2	raw_concat
27	4975998	1C	2	raw_concat
28	4980632	1C	2	raw_concat
29	3512042	1C	2	raw_concat
30	3273297	1C	2	raw_concat
31	3206603	1C	2	raw_concat
32	3137055	1C	2	raw_concat
33	2970673	1C	2	raw_concat
34	2744588	1C	2	raw_concat
35	2405407	1C	2	raw_concat
36	1946492	1C	2	raw_concat
37	1460947	1C	2	raw_concat
38	1038666	1C	2	raw_concat
39	669836	1C	2	raw_concat
40	357852	1C	2	raw_concat
41	102011	1C	2	raw_concat
42	2897	1C	2	raw_concat
4	1	2A	1	raw_concat
5	1	2A	1	raw_concat
6	26	2A	1	raw_concat
7	37	2A	1	raw_concat
8	82	2A	1	raw_concat
9	139	2A	1	raw_concat
10	266	2A	1	raw_concat
11	660	2A	1	raw_concat
12	1593	2A	1	raw_concat
13	3677	2A	1	raw_concat
14	8158	2A	1	raw_concat
15	18298	2A	1	raw_concat
16	39949	2A	1	raw_concat
17	85080	2A	1	raw_concat
18	174757	2A	1	raw_concat
19	339130	2A	1	raw_concat
20	624221	2A	1	raw_concat
21	1082350	2A	1	raw_concat
22	1774218	2A	1	raw_concat
23	2736551	2A	1	raw_concat
24	3949541	2A	1	raw_concat
25	5304244	2A	1	raw_concat
26	6496993	2A	1	raw_concat
27	7084035	2A	1	raw_concat
28	6630824	2A	1	raw_concat
29	5597481	2A	1	raw_concat
30	4743694	2A	1	raw_concat
31	4205275	2A	1	raw_concat
32	3888921	2A	1	raw_concat
33	3638316	2A	1	raw_concat
34	3337671	2A	1	raw_concat
35	2919822	2A	1	raw_concat
36	2397909	2A	1	raw_concat
37	1816494	2A	1	raw_concat
38	1255261	2A	1	raw_concat
39	717112	2A	1	raw_concat
40	245776	2A	1	raw_concat
41	12436	2A	1	raw_concat
0	6	2A	2	raw_concat
1	46	2A	2	raw_concat
2	140	2A	2	raw_concat
3	205	2A	2	raw_concat
4	332	2A	2	raw_concat
5	571	2A	2	raw_concat
6	806	2A	2	raw_concat
7	1234	2A	2	raw_concat
8	1983	2A	2	raw_concat
