name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads	sample
Viruses	10239	D	26975	2	26977	0.81677	5_28_I
Bacteria	2	D	5960	47	6007	0.18187	5_28_I
Eukaryota	2759	D	42	0	42	0.00127	5_28_I
Archaea	2157	D	2	0	2	6e-5	5_28_I
Viruses	10239	D	1428	0	1428	0.74414	5_13_A_S1
Bacteria	2	D	464	26	490	0.25534	5_13_A_S1
Viruses	10239	D	1086	0	1086	0.76318	5_13_C_S2
Bacteria	2	D	306	27	333	0.23401	5_13_C_S2
Eukaryota	2759	D	3	0	3	0.00211	5_13_C_S2
Bacteria	2	D	314969	648	315617	0.96657	S_3_6_30_MOS
Eukaryota	2759	D	333	0	333	0.00102	S_3_6_30_MOS
Archaea	2157	D	32	0	32	1e-4	S_3_6_30_MOS
Viruses	10239	D	10546	2	10548	0.0323	S_3_6_30_MOS
Viruses	10239	D	11111	1	11112	0.81169	5_19_A_S4
Bacteria	2	D	2513	19	2532	0.18495	5_19_A_S4
Eukaryota	2759	D	41	0	41	0.00299	5_19_A_S4
Archaea	2157	D	4	0	4	2.9e-4	5_19_A_S4
Viruses	10239	D	25125	1	25126	0.97969	5_19_F_S3
Bacteria	2	D	492	22	514	0.02004	5_19_F_S3
Eukaryota	2759	D	6	0	6	2.3e-4	5_19_F_S3
Viruses	10239	D	20174	2	20176	0.8001	5_28_E
Bacteria	2	D	4922	37	4959	0.19665	5_28_E
Eukaryota	2759	D	69	1	70	0.00278	5_28_E
Archaea	2157	D	11	0	11	4.4e-4	5_28_E
Viruses	10239	D	34178	1	34179	0.90967	6_09_N1
Bacteria	2	D	3307	33	3340	0.08889	6_09_N1
Eukaryota	2759	D	43	0	43	0.00114	6_09_N1
Archaea	2157	D	9	0	9	2.4e-4	6_09_N1
Bacteria	2	D	67404	123	67527	0.76001	MR_1_7_1_MOS
Eukaryota	2759	D	425	2	427	0.00481	MR_1_7_1_MOS
Archaea	2157	D	10	0	10	1.1e-4	MR_1_7_1_MOS
Viruses	10239	D	20884	0	20884	0.23505	MR_1_7_1_MOS
Viruses	10239	D	29046	0	29046	0.90999	6_09_S1
Bacteria	2	D	2821	25	2846	0.08916	6_09_S1
Eukaryota	2759	D	18	0	18	5.6e-4	6_09_S1
Archaea	2157	D	8	0	8	2.5e-4	6_09_S1
Bacteria	2	D	105323	229	105552	0.88756	S_3_6_30_COL
Eukaryota	2759	D	316	1	317	0.00267	S_3_6_30_COL
Archaea	2157	D	21	0	21	1.8e-4	S_3_6_30_COL
Viruses	10239	D	13033	0	13033	0.10959	S_3_6_30_COL
Bacteria	2	D	6132722	5372	6138094	0.98571	MR2
Eukaryota	2759	D	5633	18	5651	9.1e-4	MR2
Archaea	2157	D	2134	1	2135	3.4e-4	MR2
Viruses	10239	D	81185	31	81216	0.01304	MR2
Bacteria	2	D	11148252	8052	11156304	0.99179	S68-1
Eukaryota	2759	D	4337	13	4350	3.9e-4	S68-1
Archaea	2157	D	2639	0	2639	2.3e-4	S68-1
Viruses	10239	D	85305	38	85343	0.00759	S68-1
Bacteria	2	D	2888243	4800	2893043	0.94028	630-S1
Eukaryota	2759	D	9444	48	9492	0.00309	630-S1
Archaea	2157	D	1849	1	1850	6e-4	630-S1
Viruses	10239	D	172142	266	172408	0.05603	630-S1
Bacteria	2	D	6847940	6575	6854515	0.98591	MR3
Eukaryota	2759	D	5778	18	5796	8.3e-4	MR3
Archaea	2157	D	2578	1	2579	3.7e-4	MR3
Viruses	10239	D	89512	49	89561	0.01288	MR3
Bacteria	2	D	12231694	7421	12239115	0.99227	630-S2
Archaea	2157	D	4218	1	4219	3.4e-4	630-S2
Eukaryota	2759	D	4168	11	4179	3.4e-4	630-S2
Viruses	10239	D	86851	85	86936	0.00705	630-S2
Bacteria	2	D	9566944	7982	9574926	0.98268	630-SF1
Eukaryota	2759	D	9234	38	9272	9.5e-4	630-SF1
Archaea	2157	D	5527	2	5529	5.7e-4	630-SF1
Viruses	10239	D	153842	69	153911	0.0158	630-SF1
Bacteria	2	D	6251658	8648	6260306	0.97092	630-N
Eukaryota	2759	D	3314	15	3329	5.2e-4	630-N
Archaea	2157	D	1978	1	1979	3.1e-4	630-N
Viruses	10239	D	181855	357	182212	0.02826	630-N
