position	pc_adapters	sample	adapter	read_pair	stage
1	0	5	polya	2	ribo_initial
2	0	5	polya	2	ribo_initial
3	0	5	polya	2	ribo_initial
4	0	5	polya	2	ribo_initial
5	0	5	polya	2	ribo_initial
6	0	5	polya	2	ribo_initial
7	0	5	polya	2	ribo_initial
8	0	5	polya	2	ribo_initial
9	0	5	polya	2	ribo_initial
10	0	5	polya	2	ribo_initial
11	0	5	polya	2	ribo_initial
12	0	5	polya	2	ribo_initial
13	0	5	polya	2	ribo_initial
14	0	5	polya	2	ribo_initial
15	0	5	polya	2	ribo_initial
16	0	5	polya	2	ribo_initial
17	0	5	polya	2	ribo_initial
18	0	5	polya	2	ribo_initial
19	0	5	polya	2	ribo_initial
20	0	5	polya	2	ribo_initial
21	0	5	polya	2	ribo_initial
22	0	5	polya	2	ribo_initial
23	0	5	polya	2	ribo_initial
24	0	5	polya	2	ribo_initial
25	0	5	polya	2	ribo_initial
26	0	5	polya	2	ribo_initial
27	0	5	polya	2	ribo_initial
28	0	5	polya	2	ribo_initial
29	0	5	polya	2	ribo_initial
30	0	5	polya	2	ribo_initial
31	0	5	polya	2	ribo_initial
32	0	5	polya	2	ribo_initial
33	0	5	polya	2	ribo_initial
34	0	5	polya	2	ribo_initial
35	0	5	polya	2	ribo_initial
36	0	5	polya	2	ribo_initial
37	0	5	polya	2	ribo_initial
38	0	5	polya	2	ribo_initial
39	0	5	polya	2	ribo_initial
40	0	5	polya	2	ribo_initial
41	0	5	polya	2	ribo_initial
42	0	5	polya	2	ribo_initial
43	0.14498006524102935	5	polya	2	ribo_initial
44	0.14498006524102935	5	polya	2	ribo_initial
45	0.14498006524102935	5	polya	2	ribo_initial
46	0.14498006524102935	5	polya	2	ribo_initial
47	0.14498006524102935	5	polya	2	ribo_initial
48	0.14498006524102935	5	polya	2	ribo_initial
49	0.14498006524102935	5	polya	2	ribo_initial
50	0.14498006524102935	5	polya	2	ribo_initial
51	0.14498006524102935	5	polya	2	ribo_initial
52	0.14498006524102935	5	polya	2	ribo_initial
53	0.14498006524102935	5	polya	2	ribo_initial
54	0.14498006524102935	5	polya	2	ribo_initial
55	0.14498006524102935	5	polya	2	ribo_initial
56	0.14498006524102935	5	polya	2	ribo_initial
57	0.14498006524102935	5	polya	2	ribo_initial
58	0.14498006524102935	5	polya	2	ribo_initial
59	0.14498006524102935	5	polya	2	ribo_initial
60	0.14498006524102935	5	polya	2	ribo_initial
61	0.14498006524102935	5	polya	2	ribo_initial
62	0.14498006524102935	5	polya	2	ribo_initial
63	0.14498006524102935	5	polya	2	ribo_initial
64	0.14498006524102935	5	polya	2	ribo_initial
1	2.0467477178762945e-4	MR	polya	1	ribo_initial
2	2.0467477178762945e-4	MR	polya	1	ribo_initial
