position	mean_phred_score	sample	read_pair	stage
1	31.48041304704147	5	1	ribo_initial
2	31.189804950008195	5	1	ribo_initial
3	31.276512047205376	5	1	ribo_initial
4	31.402884772988035	5	1	ribo_initial
5	31.209637764300933	5	1	ribo_initial
6	34.19521389936076	5	1	ribo_initial
7	34.017046385838384	5	1	ribo_initial
8	33.99606621865268	5	1	ribo_initial
9	34.14981150631044	5	1	ribo_initial
10	34.06318636289133	5	1	ribo_initial
12	34.059416489100144	5	1	ribo_initial
14	33.90001639075561	5	1	ribo_initial
16	33.83148601008703	5	1	ribo_initial
18	33.96877049180328	5	1	ribo_initial
20	33.86072153725819	5	1	ribo_initial
22	33.82623882899358	5	1	ribo_initial
24	33.6316645896269	5	1	ribo_initial
26	33.4560603610754	5	1	ribo_initial
28	33.35184885340729	5	1	ribo_initial
30	33.387191994134454	5	1	ribo_initial
32	33.27414405261618	5	1	ribo_initial
34	33.33673221992089	5	1	ribo_initial
36	33.27158281531224	5	1	ribo_initial
38	33.10164528504829	5	1	ribo_initial
40	33.22212845545866	5	1	ribo_initial
42	33.11258801607629	5	1	ribo_initial
44	33.0470285514063	5	1	ribo_initial
46	33.04280776024605	5	1	ribo_initial
48	32.99845687543092	5	1	ribo_initial
50	33.02338877083642	5	1	ribo_initial
52	33.08616863412081	5	1	ribo_initial
54	32.974494407798694	5	1	ribo_initial
56	32.953954473256054	5	1	ribo_initial
58	32.91982030302058	5	1	ribo_initial
60	32.94395806096449	5	1	ribo_initial
62	32.8951863136447	5	1	ribo_initial
64	33.019748662610404	5	1	ribo_initial
66	33.08923804705255	5	1	ribo_initial
68	33.31172690909516	5	1	ribo_initial
70	33.75012127443097	5	1	ribo_initial
72	34.27585474367784	5	1	ribo_initial
74	34.327434605693746	5	1	ribo_initial
76	34.110543130990415	5	1	ribo_initial
1	31.73774791017866	5	2	ribo_initial
2	31.310113096213737	5	2	ribo_initial
3	31.093099491886576	5	2	ribo_initial
4	31.233240452384855	5	2	ribo_initial
5	30.76643173250287	5	2	ribo_initial
6	34.01524340272086	5	2	ribo_initial
7	33.90526143255204	5	2	ribo_initial
8	33.837731519423045	5	2	ribo_initial
9	33.947221766923455	5	2	ribo_initial
10	33.842320930994916	5	2	ribo_initial
11	33.87379118177348	5	2	ribo_initial
12	33.90247500409769	5	2	ribo_initial
13	33.855761350598264	5	2	ribo_initial
14	33.681035895754796	5	2	ribo_initial
15	33.7062776594001	5	2	ribo_initial
16	33.79773807572529	5	2	ribo_initial
17	33.64366497295525	5	2	ribo_initial
18	33.738239632847076	5	2	ribo_initial
19	33.78101950499918	5	2	ribo_initial
20	33.59252581544009	5	2	ribo_initial
21	33.56679232912637	5	2	ribo_initial
22	33.669945892769306	5	2	ribo_initial
23	33.61807149885208	5	2	ribo_initial
24	33.66508118746925	5	2	ribo_initial
25	33.627235438884334	5	2	ribo_initial
26	33.62534887538992	5	2	ribo_initial
27	33.455038632253824	5	2	ribo_initial
28	33.35911784068466	5	2	ribo_initial
29	33.552128010557574	5	2	ribo_initial
30	33.28903928689336	5	2	ribo_initial
31	33.44060796299356	5	2	ribo_initial
32	33.492218543046356	5	2	ribo_initial
33	33.35463576158941	5	2	ribo_initial
34	33.462048392442824	5	2	ribo_initial
35	33.232658479920346	5	2	ribo_initial
36	33.35126162018592	5	2	ribo_initial
37	33.246095048188764	5	2	ribo_initial
38	33.267809587217045	5	2	ribo_initial
39	33.19389287502086	5	2	ribo_initial
40	33.29543554589534	5	2	ribo_initial
41	33.27638444706278	5	2	ribo_initial
42	33.21523906065214	5	2	ribo_initial
43	33.27214116050221	5	2	ribo_initial
44	33.03362200713194	5	2	ribo_initial
45	33.107409925220935	5	2	ribo_initial
46	33.00051107325383	5	2	ribo_initial
47	33.09911293074036	5	2	ribo_initial
48	33.03587290741373	5	2	ribo_initial
49	32.92765520779887	5	2	ribo_initial
50	32.98135158254919	5	2	ribo_initial
51	33.1040452519712	5	2	ribo_initial
52	32.96681568088033	5	2	ribo_initial
53	33.02086926526388	5	2	ribo_initial
54	32.925112417848496	5	2	ribo_initial
55	32.970144072209685	5	2	ribo_initial
56	33.12421711899791	5	2	ribo_initial
57	32.89949398010818	5	2	ribo_initial
58	32.901156677181916	5	2	ribo_initial
59	32.93159838227537	5	2	ribo_initial
60	32.88563360395341	5	2	ribo_initial
61	33.01758124667022	5	2	ribo_initial
62	33.052735073292816	5	2	ribo_initial
63	33.14082221420844	5	2	ribo_initial
64	33.158970615075745	5	2	ribo_initial
65	33.31674041297935	5	2	ribo_initial
66	33.46593036315986	5	2	ribo_initial
67	33.50295069484104	5	2	ribo_initial
68	33.701805474665115	5	2	ribo_initial
69	33.787612387612384	5	2	ribo_initial
70	33.971143865476435	5	2	ribo_initial
71	34.27055531640121	5	2	ribo_initial
72	34.48899163364157	5	2	ribo_initial
73	34.58550987962753	5	2	ribo_initial
74	34.43059936908517	5	2	ribo_initial
75	34.76030437539632	5	2	ribo_initial
1	31.440376948169625	5	1	ribo_initial
2	31.34650235592606	5	1	ribo_initial
3	31.369699166364626	5	1	ribo_initial
4	31.514679231605655	5	1	ribo_initial
5	31.312069590431317	5	1	ribo_initial
6	34.49909387459224	5	1	ribo_initial
7	34.37513591881116	5	1	ribo_initial
8	34.517941283073576	5	1	ribo_initial
9	34.468648060891624	5	1	ribo_initial
10	34.56795940558173	5	1	ribo_initial
12	34.418629938383475	5	1	ribo_initial
14	34.403225806451616	5	1	ribo_initial
16	34.312853497328675	5	1	ribo_initial
18	34.359400487837036	5	1	ribo_initial
20	34.286727272727276	5	1	ribo_initial
