mean_phred_score	n_sequences	sample	read_pair	stage
25	92	5	1	ribo_initial
26	295	5	1	ribo_initial
27	391	5	1	ribo_initial
28	381	5	1	ribo_initial
29	336	5	1	ribo_initial
30	267	5	1	ribo_initial
31	163	5	1	ribo_initial
32	112	5	1	ribo_initial
33	132	5	1	ribo_initial
34	290	5	1	ribo_initial
35	3642	5	1	ribo_initial
25	131	5	2	ribo_initial
26	366	5	2	ribo_initial
27	365	5	2	ribo_initial
28	378	5	2	ribo_initial
29	276	5	2	ribo_initial
30	202	5	2	ribo_initial
31	162	5	2	ribo_initial
32	136	5	2	ribo_initial
33	111	5	2	ribo_initial
34	266	5	2	ribo_initial
35	3708	5	2	ribo_initial
25	26	5	1	ribo_initial
26	88	5	1	ribo_initial
27	126	5	1	ribo_initial
28	136	5	1	ribo_initial
29	112	5	1	ribo_initial
30	107	5	1	ribo_initial
31	94	5	1	ribo_initial
32	69	5	1	ribo_initial
33	78	5	1	ribo_initial
34	143	5	1	ribo_initial
35	1780	5	1	ribo_initial
25	38	5	2	ribo_initial
26	112	5	2	ribo_initial
27	122	5	2	ribo_initial
28	130	5	2	ribo_initial
29	101	5	2	ribo_initial
30	79	5	2	ribo_initial
31	87	5	2	ribo_initial
32	70	5	2	ribo_initial
33	82	5	2	ribo_initial
34	161	5	2	ribo_initial
35	1777	5	2	ribo_initial
25	528	5	1	ribo_initial
26	1584	5	1	ribo_initial
27	2255	5	1	ribo_initial
28	2583	5	1	ribo_initial
29	2469	5	1	ribo_initial
30	2041	5	1	ribo_initial
31	1609	5	1	ribo_initial
32	1317	5	1	ribo_initial
33	1366	5	1	ribo_initial
34	2732	5	1	ribo_initial
35	48564	5	1	ribo_initial
25	612	5	2	ribo_initial
26	1753	5	2	ribo_initial
27	2030	5	2	ribo_initial
28	2166	5	2	ribo_initial
29	2033	5	2	ribo_initial
30	1808	5	2	ribo_initial
31	1517	5	2	ribo_initial
32	1360	5	2	ribo_initial
33	1439	5	2	ribo_initial
34	2704	5	2	ribo_initial
35	49626	5	2	ribo_initial
25	387	5	1	ribo_initial
26	1028	5	1	ribo_initial
27	1424	5	1	ribo_initial
28	1465	5	1	ribo_initial
29	1342	5	1	ribo_initial
30	1089	5	1	ribo_initial
31	954	5	1	ribo_initial
32	931	5	1	ribo_initial
33	1258	5	1	ribo_initial
34	2852	5	1	ribo_initial
35	24948	5	1	ribo_initial
25	621	5	2	ribo_initial
26	1398	5	2	ribo_initial
27	1611	5	2	ribo_initial
28	1350	5	2	ribo_initial
29	1104	5	2	ribo_initial
30	1038	5	2	ribo_initial
31	887	5	2	ribo_initial
32	940	5	2	ribo_initial
33	1352	5	2	ribo_initial
34	3073	5	2	ribo_initial
35	24303	5	2	ribo_initial
36	1	5	2	ribo_initial
25	1341	5	1	ribo_initial
