sample	classification	n_reads	p_reads
5_13_A_S1	Filtered	2291	NA
5_13_A_S1	Duplicate	2487	NA
5_13_A_S1	Ribosomal	32775	NA
5_13_A_S1	Unassigned	1471	NA
5_13_A_S1	Bacterial	490	NA
5_13_A_S1	Archaeal	NA	NA
5_13_A_S1	Viral	1428	NA
5_13_A_S1	Human	NA	NA
5_13_A_S1	Other_filtered	11	NA
5_13_C_S2	Filtered	751	NA
5_13_C_S2	Duplicate	485	NA
5_13_C_S2	Ribosomal	8711	NA
5_13_C_S2	Unassigned	556	NA
5_13_C_S2	Bacterial	333	NA
5_13_C_S2	Archaeal	NA	NA
5_13_C_S2	Viral	1086	NA
5_13_C_S2	Human	150	NA
5_13_C_S2	Other_filtered	6	NA
5_19_A_S4	Filtered	10847	0.06316347268079357
5_19_A_S4	Duplicate	12379	0.07208450523790391
5_19_A_S4	Ribosomal	86758	0.5052029651369309
5_19_A_S4	Unassigned	47441	0.27625502972707
5_19_A_S4	Bacterial	2532	0.014744160858096187
5_19_A_S4	Archaeal	4	2.3292513203943423e-5
5_19_A_S4	Viral	11112	0.06470660168055482
5_19_A_S4	Human	553	0.0032201899504451783
5_19_A_S4	Other_filtered	103	5.997822150015431e-4
5_19_F_S3	Filtered	10483	NA
5_19_F_S3	Duplicate	10948	NA
5_19_F_S3	Ribosomal	115912	NA
5_19_F_S3	Unassigned	3915	NA
5_19_F_S3	Bacterial	514	NA
5_19_F_S3	Archaeal	NA	NA
5_19_F_S3	Viral	25126	NA
5_19_F_S3	Human	476	NA
5_19_F_S3	Other_filtered	34	NA
5_28_E	Filtered	23045	0.04564704111303907
5_28_E	Duplicate	28215	0.05588766608827934
5_28_E	Ribosomal	154658	0.3063432451490734
5_28_E	Unassigned	272196	0.5391599914430367
5_28_E	Bacterial	4959	0.009822680706424853
5_28_E	Archaeal	11	2.1788563777106954e-5
5_28_E	Viral	20176	0.03996418752426454
5_28_E	Human	1339	0.002652262445231474
5_28_E	Other_filtered	253	5.0113696687346e-4
5_28_I	Filtered	38615	0.06184683638576794
5_28_I	Duplicate	48529	0.07772536897487847
5_28_I	Ribosomal	269604	0.4318051139958198
5_28_I	Unassigned	232986	0.37315672723487064
5_28_I	Bacterial	6007	0.009620974910509077
5_28_I	Archaeal	2	3.203254506578684e-6
5_28_I	Viral	26977	0.043207098411986576
5_28_I	Human	1311	0.002099733329062327
5_28_I	Other_filtered	334	5.349435025986402e-4
630-N	Filtered	779820	0.021401899917424486
630-N	Duplicate	8282337	0.22730597773381264
630-N	Ribosomal	215383	0.005911114628907489
630-N	Unassigned	20469888	0.5617892517464139
630-N	Bacterial	6260306	0.17181201105954197
630-N	Archaeal	1979	5.431299522528668e-5
630-N	Viral	182212	0.005000747592718513
630-N	Human	228724	0.006277253926179116
630-N	Other_filtered	16303	4.4743039977657845e-4
630-S1	Filtered	925013	0.023253473731058176
630-S1	Duplicate	21656842	0.5444213287215178
630-S1	Ribosomal	221657	0.005572132744950786
630-S1	Unassigned	12788940	0.3214952442161128
630-S1	Bacterial	2893043	0.07272686913948424
630-S1	Archaeal	1850	4.650629386014859e-5
630-S1	Viral	172408	0.004334084925319188
630-S1	Human	1099992	0.027652189835574357
630-S1	Other_filtered	19817	4.981703921224673e-4
630-S2	Filtered	962805	0.019848133704811175
630-S2	Duplicate	19156463	0.3949086667967742
630-S2	Ribosomal	1704901	0.035146372319905146
630-S2	Unassigned	13753681	0.2835308285907542
630-S2	Bacterial	12239115	0.2523081942330586
630-S2	Archaeal	4219	8.697428461692486e-5
630-S2	Viral	86936	0.0017921773897741123
630-S2	Human	554713	0.01143535585273957
630-S2	Other_filtered	45758	9.432968275660696e-4
630-SF1	Filtered	926567	0.019350467746240965
630-SF1	Duplicate	13165866	0.2749565496983279
630-SF1	Ribosomal	963569	0.020123219212186124
630-SF1	Unassigned	22547395	0.4708808318332671
630-SF1	Bacterial	9574926	0.19996319395752712
630-SF1	Archaeal	5529	1.1546788971436097e-4
630-SF1	Viral	153911	0.0032142843866570826
630-SF1	Human	495179	0.010341340958738931
630-SF1	Other_filtered	50500	0.0010546443173404284
6_09_N1	Filtered	24904	0.05300606811356376
6_09_N1	Duplicate	43832	0.09329272315907992
6_09_N1	Ribosomal	275637	0.5866701572686465
6_09_N1	Unassigned	85514	0.182009352259207
6_09_N1	Bacterial	3340	0.007108908910187237
6_09_N1	Archaeal	9	1.915574257236082e-5
6_09_N1	Viral	34179	0.07274712504230227
6_09_N1	Human	2194	0.0046697443559732925
6_09_N1	Other_filtered	224	4.76765148467647e-4
6_09_S1	Filtered	30427	0.0638004315288661
6_09_S1	Duplicate	56450	0.11836639694365172
6_09_S1	Ribosomal	305008	0.6395517803186771
6_09_S1	Unassigned	51521	0.10803109188545404
6_09_S1	Bacterial	2846	0.005967595495157357
6_09_S1	Archaeal	8	1.6774688672262424e-5
6_09_S1	Viral	29046	0.060904700896816794
6_09_S1	Human	1334	0.002797179336099759
6_09_S1	Other_filtered	269	5.64048906604824e-4
MR2	Filtered	890583	0.023070408807106278
MR2	Duplicate	19910292	0.5157728992231579
MR2	Ribosomal	925621	0.023978062539305737
MR2	Unassigned	9998120	0.2589996841423039
MR2	Bacterial	6138094	0.15900633391435295
MR2	Archaeal	2135	5.530683024846859e-5
MR2	Viral	81216	0.0021038873655548594
MR2	Human	626798	0.01623710097708647
MR2	Other_filtered	29968	7.763162008834223e-4
MR3	Filtered	867067	0.021025343498952062
MR3	Duplicate	19622792	0.4758293675211818
MR3	Ribosomal	957804	0.023225607830387136
MR3	Unassigned	12248978	0.29702314810863156
MR3	Bacterial	6854515	0.16621383629375747
MR3	Archaeal	2579	6.25376826517413e-5
MR3	Viral	89561	0.0021717477301173333
MR3	Human	564188	0.013680887979806367
MR3	Other_filtered	31652	7.675233545145078e-4
MR_1_7_1_MOS	Filtered	299114	0.10343172546196304
MR_1_7_1_MOS	Duplicate	189269	0.06544802064249845
MR_1_7_1_MOS	Ribosomal	2146598	0.7422799835955487
MR_1_7_1_MOS	Unassigned	163849	0.05665794575050711
MR_1_7_1_MOS	Bacterial	67527	0.02335040862437057
MR_1_7_1_MOS	Archaeal	10	3.4579366215544256e-6
MR_1_7_1_MOS	Viral	20884	0.007221554840454262
MR_1_7_1_MOS	Human	4108	0.001420520364134558
MR_1_7_1_MOS	Other_filtered	539	1.8638278390178354e-4
S68-1	Filtered	793458	0.01745085603014084
S68-1	Duplicate	16392965	0.36053738461536433
S68-1	Ribosomal	1862926	0.04097211625669683
S68-1	Unassigned	14605999	0.32123588863604763
S68-1	Bacterial	11156304	0.2453652933519914
S68-1	Archaeal	2639	5.804063865200386e-5
S68-1	Viral	85343	0.0018769845488738027
S68-1	Human	534631	0.01175836479089029
S68-1	Other_filtered	33877	7.450711313429082e-4
S_3_6_30_COL	Filtered	234110	0.09730925021873903
S_3_6_30_COL	Duplicate	150275	0.0624627208432831
S_3_6_30_COL	Ribosomal	1733436	0.7205132521556965
S_3_6_30_COL	Unassigned	160874	0.06686825987650857
S_3_6_30_COL	Bacterial	105552	0.04387333295924284
S_3_6_30_COL	Archaeal	21	8.728778158103113e-6
S_3_6_30_COL	Viral	13033	0.005417245987359898
S_3_6_30_COL	Human	8181	0.003400482576735312
S_3_6_30_COL	Other_filtered	353	1.4672660427668565e-4
S_3_6_30_MOS	Filtered	79524	0.08340054052410073
S_3_6_30_MOS	Duplicate	55407	0.05810791394822756
S_3_6_30_MOS	Ribosomal	114181	0.11974695837209327
S_3_6_30_MOS	Unassigned	368618	0.38658694792657516
S_3_6_30_MOS	Bacterial	315617	0.3310023187791748
S_3_6_30_MOS	Archaeal	32	3.355989760036245e-5
S_3_6_30_MOS	Viral	10548	0.011062181246519472
S_3_6_30_MOS	Human	9111	0.009555132094903196
S_3_6_30_MOS	Other_filtered	481	5.044472108054481e-4
