taxid	name	parent_taxid	rank
10242	Orthopoxvirus	10241	genus
10257	Parapoxvirus	10241	genus
10260	Avipoxvirus	10241	genus
10265	Capripoxvirus	10241	genus
10270	Leporipoxvirus	10241	genus
10275	Suipoxvirus	10241	genus
10278	Molluscipoxvirus	10241	genus
10282	Yatapoxvirus	10241	genus
10294	Simplexvirus	10293	genus
10319	Varicellovirus	10293	genus
10358	Cytomegalovirus	10357	genus
10365	Muromegalovirus	10357	genus
10375	Lymphocryptovirus	10374	genus
10379	Rhadinovirus	10374	genus
10473	Plasmavirus	10472	genus
10491	Chloriridovirus	2017757	genus
10492	Ranavirus	2017756	genus
10509	Mastadenovirus	10508	genus
10552	Aviadenovirus	10508	genus
10556	Rhizidiovirus	10239	genus
10639	Caulimovirus	186534	genus
10660	Corticovirus	10659	genus
10842	Microvirus	117574	genus
10852	Spiromicrovirus	686565	genus
10861	Inovirus	10860	genus
10875	Plectrovirus	2732098	genus
10878	Cystovirus	10877	genus
10911	Coltivirus	2946187	genus
10979	Aquareovirus	2946187	genus
11007	Totivirus	11006	genus
11011	Giardiavirus	11006	genus
11040	Rubivirus	2560066	genus
11095	Pestivirus	11050	genus
11155	Torovirus	694017	genus
11245	Pneumovirus	2133750	genus
11271	Vesiculovirus	2842407	genus
11286	Lyssavirus	2842407	genus
11618	Arenavirus	208898	genus
11985	Carmovirus	137555	genus
12051	Marafivirus	249184	genus
12091	Hepatovirus	2946633	genus
12141	Tombusvirus	2560077	genus
12148	Tymovirus	249184	genus
12160	Closterovirus	69973	genus
12163	Carlavirus	1914297	genus
12174	Capillovirus	1914298	genus
12176	Potexvirus	675064	genus
12195	Potyvirus	39729	genus
12258	Comovirus	675075	genus
12269	Fabavirus	675075	genus
12270	Nepovirus	675075	genus
12291	Furovirus	675071	genus
12293	Tobravirus	675071	genus
12300	Bromovirus	39740	genus
12304	Cucumovirus	39740	genus
12316	Ilarvirus	39740	genus
12326	Hordeivirus	675071	genus
12329	Tenuivirus	1980418	genus
32613	Ephemerovirus	2842407	genus
39725	Circovirus	39724	genus
39730	Rymovirus	39729	genus
39731	Bymovirus	39729	genus
39734	Umbravirus	2560072	genus
39739	Machlomovirus	2560077	genus
39742	Barnavirus	39741	genus
39744	Rubulavirus	2560080	genus
39749	Hypovirus	39748	genus
39750	Aquabirnavirus	10993	genus
39751	Avibirnavirus	10993	genus
39752	Entomobirnavirus	10993	genus
39755	Leishmaniavirus	11006	genus
39759	Deltavirus	2842321	genus
39760	Idaeovirus	2732890	genus
40272	Roseolovirus	10357	genus
40274	Chlamydiamicrovirus	686565	genus
40276	Trichovirus	1914298	genus
43680	Ascovirus	43682	genus
67753	Crinivirus	69973	genus
85650	Betatetravirus	1283207	genus
85651	Omegatetravirus	1283207	genus
88129	Ophiovirus	568247	genus
95337	Vesivirus	11974	genus
95339	Lagovirus	11974	genus
100953	Atadenovirus	10508	genus
104394	Picobirnavirus	585893	genus
104766	Nanovirus	251095	genus
118139	Teschovirus	2946627	genus
119492	Pecluvirus	675071	genus
129725	Foveavirus	1914297	genus
129876	Siadenovirus	10508	genus
136466	Brevidensovirus	40120	genus
137757	Ipomovirus	39729	genus
138954	Parechovirus	2946640	genus
140295	Varicosavirus	2842408	genus
140568	Allexivirus	675064	genus
143901	Benyvirus	1513233	genus
143919	Betanodavirus	12283	genus
143920	Alphanodavirus	12283	genus
146761	Avenavirus	2560077	genus
147262	Hostuviroid	185751	genus
153136	Deltaretrovirus	327045	genus
153137	Epsilonretrovirus	327045	genus
154322	Oleavirus	39740	genus
156207	Tritimovirus	39729	genus
156208	Macluravirus	39729	genus
162387	Metapneumovirus	11244	genus
181083	Chlorovirus	10501	genus
181084	Prasinovirus	10501	genus
181085	Phaeovirus	10501	genus
181086	Prymnesiovirus	10501	genus
184751	Vitivirus	1914298	genus
185753	Pospiviroid	185751	genus
185754	Cocadviroid	185751	genus
185756	Apscaviroid	185751	genus
185757	Coleviroid	185751	genus
185758	Avsunviroid	185752	genus
185759	Pelamoviroid	185752	genus
186457	Aureusvirus	2560077	genus
186666	Errantivirus	186665	genus
186667	Metavirus	186665	genus
186672	Pseudovirus	186670	genus
186767	Narnavirus	186766	genus
186768	Mitovirus	2732892	genus
186778	Novirhabdovirus	2842415	genus
186783	Ourmiavirus	2560063	genus
186844	Panicovirus	2560077	genus
186886	Pomovirus	675071	genus
186938	Respirovirus	2560076	genus
187213	Rudivirus	157897	genus
194960	Kobuvirus	2946635	genus
194961	Erbovirus	2946627	genus
199703	Okavirus	2501984	genus
208294	Seadornavirus	2946186	genus
217160	Ampelovirus	69973	genus
220339	Topocuvirus	10811	genus
227307	Gyrovirus	687329	genus
249185	Maculavirus	249184	genus
249585	Whispovirus	196937	genus
249588	Mamastrovirus	39733	genus
249589	Avastrovirus	39733	genus
251096	Babuvirus	251095	genus
260963	Avulavirus	2560069	genus
260964	Henipavirus	2560076	genus
308906	Megalocytivirus	2017756	genus
310684	Cheravirus	675072	genus
311225	Idnoreovirus	2946187	genus
311227	Mycoreovirus	2946187	genus
315393	Mimivirus	549779	genus
324902	Marnavirus	324901	genus
324913	Isavirus	11308	genus
325454	Deltapapillomavirus	2169595	genus
325455	Gammapapillomavirus	2169595	genus
325456	Iotapapillomavirus	2169595	genus
325457	Kappapapillomavirus	2169595	genus
325458	Etapapillomavirus	2169595	genus
325459	Epsilonpapillomavirus	2169595	genus
325461	Omikronpapillomavirus	2169595	genus
325462	Lambdapapillomavirus	2169595	genus
333750	Alphapapillomavirus	2169595	genus
333918	Zetapapillomavirus	2169595	genus
333921	Xipapillomavirus	2169595	genus
333922	Betapapillomavirus	2169595	genus
334202	Mupapillomavirus	2169595	genus
334211	Pipapillomavirus	2169595	genus
334213	Thetapapillomavirus	2169595	genus
341939	Alphalipothrixvirus	10477	genus
341940	Betalipothrixvirus	10477	genus
341941	Gammalipothrixvirus	10477	genus
346673	Coccolithovirus	10501	genus
352476	Salterprovirus	2732902	genus
413970	Anulavirus	39740	genus
475861	Nupapillomavirus	2169595	genus
548686	Ostreavirus	548685	genus
548687	Macavirus	10374	genus
548688	Percavirus	10374	genus
548689	Proboscivirus	10357	genus
564640	Elaviroid	185752	genus
564643	Blosnavirus	10993	genus
564645	Globulovirus	292638	genus
