taxid	name
10242	Orthopoxvirus
10257	Parapoxvirus
10260	Avipoxvirus
10265	Capripoxvirus
10270	Leporipoxvirus
10275	Suipoxvirus
10278	Molluscipoxvirus
10282	Yatapoxvirus
10286	Betaentomopoxvirus
10294	Simplexvirus
10319	Varicellovirus
10358	Cytomegalovirus
10365	Muromegalovirus
10375	Lymphocryptovirus
10379	Rhadinovirus
10405	Orthohepadnavirus
10437	Avihepadnavirus
10473	Plasmavirus
10475	Alphafusellovirus
10487	Iridovirus
10491	Chloriridovirus
10492	Ranavirus
10494	Lymphocystivirus
10509	Mastadenovirus
10552	Aviadenovirus
10556	Rhizidiovirus
10639	Caulimovirus
10652	Badnavirus
10660	Corticovirus
10663	T4likevirus
10803	Dependoparvovirus
10806	Ambidensovirus
10812	Mastrevirus
10813	Curtovirus
10814	Begomovirus
10842	Microvirus
10852	Spiromicrovirus
10856	Bdellomicrovirus
10861	Inovirus
10875	Plectrovirus
10878	Cystovirus
10882	Orthoreovirus
10892	Orbivirus
10911	Coltivirus
10912	Rotavirus
10979	Aquareovirus
10981	Cypovirus
10985	Phytoreovirus
10988	Fijivirus
10992	Oryzavirus
11007	Totivirus
11011	Giardiavirus
11014	Chrysovirus
11019	Alphavirus
11040	Rubivirus
11051	Flavivirus
11095	Pestivirus
11102	Hepacivirus
11155	Torovirus
11229	Morbillivirus
11245	Pneumovirus
11271	Vesiculovirus
11286	Lyssavirus
11305	Cytorhabdovirus
11306	Nucleorhabdovirus
11572	Bunyavirus
11584	Phlebovirus
11618	Arenavirus
11640	Spumavirus
11646	Lentivirus
11985	Carmovirus
12036	Luteovirus
12050	Waikavirus
12051	Marafivirus
12057	Sequivirus
12059	Enterovirus
12091	Hepatovirus
12103	Cardiovirus
12109	Aphthovirus
12137	Sobemovirus
12141	Tombusvirus
12148	Tymovirus
12160	Closterovirus
12163	Carlavirus
12174	Capillovirus
12176	Potexvirus
12195	Potyvirus
12234	Tobamovirus
12258	Comovirus
12266	Dianthovirus
12269	Fabavirus
12270	Nepovirus
12289	Enamovirus
12291	Furovirus
12293	Tobravirus
12300	Bromovirus
12304	Cucumovirus
12316	Ilarvirus
12320	Alfamovirus
12326	Hordeivirus
12329	Tenuivirus
32613	Ephemerovirus
35323	Thogotovirus
39725	Circovirus
39730	Rymovirus
39731	Bymovirus
39734	Umbravirus
39739	Machlomovirus
39742	Barnavirus
39743	Asfivirus
39744	Rubulavirus
39749	Hypovirus
39750	Aquabirnavirus
39751	Avibirnavirus
39752	Entomobirnavirus
39755	Leishmaniavirus
39759	Deltavirus
39760	Idaeovirus
40121	Erythroparvovirus
40122	Iteradensovirus
40272	Roseolovirus
40274	Chlamydiamicrovirus
40276	Trichovirus
43680	Ascovirus
62098	Alphaentomopoxvirus
67753	Crinivirus
85650	Betatetravirus
85651	Omegatetravirus
88129	Ophiovirus
95337	Vesivirus
95339	Lagovirus
95341	Sapovirus
100953	Atadenovirus
104394	Picobirnavirus
104766	Nanovirus
110456	Podovirus
118139	Teschovirus
119164	Betaluteovirus
119492	Pecluvirus
129725	Foveavirus
129876	Siadenovirus
136466	Brevidensovirus
137757	Ipomovirus
138954	Parechovirus
140052	Betaretrovirus
140295	Varicosavirus
140410	P2likevirus
140568	Allexivirus
142786	Norovirus
143901	Benyvirus
143919	Betanodavirus
143920	Alphanodavirus
144051	Cripavirus
146761	Avenavirus
153057	Alpharetrovirus
153135	Gammaretrovirus
153136	Deltaretrovirus
153137	Epsilonretrovirus
154322	Oleavirus
156207	Tritimovirus
156208	Macluravirus
162387	Metapneumovirus
169682	Myohalovirus
172653	Ictalurivirus
180252	Mardivirus
180255	Iltovirus
181083	Chlorovirus
181084	Prasinovirus
181085	Phaeovirus
181086	Prymnesiovirus
184751	Vitivirus
186457	Aureusvirus
186458	Bornavirus
186532	C2likevirus
186533	Cavemovirus
186536	Ebolavirus
186537	Marburgvirus
186666	Errantivirus
186667	Metavirus
186672	Pseudovirus
186677	Hepevirus
186764	Fromanvirus
186765	Lambdalikevirus
186767	Narnavirus
186768	Mitovirus
186777	Mulikevirus
186778	Novirhabdovirus
186783	Ourmiavirus
186789	P1virus
186794	Lederbergvirus
186844	Panicovirus
186845	Petuvirus
186846	Phi29likevirus
186886	Pomovirus
186914	Psimunalikevirus
186938	Respirovirus
187212	Tungrovirus
187213	Rudivirus
187214	Soymovirus
187215	Alphaguttavirus
187217	T1virus
187218	T5likevirus
194960	Kobuvirus
194961	Erbovirus
197911	Alphainfluenzavirus
197912	Betainfluenzavirus
197913	Gammainfluenzavirus
199703	Okavirus
208294	Seadornavirus
215920	Sadwavirus
217160	Ampelovirus
220339	Topocuvirus
227307	Gyrovirus
232799	Iflavirus
249185	Maculavirus
249585	Whispovirus
249588	Mamastrovirus
249589	Avastrovirus
251096	Babuvirus
260963	Avulavirus
260964	Henipavirus
308906	Megalocytivirus
308911	N15likevirus
308912	Lomovskayavirus
310684	Cheravirus
310911	Amdoparvovirus
311225	Idnoreovirus
311227	Mycoreovirus
315393	Mimivirus
324902	Marnavirus
324913	Isavirus
325454	Deltapapillomavirus
325455	Gammapapillomavirus
325456	Iotapapillomavirus
325457	Kappapapillomavirus
325458	Etapapillomavirus
325459	Epsilonpapillomavirus
325461	Omikronpapillomavirus
325462	Lambdapapillomavirus
333750	Alphapapillomavirus
