position	pc_adapters	sample	adapter	read_pair	stage
1	4.2584127498921766e-6	ESC_7_20_20_unenriched	nextera_transposase_sequence	1	raw_concat
2	8.516825499784353e-6	ESC_7_20_20_unenriched	nextera_transposase_sequence	1	raw_concat
3	1.277523824967653e-5	ESC_7_20_20_unenriched	nextera_transposase_sequence	1	raw_concat
4	2.980888924924524e-5	ESC_7_20_20_unenriched	nextera_transposase_sequence	1	raw_concat
5	2.980888924924524e-5	ESC_7_20_20_unenriched	nextera_transposase_sequence	1	raw_concat
6	3.832571474902959e-5	ESC_7_20_20_unenriched	nextera_transposase_sequence	1	raw_concat
7	3.832571474902959e-5	ESC_7_20_20_unenriched	nextera_transposase_sequence	1	raw_concat
8	6.387619124838266e-5	ESC_7_20_20_unenriched	nextera_transposase_sequence	1	raw_concat
9	1.0646031874730442e-4	ESC_7_20_20_unenriched	nextera_transposase_sequence	1	raw_concat
10	9.325923922263869e-4	ESC_7_20_20_unenriched	nextera_transposase_sequence	1	raw_concat
12	0.0014521187477132323	ESC_7_20_20_unenriched	nextera_transposase_sequence	1	raw_concat
14	0.0018524095462030972	ESC_7_20_20_unenriched	nextera_transposase_sequence	1	raw_concat
16	0.002195211772569417	ESC_7_20_20_unenriched	nextera_transposase_sequence	1	raw_concat
18	0.002714738128056263	ESC_7_20_20_unenriched	nextera_transposase_sequence	1	raw_concat
20	0.004154081637519819	ESC_7_20_20_unenriched	nextera_transposase_sequence	1	raw_concat
22	0.006110822296095274	ESC_7_20_20_unenriched	nextera_transposase_sequence	1	raw_concat
24	0.008414623593786941	ESC_7_20_20_unenriched	nextera_transposase_sequence	1	raw_concat
26	0.014966191609496056	ESC_7_20_20_unenriched	nextera_transposase_sequence	1	raw_concat
28	0.1007540456624489	ESC_7_20_20_unenriched	nextera_transposase_sequence	1	raw_concat
30	0.8440855416326278	ESC_7_20_20_unenriched	nextera_transposase_sequence	1	raw_concat
32	1.5107294115963734	ESC_7_20_20_unenriched	nextera_transposase_sequence	1	raw_concat
34	1.7167492912297817	ESC_7_20_20_unenriched	nextera_transposase_sequence	1	raw_concat
36	1.9454409603436162	ESC_7_20_20_unenriched	nextera_transposase_sequence	1	raw_concat
38	2.20179527868075	ESC_7_20_20_unenriched	nextera_transposase_sequence	1	raw_concat
40	3.2119163334316743	ESC_7_20_20_unenriched	nextera_transposase_sequence	1	raw_concat
42	5.321981143066997	ESC_7_20_20_unenriched	nextera_transposase_sequence	1	raw_concat
44	6.068221134945352	ESC_7_20_20_unenriched	nextera_transposase_sequence	1	raw_concat
46	6.499979474450546	ESC_7_20_20_unenriched	nextera_transposase_sequence	1	raw_concat
48	6.848611467871468	ESC_7_20_20_unenriched	nextera_transposase_sequence	1	raw_concat
50	7.2869767347581185	ESC_7_20_20_unenriched	nextera_transposase_sequence	1	raw_concat
52	8.19349273651054	ESC_7_20_20_unenriched	nextera_transposase_sequence	1	raw_concat
54	8.98124586508122	ESC_7_20_20_unenriched	nextera_transposase_sequence	1	raw_concat
56	9.514776010896085	ESC_7_20_20_unenriched	nextera_transposase_sequence	1	raw_concat
58	9.952215073009635	ESC_7_20_20_unenriched	nextera_transposase_sequence	1	raw_concat
60	10.380634816918912	ESC_7_20_20_unenriched	nextera_transposase_sequence	1	raw_concat
62	11.023893613266626	ESC_7_20_20_unenriched	nextera_transposase_sequence	1	raw_concat
64	11.798068792784273	ESC_7_20_20_unenriched	nextera_transposase_sequence	1	raw_concat
66	12.451622301954849	ESC_7_20_20_unenriched	nextera_transposase_sequence	1	raw_concat
68	12.98852936908038	ESC_7_20_20_unenriched	nextera_transposase_sequence	1	raw_concat
70	13.470243148554559	ESC_7_20_20_unenriched	nextera_transposase_sequence	1	raw_concat
72	14.068096618956545	ESC_7_20_20_unenriched	nextera_transposase_sequence	1	raw_concat
74	14.842056748630323	ESC_7_20_20_unenriched	nextera_transposase_sequence	1	raw_concat
76	15.59462900026777	ESC_7_20_20_unenriched	nextera_transposase_sequence	1	raw_concat
78	16.22684999076776	ESC_7_20_20_unenriched	nextera_transposase_sequence	1	raw_concat
80	16.766578256340097	ESC_7_20_20_unenriched	nextera_transposase_sequence	1	raw_concat
82	17.353493993593986	ESC_7_20_20_unenriched	nextera_transposase_sequence	1	raw_concat
84	18.10845947319687	ESC_7_20_20_unenriched	nextera_transposase_sequence	1	raw_concat
86	18.918946138232847	ESC_7_20_20_unenriched	nextera_transposase_sequence	1	raw_concat
88	19.64289972698464	ESC_7_20_20_unenriched	nextera_transposase_sequence	1	raw_concat
90	20.10811428625936	ESC_7_20_20_unenriched	nextera_transposase_sequence	1	raw_concat
1	4.2584127498921766e-6	ESC_7_20_20_unenriched	nextera_transposase_sequence	2	raw_concat
2	8.516825499784353e-6	ESC_7_20_20_unenriched	nextera_transposase_sequence	2	raw_concat
3	1.277523824967653e-5	ESC_7_20_20_unenriched	nextera_transposase_sequence	2	raw_concat
4	2.555047649935306e-5	ESC_7_20_20_unenriched	nextera_transposase_sequence	2	raw_concat
5	2.555047649935306e-5	ESC_7_20_20_unenriched	nextera_transposase_sequence	2	raw_concat
6	2.980888924924524e-5	ESC_7_20_20_unenriched	nextera_transposase_sequence	2	raw_concat
7	2.980888924924524e-5	ESC_7_20_20_unenriched	nextera_transposase_sequence	2	raw_concat
8	5.110095299870612e-5	ESC_7_20_20_unenriched	nextera_transposase_sequence	2	raw_concat
9	1.1497714424708878e-4	ESC_7_20_20_unenriched	nextera_transposase_sequence	2	raw_concat
10	8.942666774773571e-4	ESC_7_20_20_unenriched	nextera_transposase_sequence	2	raw_concat
12	0.0014116638265892567	ESC_7_20_20_unenriched	nextera_transposase_sequence	2	raw_concat
14	0.0018076962123292292	ESC_7_20_20_unenriched	nextera_transposase_sequence	2	raw_concat
16	0.0021483692323206035	ESC_7_20_20_unenriched	nextera_transposase_sequence	2	raw_concat
18	0.0026785416196821793	ESC_7_20_20_unenriched	nextera_transposase_sequence	2	raw_concat
20	0.004124272748270574	ESC_7_20_20_unenriched	nextera_transposase_sequence	2	raw_concat
22	0.006093788645095705	ESC_7_20_20_unenriched	nextera_transposase_sequence	2	raw_concat
24	0.008406106768287158	ESC_7_20_20_unenriched	nextera_transposase_sequence	2	raw_concat
26	0.014972579228620895	ESC_7_20_20_unenriched	nextera_transposase_sequence	2	raw_concat
28	0.10113943201631415	ESC_7_20_20_unenriched	nextera_transposase_sequence	2	raw_concat
