position	mean_phred_score	sample	read_pair	stage
1	35.60766285192375	ESC_7_20_20_unenriched	1	raw_concat
2	35.34115541298768	ESC_7_20_20_unenriched	1	raw_concat
3	35.64873852187427	ESC_7_20_20_unenriched	1	raw_concat
4	35.67335193464801	ESC_7_20_20_unenriched	1	raw_concat
5	35.72850736501002	ESC_7_20_20_unenriched	1	raw_concat
6	36.056488441305106	ESC_7_20_20_unenriched	1	raw_concat
7	36.014482606257616	ESC_7_20_20_unenriched	1	raw_concat
8	35.996836765841124	ESC_7_20_20_unenriched	1	raw_concat
9	36.041622322395234	ESC_7_20_20_unenriched	1	raw_concat
10	35.96294546404094	ESC_7_20_20_unenriched	1	raw_concat
12	36.0023380389362	ESC_7_20_20_unenriched	1	raw_concat
14	36.01172336771633	ESC_7_20_20_unenriched	1	raw_concat
16	35.978220816416076	ESC_7_20_20_unenriched	1	raw_concat
18	35.94726811750221	ESC_7_20_20_unenriched	1	raw_concat
20	35.947192062250494	ESC_7_20_20_unenriched	1	raw_concat
22	35.92565360673933	ESC_7_20_20_unenriched	1	raw_concat
24	35.89757316464114	ESC_7_20_20_unenriched	1	raw_concat
26	35.84709545164044	ESC_7_20_20_unenriched	1	raw_concat
28	35.83186129940866	ESC_7_20_20_unenriched	1	raw_concat
30	35.827454012549026	ESC_7_20_20_unenriched	1	raw_concat
32	35.812885876071334	ESC_7_20_20_unenriched	1	raw_concat
34	35.80270705595146	ESC_7_20_20_unenriched	1	raw_concat
36	35.77376965087147	ESC_7_20_20_unenriched	1	raw_concat
38	35.77805719116458	ESC_7_20_20_unenriched	1	raw_concat
40	35.763191625848364	ESC_7_20_20_unenriched	1	raw_concat
42	35.74654372316775	ESC_7_20_20_unenriched	1	raw_concat
44	35.72791493462826	ESC_7_20_20_unenriched	1	raw_concat
46	35.56900170200241	ESC_7_20_20_unenriched	1	raw_concat
48	35.654473773457894	ESC_7_20_20_unenriched	1	raw_concat
50	35.68828310081264	ESC_7_20_20_unenriched	1	raw_concat
52	35.6478565833017	ESC_7_20_20_unenriched	1	raw_concat
54	35.663148266689745	ESC_7_20_20_unenriched	1	raw_concat
56	35.48737821365376	ESC_7_20_20_unenriched	1	raw_concat
58	35.375824641629016	ESC_7_20_20_unenriched	1	raw_concat
60	35.584962722706464	ESC_7_20_20_unenriched	1	raw_concat
62	35.58570905212502	ESC_7_20_20_unenriched	1	raw_concat
64	35.576119809250365	ESC_7_20_20_unenriched	1	raw_concat
66	35.59998740361509	ESC_7_20_20_unenriched	1	raw_concat
68	35.49597482051642	ESC_7_20_20_unenriched	1	raw_concat
70	35.54398395293806	ESC_7_20_20_unenriched	1	raw_concat
72	35.55085336888143	ESC_7_20_20_unenriched	1	raw_concat
74	35.55091111295832	ESC_7_20_20_unenriched	1	raw_concat
76	35.49178096530382	ESC_7_20_20_unenriched	1	raw_concat
78	35.43392459407106	ESC_7_20_20_unenriched	1	raw_concat
80	35.33448350222766	ESC_7_20_20_unenriched	1	raw_concat
82	35.24907792588726	ESC_7_20_20_unenriched	1	raw_concat
84	35.183994474624285	ESC_7_20_20_unenriched	1	raw_concat
86	35.14959075801791	ESC_7_20_20_unenriched	1	raw_concat
88	34.887019284818315	ESC_7_20_20_unenriched	1	raw_concat
90	34.85685963011086	ESC_7_20_20_unenriched	1	raw_concat
92	34.63264365925748	ESC_7_20_20_unenriched	1	raw_concat
94	34.52423624515648	ESC_7_20_20_unenriched	1	raw_concat
96	34.501442814115855	ESC_7_20_20_unenriched	1	raw_concat
98	34.31416325085185	ESC_7_20_20_unenriched	1	raw_concat
100	34.171228264209645	ESC_7_20_20_unenriched	1	raw_concat
1	35.770770706276494	ESC_7_20_20_unenriched	2	raw_concat
2	35.32243892243761	ESC_7_20_20_unenriched	2	raw_concat
3	35.40624482602851	ESC_7_20_20_unenriched	2	raw_concat
4	35.40023786641938	ESC_7_20_20_unenriched	2	raw_concat
5	35.3499386447891	ESC_7_20_20_unenriched	2	raw_concat
6	35.69612383941219	ESC_7_20_20_unenriched	2	raw_concat
7	35.57858730393416	ESC_7_20_20_unenriched	2	raw_concat
8	35.55831530037481	ESC_7_20_20_unenriched	2	raw_concat
9	35.66992139992083	ESC_7_20_20_unenriched	2	raw_concat
10	35.549709261127916	ESC_7_20_20_unenriched	2	raw_concat
12	35.53497932625778	ESC_7_20_20_unenriched	2	raw_concat
14	35.57431419966028	ESC_7_20_20_unenriched	2	raw_concat
16	35.53266556027425	ESC_7_20_20_unenriched	2	raw_concat
18	35.52206364555561	ESC_7_20_20_unenriched	2	raw_concat
20	35.52071430359962	ESC_7_20_20_unenriched	2	raw_concat
22	35.483443120891906	ESC_7_20_20_unenriched	2	raw_concat
24	35.407449999420855	ESC_7_20_20_unenriched	2	raw_concat
26	35.42567692154913	ESC_7_20_20_unenriched	2	raw_concat
28	35.42010853586912	ESC_7_20_20_unenriched	2	raw_concat
30	35.41727281623484	ESC_7_20_20_unenriched	2	raw_concat
32	35.39714474702644	ESC_7_20_20_unenriched	2	raw_concat
34	35.38878005332214	ESC_7_20_20_unenriched	2	raw_concat
36	35.367740130191606	ESC_7_20_20_unenriched	2	raw_concat
38	35.376308780574554	ESC_7_20_20_unenriched	2	raw_concat
40	35.36680349230726	ESC_7_20_20_unenriched	2	raw_concat
42	35.366682170128016	ESC_7_20_20_unenriched	2	raw_concat
44	35.34619920480104	ESC_7_20_20_unenriched	2	raw_concat
46	35.299351895129945	ESC_7_20_20_unenriched	2	raw_concat
48	35.23049868398012	ESC_7_20_20_unenriched	2	raw_concat
50	35.226139815273456	ESC_7_20_20_unenriched	2	raw_concat
52	35.1888334793685	ESC_7_20_20_unenriched	2	raw_concat
54	35.23644990096635	ESC_7_20_20_unenriched	2	raw_concat
56	35.23974544400937	ESC_7_20_20_unenriched	2	raw_concat
58	35.23624094065272	ESC_7_20_20_unenriched	2	raw_concat
60	35.21998406672286	ESC_7_20_20_unenriched	2	raw_concat
62	35.20350060265058	ESC_7_20_20_unenriched	2	raw_concat
64	35.20301646370504	ESC_7_20_20_unenriched	2	raw_concat
66	35.173648831184934	ESC_7_20_20_unenriched	2	raw_concat
68	35.17907409161242	ESC_7_20_20_unenriched	2	raw_concat
70	35.09679925774162	ESC_7_20_20_unenriched	2	raw_concat
72	35.102200883978355	ESC_7_20_20_unenriched	2	raw_concat
74	35.044998392023345	ESC_7_20_20_unenriched	2	raw_concat
76	35.10609217896507	ESC_7_20_20_unenriched	2	raw_concat
78	35.02260557116217	ESC_7_20_20_unenriched	2	raw_concat
80	35.097936935291884	ESC_7_20_20_unenriched	2	raw_concat
82	35.097429673165124	ESC_7_20_20_unenriched	2	raw_concat
84	35.128246358375755	ESC_7_20_20_unenriched	2	raw_concat
86	35.05020694182599	ESC_7_20_20_unenriched	2	raw_concat
88	35.04901616186874	ESC_7_20_20_unenriched	2	raw_concat
90	35.01677222704085	ESC_7_20_20_unenriched	2	raw_concat
92	35.02880356316725	ESC_7_20_20_unenriched	2	raw_concat
94	35.002375768473165	ESC_7_20_20_unenriched	2	raw_concat
96	34.981853391536184	ESC_7_20_20_unenriched	2	raw_concat
98	34.909267979699976	ESC_7_20_20_unenriched	2	raw_concat
