mean_phred_score	n_sequences	sample	read_pair	stage
14	3	ESC_7_20_20_unenriched	1	raw_concat
15	7	ESC_7_20_20_unenriched	1	raw_concat
16	9	ESC_7_20_20_unenriched	1	raw_concat
17	24	ESC_7_20_20_unenriched	1	raw_concat
18	68	ESC_7_20_20_unenriched	1	raw_concat
19	109	ESC_7_20_20_unenriched	1	raw_concat
20	289	ESC_7_20_20_unenriched	1	raw_concat
21	685	ESC_7_20_20_unenriched	1	raw_concat
22	1714	ESC_7_20_20_unenriched	1	raw_concat
23	5082	ESC_7_20_20_unenriched	1	raw_concat
24	13034	ESC_7_20_20_unenriched	1	raw_concat
25	29381	ESC_7_20_20_unenriched	1	raw_concat
26	54148	ESC_7_20_20_unenriched	1	raw_concat
27	93991	ESC_7_20_20_unenriched	1	raw_concat
28	149023	ESC_7_20_20_unenriched	1	raw_concat
29	229663	ESC_7_20_20_unenriched	1	raw_concat
30	324347	ESC_7_20_20_unenriched	1	raw_concat
31	489896	ESC_7_20_20_unenriched	1	raw_concat
32	779610	ESC_7_20_20_unenriched	1	raw_concat
33	1137396	ESC_7_20_20_unenriched	1	raw_concat
34	2027620	ESC_7_20_20_unenriched	1	raw_concat
35	4370280	ESC_7_20_20_unenriched	1	raw_concat
36	12642909	ESC_7_20_20_unenriched	1	raw_concat
37	1133640	ESC_7_20_20_unenriched	1	raw_concat
11	1	ESC_7_20_20_unenriched	2	raw_concat
12	39	ESC_7_20_20_unenriched	2	raw_concat
13	192	ESC_7_20_20_unenriched	2	raw_concat
14	521	ESC_7_20_20_unenriched	2	raw_concat
15	804	ESC_7_20_20_unenriched	2	raw_concat
16	1241	ESC_7_20_20_unenriched	2	raw_concat
17	2195	ESC_7_20_20_unenriched	2	raw_concat
18	3643	ESC_7_20_20_unenriched	2	raw_concat
19	6262	ESC_7_20_20_unenriched	2	raw_concat
20	9706	ESC_7_20_20_unenriched	2	raw_concat
21	15390	ESC_7_20_20_unenriched	2	raw_concat
22	23730	ESC_7_20_20_unenriched	2	raw_concat
23	39530	ESC_7_20_20_unenriched	2	raw_concat
24	60477	ESC_7_20_20_unenriched	2	raw_concat
25	87798	ESC_7_20_20_unenriched	2	raw_concat
26	117220	ESC_7_20_20_unenriched	2	raw_concat
27	159210	ESC_7_20_20_unenriched	2	raw_concat
28	210505	ESC_7_20_20_unenriched	2	raw_concat
29	289791	ESC_7_20_20_unenriched	2	raw_concat
30	384877	ESC_7_20_20_unenriched	2	raw_concat
31	552811	ESC_7_20_20_unenriched	2	raw_concat
32	782491	ESC_7_20_20_unenriched	2	raw_concat
33	1242462	ESC_7_20_20_unenriched	2	raw_concat
34	2108121	ESC_7_20_20_unenriched	2	raw_concat
35	4621601	ESC_7_20_20_unenriched	2	raw_concat
36	11272345	ESC_7_20_20_unenriched	2	raw_concat
37	1489965	ESC_7_20_20_unenriched	2	raw_concat
15	2	ESC_7_27_20_unenriched	1	raw_concat
16	8	ESC_7_27_20_unenriched	1	raw_concat
17	10	ESC_7_27_20_unenriched	1	raw_concat
18	31	ESC_7_27_20_unenriched	1	raw_concat
19	63	ESC_7_27_20_unenriched	1	raw_concat
20	160	ESC_7_27_20_unenriched	1	raw_concat
21	370	ESC_7_27_20_unenriched	1	raw_concat
22	979	ESC_7_27_20_unenriched	1	raw_concat
23	2827	ESC_7_27_20_unenriched	1	raw_concat
24	7383	ESC_7_27_20_unenriched	1	raw_concat
25	17528	ESC_7_27_20_unenriched	1	raw_concat
26	34478	ESC_7_27_20_unenriched	1	raw_concat
27	62613	ESC_7_27_20_unenriched	1	raw_concat
28	100851	ESC_7_27_20_unenriched	1	raw_concat
29	151416	ESC_7_27_20_unenriched	1	raw_concat
30	199487	ESC_7_27_20_unenriched	1	raw_concat
31	262692	ESC_7_27_20_unenriched	1	raw_concat
32	327072	ESC_7_27_20_unenriched	1	raw_concat
33	457920	ESC_7_27_20_unenriched	1	raw_concat
34	727536	ESC_7_27_20_unenriched	1	raw_concat
35	1809329	ESC_7_27_20_unenriched	1	raw_concat
36	9820997	ESC_7_27_20_unenriched	1	raw_concat
37	2117776	ESC_7_27_20_unenriched	1	raw_concat
12	26	ESC_7_27_20_unenriched	2	raw_concat
13	208	ESC_7_27_20_unenriched	2	raw_concat
14	480	ESC_7_27_20_unenriched	2	raw_concat
15	656	ESC_7_27_20_unenriched	2	raw_concat
16	779	ESC_7_27_20_unenriched	2	raw_concat
17	989	ESC_7_27_20_unenriched	2	raw_concat
18	1123	ESC_7_27_20_unenriched	2	raw_concat
19	1487	ESC_7_27_20_unenriched	2	raw_concat
20	2222	ESC_7_27_20_unenriched	2	raw_concat
21	3728	ESC_7_27_20_unenriched	2	raw_concat
22	7035	ESC_7_27_20_unenriched	2	raw_concat
23	13388	ESC_7_27_20_unenriched	2	raw_concat
24	22786	ESC_7_27_20_unenriched	2	raw_concat
25	35302	ESC_7_27_20_unenriched	2	raw_concat
26	48746	ESC_7_27_20_unenriched	2	raw_concat
27	66339	ESC_7_27_20_unenriched	2	raw_concat
28	86908	ESC_7_27_20_unenriched	2	raw_concat
29	115047	ESC_7_27_20_unenriched	2	raw_concat
30	145716	ESC_7_27_20_unenriched	2	raw_concat
31	195623	ESC_7_27_20_unenriched	2	raw_concat
32	258925	ESC_7_27_20_unenriched	2	raw_concat
33	380166	ESC_7_27_20_unenriched	2	raw_concat
34	629584	ESC_7_27_20_unenriched	2	raw_concat
35	1707278	ESC_7_27_20_unenriched	2	raw_concat
36	10036755	ESC_7_27_20_unenriched	2	raw_concat
37	2340232	ESC_7_27_20_unenriched	2	raw_concat
14	1	HTP_01_03_2021_INF_unenriched	1	raw_concat
15	5	HTP_01_03_2021_INF_unenriched	1	raw_concat
16	20	HTP_01_03_2021_INF_unenriched	1	raw_concat
17	51	HTP_01_03_2021_INF_unenriched	1	raw_concat
18	77	HTP_01_03_2021_INF_unenriched	1	raw_concat
19	133	HTP_01_03_2021_INF_unenriched	1	raw_concat
20	247	HTP_01_03_2021_INF_unenriched	1	raw_concat
21	416	HTP_01_03_2021_INF_unenriched	1	raw_concat
22	749	HTP_01_03_2021_INF_unenriched	1	raw_concat
23	1616	HTP_01_03_2021_INF_unenriched	1	raw_concat
24	3549	HTP_01_03_2021_INF_unenriched	1	raw_concat
25	7694	HTP_01_03_2021_INF_unenriched	1	raw_concat
26	13998	HTP_01_03_2021_INF_unenriched	1	raw_concat
27	24255	HTP_01_03_2021_INF_unenriched	1	raw_concat
28	38465	HTP_01_03_2021_INF_unenriched	1	raw_concat
29	58363	HTP_01_03_2021_INF_unenriched	1	raw_concat
30	82687	HTP_01_03_2021_INF_unenriched	1	raw_concat
31	136109	HTP_01_03_2021_INF_unenriched	1	raw_concat
32	269667	HTP_01_03_2021_INF_unenriched	1	raw_concat
33	447346	HTP_01_03_2021_INF_unenriched	1	raw_concat
34	785176	HTP_01_03_2021_INF_unenriched	1	raw_concat
35	1720266	HTP_01_03_2021_INF_unenriched	1	raw_concat
36	5451109	HTP_01_03_2021_INF_unenriched	1	raw_concat
37	584458	HTP_01_03_2021_INF_unenriched	1	raw_concat
12	20	HTP_01_03_2021_INF_unenriched	2	raw_concat
13	95	HTP_01_03_2021_INF_unenriched	2	raw_concat
14	223	HTP_01_03_2021_INF_unenriched	2	raw_concat
15	366	HTP_01_03_2021_INF_unenriched	2	raw_concat
16	535	HTP_01_03_2021_INF_unenriched	2	raw_concat
17	595	HTP_01_03_2021_INF_unenriched	2	raw_concat
18	711	HTP_01_03_2021_INF_unenriched	2	raw_concat
19	800	HTP_01_03_2021_INF_unenriched	2	raw_concat
20	1056	HTP_01_03_2021_INF_unenriched	2	raw_concat
21	1459	HTP_01_03_2021_INF_unenriched	2	raw_concat
22	2038	HTP_01_03_2021_INF_unenriched	2	raw_concat
23	2854	HTP_01_03_2021_INF_unenriched	2	raw_concat
24	3827	HTP_01_03_2021_INF_unenriched	2	raw_concat
25	5505	HTP_01_03_2021_INF_unenriched	2	raw_concat
26	7297	HTP_01_03_2021_INF_unenriched	2	raw_concat
27	10299	HTP_01_03_2021_INF_unenriched	2	raw_concat
28	13983	HTP_01_03_2021_INF_unenriched	2	raw_concat
29	20119	HTP_01_03_2021_INF_unenriched	2	raw_concat
30	27754	HTP_01_03_2021_INF_unenriched	2	raw_concat
31	41627	HTP_01_03_2021_INF_unenriched	2	raw_concat
32	62143	HTP_01_03_2021_INF_unenriched	2	raw_concat
33	106035	HTP_01_03_2021_INF_unenriched	2	raw_concat
34	207117	HTP_01_03_2021_INF_unenriched	2	raw_concat
35	702552	HTP_01_03_2021_INF_unenriched	2	raw_concat
36	6316724	HTP_01_03_2021_INF_unenriched	2	raw_concat
37	2090723	HTP_01_03_2021_INF_unenriched	2	raw_concat
15	2	HTP_10_02_2020_INF_unenriched	1	raw_concat
16	11	HTP_10_02_2020_INF_unenriched	1	raw_concat
17	12	HTP_10_02_2020_INF_unenriched	1	raw_concat
18	37	HTP_10_02_2020_INF_unenriched	1	raw_concat
19	78	HTP_10_02_2020_INF_unenriched	1	raw_concat
20	102	HTP_10_02_2020_INF_unenriched	1	raw_concat
21	264	HTP_10_02_2020_INF_unenriched	1	raw_concat
22	600	HTP_10_02_2020_INF_unenriched	1	raw_concat
23	1445	HTP_10_02_2020_INF_unenriched	1	raw_concat
24	3409	HTP_10_02_2020_INF_unenriched	1	raw_concat
25	7481	HTP_10_02_2020_INF_unenriched	1	raw_concat
26	13200	HTP_10_02_2020_INF_unenriched	1	raw_concat
27	22434	HTP_10_02_2020_INF_unenriched	1	raw_concat
28	34065	HTP_10_02_2020_INF_unenriched	1	raw_concat
29	48312	HTP_10_02_2020_INF_unenriched	1	raw_concat
30	65365	HTP_10_02_2020_INF_unenriched	1	raw_concat
31	87383	HTP_10_02_2020_INF_unenriched	1	raw_concat
32	116529	HTP_10_02_2020_INF_unenriched	1	raw_concat
33	174759	HTP_10_02_2020_INF_unenriched	1	raw_concat
34	356249	HTP_10_02_2020_INF_unenriched	1	raw_concat
35	1239080	HTP_10_02_2020_INF_unenriched	1	raw_concat
36	2217806	HTP_10_02_2020_INF_unenriched	1	raw_concat
37	206586	HTP_10_02_2020_INF_unenriched	1	raw_concat
14	12	HTP_10_02_2020_INF_unenriched	2	raw_concat
15	71	HTP_10_02_2020_INF_unenriched	2	raw_concat
16	198	HTP_10_02_2020_INF_unenriched	2	raw_concat
17	517	HTP_10_02_2020_INF_unenriched	2	raw_concat
18	1244	HTP_10_02_2020_INF_unenriched	2	raw_concat
19	1865	HTP_10_02_2020_INF_unenriched	2	raw_concat
20	1324	HTP_10_02_2020_INF_unenriched	2	raw_concat
21	1612	HTP_10_02_2020_INF_unenriched	2	raw_concat
22	2518	HTP_10_02_2020_INF_unenriched	2	raw_concat
23	4653	HTP_10_02_2020_INF_unenriched	2	raw_concat
24	8355	HTP_10_02_2020_INF_unenriched	2	raw_concat
25	14540	HTP_10_02_2020_INF_unenriched	2	raw_concat
26	21633	HTP_10_02_2020_INF_unenriched	2	raw_concat
27	32854	HTP_10_02_2020_INF_unenriched	2	raw_concat
28	60874	HTP_10_02_2020_INF_unenriched	2	raw_concat
29	190125	HTP_10_02_2020_INF_unenriched	2	raw_concat
30	660459	HTP_10_02_2020_INF_unenriched	2	raw_concat
31	760015	HTP_10_02_2020_INF_unenriched	2	raw_concat
32	488960	HTP_10_02_2020_INF_unenriched	2	raw_concat
33	801865	HTP_10_02_2020_INF_unenriched	2	raw_concat
34	1219889	HTP_10_02_2020_INF_unenriched	2	raw_concat
35	319689	HTP_10_02_2020_INF_unenriched	2	raw_concat
36	1937	HTP_10_02_2020_INF_unenriched	2	raw_concat
16	1	HTP_10_13_2020_INF_unenriched	1	raw_concat
17	3	HTP_10_13_2020_INF_unenriched	1	raw_concat
18	4	HTP_10_13_2020_INF_unenriched	1	raw_concat
19	22	HTP_10_13_2020_INF_unenriched	1	raw_concat
20	37	HTP_10_13_2020_INF_unenriched	1	raw_concat
21	52	HTP_10_13_2020_INF_unenriched	1	raw_concat
22	122	HTP_10_13_2020_INF_unenriched	1	raw_concat
23	211	HTP_10_13_2020_INF_unenriched	1	raw_concat
24	382	HTP_10_13_2020_INF_unenriched	1	raw_concat
25	732	HTP_10_13_2020_INF_unenriched	1	raw_concat
26	1287	HTP_10_13_2020_INF_unenriched	1	raw_concat
27	2418	HTP_10_13_2020_INF_unenriched	1	raw_concat
28	3877	HTP_10_13_2020_INF_unenriched	1	raw_concat
29	6423	HTP_10_13_2020_INF_unenriched	1	raw_concat
30	10107	HTP_10_13_2020_INF_unenriched	1	raw_concat
31	16261	HTP_10_13_2020_INF_unenriched	1	raw_concat
32	26471	HTP_10_13_2020_INF_unenriched	1	raw_concat
33	53900	HTP_10_13_2020_INF_unenriched	1	raw_concat
34	198266	HTP_10_13_2020_INF_unenriched	1	raw_concat
35	688097	HTP_10_13_2020_INF_unenriched	1	raw_concat
36	1085263	HTP_10_13_2020_INF_unenriched	1	raw_concat
37	85234	HTP_10_13_2020_INF_unenriched	1	raw_concat
13	1	HTP_10_13_2020_INF_unenriched	2	raw_concat
14	3	HTP_10_13_2020_INF_unenriched	2	raw_concat
15	35	HTP_10_13_2020_INF_unenriched	2	raw_concat
16	88	HTP_10_13_2020_INF_unenriched	2	raw_concat
17	187	HTP_10_13_2020_INF_unenriched	2	raw_concat
18	370	HTP_10_13_2020_INF_unenriched	2	raw_concat
19	653	HTP_10_13_2020_INF_unenriched	2	raw_concat
20	456	HTP_10_13_2020_INF_unenriched	2	raw_concat
21	426	HTP_10_13_2020_INF_unenriched	2	raw_concat
22	563	HTP_10_13_2020_INF_unenriched	2	raw_concat
23	847	HTP_10_13_2020_INF_unenriched	2	raw_concat
24	1561	HTP_10_13_2020_INF_unenriched	2	raw_concat
25	3204	HTP_10_13_2020_INF_unenriched	2	raw_concat
26	4881	HTP_10_13_2020_INF_unenriched	2	raw_concat
27	6511	HTP_10_13_2020_INF_unenriched	2	raw_concat
28	9475	HTP_10_13_2020_INF_unenriched	2	raw_concat
29	31458	HTP_10_13_2020_INF_unenriched	2	raw_concat
30	153588	HTP_10_13_2020_INF_unenriched	2	raw_concat
31	394806	HTP_10_13_2020_INF_unenriched	2	raw_concat
32	374605	HTP_10_13_2020_INF_unenriched	2	raw_concat
33	420858	HTP_10_13_2020_INF_unenriched	2	raw_concat
34	616131	HTP_10_13_2020_INF_unenriched	2	raw_concat
35	157539	HTP_10_13_2020_INF_unenriched	2	raw_concat
36	924	HTP_10_13_2020_INF_unenriched	2	raw_concat
15	2	HTP_10_20_2020_INF_unenriched	1	raw_concat
16	6	HTP_10_20_2020_INF_unenriched	1	raw_concat
17	13	HTP_10_20_2020_INF_unenriched	1	raw_concat
18	34	HTP_10_20_2020_INF_unenriched	1	raw_concat
19	81	HTP_10_20_2020_INF_unenriched	1	raw_concat
20	153	HTP_10_20_2020_INF_unenriched	1	raw_concat
21	392	HTP_10_20_2020_INF_unenriched	1	raw_concat
22	970	HTP_10_20_2020_INF_unenriched	1	raw_concat
23	2557	HTP_10_20_2020_INF_unenriched	1	raw_concat
24	5439	HTP_10_20_2020_INF_unenriched	1	raw_concat
25	10717	HTP_10_20_2020_INF_unenriched	1	raw_concat
26	17757	HTP_10_20_2020_INF_unenriched	1	raw_concat
27	28121	HTP_10_20_2020_INF_unenriched	1	raw_concat
28	40346	HTP_10_20_2020_INF_unenriched	1	raw_concat
29	56093	HTP_10_20_2020_INF_unenriched	1	raw_concat
30	73133	HTP_10_20_2020_INF_unenriched	1	raw_concat
31	98700	HTP_10_20_2020_INF_unenriched	1	raw_concat
32	135576	HTP_10_20_2020_INF_unenriched	1	raw_concat
33	246643	HTP_10_20_2020_INF_unenriched	1	raw_concat
34	691145	HTP_10_20_2020_INF_unenriched	1	raw_concat
35	1066860	HTP_10_20_2020_INF_unenriched	1	raw_concat
36	1696432	HTP_10_20_2020_INF_unenriched	1	raw_concat
37	179574	HTP_10_20_2020_INF_unenriched	1	raw_concat
14	15	HTP_10_20_2020_INF_unenriched	2	raw_concat
15	68	HTP_10_20_2020_INF_unenriched	2	raw_concat
16	198	HTP_10_20_2020_INF_unenriched	2	raw_concat
17	444	HTP_10_20_2020_INF_unenriched	2	raw_concat
18	1002	HTP_10_20_2020_INF_unenriched	2	raw_concat
19	1640	HTP_10_20_2020_INF_unenriched	2	raw_concat
20	1338	HTP_10_20_2020_INF_unenriched	2	raw_concat
21	1425	HTP_10_20_2020_INF_unenriched	2	raw_concat
22	2284	HTP_10_20_2020_INF_unenriched	2	raw_concat
23	3861	HTP_10_20_2020_INF_unenriched	2	raw_concat
24	6695	HTP_10_20_2020_INF_unenriched	2	raw_concat
25	12452	HTP_10_20_2020_INF_unenriched	2	raw_concat
26	20649	HTP_10_20_2020_INF_unenriched	2	raw_concat
27	30464	HTP_10_20_2020_INF_unenriched	2	raw_concat
28	48846	HTP_10_20_2020_INF_unenriched	2	raw_concat
29	135035	HTP_10_20_2020_INF_unenriched	2	raw_concat
30	510562	HTP_10_20_2020_INF_unenriched	2	raw_concat
31	843833	HTP_10_20_2020_INF_unenriched	2	raw_concat
32	562471	HTP_10_20_2020_INF_unenriched	2	raw_concat
33	693447	HTP_10_20_2020_INF_unenriched	2	raw_concat
34	1122460	HTP_10_20_2020_INF_unenriched	2	raw_concat
35	348710	HTP_10_20_2020_INF_unenriched	2	raw_concat
36	2844	HTP_10_20_2020_INF_unenriched	2	raw_concat
37	1	HTP_10_20_2020_INF_unenriched	2	raw_concat
14	1	HTP_10_27_2020_INF_unenriched	1	raw_concat
15	4	HTP_10_27_2020_INF_unenriched	1	raw_concat
16	12	HTP_10_27_2020_INF_unenriched	1	raw_concat
17	15	HTP_10_27_2020_INF_unenriched	1	raw_concat
18	57	HTP_10_27_2020_INF_unenriched	1	raw_concat
19	72	HTP_10_27_2020_INF_unenriched	1	raw_concat
20	161	HTP_10_27_2020_INF_unenriched	1	raw_concat
21	324	HTP_10_27_2020_INF_unenriched	1	raw_concat
22	934	HTP_10_27_2020_INF_unenriched	1	raw_concat
23	2567	HTP_10_27_2020_INF_unenriched	1	raw_concat
24	5686	HTP_10_27_2020_INF_unenriched	1	raw_concat
25	11472	HTP_10_27_2020_INF_unenriched	1	raw_concat
26	19060	HTP_10_27_2020_INF_unenriched	1	raw_concat
27	29711	HTP_10_27_2020_INF_unenriched	1	raw_concat
28	41877	HTP_10_27_2020_INF_unenriched	1	raw_concat
29	57667	HTP_10_27_2020_INF_unenriched	1	raw_concat
30	74677	HTP_10_27_2020_INF_unenriched	1	raw_concat
31	100013	HTP_10_27_2020_INF_unenriched	1	raw_concat
32	142421	HTP_10_27_2020_INF_unenriched	1	raw_concat
33	296801	HTP_10_27_2020_INF_unenriched	1	raw_concat
34	808597	HTP_10_27_2020_INF_unenriched	1	raw_concat
35	869240	HTP_10_27_2020_INF_unenriched	1	raw_concat
36	1601613	HTP_10_27_2020_INF_unenriched	1	raw_concat
37	152489	HTP_10_27_2020_INF_unenriched	1	raw_concat
14	11	HTP_10_27_2020_INF_unenriched	2	raw_concat
15	58	HTP_10_27_2020_INF_unenriched	2	raw_concat
16	197	HTP_10_27_2020_INF_unenriched	2	raw_concat
17	415	HTP_10_27_2020_INF_unenriched	2	raw_concat
18	1001	HTP_10_27_2020_INF_unenriched	2	raw_concat
19	1646	HTP_10_27_2020_INF_unenriched	2	raw_concat
20	1242	HTP_10_27_2020_INF_unenriched	2	raw_concat
21	1443	HTP_10_27_2020_INF_unenriched	2	raw_concat
22	2492	HTP_10_27_2020_INF_unenriched	2	raw_concat
23	4243	HTP_10_27_2020_INF_unenriched	2	raw_concat
24	7339	HTP_10_27_2020_INF_unenriched	2	raw_concat
25	12892	HTP_10_27_2020_INF_unenriched	2	raw_concat
26	19819	HTP_10_27_2020_INF_unenriched	2	raw_concat
27	28743	HTP_10_27_2020_INF_unenriched	2	raw_concat
28	52178	HTP_10_27_2020_INF_unenriched	2	raw_concat
29	158581	HTP_10_27_2020_INF_unenriched	2	raw_concat
30	511541	HTP_10_27_2020_INF_unenriched	2	raw_concat
31	823972	HTP_10_27_2020_INF_unenriched	2	raw_concat
32	618502	HTP_10_27_2020_INF_unenriched	2	raw_concat
33	739397	HTP_10_27_2020_INF_unenriched	2	raw_concat
34	994264	HTP_10_27_2020_INF_unenriched	2	raw_concat
35	232760	HTP_10_27_2020_INF_unenriched	2	raw_concat
36	2728	HTP_10_27_2020_INF_unenriched	2	raw_concat
37	7	HTP_10_27_2020_INF_unenriched	2	raw_concat
14	1	HTP_11_17_2020_INF_unenriched	1	raw_concat
15	3	HTP_11_17_2020_INF_unenriched	1	raw_concat
16	18	HTP_11_17_2020_INF_unenriched	1	raw_concat
17	36	HTP_11_17_2020_INF_unenriched	1	raw_concat
18	76	HTP_11_17_2020_INF_unenriched	1	raw_concat
19	182	HTP_11_17_2020_INF_unenriched	1	raw_concat
20	302	HTP_11_17_2020_INF_unenriched	1	raw_concat
21	513	HTP_11_17_2020_INF_unenriched	1	raw_concat
22	1017	HTP_11_17_2020_INF_unenriched	1	raw_concat
23	2120	HTP_11_17_2020_INF_unenriched	1	raw_concat
24	4673	HTP_11_17_2020_INF_unenriched	1	raw_concat
25	10019	HTP_11_17_2020_INF_unenriched	1	raw_concat
26	18725	HTP_11_17_2020_INF_unenriched	1	raw_concat
27	32279	HTP_11_17_2020_INF_unenriched	1	raw_concat
28	50456	HTP_11_17_2020_INF_unenriched	1	raw_concat
29	76268	HTP_11_17_2020_INF_unenriched	1	raw_concat
30	103572	HTP_11_17_2020_INF_unenriched	1	raw_concat
31	141410	HTP_11_17_2020_INF_unenriched	1	raw_concat
32	187623	HTP_11_17_2020_INF_unenriched	1	raw_concat
33	295344	HTP_11_17_2020_INF_unenriched	1	raw_concat
34	543943	HTP_11_17_2020_INF_unenriched	1	raw_concat
35	1478179	HTP_11_17_2020_INF_unenriched	1	raw_concat
36	10491301	HTP_11_17_2020_INF_unenriched	1	raw_concat
37	2956597	HTP_11_17_2020_INF_unenriched	1	raw_concat
11	2	HTP_11_17_2020_INF_unenriched	2	raw_concat
12	52	HTP_11_17_2020_INF_unenriched	2	raw_concat
13	183	HTP_11_17_2020_INF_unenriched	2	raw_concat
14	384	HTP_11_17_2020_INF_unenriched	2	raw_concat
15	532	HTP_11_17_2020_INF_unenriched	2	raw_concat
16	777	HTP_11_17_2020_INF_unenriched	2	raw_concat
17	1043	HTP_11_17_2020_INF_unenriched	2	raw_concat
18	1213	HTP_11_17_2020_INF_unenriched	2	raw_concat
19	1523	HTP_11_17_2020_INF_unenriched	2	raw_concat
20	2041	HTP_11_17_2020_INF_unenriched	2	raw_concat
21	3149	HTP_11_17_2020_INF_unenriched	2	raw_concat
22	4364	HTP_11_17_2020_INF_unenriched	2	raw_concat
23	6849	HTP_11_17_2020_INF_unenriched	2	raw_concat
24	9580	HTP_11_17_2020_INF_unenriched	2	raw_concat
25	14063	HTP_11_17_2020_INF_unenriched	2	raw_concat
26	18956	HTP_11_17_2020_INF_unenriched	2	raw_concat
27	25697	HTP_11_17_2020_INF_unenriched	2	raw_concat
28	34297	HTP_11_17_2020_INF_unenriched	2	raw_concat
29	47393	HTP_11_17_2020_INF_unenriched	2	raw_concat
30	62194	HTP_11_17_2020_INF_unenriched	2	raw_concat
31	86934	HTP_11_17_2020_INF_unenriched	2	raw_concat
32	122124	HTP_11_17_2020_INF_unenriched	2	raw_concat
33	193104	HTP_11_17_2020_INF_unenriched	2	raw_concat
34	353719	HTP_11_17_2020_INF_unenriched	2	raw_concat
35	1139801	HTP_11_17_2020_INF_unenriched	2	raw_concat
36	10599735	HTP_11_17_2020_INF_unenriched	2	raw_concat
37	3664948	HTP_11_17_2020_INF_unenriched	2	raw_concat
14	1	HTP_11_24_2020_INF_unenriched	1	raw_concat
15	3	HTP_11_24_2020_INF_unenriched	1	raw_concat
16	15	HTP_11_24_2020_INF_unenriched	1	raw_concat
17	36	HTP_11_24_2020_INF_unenriched	1	raw_concat
18	65	HTP_11_24_2020_INF_unenriched	1	raw_concat
19	118	HTP_11_24_2020_INF_unenriched	1	raw_concat
20	198	HTP_11_24_2020_INF_unenriched	1	raw_concat
21	373	HTP_11_24_2020_INF_unenriched	1	raw_concat
22	674	HTP_11_24_2020_INF_unenriched	1	raw_concat
23	1405	HTP_11_24_2020_INF_unenriched	1	raw_concat
24	2839	HTP_11_24_2020_INF_unenriched	1	raw_concat
25	5994	HTP_11_24_2020_INF_unenriched	1	raw_concat
