library,sample_accession,sample
SRR14530724,SAMN19167988,SB_9_10_2020_INF_unenriched
SRR14530725,SAMN19167989,SB_9_24_2020_INF_unenriched
SRR14530726,SAMN19167987,SB_8_27_2020_INF_unenriched
SRR14530727,SAMN19167986,SB_8_13_2020_INF_unenriched
SRR14530728,SAMN19167985,SB_10_22_2020_INF_unenriched
SRR14530729,SAMN19167984,PL_9_24_2020_INF_unenriched
SRR14530730,SAMN19167983,PL_9_10_2020_INF_unenriched
SRR14530731,SAMN19167982,PL_8_27_2020_INF_unenriched
SRR14530732,SAMN19167981,PL_8_13_2020_INF_unenriched
SRR14530733,SAMN19167980,PL_10_22_2020_INF_unenriched
SRR14530734,SAMN19167979,OC_9_30_2020_INF_unenriched
SRR14530736,SAMN19167978,OC_9_23_2020_INF_unenriched
SRR14530737,SAMN19167977,OC_9_16_2020_INF_unenriched
SRR14530738,SAMN19167976,OC_9_03_2020_INF_unenriched
SRR14530739,SAMN19167975,OC_9_02_2020_INF_unenriched
SRR14530740,SAMN19167974,OC_8_26_2020_INF_unenriched
SRR14530741,SAMN19167973,OC_8_19_2020_INF_unenriched
SRR14530742,SAMN19167972,OC_8_12_2020_INF_unenriched
SRR14530743,SAMN19167971,OC_10_07_2020_INF_unenriched
SRR14530744,SAMN19167970,NC_9_11_2020_INF_unenriched
SRR14530745,SAMN19167969,NC_8_28_2020_INF_unenriched
SRR14530747,SAMN19167968,NC_8_14_2020_INF_unenriched
SRR14530748,SAMN19167967,NC_10_23_2020_INF_unenriched
SRR14530749,SAMN19167966,NC_10_09_2020_INF_unenriched
SRR14530750,SAMN19167965,JWPCP_9_22_2020_INF_unenriched
SRR14530751,SAMN19167964,JWPCP_9_15_2020_INF_unenriched
SRR14530752,SAMN19167963,JWPCP_9_08_2020_INF_unenriched
SRR14530753,SAMN19167962,JWPCP_9_01_2020_INF_unenriched
SRR14530754,SAMN19167961,JWPCP_8_25_2020_INF_unenriched
SRR14530755,SAMN19167960,JWPCP_8_18_2020_INF_unenriched
SRR14530756,SAMN19167959,JWPCP_8_11_2020_INF_unenriched
SRR14530758,SAMN19167958,JWPCP_10_13_2020_INF_unenriched
SRR14530759,SAMN19167957,JWPCP_10_06_2020_INF_unenriched
SRR14530760,SAMN19167956,JW_10_27_2020_INF_unenriched
SRR14530761,SAMN19167955,JW_10_20_2020_INF_unenriched
SRR14530762,SAMN19167954,HTP_9_15_2020_INF_unenriched
SRR14530763,SAMN19167953,HTP_9_08_2020_INF_unenriched
SRR14530764,SAMN19167952,HTP_9_01_2020_INF_unenriched
SRR14530765,SAMN19167951,HTP_8_25_2020_INF_unenriched
SRR14530766,SAMN19167950,HTP_8_18_2020_INF_unenriched
SRR14530767,SAMN19167949,HTP_8_11_2020_INF_unenriched
SRR14530769,SAMN19167948,HTP_10_27_2020_INF_unenriched
SRR14530770,SAMN19167947,HTP_10_20_2020_INF_unenriched
SRR14530771,SAMN19167946,HTP_10_13_2020_INF_unenriched
SRR14530772,SAMN19167945,HTP_10_02_2020_INF_unenriched
SRR14530851,SAMN19168038,SJ_9_23_2020_INF_unenriched
SRR14530852,SAMN19168037,SJ_11_4_2020_INF_unenriched
SRR14530853,SAMN19168036,SJ_11_18_2020_INF_unenriched
SRR14530854,SAMN19168035,SJ_11_11_2020_INF_unenriched
SRR14530855,SAMN19168034,SB_11_5_2020_INF_unenriched
SRR14530856,SAMN19168033,SB_10_08_2020_INF_unenriched
SRR14530857,SAMN19168032,PL_12_28_2020_INF_unenriched
SRR14530858,SAMN19168031,PL_12_22_2020_INF_unenriched
SRR14530859,SAMN19168030,PL_12_14_2020_INF_unenriched
SRR14530860,SAMN19168029,PL_11_5_2020_INF_unenriched
SRR14530862,SAMN19168028,PL_11_30_2020_INF_unenriched
SRR14530863,SAMN19168027,PL_11_29_2020_INF_unenriched
SRR14530864,SAMN19168026,PL_01_04_2021_INF_unenriched
SRR14530865,SAMN19168025,PL_01_03_2021_INF_unenriched
SRR14530866,SAMN19168024,OC_12_21_2020_INF_unenriched
SRR14530867,SAMN19168023,OC_12_14_2020_INF_unenriched
SRR14530868,SAMN19168022,OC_11_9_2020_INF_unenriched
SRR14530869,SAMN19168021,OC_11_4_2020_INF_unenriched
SRR14530870,SAMN19168020,OC_11_25_2020_INF_unenriched
SRR14530871,SAMN19168019,OC_11_18_2020_INF_unenriched
SRR14530873,SAMN19168018,OC_11_11_2020_INF_unenriched
SRR14530874,SAMN19168017,NC_9_25_2020_INF_unenriched
SRR14530875,SAMN19168016,NC_11_6_2020_INF_unenriched
SRR14530876,SAMN19168015,JWPCP_9_29_2020_INF_unenriched
SRR14530877,SAMN19168014,JWPCP_11_3_2020_INF_unenriched
SRR14530878,SAMN19168013,JWPCP_11_17_2020_INF_unenriched
SRR14530879,SAMN19168012,JWPCP_11_10_2020_INF_unenriched
SRR14530880,SAMN19168011,HTP_9_29_2020_INF_unenriched
SRR14530881,SAMN19168010,HTP_9_22_2020_INF_unenriched
SRR14530882,SAMN19168009,HTP_12_29_2020_INF_unenriched
SRR14530884,SAMN19168008,HTP_12_22_2020_INF_unenriched
SRR14530885,SAMN19168007,HTP_12_15_2020_INF_unenriched
SRR14530886,SAMN19168006,HTP_12_04_2020_INF_unenriched
SRR14530887,SAMN19168005,HTP_12_01_2020_INF_unenriched
SRR14530888,SAMN19168004,HTP_11_3_2020_INF_unenriched
SRR14530889,SAMN19168003,HTP_11_24_2020_INF_unenriched
SRR14530890,SAMN19168002,HTP_11_17_2020_INF_unenriched
SRR14530891,SAMN19168001,HTP_01_03_2021_INF_unenriched
SRR14530892,SAMN19168000,SJ_9_30_2020_INF_unenriched
SRR14530893,SAMN19167999,SJ_9_16_2020_INF_unenriched
SRR14530895,SAMN19167998,SJ_9_09_2020_INF_unenriched
SRR14530896,SAMN19167997,SJ_9_02_2020_INF_unenriched
SRR14530897,SAMN19167996,SJ_8_26_2020_INF_unenriched
SRR14530898,SAMN19167995,SJ_8_19_2020_INF_unenriched
SRR14530899,SAMN19167994,SJ_8_12_2020_INF_unenriched
SRR14530900,SAMN19167993,SJ_10_28_2020_INF_unenriched
SRR14530901,SAMN19167992,SJ_10_21_2020_INF_unenriched
SRR14530902,SAMN19167991,SJ_10_14_2020_INF_unenriched
SRR14530903,SAMN19167990,SJ_10_07_2020_INF_unenriched
SRR21452135,SAMN30696469,OC_10_21_2020_unenriched
SRR21452136,SAMN30696468,ESC_7_27_20_unenriched
SRR21452137,SAMN30696467,ESC_7_20_20_unenriched
