sample	n_reads_Viruses	n_reads_Tobamovirus	p_viral_reads_Tobamovirus
ESC_7_20_20_unenriched	90891	47	5.171029034777921e-4
ESC_7_27_20_unenriched	543481	537968	0.9898561311250992
HTP_01_03_2021_INF_unenriched	1234548	1223967	0.9914292518395397
HTP_10_02_2020_INF_unenriched	78967	74919	0.9487380804639913
HTP_10_13_2020_INF_unenriched	57895	56337	0.973089213230849
HTP_10_20_2020_INF_unenriched	72780	70018	0.9620500137400385
HTP_10_27_2020_INF_unenriched	280854	275599	0.9812892107643117
HTP_11_17_2020_INF_unenriched	1265713	1253628	0.9904520219038597
HTP_11_24_2020_INF_unenriched	1092966	1081065	0.9891112806802773
HTP_11_3_2020_INF_unenriched	1223078	1206865	0.9867440997221764
HTP_12_01_2020_INF_unenriched	1503201	1491456	0.9921866736384556
HTP_12_04_2020_INF_unenriched	798512	791541	0.9912700122227343
HTP_12_15_2020_INF_unenriched	902017	891732	0.9885977758734037
HTP_12_22_2020_INF_unenriched	622467	616875	0.9910163912303784
HTP_12_29_2020_INF_unenriched	1317225	1304802	0.990568809428913
HTP_8_11_2020_INF_unenriched	165728	163248	0.9850357211816954
HTP_8_18_2020_INF_unenriched	127284	125141	0.9831636340781245
HTP_8_25_2020_INF_unenriched	141397	136381	0.9645254142591427
HTP_9_01_2020_INF_unenriched	210652	207285	0.9840162922735127
HTP_9_08_2020_INF_unenriched	220188	214127	0.9724735226261195
HTP_9_15_2020_INF_unenriched	156088	143884	0.9218133360668341
HTP_9_22_2020_INF_unenriched	1400348	1386264	0.9899425000071411
HTP_9_29_2020_INF_unenriched	1364338	1350055	0.9895311865534787
JW_10_20_2020_INF_unenriched	130628	125683	0.9621444100805341
JW_10_27_2020_INF_unenriched	71465	70417	0.985335478905758
JWPCP_10_06_2020_INF_unenriched	2933	2890	0.9853392430958063
JWPCP_10_13_2020_INF_unenriched	3777	3714	0.9833200953137411
JWPCP_11_10_2020_INF_unenriched	19798	19647	0.9923729669663602
JWPCP_11_17_2020_INF_unenriched	106508	104513	0.9812690126563263
JWPCP_11_3_2020_INF_unenriched	64364	63935	0.9933347834193027
JWPCP_8_11_2020_INF_unenriched	35818	35441	0.9894745658607405
JWPCP_8_18_2020_INF_unenriched	11281	11100	0.9839553231096534
JWPCP_8_25_2020_INF_unenriched	11775	11492	0.9759660297239915
JWPCP_9_01_2020_INF_unenriched	9295	8889	0.9563206024744486
JWPCP_9_08_2020_INF_unenriched	162647	158206	0.9726954693292836
JWPCP_9_15_2020_INF_unenriched	46120	39722	0.8612749349522983
JWPCP_9_22_2020_INF_unenriched	6632	6560	0.9891435464414958
JWPCP_9_29_2020_INF_unenriched	13121	12991	0.9900922185809008
NC_10_09_2020_INF_unenriched	92476	91246	0.9866992516977378
NC_10_23_2020_INF_unenriched	455823	443511	0.9729895156672655
NC_11_6_2020_INF_unenriched	608914	604506	0.9927608824891528
NC_8_14_2020_INF_unenriched	38466	38025	0.9885353299017314
NC_8_28_2020_INF_unenriched	92554	83348	0.900533742463859
NC_9_11_2020_INF_unenriched	131602	125469	0.9533973647816902
NC_9_25_2020_INF_unenriched	72385	71809	0.9920425502521241
OC_10_07_2020_INF_unenriched	189757	186848	0.984669867251274
OC_10_21_2020_unenriched	217241	215157	0.9904069673772447
OC_11_11_2020_INF_unenriched	960344	942046	0.9809464108694385
OC_11_18_2020_INF_unenriched	951246	940387	0.9885844460843988
OC_11_25_2020_INF_unenriched	1045934	1039347	0.9937022794937348
OC_11_4_2020_INF_unenriched	199084	197330	0.9911896485905447
OC_11_9_2020_INF_unenriched	606558	601655	0.9919166839774597
OC_12_14_2020_INF_unenriched	868626	858361	0.9881824859030238
OC_12_21_2020_INF_unenriched	766829	760344	0.9915430950055358
OC_8_12_2020_INF_unenriched	11361	11198	0.9856526714197694
OC_8_19_2020_INF_unenriched	34595	34040	0.983957219251337
OC_8_26_2020_INF_unenriched	11703	11317	0.9670170041869606
OC_9_02_2020_INF_unenriched	78684	73191	0.9301891108738752
OC_9_03_2020_INF_unenriched	62899	55223	0.87796308367382625
OC_9_16_2020_INF_unenriched	26367	23533	0.8925171616035196
OC_9_23_2020_INF_unenriched	17755	17469	0.9838918614474795
OC_9_30_2020_INF_unenriched	21675	21166	0.9765167243367936
PL_01_03_2021_INF_unenriched	770953	761811	0.9881419489904054
PL_01_04_2021_INF_unenriched	632700	625384	0.9884368579105421
PL_10_22_2020_INF_unenriched	7544	7464	0.9893955461293743
PL_11_29_2020_INF_unenriched	1118670	1112008	0.9940447138119374
PL_11_30_2020_INF_unenriched	1078699	1072485	0.994239356854878
PL_11_5_2020_INF_unenriched	77140	76636	0.9934664246823957
PL_12_14_2020_INF_unenriched	731446	725577	0.9919761677553777
PL_12_22_2020_INF_unenriched	845816	839224	0.9922063427506692
PL_12_28_2020_INF_unenriched	427616	423306	0.9899208635785377
PL_8_13_2020_INF_unenriched	10995	10530	0.9577080491132333
PL_8_27_2020_INF_unenriched	9005	8919	0.9904497501388118
PL_9_10_2020_INF_unenriched	50836	45764	0.9002281847509639
PL_9_24_2020_INF_unenriched	5218	5177	0.99214258336527406
SB_10_08_2020_INF_unenriched	1412595	1400901	0.9917216187229886
SB_10_22_2020_INF_unenriched	143237	138077	0.963975788378701
SB_11_5_2020_INF_unenriched	1200273	1191751	0.992899948595028
SB_8_13_2020_INF_unenriched	140109	134633	0.9609161438594237
SB_8_27_2020_INF_unenriched	203466	198433	0.97526368041835
SB_9_10_2020_INF_unenriched	216368	209531	0.9684010574576647
SB_9_24_2020_INF_unenriched	97834	85085	0.8696874297279065
SJ_10_07_2020_INF_unenriched	123493	118809	0.9620707246564583
SJ_10_14_2020_INF_unenriched	71153	64450	0.9057945553947128
SJ_10_21_2020_INF_unenriched	85740	77867	0.9081758805691625
SJ_10_28_2020_INF_unenriched	89462	86279	0.9644206478728399
SJ_11_11_2020_INF_unenriched	349495	343268	0.982182863846407
SJ_11_18_2020_INF_unenriched	324331	315856	0.9738692878571583
SJ_11_4_2020_INF_unenriched	625300	618850	0.9896849512234127
SJ_8_12_2020_INF_unenriched	215456	210949	0.9790815758205852
SJ_8_19_2020_INF_unenriched	84796	81327	0.9590900514175197
SJ_8_26_2020_INF_unenriched	217927	212860	0.9767490948803957
SJ_9_02_2020_INF_unenriched	120199	116754	0.971339195833576
SJ_9_09_2020_INF_unenriched	111075	96801	0.8714922349763673
SJ_9_16_2020_INF_unenriched	67174	63867	0.9507696430166434
SJ_9_23_2020_INF_unenriched	653475	643159	0.9842136271471748
SJ_9_30_2020_INF_unenriched	70453	68203	0.9680638155933743
