name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads	sample
Bacteria	2	D	168234	214	168448	0.70245	SJ_9_09_2020
Eukaryota	2759	D	21529	64	21593	0.09005	SJ_9_09_2020
Archaea	2157	D	48	0	48	2e-4	SJ_9_09_2020
Viruses	10239	D	49687	24	49711	0.2073	SJ_9_09_2020
Bacteria	2	D	30645	19	30664	0.63235	OC_9_30_2020
Eukaryota	2759	D	1721	8	1729	0.03566	OC_9_30_2020
Archaea	2157	D	11	0	11	2.3e-4	OC_9_30_2020
Viruses	10239	D	16085	2	16087	0.33175	OC_9_30_2020
Viruses	10239	D	161591	33	161624	0.81342	PL_01_04_2021
Bacteria	2	D	33979	22	34001	0.17112	PL_01_04_2021
Eukaryota	2759	D	2451	11	2462	0.01239	PL_01_04_2021
Archaea	2157	D	608	0	608	0.00306	PL_01_04_2021
Viruses	10239	D	34389	9	34398	0.66504	SJ_11_18_2020
Bacteria	2	D	13721	25	13746	0.26576	SJ_11_18_2020
Eukaryota	2759	D	3532	17	3549	0.06862	SJ_11_18_2020
Archaea	2157	D	28	0	28	5.4e-4	SJ_11_18_2020
Bacteria	2	D	89875	76	89951	0.45823	SB_8_13_2020
Eukaryota	2759	D	17313	50	17363	0.08845	SB_8_13_2020
Archaea	2157	D	22	0	22	1.1e-4	SB_8_13_2020
Viruses	10239	D	88911	51	88962	0.45319	SB_8_13_2020
Viruses	10239	D	137440	6	137446	0.73349	HTP_12_04_2020
Bacteria	2	D	25884	18	25902	0.13823	HTP_12_04_2020
Eukaryota	2759	D	23993	25	24018	0.12817	HTP_12_04_2020
Archaea	2157	D	19	0	19	1e-4	HTP_12_04_2020
Bacteria	2	D	111430	163	111593	0.69403	SJ_10_21_2020
Eukaryota	2759	D	1131	18	1149	0.00715	SJ_10_21_2020
Archaea	2157	D	72	0	72	4.5e-4	SJ_10_21_2020
Viruses	10239	D	47954	19	47973	0.29836	SJ_10_21_2020
Bacteria	2	D	610007	353	610360	0.87978	NC_8_28_2020
Eukaryota	2759	D	28568	92	28660	0.04131	NC_8_28_2020
Archaea	2157	D	80	0	80	1.2e-4	NC_8_28_2020
Viruses	10239	D	54644	18	54662	0.07879	NC_8_28_2020
Bacteria	2	D	680995	959	681954	0.96109	JWPCP_9_15_2020
Eukaryota	2759	D	2770	16	2786	0.00393	JWPCP_9_15_2020
Archaea	2157	D	154	0	154	2.2e-4	JWPCP_9_15_2020
Viruses	10239	D	24653	12	24665	0.03476	JWPCP_9_15_2020
Viruses	10239	D	376244	74	376318	0.5794	HTP_2_28_21
Bacteria	2	D	234981	339	235320	0.36231	HTP_2_28_21
Eukaryota	2759	D	37143	345	37488	0.05772	HTP_2_28_21
Archaea	2157	D	363	0	363	5.6e-4	HTP_2_28_21
Bacteria	2	D	18239	19	18258	0.50704	JWPCP_11_3_2020
Eukaryota	2759	D	4479	39	4518	0.12547	JWPCP_11_3_2020
Archaea	2157	D	32	0	32	8.9e-4	JWPCP_11_3_2020
Viruses	10239	D	13199	1	13200	0.36658	JWPCP_11_3_2020
Bacteria	2	D	160492	173	160665	0.60371	HTP_9_08_2020
Eukaryota	2759	D	7036	39	7075	0.02658	HTP_9_08_2020
Archaea	2157	D	56	0	56	2.1e-4	HTP_9_08_2020
Viruses	10239	D	98299	34	98333	0.36949	HTP_9_08_2020
Bacteria	2	D	212312	245	212557	0.68662	HTP_8_25_2020
Eukaryota	2759	D	16670	61	16731	0.05405	HTP_8_25_2020
Archaea	2157	D	82	0	82	2.6e-4	HTP_8_25_2020
Viruses	10239	D	80144	53	80197	0.25906	HTP_8_25_2020
Bacteria	2	D	327885	293	328178	0.9008	OC_9_16_2020
Eukaryota	2759	D	4002	21	4023	0.01104	OC_9_16_2020
Archaea	2157	D	55	0	55	1.5e-4	OC_9_16_2020
Viruses	10239	D	32050	9	32059	0.088	OC_9_16_2020
Viruses	10239	D	519550	48	519598	0.64169	ESC_11_16_20
Bacteria	2	D	272656	444	273100	0.33727	ESC_11_16_20
Eukaryota	2759	D	16570	161	16731	0.02066	ESC_11_16_20
Archaea	2157	D	303	0	303	3.7e-4	ESC_11_16_20
Eukaryota	2759	D	142173	107	142280	0.56001	PL_12_28_2020
Bacteria	2	D	19866	20	19886	0.07827	PL_12_28_2020
Archaea	2157	D	185	0	185	7.3e-4	PL_12_28_2020
Viruses	10239	D	91710	6	91716	0.36099	PL_12_28_2020
Bacteria	2	D	12722	32	12754	0.80436	JWPCP_9_29_2020
Eukaryota	2759	D	738	3	741	0.04673	JWPCP_9_29_2020
