library,sample_accession,sample
SRR14530735,SAMN19167898,HTP_9_15_2020
SRR14530746,SAMN19167897,HTP_9_08_2020
SRR14530757,SAMN19167896,HTP_9_01_2020
SRR14530768,SAMN19167895,HTP_8_25_2020
SRR14530773,SAMN19167944,SJ_9_30_2020
SRR14530774,SAMN19167943,SJ_9_16_2020
SRR14530775,SAMN19167942,SJ_9_09_2020
SRR14530776,SAMN19167941,SJ_9_02_2020
SRR14530777,SAMN19167940,SJ_8_26_2020
SRR14530778,SAMN19167939,SJ_8_19_2020
SRR14530779,SAMN19167894,HTP_8_18_2020
SRR14530780,SAMN19167938,SJ_8_12_2020
SRR14530781,SAMN19167937,SJ_10_28_2020
SRR14530782,SAMN19167936,SJ_10_21_2020
SRR14530783,SAMN19167935,SJ_10_14_2020
SRR14530784,SAMN19167934,SJ_10_07_2020
SRR14530785,SAMN19167933,SB_9_24_2020
SRR14530786,SAMN19167932,SB_9_10_2020
SRR14530787,SAMN19167931,SB_8_27_2020
SRR14530788,SAMN19167930,SB_8_13_2020
SRR14530789,SAMN19167929,SB_10_22_2020
SRR14530790,SAMN19167893,HTP_8_11_2020
SRR14530791,SAMN19167928,PL_9_24_2020
SRR14530792,SAMN19167927,PL_9_10_2020
SRR14530793,SAMN19167926,PL_8_27_2020
SRR14530794,SAMN19167925,PL_8_13_2020
SRR14530795,SAMN19167924,PL_10_22_2020
SRR14530796,SAMN19167923,OC_9_30_2020
SRR14530797,SAMN19167922,OC_9_23_2020
SRR14530798,SAMN19167921,OC_9_16_2020
SRR14530799,SAMN19167920,OC_9_03_2020
SRR14530800,SAMN19167919,OC_9_02_2020
SRR14530801,SAMN19167892,HTP_10_27_2020
SRR14530802,SAMN19167918,OC_8_26_2020
SRR14530803,SAMN19167917,OC_8_19_2020
SRR14530804,SAMN19167916,OC_8_12_2020
SRR14530805,SAMN19167915,OC_10_07_2020
SRR14530806,SAMN19167914,NC_9_11_2020
SRR14530807,SAMN19167913,NC_8_28_2020
SRR14530808,SAMN19167912,NC_8_14_2020
SRR14530809,SAMN19167911,NC_10_23_2020
SRR14530810,SAMN19167910,NC_10_09_2020
SRR14530811,SAMN19167909,JWPCP_9_22_2020
SRR14530812,SAMN19167891,HTP_10_20_2020
SRR14530813,SAMN19167908,JWPCP_9_15_2020
SRR14530814,SAMN19167907,JWPCP_9_08_2020
SRR14530815,SAMN19168068,SJ_9_23_2020
SRR14530816,SAMN19168067,SJ_11_4_2020
SRR14530817,SAMN19168066,SJ_11_18_2020
SRR14530818,SAMN19167899,JW_10_20_2020
SRR14530819,SAMN19167890,HTP_10_13_2020
SRR14530820,SAMN19167889,HTP_10_02_2020
SRR14530821,SAMN19168065,SJ_11_11_2020
SRR14530822,SAMN19168064,SB_11_5_2020
SRR14530823,SAMN19168063,SB_10_08_2020
SRR14530824,SAMN19168062,PL_12_28_2020
SRR14530825,SAMN19168061,PL_12_22_2020
SRR14530826,SAMN19168060,PL_12_14_2020
SRR14530827,SAMN19168059,PL_11_5_2020
SRR14530828,SAMN19167906,JWPCP_9_01_2020
SRR14530829,SAMN19168058,PL_11_30_2020
SRR14530830,SAMN19168057,PL_11_29_2020
SRR14530831,SAMN19168056,PL_01_04_2021
SRR14530832,SAMN19168055,PL_01_03_2021
SRR14530833,SAMN19168054,OC_12_21_2020
SRR14530834,SAMN19168053,OC_12_14_2020
SRR14530835,SAMN19168052,OC_11_4_2020
SRR14530836,SAMN19168051,OC_11_11_2020
SRR14530837,SAMN19168050,JWPCP_9_29_2020
SRR14530838,SAMN19168049,JWPCP_11_3_2020
SRR14530839,SAMN19167905,JWPCP_8_25_2020
SRR14530840,SAMN19168048,JWPCP_11_17_2020
SRR14530841,SAMN19168047,JWPCP_11_10_2020
SRR14530842,SAMN19168046,HTP_9_29_2020
SRR14530843,SAMN19168045,HTP_9_22_2020
SRR14530844,SAMN19168044,HTP_12_29_2020
SRR14530845,SAMN19168043,HTP_12_22_2020
SRR14530846,SAMN19168042,HTP_12_04_2020
SRR14530847,SAMN19168041,HTP_11_3_2020
SRR14530848,SAMN19168040,HTP_11_24_2020
SRR14530849,SAMN19168039,HTP_01_03_2021
SRR14530850,SAMN19167904,JWPCP_8_18_2020
SRR14530861,SAMN19167903,JWPCP_8_11_2020
SRR14530872,SAMN19167902,JWPCP_10_13_2020
SRR14530883,SAMN19167901,JWPCP_10_06_2020
SRR14530894,SAMN19167900,JW_10_27_2020
SRR18340958,SAMN26732535,HTP_4_8_2021
SRR18340959,SAMN26732534,HTP_4_6_2021
SRR18340960,SAMN26732533,HTP_4_4_2021
SRR18340961,SAMN26732532,HTP_4_29_2021
SRR18340962,SAMN26732531,HTP_4_26_2021
SRR18340963,SAMN26732530,HTP_4_25_2021
SRR18340964,SAMN26732529,HTP_4_22_2021
SRR18340965,SAMN26732528,HTP_4_15_2021
SRR18340966,SAMN26732527,HTP_3_9_21
SRR18340967,SAMN26732455,ESC_11_16_20
SRR18340968,SAMN26732526,HTP_3_7_21
SRR18340969,SAMN26732525,HTP_3_4_21
SRR18340970,SAMN26732524,HTP_3_31_2021
SRR18340971,SAMN26732523,HTP_3_30_2021
SRR18340972,SAMN26732522,HTP_3_29_2021
SRR18340973,SAMN26732521,HTP_3_25_2021
SRR18340974,SAMN26732520,HTP_3_23_2021
SRR18340975,SAMN26732519,HTP_3_21_2021
SRR18340976,SAMN26732518,HTP_3_2_21
SRR18340977,SAMN26732517,HTP_3_18_2021
SRR18340978,SAMN26732454,ESC_10_5_20
SRR18340979,SAMN26732516,HTP_3_16_21
SRR18340980,SAMN26732515,HTP_3_14_21
SRR18340981,SAMN26732514,HTP_3_11_21
SRR18340982,SAMN26732513,HTP_2_9_21
SRR18340983,SAMN26732512,HTP_2_7_21
SRR18340984,SAMN26732511,HTP_2_4_21
SRR18340985,SAMN26732510,HTP_2_28_21
SRR18340986,SAMN26732484,ESC_8_10_20
SRR18340987,SAMN26732483,ESC_7_5_2021
SRR18340988,SAMN26732482,ESC_7_19_2021
SRR18340989,SAMN26732481,ESC_7_12_2021
SRR18340990,SAMN26732480,ESC_6_9_2021
SRR18340991,SAMN26732479,ESC_6_24_2021
SRR18340992,SAMN26732478,ESC_6_14_2021
SRR18340993,SAMN26732477,ESC_5_31_2021
SRR18340994,SAMN26732450,ESC_1_4_21
SRR18340995,SAMN26732476,ESC_5_24_2021
SRR18340996,SAMN26732475,ESC_5_10_2021
SRR18340997,SAMN26732474,ESC_4_5_2021
SRR18340998,SAMN26732473,ESC_4_26_2021
SRR18340999,SAMN26732472,ESC_4_19_2021
SRR18341000,SAMN26732471,ESC_4_12_2021
SRR18341001,SAMN26732470,ESC_3_8_2021
SRR18341002,SAMN26732469,ESC_3_29_2021
SRR18341003,SAMN26732468,ESC_3_22_2021
SRR18341004,SAMN26732467,ESC_3_17_2021
SRR18341005,SAMN26732449,ESC_1_25_21
SRR18341006,SAMN26732466,ESC_3_1_21
SRR18341007,SAMN26732465,ESC_2_8_21
SRR18341008,SAMN26732626,PL_8_3_2021
SRR18341009,SAMN26732625,PL_7_5_2021
