name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads	sample
Viruses	10239	D	1177416	94	1177510	0.71603000000000006	SRR12204848
Bacteria	2	D	450804	607	451411	0.2745	SRR12204848
Eukaryota	2759	D	14313	104	14417	0.00877	SRR12204848
Archaea	2157	D	1155	0	1155	7e-4	SRR12204848
Viruses	10239	D	7304199	760	7304959	0.97407	SRR12204851
Bacteria	2	D	128185	155	128340	0.01711	SRR12204851
Eukaryota	2759	D	65495	398	65893	0.00879	SRR12204851
Archaea	2157	D	209	0	209	3e-5	SRR12204851
Viruses	10239	D	8227744	262	8228006	0.96664	SRR12204735
Bacteria	2	D	266855	563	267418	0.03142	SRR12204735
Eukaryota	2759	D	15523	214	15737	0.00185	SRR12204735
Archaea	2157	D	815	0	815	1e-4	SRR12204735
Viruses	10239	D	10299514	859	10300373	0.97579	SRR12204847
Bacteria	2	D	183073	268	183341	0.01737	SRR12204847
Eukaryota	2759	D	71651	249	71900	0.00681	SRR12204847
Archaea	2157	D	348	0	348	3e-5	SRR12204847
Viruses	10239	D	10191905	789	10192694	0.96897	SRR12204849
Bacteria	2	D	283456	295	283751	0.02697	SRR12204849
Eukaryota	2759	D	42072	235	42307	0.00402	SRR12204849
Archaea	2157	D	371	0	371	4e-5	SRR12204849
Viruses	10239	D	16212002	1266	16213268	0.9801	SRR12204850
Bacteria	2	D	271416	250	271666	0.01642	SRR12204850
Eukaryota	2759	D	57046	207	57253	0.00346	SRR12204850
Archaea	2157	D	345	0	345	2e-5	SRR12204850
Viruses	10239	D	20653117	2167	20655284	0.97498	SRR12204734
Eukaryota	2759	D	399469	658	400127	0.01889	SRR12204734
Bacteria	2	D	129556	155	129711	0.00612	SRR12204734
Archaea	2157	D	173	0	173	1e-5	SRR12204734
