position	pc_adapters	sample	adapter	read_pair	stage
1	0.0011065928374079579	SRR12204734	illumina_universal_adapter	1	raw_concat
2	0.0011209577399526448	SRR12204734	illumina_universal_adapter	1	raw_concat
3	0.0011313599107608664	SRR12204734	illumina_universal_adapter	1	raw_concat
4	0.0011719779110596366	SRR12204734	illumina_universal_adapter	1	raw_concat
5	0.0012244841065678028	SRR12204734	illumina_universal_adapter	1	raw_concat
6	0.0012606440336630496	SRR12204734	illumina_universal_adapter	1	raw_concat
7	0.0012898691802194816	SRR12204734	illumina_universal_adapter	1	raw_concat
8	0.0013418800342605897	SRR12204734	illumina_universal_adapter	1	raw_concat
9	0.0013874514492299417	SRR12204734	illumina_universal_adapter	1	raw_concat
10	0.0014300508153969444	SRR12204734	illumina_universal_adapter	1	raw_concat
12	0.0015417503162185623	SRR12204734	illumina_universal_adapter	1	raw_concat
14	0.0017042223174136431	SRR12204734	illumina_universal_adapter	1	raw_concat
16	0.0018926997456292778	SRR12204734	illumina_universal_adapter	1	raw_concat
18	0.0021208044912095665	SRR12204734	illumina_universal_adapter	1	raw_concat
20	0.002368970566205711	SRR12204734	illumina_universal_adapter	1	raw_concat
22	0.0027127375443440826	SRR12204734	illumina_universal_adapter	1	raw_concat
24	0.0029762592048190304	SRR12204734	illumina_universal_adapter	1	raw_concat
26	0.0032115464016716625	SRR12204734	illumina_universal_adapter	1	raw_concat
28	0.0034847272207542447	SRR12204734	illumina_universal_adapter	1	raw_concat
30	0.003892888589610179	SRR12204734	illumina_universal_adapter	1	raw_concat
32	0.004536337155318745	SRR12204734	illumina_universal_adapter	1	raw_concat
34	0.005050501598125128	SRR12204734	illumina_universal_adapter	1	raw_concat
36	0.0054381062960981484	SRR12204734	illumina_universal_adapter	1	raw_concat
38	0.005997346812406826	SRR12204734	illumina_universal_adapter	1	raw_concat
40	0.006743083391062905	SRR12204734	illumina_universal_adapter	1	raw_concat
42	0.00785562032607556	SRR12204734	illumina_universal_adapter	1	raw_concat
44	0.009104871505996273	SRR12204734	illumina_universal_adapter	1	raw_concat
46	0.010369230600662258	SRR12204734	illumina_universal_adapter	1	raw_concat
48	0.01200039005168482	SRR12204734	illumina_universal_adapter	1	raw_concat
50	0.013969372383241058	SRR12204734	illumina_universal_adapter	1	raw_concat
52	0.01656818139016176	SRR12204734	illumina_universal_adapter	1	raw_concat
54	0.01960933032716541	SRR12204734	illumina_universal_adapter	1	raw_concat
56	0.022940501693131624	SRR12204734	illumina_universal_adapter	1	raw_concat
58	0.026539405122042774	SRR12204734	illumina_universal_adapter	1	raw_concat
60	0.031064101752885653	SRR12204734	illumina_universal_adapter	1	raw_concat
62	0.03706442061409483	SRR12204734	illumina_universal_adapter	1	raw_concat
64	0.043635372845355014	SRR12204734	illumina_universal_adapter	1	raw_concat
66	0.05095775808214245	SRR12204734	illumina_universal_adapter	1	raw_concat
68	0.05832967746563571	SRR12204734	illumina_universal_adapter	1	raw_concat
70	0.06711480605464593	SRR12204734	illumina_universal_adapter	1	raw_concat
72	0.07793950313426817	SRR12204734	illumina_universal_adapter	1	raw_concat
74	0.09112524531662321	SRR12204734	illumina_universal_adapter	1	raw_concat
76	0.10584134496145445	SRR12204734	illumina_universal_adapter	1	raw_concat
78	0.1218336918961611	SRR12204734	illumina_universal_adapter	1	raw_concat
80	0.13902823257141791	SRR12204734	illumina_universal_adapter	1	raw_concat
82	0.15926045479340897	SRR12204734	illumina_universal_adapter	1	raw_concat
84	0.18373552435148682	SRR12204734	illumina_universal_adapter	1	raw_concat
86	0.21119056817538662	SRR12204734	illumina_universal_adapter	1	raw_concat
88	0.24124887907941067	SRR12204734	illumina_universal_adapter	1	raw_concat
90	0.2741630812117586	SRR12204734	illumina_universal_adapter	1	raw_concat
92	0.31118490245968644	SRR12204734	illumina_universal_adapter	1	raw_concat
94	0.35379789051703336	SRR12204734	illumina_universal_adapter	1	raw_concat
96	0.4011951341339617	SRR12204734	illumina_universal_adapter	1	raw_concat
98	0.4518759963360186	SRR12204734	illumina_universal_adapter	1	raw_concat
100	0.5061948939428843	SRR12204734	illumina_universal_adapter	1	raw_concat
102	0.5683676781806908	SRR12204734	illumina_universal_adapter	1	raw_concat
104	0.6378650766918865	SRR12204734	illumina_universal_adapter	1	raw_concat
106	0.7152567321635884	SRR12204734	illumina_universal_adapter	1	raw_concat
108	0.7976763511966642	SRR12204734	illumina_universal_adapter	1	raw_concat
110	0.8863053231900477	SRR12204734	illumina_universal_adapter	1	raw_concat
112	0.9843653490454854	SRR12204734	illumina_universal_adapter	1	raw_concat
114	1.0912367565876875	SRR12204734	illumina_universal_adapter	1	raw_concat
116	1.2078215626281665	SRR12204734	illumina_universal_adapter	1	raw_concat
118	1.3323897870932222	SRR12204734	illumina_universal_adapter	1	raw_concat
120	1.4591917539039767	SRR12204734	illumina_universal_adapter	1	raw_concat
122	1.5987755119307003	SRR12204734	illumina_universal_adapter	1	raw_concat
124	1.7489962326210313	SRR12204734	illumina_universal_adapter	1	raw_concat
126	1.912026235978753	SRR12204734	illumina_universal_adapter	1	raw_concat
128	2.0872560043286503	SRR12204734	illumina_universal_adapter	1	raw_concat
130	2.2742100098623474	SRR12204734	illumina_universal_adapter	1	raw_concat
132	2.471902027718932	SRR12204734	illumina_universal_adapter	1	raw_concat
134	2.67975424207708	SRR12204734	illumina_universal_adapter	1	raw_concat
136	2.901090394180752	SRR12204734	illumina_universal_adapter	1	raw_concat
138	3.128838246234025	SRR12204734	illumina_universal_adapter	1	raw_concat
1	6.852175909743395	SRR12204734	polya	1	raw_concat
2	7.404184440633023	SRR12204734	polya	1	raw_concat
3	7.542098897915761	SRR12204734	polya	1	raw_concat
4	7.635938366801129	SRR12204734	polya	1	raw_concat
5	7.743954013132235	SRR12204734	polya	1	raw_concat
6	7.872521872273053	SRR12204734	polya	1	raw_concat
7	7.975201700321008	SRR12204734	polya	1	raw_concat
8	8.257849980863472	SRR12204734	polya	1	raw_concat
9	8.542973482716828	SRR12204734	polya	1	raw_concat
10	8.828982902784016	SRR12204734	polya	1	raw_concat
12	8.996252781429021	SRR12204734	polya	1	raw_concat
14	9.112399953283354	SRR12204734	polya	1	raw_concat
16	9.20031811027151	SRR12204734	polya	1	raw_concat
18	9.276444663636346	SRR12204734	polya	1	raw_concat
20	9.33939067590423	SRR12204734	polya	1	raw_concat
22	9.384093757281828	SRR12204734	polya	1	raw_concat
24	9.417450547014994	SRR12204734	polya	1	raw_concat
26	9.446510497192161	SRR12204734	polya	1	raw_concat
28	9.47171396637755	SRR12204734	polya	1	raw_concat
30	9.49248313874983	SRR12204734	polya	1	raw_concat
32	9.509784425511238	SRR12204734	polya	1	raw_concat
34	9.524749186572533	SRR12204734	polya	1	raw_concat
36	9.537490359788205	SRR12204734	polya	1	raw_concat
38	9.548366820051132	SRR12204734	polya	1	raw_concat
40	9.557673543204956	SRR12204734	polya	1	raw_concat
42	9.565627488812243	SRR12204734	polya	1	raw_concat
44	9.571989654615138	SRR12204734	polya	1	raw_concat
46	9.577665029473955	SRR12204734	polya	1	raw_concat
48	9.582748471279642	SRR12204734	polya	1	raw_concat
50	9.587008160225608	SRR12204734	polya	1	raw_concat
52	9.590793312046134	SRR12204734	polya	1	raw_concat
54	9.594143554058581	SRR12204734	polya	1	raw_concat
56	9.59733454378937	SRR12204734	polya	1	raw_concat
58	9.599913539137606	SRR12204734	polya	1	raw_concat
60	9.602538601242284	SRR12204734	polya	1	raw_concat
62	9.604930605186707	SRR12204734	polya	1	raw_concat
64	9.607389480229184	SRR12204734	polya	1	raw_concat
66	9.60950582664719	SRR12204734	polya	1	raw_concat
68	9.611290046611533	SRR12204734	polya	1	raw_concat
70	9.612976684306865	SRR12204734	polya	1	raw_concat
72	9.614675457868142	SRR12204734	polya	1	raw_concat
74	9.616433920076199	SRR12204734	polya	1	raw_concat
76	9.618021984819586	SRR12204734	polya	1	raw_concat
78	9.619559277062603	SRR12204734	polya	1	raw_concat
80	9.621157000964597	SRR12204734	polya	1	raw_concat
82	9.622535783938154	SRR12204734	polya	1	raw_concat
84	9.624000508656245	SRR12204734	polya	1	raw_concat
86	9.625443933691255	SRR12204734	polya	1	raw_concat
88	9.6268935504946	SRR12204734	polya	1	raw_concat
90	9.628359761237093	SRR12204734	polya	1	raw_concat
