position	mean_phred_score	sample	read_pair	stage
1	35.616755723613686	SRR12204734	1	raw_concat
2	35.824096567254905	SRR12204734	1	raw_concat
3	35.94346822383003	SRR12204734	1	raw_concat
4	35.95805213665096	SRR12204734	1	raw_concat
5	36.01560167111964	SRR12204734	1	raw_concat
6	35.9873313744956	SRR12204734	1	raw_concat
7	35.9822764247311	SRR12204734	1	raw_concat
8	36.016211505813395	SRR12204734	1	raw_concat
9	36.0224800817995	SRR12204734	1	raw_concat
12	36.03052511673984	SRR12204734	1	raw_concat
17	36.016397578854125	SRR12204734	1	raw_concat
22	35.96051949689277	SRR12204734	1	raw_concat
27	35.86254964795141	SRR12204734	1	raw_concat
32	35.67257900198582	SRR12204734	1	raw_concat
37	35.676046694413515	SRR12204734	1	raw_concat
42	35.62541717930794	SRR12204734	1	raw_concat
47	35.44205594883852	SRR12204734	1	raw_concat
52	35.406232480453404	SRR12204734	1	raw_concat
57	35.279730061488024	SRR12204734	1	raw_concat
62	35.175879599885754	SRR12204734	1	raw_concat
67	35.043368894987005	SRR12204734	1	raw_concat
72	34.93086421165727	SRR12204734	1	raw_concat
77	34.884186011658024	SRR12204734	1	raw_concat
82	34.73841211595718	SRR12204734	1	raw_concat
87	34.541117254963424	SRR12204734	1	raw_concat
92	34.36043256347462	SRR12204734	1	raw_concat
97	34.11701913233631	SRR12204734	1	raw_concat
102	33.90690636973363	SRR12204734	1	raw_concat
107	33.71670448648302	SRR12204734	1	raw_concat
112	33.496463678012034	SRR12204734	1	raw_concat
117	33.34145862151681	SRR12204734	1	raw_concat
122	33.12423374018601	SRR12204734	1	raw_concat
127	32.9574193547684	SRR12204734	1	raw_concat
132	32.76218721056269	SRR12204734	1	raw_concat
137	32.58813719005011	SRR12204734	1	raw_concat
142	32.40552603733197	SRR12204734	1	raw_concat
147	32.263960054514904	SRR12204734	1	raw_concat
150	32.21146900952085	SRR12204734	1	raw_concat
1	34.500643394078146	SRR12204734	2	raw_concat
2	34.52017677865158	SRR12204734	2	raw_concat
3	34.84779323741799	SRR12204734	2	raw_concat
4	34.77874793706378	SRR12204734	2	raw_concat
5	34.849836342646675	SRR12204734	2	raw_concat
6	34.770772394568525	SRR12204734	2	raw_concat
7	34.70116053255112	SRR12204734	2	raw_concat
8	34.682065356759935	SRR12204734	2	raw_concat
9	34.68512056348777	SRR12204734	2	raw_concat
12	34.69273850114566	SRR12204734	2	raw_concat
17	34.62488746708716	SRR12204734	2	raw_concat
22	34.598883262569345	SRR12204734	2	raw_concat
27	34.46254001058783	SRR12204734	2	raw_concat
32	34.412129490898245	SRR12204734	2	raw_concat
37	34.36552573180535	SRR12204734	2	raw_concat
42	34.33391398647058	SRR12204734	2	raw_concat
47	34.18885197274049	SRR12204734	2	raw_concat
52	34.09496038006323	SRR12204734	2	raw_concat
57	34.029308731466266	SRR12204734	2	raw_concat
62	33.94334538905302	SRR12204734	2	raw_concat
67	33.747126130353124	SRR12204734	2	raw_concat
72	33.61822736924275	SRR12204734	2	raw_concat
77	33.499778248504086	SRR12204734	2	raw_concat
82	33.407231216649095	SRR12204734	2	raw_concat
87	33.28602693534147	SRR12204734	2	raw_concat
92	33.09951820215933	SRR12204734	2	raw_concat
97	32.95689098987641	SRR12204734	2	raw_concat
102	32.747970882719	SRR12204734	2	raw_concat
107	32.57665866799172	SRR12204734	2	raw_concat
112	32.41043807712048	SRR12204734	2	raw_concat
117	32.23769934534384	SRR12204734	2	raw_concat
122	32.04939938113424	SRR12204734	2	raw_concat
127	31.90187628908283	SRR12204734	2	raw_concat
132	31.711451295119303	SRR12204734	2	raw_concat
137	31.57475202141175	SRR12204734	2	raw_concat
142	31.39425452639813	SRR12204734	2	raw_concat
147	31.282104822595976	SRR12204734	2	raw_concat
150	31.329538363844932	SRR12204734	2	raw_concat
1	36.349284609674754	SRR12204735	1	raw_concat
2	36.29973498947796	SRR12204735	1	raw_concat
3	36.43006675843913	SRR12204735	1	raw_concat
4	36.47049226206392	SRR12204735	1	raw_concat
5	36.48839663363304	SRR12204735	1	raw_concat
6	36.47985960115794	SRR12204735	1	raw_concat
7	36.430544819544096	SRR12204735	1	raw_concat
8	36.457069257781775	SRR12204735	1	raw_concat
9	36.49758674458974	SRR12204735	1	raw_concat
12	36.514280507848454	SRR12204735	1	raw_concat
17	36.49576737260152	SRR12204735	1	raw_concat
22	36.48582813797216	SRR12204735	1	raw_concat
27	36.45117190675513	SRR12204735	1	raw_concat
32	36.410646452732955	SRR12204735	1	raw_concat
37	36.393945154523784	SRR12204735	1	raw_concat
42	36.31438109604676	SRR12204735	1	raw_concat
47	36.19501470288286	SRR12204735	1	raw_concat
52	36.22309214328675	SRR12204735	1	raw_concat
57	36.22316618187381	SRR12204735	1	raw_concat
62	36.082508858802335	SRR12204735	1	raw_concat
67	36.12378248721207	SRR12204735	1	raw_concat
72	35.90868293597	SRR12204735	1	raw_concat
77	36.159942229221244	SRR12204735	1	raw_concat
82	36.13355518234353	SRR12204735	1	raw_concat
87	36.0608872118107	SRR12204735	1	raw_concat
92	36.01428626748039	SRR12204735	1	raw_concat
97	35.95508825411373	SRR12204735	1	raw_concat
102	35.91722056316091	SRR12204735	1	raw_concat
107	35.832389815166806	SRR12204735	1	raw_concat
112	35.746889108509166	SRR12204735	1	raw_concat
117	35.681164874523176	SRR12204735	1	raw_concat
122	35.56590139184513	SRR12204735	1	raw_concat
127	35.49159722532583	SRR12204735	1	raw_concat
132	35.39998480155006	SRR12204735	1	raw_concat
137	35.30303943041764	SRR12204735	1	raw_concat
142	35.226966154578335	SRR12204735	1	raw_concat
147	35.03796427717988	SRR12204735	1	raw_concat
150	34.84211412571717	SRR12204735	1	raw_concat
1	35.93169080053922	SRR12204735	2	raw_concat
2	35.73196204604206	SRR12204735	2	raw_concat
3	35.895703819235635	SRR12204735	2	raw_concat
4	35.843841927009194	SRR12204735	2	raw_concat
5	36.034273387503916	SRR12204735	2	raw_concat
6	36.086236494428576	SRR12204735	2	raw_concat
7	35.97503727347804	SRR12204735	2	raw_concat
8	35.88309152490944	SRR12204735	2	raw_concat
9	35.934156685120456	SRR12204735	2	raw_concat
12	35.879750222890415	SRR12204735	2	raw_concat
17	35.88698750960829	SRR12204735	2	raw_concat
22	35.79992945271966	SRR12204735	2	raw_concat
27	35.689288819655275	SRR12204735	2	raw_concat
32	35.72584835548453	SRR12204735	2	raw_concat
37	35.71649895886769	SRR12204735	2	raw_concat
42	35.69731132760046	SRR12204735	2	raw_concat
47	35.651778089564104	SRR12204735	2	raw_concat
52	35.61685392898524	SRR12204735	2	raw_concat
57	35.64663448997494	SRR12204735	2	raw_concat
62	35.64975500480814	SRR12204735	2	raw_concat
67	35.553793825483154	SRR12204735	2	raw_concat
72	35.48523682164587	SRR12204735	2	raw_concat
77	35.4376139500129	SRR12204735	2	raw_concat
82	35.43919162723481	SRR12204735	2	raw_concat
87	35.511267058813	SRR12204735	2	raw_concat
92	35.49050799060201	SRR12204735	2	raw_concat
97	35.41009283587992	SRR12204735	2	raw_concat
102	35.28950465841001	SRR12204735	2	raw_concat
107	35.20293369566735	SRR12204735	2	raw_concat
112	35.07810687477529	SRR12204735	2	raw_concat
117	34.97510013748212	SRR12204735	2	raw_concat
122	34.80616040612027	SRR12204735	2	raw_concat
127	34.612595856296394	SRR12204735	2	raw_concat
132	34.510586740652045	SRR12204735	2	raw_concat
137	34.25602336950617	SRR12204735	2	raw_concat
142	34.02911050485493	SRR12204735	2	raw_concat
147	33.82946294743029	SRR12204735	2	raw_concat
150	33.65610360740521	SRR12204735	2	raw_concat
1	36.04596950808188	SRR12204847	1	raw_concat
2	36.205418768692404	SRR12204847	1	raw_concat
3	36.268726829128106	SRR12204847	1	raw_concat
4	36.28758110864259	SRR12204847	1	raw_concat
5	36.322409335626034	SRR12204847	1	raw_concat
6	36.296467326706036	SRR12204847	1	raw_concat
7	36.312494648320104	SRR12204847	1	raw_concat
8	36.323663275724705	SRR12204847	1	raw_concat
9	36.32257640487044	SRR12204847	1	raw_concat
12	36.34920935370589	SRR12204847	1	raw_concat
17	36.32947677187637	SRR12204847	1	raw_concat
22	36.30586207021169	SRR12204847	1	raw_concat
27	36.23952637944175	SRR12204847	1	raw_concat
32	36.208923844955315	SRR12204847	1	raw_concat
37	36.16093948213169	SRR12204847	1	raw_concat
42	36.075947096041894	SRR12204847	1	raw_concat
47	35.44554655159188	SRR12204847	1	raw_concat
52	35.70737592125841	SRR12204847	1	raw_concat
57	35.1857846620958	SRR12204847	1	raw_concat
62	35.11551876591196	SRR12204847	1	raw_concat
67	35.085305389333584	SRR12204847	1	raw_concat
72	35.010872442614605	SRR12204847	1	raw_concat
77	35.77329187605655	SRR12204847	1	raw_concat
82	35.75567376283858	SRR12204847	1	raw_concat
87	35.682018549216465	SRR12204847	1	raw_concat
92	35.6065023688835	SRR12204847	1	raw_concat
97	35.50907762750883	SRR12204847	1	raw_concat
102	35.394145190435765	SRR12204847	1	raw_concat
107	35.3026168616684	SRR12204847	1	raw_concat
112	35.19856834349409	SRR12204847	1	raw_concat
117	35.07911605222465	SRR12204847	1	raw_concat
122	34.93849467152513	SRR12204847	1	raw_concat
127	34.82370890679307	SRR12204847	1	raw_concat
132	34.681555422273654	SRR12204847	1	raw_concat
137	34.51657207680523	SRR12204847	1	raw_concat
142	34.3536018785555	SRR12204847	1	raw_concat
147	34.23471013641718	SRR12204847	1	raw_concat
150	34.144204503302895	SRR12204847	1	raw_concat
1	35.639173880973246	SRR12204847	2	raw_concat
2	35.54316334738015	SRR12204847	2	raw_concat
3	35.440606866321154	SRR12204847	2	raw_concat
4	35.31826738178943	SRR12204847	2	raw_concat
5	35.5166085624665	SRR12204847	2	raw_concat
6	35.58243426407952	SRR12204847	2	raw_concat
7	35.135887123854715	SRR12204847	2	raw_concat
8	34.6639510695302	SRR12204847	2	raw_concat
9	34.82026359729582	SRR12204847	2	raw_concat
12	34.65183965077098	SRR12204847	2	raw_concat
17	34.662209625111274	SRR12204847	2	raw_concat
22	34.61520356839294	SRR12204847	2	raw_concat
27	34.46104784024874	SRR12204847	2	raw_concat
32	34.394087175286174	SRR12204847	2	raw_concat
37	34.36753533855159	SRR12204847	2	raw_concat
42	34.3341761260851	SRR12204847	2	raw_concat
47	34.28019474944697	SRR12204847	2	raw_concat
52	34.22332467173885	SRR12204847	2	raw_concat
57	34.33383163006394	SRR12204847	2	raw_concat
62	34.401234289318005	SRR12204847	2	raw_concat
67	34.06992260623595	SRR12204847	2	raw_concat
72	34.01048817038394	SRR12204847	2	raw_concat
77	33.90694900850231	SRR12204847	2	raw_concat
82	34.264801391810266	SRR12204847	2	raw_concat
87	34.6437267383484	SRR12204847	2	raw_concat
92	34.693877052252525	SRR12204847	2	raw_concat
97	34.658473239560145	SRR12204847	2	raw_concat
102	34.54708720599565	SRR12204847	2	raw_concat
107	34.43719197494245	SRR12204847	2	raw_concat
112	34.32335333132477	SRR12204847	2	raw_concat
117	34.134700505122495	SRR12204847	2	raw_concat
122	34.04619420947198	SRR12204847	2	raw_concat
127	33.91031596733093	SRR12204847	2	raw_concat
132	33.769715759917446	SRR12204847	2	raw_concat
137	33.63598285581132	SRR12204847	2	raw_concat
142	33.42594032819856	SRR12204847	2	raw_concat
147	33.21908927705255	SRR12204847	2	raw_concat
150	33.09276754526207	SRR12204847	2	raw_concat
1	36.22198663080778	SRR12204848	1	raw_concat
2	36.306515888753594	SRR12204848	1	raw_concat
3	36.37180091918008	SRR12204848	1	raw_concat
4	36.40091703937099	SRR12204848	1	raw_concat
5	36.415255570766526	SRR12204848	1	raw_concat
6	36.37908234753173	SRR12204848	1	raw_concat
7	36.34365528303322	SRR12204848	1	raw_concat
8	36.353421448006294	SRR12204848	1	raw_concat
9	36.404722224887	SRR12204848	1	raw_concat
12	36.41449983460585	SRR12204848	1	raw_concat
17	36.38978831010216	SRR12204848	1	raw_concat
22	36.37651527901197	SRR12204848	1	raw_concat
27	36.31801439898247	SRR12204848	1	raw_concat
32	36.2753574084753	SRR12204848	1	raw_concat
37	36.25021971029989	SRR12204848	1	raw_concat
42	36.19245442462597	SRR12204848	1	raw_concat
47	36.09996217489806	SRR12204848	1	raw_concat
52	36.12601125817155	SRR12204848	1	raw_concat
57	36.173809443443076	SRR12204848	1	raw_concat
