mean_phred_score	n_sequences	sample	read_pair	stage
12	1	SRR12204734	1	raw_concat
13	40	SRR12204734	1	raw_concat
14	339	SRR12204734	1	raw_concat
15	1756	SRR12204734	1	raw_concat
16	6136	SRR12204734	1	raw_concat
17	16789	SRR12204734	1	raw_concat
18	40653	SRR12204734	1	raw_concat
19	94482	SRR12204734	1	raw_concat
20	207941	SRR12204734	1	raw_concat
21	424375	SRR12204734	1	raw_concat
22	788409	SRR12204734	1	raw_concat
23	1365460	SRR12204734	1	raw_concat
24	2095705	SRR12204734	1	raw_concat
25	2829098	SRR12204734	1	raw_concat
26	3453170	SRR12204734	1	raw_concat
27	3811470	SRR12204734	1	raw_concat
28	3993646	SRR12204734	1	raw_concat
29	4361038	SRR12204734	1	raw_concat
30	5017768	SRR12204734	1	raw_concat
31	6101528	SRR12204734	1	raw_concat
32	7890087	SRR12204734	1	raw_concat
33	10937093	SRR12204734	1	raw_concat
34	15867899	SRR12204734	1	raw_concat
35	25164365	SRR12204734	1	raw_concat
36	99095821	SRR12204734	1	raw_concat
37	8315869	SRR12204734	1	raw_concat
11	2446	SRR12204734	2	raw_concat
12	101256	SRR12204734	2	raw_concat
13	331225	SRR12204734	2	raw_concat
14	351051	SRR12204734	2	raw_concat
15	279037	SRR12204734	2	raw_concat
16	259506	SRR12204734	2	raw_concat
17	302651	SRR12204734	2	raw_concat
18	416859	SRR12204734	2	raw_concat
19	613844	SRR12204734	2	raw_concat
20	937225	SRR12204734	2	raw_concat
21	1429242	SRR12204734	2	raw_concat
22	2053708	SRR12204734	2	raw_concat
23	2667768	SRR12204734	2	raw_concat
24	3268793	SRR12204734	2	raw_concat
25	3889735	SRR12204734	2	raw_concat
26	4488647	SRR12204734	2	raw_concat
27	5029077	SRR12204734	2	raw_concat
28	5477470	SRR12204734	2	raw_concat
29	6083199	SRR12204734	2	raw_concat
30	6915065	SRR12204734	2	raw_concat
31	8226574	SRR12204734	2	raw_concat
32	10241880	SRR12204734	2	raw_concat
33	13189714	SRR12204734	2	raw_concat
34	18391460	SRR12204734	2	raw_concat
35	32629838	SRR12204734	2	raw_concat
36	71328151	SRR12204734	2	raw_concat
37	2975517	SRR12204734	2	raw_concat
13	1	SRR12204735	1	raw_concat
14	34	SRR12204735	1	raw_concat
15	150	SRR12204735	1	raw_concat
16	583	SRR12204735	1	raw_concat
17	2094	SRR12204735	1	raw_concat
18	6233	SRR12204735	1	raw_concat
19	15078	SRR12204735	1	raw_concat
20	31717	SRR12204735	1	raw_concat
