name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads	sample
Bacteria	2	D	1212901	280	1213181	0.94731	SRR12204848
Archaea	2157	D	3132	0	3132	0.00245	SRR12204848
Eukaryota	2759	D	363	2	365	2.9e-4	SRR12204848
Viruses	10239	D	63975	4	63979	0.04996	SRR12204848
Viruses	10239	D	660095	293	660388	0.88213	SRR12204851
Bacteria	2	D	83906	171	84077	0.11231	SRR12204851
Eukaryota	2759	D	3966	81	4047	0.00541	SRR12204851
Archaea	2157	D	112	0	112	1.5e-4	SRR12204851
Bacteria	2	D	1334973	102	1335075	0.73788	SRR12204735
Archaea	2157	D	461	0	461	2.5e-4	SRR12204735
Eukaryota	2759	D	304	0	304	1.7e-4	SRR12204735
Viruses	10239	D	473501	4	473505	0.2617	SRR12204735
Viruses	10239	D	311606	9	311615	0.71534	SRR12204849
Bacteria	2	D	122547	132	122679	0.28162	SRR12204849
Eukaryota	2759	D	1226	22	1248	0.00286	SRR12204849
Archaea	2157	D	73	0	73	1.7e-4	SRR12204849
Viruses	10239	D	511735	21	511756	0.82891	SRR12204850
Bacteria	2	D	103423	128	103551	0.16773	SRR12204850
Eukaryota	2759	D	1982	36	2018	0.00327	SRR12204850
Archaea	2157	D	55	0	55	9e-5	SRR12204850
Viruses	10239	D	786399	135	786534	0.72278	SRR12204847
Bacteria	2	D	296208	377	296585	0.27255	SRR12204847
Eukaryota	2759	D	4752	90	4842	0.00445	SRR12204847
Archaea	2157	D	240	0	240	2.2e-4	SRR12204847
Viruses	10239	D	750621	32	750653	0.87961	SRR12204734
Bacteria	2	D	87426	416	87842	0.10293	SRR12204734
Eukaryota	2759	D	14055	803	14858	0.01741	SRR12204734
Archaea	2157	D	39	0	39	5e-5	SRR12204734
