name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads	sample
Bacteria	2	D	410118	598	410716	0.49368	SRR18218730
Eukaryota	2759	D	26203	356	26559	0.03192	SRR18218730
Archaea	2157	D	372	1	373	4.5e-4	SRR18218730
Viruses	10239	D	394232	62	394294	0.47394	SRR18218730
Bacteria	2	D	159069	251	159320	0.48767	SRR18218731
Eukaryota	2759	D	53482	402	53884	0.16494	SRR18218731
Archaea	2157	D	1827	2	1829	0.0056	SRR18218731
Viruses	10239	D	111626	38	111664	0.3418	SRR18218731
Bacteria	2	D	347009	449	347458	0.53399	SRR18218719
Eukaryota	2759	D	50971	621	51592	0.07929	SRR18218719
Archaea	2157	D	1704	2	1706	0.00262	SRR18218719
Viruses	10239	D	249780	148	249928	0.3841	SRR18218719
Bacteria	2	D	4973268	2891	4976159	0.98879	SRR18218723
Archaea	2157	D	10226	7	10233	0.00203	SRR18218723
Eukaryota	2759	D	9221	46	9267	0.00184	SRR18218723
Viruses	10239	D	36829	71	36900	0.00733	SRR18218723
Bacteria	2	D	8773502	5493	8778995	0.99666	SRR18218721
Eukaryota	2759	D	4542	13	4555	5.2e-4	SRR18218721
Archaea	2157	D	3033	1	3034	3.4e-4	SRR18218721
Viruses	10239	D	21688	126	21814	0.00248	SRR18218721
Bacteria	2	D	6524282	3664	6527946	0.99557	SRR18218724
Archaea	2157	D	5279	1	5280	8.1e-4	SRR18218724
Eukaryota	2759	D	1398	3	1401	2.1e-4	SRR18218724
Viruses	10239	D	22322	32	22354	0.00341	SRR18218724
Bacteria	2	D	7366420	4163	7370583	0.99796	SRR18218732
Archaea	2157	D	4593	2	4595	6.2e-4	SRR18218732
Eukaryota	2759	D	2556	9	2565	3.5e-4	SRR18218732
Viruses	10239	D	7738	162	7900	0.00107	SRR18218732
Bacteria	2	D	472275	450	472725	0.70634	SRR18218718
Eukaryota	2759	D	7614	95	7709	0.01152	SRR18218718
Archaea	2157	D	3174	0	3174	0.00474	SRR18218718
Viruses	10239	D	185568	82	185650	0.2774	SRR18218718
Bacteria	2	D	637515	491	638006	0.68607	SRR18218720
Eukaryota	2759	D	17038	114	17152	0.01844	SRR18218720
Archaea	2157	D	8311	0	8311	0.00894	SRR18218720
Viruses	10239	D	266433	40	266473	0.28655	SRR18218720
Bacteria	2	D	167482	450	167932	0.57051	SRR18218717
Eukaryota	2759	D	50056	661	50717	0.1723	SRR18218717
Archaea	2157	D	6881	3	6884	0.02339	SRR18218717
Viruses	10239	D	68769	48	68817	0.23379	SRR18218717
Bacteria	2	D	7803355	3720	7807075	0.99744	SRR18218722
Eukaryota	2759	D	6691	34	6725	8.6e-4	SRR18218722
Archaea	2157	D	5393	3	5396	6.9e-4	SRR18218722
Viruses	10239	D	7860	87	7947	0.00102	SRR18218722
Bacteria	2	D	9950693	6249	9956942	0.99291	SRR18218733
Archaea	2157	D	5272	2	5274	5.3e-4	SRR18218733
Eukaryota	2759	D	3276	13	3289	3.3e-4	SRR18218733
Viruses	10239	D	62249	327	62576	0.00624	SRR18218733
