name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads	sample
Bacteria	2	D	680181	414	680595	0.99817	SRR18218732
Archaea	2157	D	388	0	388	5.7e-4	SRR18218732
Eukaryota	2759	D	185	0	185	2.7e-4	SRR18218732
Viruses	10239	D	663	11	674	9.9e-4	SRR18218732
Bacteria	2	D	437286	255	437541	0.98995	SRR18218723
Archaea	2157	D	826	0	826	0.00187	SRR18218723
Eukaryota	2759	D	723	3	726	0.00164	SRR18218723
Viruses	10239	D	2883	4	2887	0.00653	SRR18218723
Bacteria	2	D	632537	314	632851	0.99776	SRR18218722
Eukaryota	2759	D	433	2	435	6.9e-4	SRR18218722
Archaea	2157	D	374	0	374	5.9e-4	SRR18218722
Viruses	10239	D	600	8	608	9.6e-4	SRR18218722
Bacteria	2	D	1076980	639	1077619	0.99708	SRR18218721
Eukaryota	2759	D	444	1	445	4.1e-4	SRR18218721
Archaea	2157	D	319	0	319	3e-4	SRR18218721
Viruses	10239	D	2374	12	2386	0.00221	SRR18218721
Bacteria	2	D	946344	581	946925	0.99377	SRR18218733
Archaea	2157	D	439	0	439	4.6e-4	SRR18218733
Eukaryota	2759	D	238	0	238	2.5e-4	SRR18218733
Viruses	10239	D	5210	50	5260	0.00552	SRR18218733
Bacteria	2	D	805764	965	806729	0.88089	SRR18218730
Eukaryota	2759	D	46991	1336	48327	0.05277	SRR18218730
Archaea	2157	D	76	0	76	8e-5	SRR18218730
Viruses	10239	D	60671	4	60675	0.06625	SRR18218730
Bacteria	2	D	1215948	383	1216331	0.93761	SRR18218720
Eukaryota	2759	D	26490	224	26714	0.02059	SRR18218720
Archaea	2157	D	7335	1	7336	0.00565	SRR18218720
Viruses	10239	D	46885	1	46886	0.03614	SRR18218720
Bacteria	2	D	402898	379	403277	0.66096	SRR18218731
Eukaryota	2759	D	165123	2053	167176	0.274	SRR18218731
Archaea	2157	D	1620	2	1622	0.00266	SRR18218731
Viruses	10239	D	38061	3	38064	0.06239	SRR18218731
Bacteria	2	D	2530011	186	2530197	0.98688	SRR18218718
Eukaryota	2759	D	7258	69	7327	0.00286	SRR18218718
Archaea	2157	D	1780	0	1780	6.9e-4	SRR18218718
Viruses	10239	D	24520	5	24525	0.00957	SRR18218718
Bacteria	2	D	677838	350	678188	0.99606	SRR18218724
Archaea	2157	D	454	0	454	6.7e-4	SRR18218724
Eukaryota	2759	D	144	0	144	2.1e-4	SRR18218724
Viruses	10239	D	2077	3	2080	0.00305	SRR18218724
Bacteria	2	D	559878	1322	561200	0.68835	SRR18218719
Eukaryota	2759	D	159345	3533	162878	0.19978	SRR18218719
Archaea	2157	D	2289	3	2292	0.00281	SRR18218719
Viruses	10239	D	88893	15	88908	0.10905	SRR18218719
Bacteria	2	D	588702	789	589491	0.65551	SRR18218717
Eukaryota	2759	D	259960	4200	264160	0.29374	SRR18218717
Archaea	2157	D	18785	13	18798	0.0209	SRR18218717
Viruses	10239	D	26832	8	26840	0.02985	SRR18218717
