sample	classification	n_reads	p_reads
SRR18218717	Filtered	5819638	0.09100183126776298
SRR18218717	Duplicate	54378953	0.8503251070639812
SRR18218717	Ribosomal	1854470	0.028998395781855917
SRR18218717	Unassigned	1603368	0.025071907255422174
SRR18218717	Bacterial	167932	0.002625957066136755
SRR18218717	Archaeal	6884	1.0764528763598017e-4
SRR18218717	Viral	68817	0.0010760932247596234
SRR18218717	Human	50717	7.930630524453815e-4
SRR18218718	Filtered	1936414	0.0348254089555039
SRR18218718	Duplicate	50002753	0.8992737720993804
SRR18218718	Ribosomal	2299997	0.04136426204387704
SRR18218718	Unassigned	695060	0.012500296294393937
SRR18218718	Bacterial	472725	0.008501715773843083
SRR18218718	Archaeal	3174	5.7082756076319106e-5
SRR18218718	Viral	185650	0.003338819680393397
SRR18218718	Human	7709	1.386423965319294e-4
SRR18218719	Filtered	4494724	0.08144898136584756
SRR18218719	Duplicate	46895534	0.8497948872739396
SRR18218719	Ribosomal	1872082	0.03392403447538461
SRR18218719	Unassigned	1271509	0.02304103941588126
SRR18218719	Bacterial	347458	0.006296293202299999
SRR18218719	Archaeal	1706	3.0914459310546305e-5
SRR18218719	Viral	249928	0.004528950167975509
SRR18218719	Human	51592	9.348996393609057e-4
SRR18218720	Filtered	5116492	0.13318580181166814
SRR18218720	Duplicate	28726402	0.7477679792198066
SRR18218720	Ribosomal	2439184	0.06349363524973593
SRR18218720	Unassigned	1204177	0.0313455545846977
SRR18218720	Bacterial	638006	0.01660773449282343
SRR18218720	Archaeal	8311	2.1634103969219026e-4
SRR18218720	Viral	266473	0.006936475258079294
SRR18218720	Human	17152	4.4647834349662463e-4
SRR18218721	Filtered	3636816	0.08145223718980626
SRR18218721	Duplicate	22869816	0.5122056428808128
SRR18218721	Ribosomal	255916	0.00573164293510215
SRR18218721	Unassigned	9078730	0.20333249450679106
SRR18218721	Bacterial	8778995	0.19661945587242335
SRR18218721	Archaeal	3034	6.79512209674265e-5
SRR18218721	Viral	21814	4.88558976329414e-4
SRR18218721	Human	4555	1.0201641776751079e-4
SRR18218722	Filtered	2849818	0.0969414713355527
SRR18218722	Duplicate	9307036	0.3165948715366936
SRR18218722	Ribosomal	185203	0.006299999268640442
SRR18218722	Unassigned	9228105	0.3139098975229192
SRR18218722	Bacterial	7807075	0.2655711127261496
SRR18218722	Archaeal	5396	1.8355424077139043e-4
SRR18218722	Viral	7947	2.7033090278173456e-4
SRR18218722	Human	6725	2.2876246649140117e-4
SRR18218723	Filtered	3068194	0.1278787359444398
SRR18218723	Duplicate	8367471	0.34874640082464065
SRR18218723	Ribosomal	122429	0.005102697470545154
SRR18218723	Unassigned	7402343	0.30852099504372027
SRR18218723	Bacterial	4976159	0.20740048470812064
SRR18218723	Archaeal	10233	4.264994667610498e-4
SRR18218723	Viral	36900	0.0015379488247320176
SRR18218723	Human	9267	3.8623771704042296e-4
SRR18218724	Filtered	2399642	0.0861133617564177
SRR18218724	Duplicate	12236472	0.4391170599440567
SRR18218724	Ribosomal	135093	0.004847936642115673
SRR18218724	Unassigned	6537894	0.23461834354754285
SRR18218724	Bacterial	6527946	0.23426135041158638
SRR18218724	Archaeal	5280	1.8947765961501155e-4
SRR18218724	Viral	22354	8.021938642109788e-4
SRR18218724	Human	1401	5.027617445466499e-5
SRR18218730	Filtered	1296255	0.04478666101000795
SRR18218730	Duplicate	24111687	0.8330783310756106
SRR18218730	Ribosomal	1428123	0.04934280730380642
SRR18218730	Unassigned	1274874	0.044047930128310306
SRR18218730	Bacterial	410716	0.014190570731365685
SRR18218730	Archaeal	373	1.2887452358319132e-5
SRR18218730	Viral	394294	0.013623177319493522
SRR18218730	Human	26559	9.176349790471791e-4
SRR18218731	Filtered	3411495	0.09933179000748389
SRR18218731	Duplicate	28424545	0.8276315618220974
SRR18218731	Ribosomal	1331786	0.03877733582693421
SRR18218731	Unassigned	849920	0.024746943777775053
SRR18218731	Bacterial	159320	0.004638887286656534
SRR18218731	Archaeal	1829	5.325461239828522e-5
SRR18218731	Viral	111664	0.0032512974515265833
SRR18218731	Human	53884	0.0015689292151280486
SRR18218732	Filtered	3430769	0.12092197032972118
SRR18218732	Duplicate	10733528	0.37831732604242124
SRR18218732	Ribosomal	150652	0.005309928087292719
SRR18218732	Unassigned	6671167	0.2351340641234123
SRR18218732	Bacterial	7370583	0.25978590188926953
SRR18218732	Archaeal	4595	1.619568247425195e-4
SRR18218732	Viral	7900	2.7844590108071904e-4
SRR18218732	Human	2565	9.040680205975245e-5
SRR18218733	Filtered	3776043	0.09036018557320345
SRR18218733	Duplicate	16807860	0.40220975997583275
SRR18218733	Ribosomal	191437	0.004581060873930024
SRR18218733	Unassigned	10985371	0.26287840529106465
SRR18218733	Bacterial	9956942	0.23826824187691284
SRR18218733	Archaeal	5274	1.2620608894365742e-4
SRR18218733	Viral	62576	0.0014974350060178816
SRR18218733	Human	3289	7.870531409474579e-5
