position	pc_adapters	sample	adapter	read_pair	stage
1	0.002451902729820574	SRR18218717	polyg	1	dedup
2	0.0037045052113593457	SRR18218717	polyg	1	dedup
3	0.00397101637764419	SRR18218717	polyg	1	dedup
4	0.004184225310672067	SRR18218717	polyg	1	dedup
5	0.005889896774895075	SRR18218717	polyg	1	dedup
6	0.007035894789919908	SRR18218717	polyg	1	dedup
7	0.008581659554372009	SRR18218717	polyg	1	dedup
8	0.010873655584421675	SRR18218717	polyg	1	dedup
9	0.011646537966647727	SRR18218717	polyg	1	dedup
12	0.01769634144131371	SRR18218717	polyg	1	dedup
17	0.029678683477480337	SRR18218717	polyg	1	dedup
22	0.05113283236341036	SRR18218717	polyg	1	dedup
27	0.11152426264355624	SRR18218717	polyg	1	dedup
32	0.1544059092987878	SRR18218717	polyg	1	dedup
37	0.2092325864269061	SRR18218717	polyg	1	dedup
42	0.2604933441501332	SRR18218717	polyg	1	dedup
47	0.2967282023182207	SRR18218717	polyg	1	dedup
52	0.3232567238102142	SRR18218717	polyg	1	dedup
57	0.32511697175088244	SRR18218717	polyg	1	dedup
62	0.32552206872363537	SRR18218717	polyg	1	dedup
67	0.32610306306613634	SRR18218717	polyg	1	dedup
72	0.32672136897191717	SRR18218717	polyg	1	dedup
77	0.32701453125483054	SRR18218717	polyg	1	dedup
82	0.32796331100680454	SRR18218717	polyg	1	dedup
87	0.3285176542326771	SRR18218717	polyg	1	dedup
92	0.32889610008880155	SRR18218717	polyg	1	dedup
97	0.32954105711121084	SRR18218717	polyg	1	dedup
102	0.32995148430728954	SRR18218717	polyg	1	dedup
107	0.3301380421236889	SRR18218717	polyg	1	dedup
112	0.33119875656550257	SRR18218717	polyg	1	dedup
117	0.332035601627637	SRR18218717	polyg	1	dedup
122	0.3323500848038531	SRR18218717	polyg	1	dedup
127	0.3324940008336469	SRR18218717	polyg	1	dedup
132	0.33260593552348655	SRR18218717	polyg	1	dedup
137	0.332632586640115	SRR18218717	polyg	1	dedup
140	0.332632586640115	SRR18218717	polyg	1	dedup
1	0.0030115761790187484	SRR18218717	polyg	2	dedup
2	0.005889896774895075	SRR18218717	polyg	2	dedup
