position	mean_phred_score	sample	read_pair	stage
1	32.62149391235194	SRR18218717	1	dedup
2	32.758211209033234	SRR18218717	1	dedup
3	35.311312492870826	SRR18218717	1	dedup
4	36.03030844936341	SRR18218717	1	dedup
5	36.25392144530071	SRR18218717	1	dedup
6	38.36397083515005	SRR18218717	1	dedup
7	38.32833242897211	SRR18218717	1	dedup
8	38.57300220564641	SRR18218717	1	dedup
9	38.5468129528691	SRR18218717	1	dedup
12	38.603150428496654	SRR18218717	1	dedup
17	38.43196238778003	SRR18218717	1	dedup
22	38.317712105324944	SRR18218717	1	dedup
27	38.098410300300586	SRR18218717	1	dedup
32	38.05234336419349	SRR18218717	1	dedup
37	37.921270078024996	SRR18218717	1	dedup
42	37.904576016846946	SRR18218717	1	dedup
47	37.90054385490295	SRR18218717	1	dedup
52	37.86533555834575	SRR18218717	1	dedup
57	37.86768046110421	SRR18218717	1	dedup
62	37.83025816753805	SRR18218717	1	dedup
67	37.854078877687655	SRR18218717	1	dedup
72	37.865107601930845	SRR18218717	1	dedup
77	37.67381651244627	SRR18218717	1	dedup
82	37.91727943520411	SRR18218717	1	dedup
87	37.91886938507726	SRR18218717	1	dedup
92	37.893184332601905	SRR18218717	1	dedup
97	37.865858290968255	SRR18218717	1	dedup
102	37.86722280796939	SRR18218717	1	dedup
107	37.823121417285726	SRR18218717	1	dedup
112	37.74856441619461	SRR18218717	1	dedup
117	37.66905498653326	SRR18218717	1	dedup
122	37.63793019440689	SRR18218717	1	dedup
127	37.56159550273683	SRR18218717	1	dedup
132	37.51676107368982	SRR18218717	1	dedup
137	37.55052714433954	SRR18218717	1	dedup
142	37.57753706837445	SRR18218717	1	dedup
147	37.59160491792507	SRR18218717	1	dedup
150	36.898412294814676	SRR18218717	1	dedup
1	32.30198513507319	SRR18218717	2	dedup
2	31.66006207578085	SRR18218717	2	dedup
3	33.686962113838646	SRR18218717	2	dedup
4	34.30423075816031	SRR18218717	2	dedup
5	34.1185646881233	SRR18218717	2	dedup
6	35.83024118194504	SRR18218717	2	dedup
7	35.98216640530805	SRR18218717	2	dedup
8	35.978002701357184	SRR18218717	2	dedup
