mean_phred_score	n_sequences	sample	read_pair	stage
25	8003	SRR18218717	1	dedup
26	16394	SRR18218717	1	dedup
27	29318	SRR18218717	1	dedup
28	48851	SRR18218717	1	dedup
29	73781	SRR18218717	1	dedup
30	101820	SRR18218717	1	dedup
31	129796	SRR18218717	1	dedup
32	154588	SRR18218717	1	dedup
33	178304	SRR18218717	1	dedup
34	200603	SRR18218717	1	dedup
35	224114	SRR18218717	1	dedup
36	246826	SRR18218717	1	dedup
37	278086	SRR18218717	1	dedup
38	336230	SRR18218717	1	dedup
39	570340	SRR18218717	1	dedup
40	1140982	SRR18218717	1	dedup
41	14152	SRR18218717	1	dedup
25	67905	SRR18218717	2	dedup
26	103551	SRR18218717	2	dedup
27	138754	SRR18218717	2	dedup
28	175828	SRR18218717	2	dedup
29	207713	SRR18218717	2	dedup
30	231741	SRR18218717	2	dedup
31	247593	SRR18218717	2	dedup
32	254999	SRR18218717	2	dedup
33	253423	SRR18218717	2	dedup
34	248606	SRR18218717	2	dedup
35	241273	SRR18218717	2	dedup
36	233516	SRR18218717	2	dedup
37	234270	SRR18218717	2	dedup
38	257580	SRR18218717	2	dedup
39	395935	SRR18218717	2	dedup
40	455570	SRR18218717	2	dedup
41	3931	SRR18218717	2	dedup
25	1072	SRR18218718	1	dedup
26	3582	SRR18218718	1	dedup
27	9605	SRR18218718	1	dedup
28	20821	SRR18218718	1	dedup
29	36924	SRR18218718	1	dedup
30	55932	SRR18218718	1	dedup
31	73753	SRR18218718	1	dedup
32	90658	SRR18218718	1	dedup
33	104439	SRR18218718	1	dedup
34	117168	SRR18218718	1	dedup
35	130549	SRR18218718	1	dedup
36	146219	SRR18218718	1	dedup
37	173198	SRR18218718	1	dedup
38	220715	SRR18218718	1	dedup
39	386867	SRR18218718	1	dedup
40	2052888	SRR18218718	1	dedup
41	39925	SRR18218718	1	dedup
25	49005	SRR18218718	2	dedup
26	75313	SRR18218718	2	dedup
27	101277	SRR18218718	2	dedup
28	126980	SRR18218718	2	dedup
29	147102	SRR18218718	2	dedup
30	159580	SRR18218718	2	dedup
31	163844	SRR18218718	2	dedup
32	160876	SRR18218718	2	dedup
33	154157	SRR18218718	2	dedup
34	147460	SRR18218718	2	dedup
35	144376	SRR18218718	2	dedup
36	149031	SRR18218718	2	dedup
37	166811	SRR18218718	2	dedup
38	219176	SRR18218718	2	dedup
39	404933	SRR18218718	2	dedup
40	1288373	SRR18218718	2	dedup
41	6021	SRR18218718	2	dedup
25	7335	SRR18218719	1	dedup
26	15110	SRR18218719	1	dedup
27	27658	SRR18218719	1	dedup
28	46773	SRR18218719	1	dedup
29	70585	SRR18218719	1	dedup
30	98328	SRR18218719	1	dedup
31	126398	SRR18218719	1	dedup
32	152229	SRR18218719	1	dedup
33	174525	SRR18218719	1	dedup
34	199122	SRR18218719	1	dedup
35	222320	SRR18218719	1	dedup
36	245091	SRR18218719	1	dedup
37	274845	SRR18218719	1	dedup
38	333360	SRR18218719	1	dedup
39	554156	SRR18218719	1	dedup
40	1222157	SRR18218719	1	dedup
41	24283	SRR18218719	1	dedup
25	76303	SRR18218719	2	dedup
26	114403	SRR18218719	2	dedup
27	150713	SRR18218719	2	dedup
28	186991	SRR18218719	2	dedup
29	216033	SRR18218719	2	dedup
30	239283	SRR18218719	2	dedup
31	252676	SRR18218719	2	dedup
32	257502	SRR18218719	2	dedup
33	253943	SRR18218719	2	dedup
34	244783	SRR18218719	2	dedup
35	232392	SRR18218719	2	dedup
36	223590	SRR18218719	2	dedup
37	221213	SRR18218719	2	dedup
