name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads	sample
Bacteria	2	D	1654918	1330	1656248	0.9957	SRR23083820
Eukaryota	2759	D	3380	58	3438	0.00207	SRR23083820
Archaea	2157	D	3014	1	3015	0.00181	SRR23083820
Viruses	10239	D	700	0	700	4.2e-4	SRR23083820
Bacteria	2	D	291460	575	292035	0.99327	SRR23083734
Archaea	2157	D	1501	4	1505	0.00512	SRR23083734
Eukaryota	2759	D	403	20	423	0.00144	SRR23083734
Viruses	10239	D	50	0	50	1.7e-4	SRR23083734
Bacteria	2	D	893958	1003	894961	0.99409	SRR23083798
Eukaryota	2759	D	3080	36	3116	0.00346	SRR23083798
Archaea	2157	D	1759	1	1760	0.00195	SRR23083798
Viruses	10239	D	439	3	442	4.9e-4	SRR23083798
Bacteria	2	D	7442	37	7479	0.70245	SRR23083751
Eukaryota	2759	D	1819	16	1835	0.17235	SRR23083751
Archaea	2157	D	9	0	9	8.5e-4	SRR23083751
Viruses	10239	D	1320	2	1322	0.12417	SRR23083751
Bacteria	2	D	2465560	2622	2468182	0.99218	SRR23083790
Eukaryota	2759	D	9180	109	9289	0.00373	SRR23083790
Archaea	2157	D	6312	6	6318	0.00254	SRR23083790
Viruses	10239	D	3823	18	3841	0.00154	SRR23083790
Bacteria	2	D	763020	869	763889	0.99665	SRR23083823
Archaea	2157	D	1206	1	1207	0.00157	SRR23083823
Eukaryota	2759	D	937	18	955	0.00125	SRR23083823
Viruses	10239	D	406	0	406	5.3e-4	SRR23083823
Bacteria	2	D	458335	386	458721	0.9971	SRR23083797
Archaea	2157	D	624	0	624	0.00136	SRR23083797
Eukaryota	2759	D	461	2	463	0.00101	SRR23083797
Viruses	10239	D	243	1	244	5.3e-4	SRR23083797
Bacteria	2	D	444200	1221	445421	0.98906	SRR23083718
Archaea	2157	D	3210	6	3216	0.00714	SRR23083718
Eukaryota	2759	D	1238	57	1295	0.00288	SRR23083718
Viruses	10239	D	417	0	417	0.00093000000000000005	SRR23083718
Bacteria	2	D	576065	1837	577902	0.9422	SRR23083762
Eukaryota	2759	D	6546	516	7062	0.01151	SRR23083762
Archaea	2157	D	2744	11	2755	0.00449	SRR23083762
Viruses	10239	D	25629	4	25633	0.04179	SRR23083762
Bacteria	2	D	497454	586	498040	0.99614	SRR23083789
Archaea	2157	D	1041	0	1041	0.00208	SRR23083789
Eukaryota	2759	D	579	14	593	0.00119	SRR23083789
Viruses	10239	D	295	0	295	5.9e-4	SRR23083789
Bacteria	2	D	92847	304	93151	0.9404	SRR23083753
Archaea	2157	D	302	0	302	0.00305	SRR23083753
Eukaryota	2759	D	260	10	270	0.00273	SRR23083753
Viruses	10239	D	5330	0	5330	0.05381	SRR23083753
Bacteria	2	D	801128	897	802025	0.99591	SRR23083778
Archaea	2157	D	1682	1	1683	0.00209	SRR23083778
Eukaryota	2759	D	1163	21	1184	0.00147	SRR23083778
Viruses	10239	D	424	0	424	5.3e-4	SRR23083778
Bacteria	2	D	636600	1567	638167	0.82062	SRR23083747
Eukaryota	2759	D	87292	508	87800	0.1129	SRR23083747
Archaea	2157	D	862	0	862	0.00111	SRR23083747
Viruses	10239	D	50664	175	50839	0.06537	SRR23083747
Bacteria	2	D	202188	616	202804	0.96119	SRR23083758
Eukaryota	2759	D	2506	106	2612	0.01238	SRR23083758
Archaea	2157	D	593	1	594	0.00282	SRR23083758
Viruses	10239	D	4973	7	4980	0.0236	SRR23083758
Bacteria	2	D	271775	1033	272808	0.95709	SRR23083742
Archaea	2157	D	1432	1	1433	0.00503	SRR23083742
Eukaryota	2759	D	1348	49	1397	0.0049	SRR23083742
Viruses	10239	D	9400	1	9401	0.03298	SRR23083742
Bacteria	2	D	1393401	1655	1395056	0.99528	SRR23083756
Archaea	2157	D	4234	3	4237	0.00302	SRR23083756
Eukaryota	2759	D	2117	39	2156	0.00154	SRR23083756
Viruses	10239	D	220	0	220	1.6e-4	SRR23083756
Bacteria	2	D	390508	2167	392675	0.99571	SRR23083825
Archaea	2157	D	903	0	903	0.00229	SRR23083825
Eukaryota	2759	D	692	14	706	0.00179	SRR23083825
Viruses	10239	D	80	0	80	2e-4	SRR23083825
Bacteria	2	D	329315	775	330090	0.94837	SRR23083769
Eukaryota	2759	D	11091	393	11484	0.03299	SRR23083769
Archaea	2157	D	1558	3	1561	0.00448	SRR23083769
Viruses	10239	D	4920	4	4924	0.01415	SRR23083769
Bacteria	2	D	310739	1085	311824	0.88545	SRR23083744
Eukaryota	2759	D	11179	395	11574	0.03287	SRR23083744
Archaea	2157	D	1385	4	1389	0.00394	SRR23083744
Viruses	10239	D	27359	16	27375	0.07773	SRR23083744
Bacteria	2	D	308840	478	309318	0.99349	SRR23083799
Archaea	2157	D	1337	1	1338	0.0043	SRR23083799
Eukaryota	2759	D	629	15	644	0.00207	SRR23083799
Viruses	10239	D	43	0	43	1.4e-4	SRR23083799
Bacteria	2	D	1078846	1410	1080256	0.99433	SRR23083806
Archaea	2157	D	4138	4	4142	0.00381	SRR23083806
Eukaryota	2759	D	1861	36	1897	0.00175	SRR23083806
Viruses	10239	D	125	0	125	1.2e-4	SRR23083806
Bacteria	2	D	6136767	5384	6142151	0.99212	SRR23083773
Eukaryota	2759	D	11690	50	11740	0.0019	SRR23083773
Archaea	2157	D	9642	4	9646	0.00156	SRR23083773
Viruses	10239	D	27286	80	27366	0.00442	SRR23083773
Bacteria	2	D	666043	1289	667332	0.98843	SRR23083810
Archaea	2157	D	4524	4	4528	0.00671	SRR23083810
Eukaryota	2759	D	2679	136	2815	0.00417	SRR23083810
Viruses	10239	D	466	0	466	6.9e-4	SRR23083810
Bacteria	2	D	87030	325	87355	0.89582	SRR23083738
Eukaryota	2759	D	4191	73	4264	0.04373	SRR23083738
Archaea	2157	D	218	0	218	0.00224	SRR23083738
Viruses	10239	D	5671	5	5676	0.05821	SRR23083738
Bacteria	2	D	400144	1836	401980	0.91217	SRR23083720
Eukaryota	2759	D	3163	145	3308	0.00751	SRR23083720
Archaea	2157	D	2170	9	2179	0.00494	SRR23083720
Viruses	10239	D	33185	33	33218	0.07538	SRR23083720
Bacteria	2	D	1130532	3773	1134305	0.96951	SRR23083729
Archaea	2157	D	9462	16	9478	0.0081	SRR23083729
Eukaryota	2759	D	6428	159	6587	0.00563	SRR23083729
Viruses	10239	D	19608	0	19608	0.01676	SRR23083729
Eukaryota	2759	D	32594	38	32632	0.66983	SRR23083764
Bacteria	2	D	14196	45	14241	0.29232	SRR23083764
Archaea	2157	D	59	0	59	0.00121	SRR23083764
Viruses	10239	D	1781	3	1784	0.03662	SRR23083764
Bacteria	2	D	323613	2035	325648	0.78414	SRR23083725
Eukaryota	2759	D	14304	299	14603	0.03516	SRR23083725
Archaea	2157	D	3734	10	3744	0.00902	SRR23083725
Viruses	10239	D	71067	232	71299	0.17168	SRR23083725
Bacteria	2	D	466241	1668	467909	0.9181	SRR23083740
Eukaryota	2759	D	17225	878	18103	0.03552	SRR23083740
Archaea	2157	D	2239	2	2241	0.0044	SRR23083740
Viruses	10239	D	21382	14	21396	0.04198	SRR23083740
Bacteria	2	D	418441	410	418851	0.99684	SRR23083813
Eukaryota	2759	D	623	14	637	0.00152	SRR23083813
Archaea	2157	D	618	0	618	0.00147	SRR23083813
Viruses	10239	D	72	0	72	1.7e-4	SRR23083813
Bacteria	2	D	1091933	1235	1093168	0.99522	SRR23083787
Archaea	2157	D	2745	1	2746	0.0025	SRR23083787
Eukaryota	2759	D	2290	48	2338	0.00213	SRR23083787
Viruses	10239	D	161	0	161	1.5e-4	SRR23083787
Bacteria	2	D	384134	1574	385708	0.95834	SRR23083736
Eukaryota	2759	D	4714	247	4961	0.01233	SRR23083736
Archaea	2157	D	1988	1	1989	0.00494	SRR23083736
Viruses	10239	D	9814	1	9815	0.02439	SRR23083736
Bacteria	2	D	390512	1597	392109	0.92176	SRR23083731
Eukaryota	2759	D	3223	192	3415	0.00803	SRR23083731
Archaea	2157	D	1318	2	1320	0.0031	SRR23083731
Viruses	10239	D	28526	19	28545	0.0671	SRR23083731
Bacteria	2	D	3908090	3522	3911612	0.99597	SRR23083795
Archaea	2157	D	7202	4	7206	0.00183	SRR23083795
Eukaryota	2759	D	5572	37	5609	0.00143	SRR23083795
Viruses	10239	D	2988	15	3003	7.6e-4	SRR23083795
Bacteria	2	D	295795	565	296360	0.98097	SRR23083804
Archaea	2157	D	3741	7	3748	0.01241	SRR23083804
Eukaryota	2759	D	1838	68	1906	0.00631	SRR23083804
Viruses	10239	D	94	0	94	3.1e-4	SRR23083804
Bacteria	2	D	1838574	2775	1841349	0.97055	SRR23083775
Archaea	2157	D	22823	26	22849	0.01204	SRR23083775
Eukaryota	2759	D	14833	244	15077	0.00795	SRR23083775
Viruses	10239	D	17945	7	17952	0.00946	SRR23083775
Bacteria	2	D	1074421	2704	1077125	0.99115	SRR23083716
