position	pc_adapters	sample	adapter	read_pair	stage
1	0.1473107377937413	SRR23083751	illumina_universal_adapter	1	cleaned
2	0.1663165647933568	SRR23083751	illumina_universal_adapter	1	cleaned
3	0.17853014542261794	SRR23083751	illumina_universal_adapter	1	cleaned
4	0.18706718902572392	SRR23083751	illumina_universal_adapter	1	cleaned
5	0.22158924855945178	SRR23083751	illumina_universal_adapter	1	cleaned
6	0.3551908652387163	SRR23083751	illumina_universal_adapter	1	cleaned
7	0.4322112002273222	SRR23083751	illumina_universal_adapter	1	cleaned
8	0.44984611511549	SRR23083751	illumina_universal_adapter	1	cleaned
9	0.4662970604528621	SRR23083751	illumina_universal_adapter	1	cleaned
12	0.5227661766071297	SRR23083751	illumina_universal_adapter	1	cleaned
17	0.5495612769672433	SRR23083751	illumina_universal_adapter	1	cleaned
22	0.5518045876950668	SRR23083751	illumina_universal_adapter	1	cleaned
27	0.5533499795297896	SRR23083751	illumina_universal_adapter	1	cleaned
32	0.5544840977310781	SRR23083751	illumina_universal_adapter	1	cleaned
37	0.5572882361408575	SRR23083751	illumina_universal_adapter	1	cleaned
42	0.5592449016090146	SRR23083751	illumina_universal_adapter	1	cleaned
47	0.5596935637545792	SRR23083751	illumina_universal_adapter	1	cleaned
52	0.5598057292909705	SRR23083751	illumina_universal_adapter	1	cleaned
57	0.5601297630627673	SRR23083751	illumina_universal_adapter	1	cleaned
62	0.5603291684607961	SRR23083751	illumina_universal_adapter	1	cleaned
67	0.5610146245165197	SRR23083751	illumina_universal_adapter	1	cleaned
72	0.5617000805722436	SRR23083751	illumina_universal_adapter	1	cleaned
77	0.562173668392562	SRR23083751	illumina_universal_adapter	1	cleaned
82	0.5628591244482858	SRR23083751	illumina_universal_adapter	1	cleaned
87	0.5637564487394152	SRR23083751	illumina_universal_adapter	1	cleaned
92	0.5655884858338043	SRR23083751	illumina_universal_adapter	1	cleaned
97	0.5666727526855857	SRR23083751	illumina_universal_adapter	1	cleaned
102	0.5673457459039327	SRR23083751	illumina_universal_adapter	1	cleaned
107	0.5685920296416125	SRR23083751	illumina_universal_adapter	1	cleaned
112	0.5693273370468435	SRR23083751	illumina_universal_adapter	1	cleaned
117	0.57001279310256725	SRR23083751	illumina_universal_adapter	1	cleaned
122	0.5708727288815663	SRR23083751	illumina_universal_adapter	1	cleaned
127	0.5715955734494205	SRR23083751	illumina_universal_adapter	1	cleaned
132	0.572119012619246	SRR23083751	illumina_universal_adapter	1	cleaned
137	0.5731285024467665	SRR23083751	illumina_universal_adapter	1	cleaned
140	0.5732282051457809	SRR23083751	illumina_universal_adapter	1	cleaned
1	0.020315532102123706	SRR23083764	illumina_universal_adapter	1	cleaned
2	0.02354021973738144	SRR23083764	illumina_universal_adapter	1	cleaned
3	0.026514098334341346	SRR23083764	illumina_universal_adapter	1	cleaned
4	0.02938048734345933	SRR23083764	illumina_universal_adapter	1	cleaned
5	0.04328247403768155	SRR23083764	illumina_universal_adapter	1	cleaned
6	0.10207927858721419	SRR23083764	illumina_universal_adapter	1	cleaned
7	0.14708158603036653	SRR23083764	illumina_universal_adapter	1	cleaned
8	0.16291838530574337	SRR23083764	illumina_universal_adapter	1	cleaned
9	0.17864769499327832	SRR23083764	illumina_universal_adapter	1	cleaned
12	0.23816109679509045	SRR23083764	illumina_universal_adapter	1	cleaned
17	0.2656927632276687	SRR23083764	illumina_universal_adapter	1	cleaned
22	0.2671044598146593	SRR23083764	illumina_universal_adapter	1	cleaned
27	0.26782105706693876	SRR23083764	illumina_universal_adapter	1	cleaned
32	0.2684731605665131	SRR23083764	illumina_universal_adapter	1	cleaned
37	0.27022882383459784	SRR23083764	illumina_universal_adapter	1	cleaned
42	0.27178383987204435	SRR23083764	illumina_universal_adapter	1	cleaned
47	0.27231412183873127	SRR23083764	illumina_universal_adapter	1	cleaned
52	0.27245744128918714	SRR23083764	illumina_universal_adapter	1	cleaned
57	0.2726580885198254	SRR23083764	illumina_universal_adapter	1	cleaned
62	0.2728444038054181	SRR23083764	illumina_universal_adapter	1	cleaned
