sample	percent_gc	mean_seq_len	n_read_pairs	percent_duplicates	n_bases_approx	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	stage
SRR23083716	49.5	114.3059095148769	34152465	59.70106960927015	7700000000	pass/pass	NA/NA	pass/pass	fail/fail	fail/fail	pass/pass	warn/warn	fail/warn	warn/pass	pass/pass	raw_concat
SRR23083718	49	120.90498013804631	15536236	45.764162730815514	3700000000	pass/pass	NA/NA	pass/pass	fail/fail	warn/warn	pass/pass	warn/warn	fail/pass	pass/pass	pass/pass	raw_concat
SRR23083720	49	129.0051031248963	24496461	45.19278518749947	6200000000	pass/pass	pass/pass	pass/pass	fail/fail	warn/warn	pass/pass	warn/warn	warn/warn	pass/pass	pass/pass	raw_concat
SRR23083722	44	136.6108362358766	19873663	35.171532425351664	5400000000	pass/pass	pass/pass	pass/pass	fail/fail	warn/warn	pass/pass	warn/warn	warn/warn	pass/pass	pass/pass	raw_concat
SRR23083725	44	136.94933310688168	65391438	75.19594593927218	17800000000	pass/pass	pass/pass	pass/pass	fail/fail	fail/fail	pass/pass	warn/warn	fail/fail	warn/warn	pass/pass	raw_concat
SRR23083727	48.5	121.67598731069546	7683321	31.643193897855138	1868100000	pass/pass	pass/pass	pass/pass	fail/fail	warn/warn	pass/pass	warn/warn	warn/pass	warn/warn	pass/warn	raw_concat
SRR23083729	50.5	121.32010085992889	106734757	76.98336413845801	25800000000	pass/pass	pass/pass	pass/pass	fail/fail	warn/warn	pass/pass	warn/warn	fail/fail	warn/warn	pass/warn	raw_concat
SRR23083731	50	132.04221182342053	27498895	60.37613779049039	7200000000	pass/pass	pass/pass	pass/pass	fail/fail	fail/fail	pass/pass	warn/warn	fail/fail	warn/pass	pass/pass	raw_concat
SRR23083733	44	143.61802451151482	21866784	32.51232138269162	6200000000	pass/pass	pass/pass	pass/pass	fail/fail	pass/warn	pass/pass	warn/warn	warn/pass	pass/pass	pass/pass	raw_concat
SRR23083734	50.5	94.9744474426635	25615577	60.2155358425267	4800000000	pass/pass	NA/NA	pass/pass	fail/fail	fail/fail	pass/pass	warn/warn	fail/fail	pass/pass	pass/pass	raw_concat
SRR23083736	51	89.31703577995388	49701182	70.16154006123767	8800000000	pass/pass	pass/pass	pass/pass	fail/fail	warn/warn	pass/pass	warn/warn	fail/fail	warn/pass	pass/pass	raw_concat
SRR23083738	49.5	53.97594509819548	50541071	90.16193987035686	5300000000	pass/pass	pass/pass	pass/pass	fail/fail	pass/pass	pass/pass	warn/warn	fail/fail	fail/fail	pass/pass	raw_concat
SRR23083740	49	143.32595273047792	26758722	55.81823876884546	7600000000	pass/pass	pass/pass	pass/pass	fail/fail	fail/fail	pass/pass	warn/warn	fail/warn	warn/pass	pass/pass	raw_concat
SRR23083742	50	128.5782140728673	30488030	68.93634108144938	7800000000	pass/pass	pass/pass	pass/pass	fail/fail	fail/fail	pass/pass	warn/warn	fail/fail	warn/pass	pass/pass	raw_concat
SRR23083744	49	118.59342178179423	21587487	49.33572511619242	5000000000	pass/pass	pass/pass	pass/pass	fail/fail	warn/warn	pass/pass	warn/warn	fail/warn	warn/warn	pass/pass	raw_concat
SRR23083747	45	141.58237210285384	21693115	35.56019466088911	6000000000	pass/pass	pass/pass	pass/pass	fail/fail	pass/pass	pass/pass	warn/warn	warn/pass	pass/pass	pass/pass	raw_concat
SRR23083749	50	94.31876580101525	24611947	63.68808429057283	4600000000	pass/pass	pass/pass	pass/pass	fail/fail	warn/warn	pass/pass	warn/warn	fail/fail	warn/warn	pass/pass	raw_concat
SRR23083751	51	31.577744723225592	10324347	85.22116514348154	649100000	pass/pass	pass/pass	pass/pass	fail/fail	pass/warn	pass/pass	warn/warn	fail/fail	fail/fail	pass/warn	raw_concat
SRR23083753	50.5	119.47003831818807	4526832	37.00761201564652	1080700000	pass/pass	pass/pass	pass/pass	fail/fail	warn/warn	pass/pass	warn/warn	fail/pass	warn/pass	pass/warn	raw_concat
SRR23083755	50	134.6649816639605	26761777	41.33827374390175	7200000000	pass/pass	pass/pass	pass/pass	fail/fail	fail/fail	pass/pass	warn/warn	fail/warn	pass/pass	pass/pass	raw_concat
SRR23083756	49	119.35579526828526	93165126	71.44241364627273	22200000000	pass/pass	pass/pass	pass/pass	fail/fail	fail/fail	pass/pass	warn/warn	fail/fail	pass/pass	pass/pass	raw_concat
SRR23083758	47.5	132.35906217386403	8675446	17.2279124022769	2200000000	pass/pass	pass/pass	pass/pass	fail/fail	warn/warn	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	raw_concat
SRR23083760	46	140.8476225685855	22756198	31.74474651003482	6400000000	pass/pass	pass/pass	pass/pass	fail/fail	warn/pass	pass/pass	warn/warn	warn/pass	warn/pass	pass/pass	raw_concat
SRR23083762	49	121.19180967280597	53418977	70.89561529822353	12800000000	pass/pass	pass/pass	pass/pass	fail/fail	warn/fail	pass/pass	warn/warn	fail/fail	warn/warn	pass/pass	raw_concat
SRR23083764	50	22.953447481064686	27489114	90.63591708098278	1253800000	pass/pass	pass/pass	pass/pass	fail/fail	pass/pass	pass/pass	warn/warn	fail/fail	fail/fail	pass/pass	raw_concat
SRR23083766	50	121.549086616526	62643623	47.10522971722324	15100000000	pass/pass	pass/pass	pass/pass	fail/fail	warn/warn	pass/pass	warn/warn	fail/warn	warn/warn	pass/warn	raw_concat
SRR23083769	49	132.48155504863846	9885903	21.872352004170764	2500000000	pass/pass	pass/pass	pass/pass	fail/fail	warn/warn	pass/pass	warn/warn	warn/pass	pass/pass	pass/pass	raw_concat
SRR23083771	52	142.37616695863454	25194552	27.686194487314342	7000000000	pass/pass	NA/NA	pass/pass	fail/fail	warn/warn	pass/pass	warn/warn	warn/pass	pass/pass	pass/pass	raw_concat
SRR23083773	49	106.65258621608722	27576698	28.159521300210535	5800000000	pass/pass	pass/pass	pass/pass	fail/fail	pass/pass	pass/pass	warn/warn	warn/pass	warn/pass	pass/pass	raw_concat
SRR23083775	50	138.76497255238962	64262607	72.50498090943202	17800000000	pass/pass	pass/pass	pass/pass	fail/fail	fail/fail	pass/pass	warn/warn	fail/fail	warn/pass	pass/pass	raw_concat
SRR23083778	48.5	116.83087434155777	28567806	65.88540973002695	6600000000	pass/pass	NA/NA	pass/pass	fail/fail	warn/warn	pass/pass	warn/warn	fail/fail	pass/pass	pass/pass	raw_concat
SRR23083780	49.5	114.61079361800518	6390165	43.39793867262843	1463800000	pass/pass	NA/NA	pass/pass	fail/fail	fail/fail	pass/pass	warn/warn	fail/pass	warn/pass	pass/pass	raw_concat
SRR23083782	49	127.4617097667872	26423592	60.1300144157198	6600000000	pass/pass	NA/NA	pass/pass	fail/fail	fail/fail	pass/pass	warn/warn	fail/warn	pass/pass	pass/pass	raw_concat
SRR23083784	49	119.81030788843997	18922081	56.64210581727154	4400000000	pass/pass	NA/NA	pass/pass	fail/fail	warn/warn	pass/pass	warn/warn	fail/warn	pass/pass	pass/pass	raw_concat
SRR23083786	49	106.17873540526054	21319668	58.20710418172882	4400000000	pass/pass	NA/NA	pass/pass	fail/fail	fail/fail	pass/pass	warn/warn	fail/warn	pass/pass	pass/pass	raw_concat
SRR23083787	49.5	120.36739979385572	72582176	66.841770253957307	17400000000	pass/pass	NA/NA	pass/pass	fail/fail	fail/fail	pass/pass	warn/warn	fail/fail	pass/pass	pass/pass	raw_concat
SRR23083789	49	118.03333209140607	23726564	63.24626939730851	5500000000	pass/pass	NA/NA	pass/pass	fail/fail	fail/fail	pass/pass	warn/warn	fail/fail	warn/pass	pass/pass	raw_concat
SRR23083790	53	127.07672470738913	28732700	44.457469459801814	7200000000	pass/pass	pass/pass	pass/pass	fail/fail	fail/fail	pass/pass	warn/warn	fail/warn	pass/pass	pass/pass	raw_concat
SRR23083792	50	114.84213371715711	40626978	63.366122709171236	9200000000	pass/pass	NA/NA	pass/pass	fail/fail	fail/fail	pass/pass	warn/warn	fail/fail	warn/pass	pass/pass	raw_concat
SRR23083794	51	126.18573832165076	15260483	13.538460187883317	3800000000	pass/pass	pass/pass	pass/pass	fail/fail	pass/pass	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	raw_concat
SRR23083795	49	122.108454077687	93084891	67.75324072573058	22600000000	pass/pass	pass/pass	pass/pass	fail/fail	warn/fail	pass/pass	warn/warn	fail/fail	pass/pass	pass/pass	raw_concat
SRR23083797	49	112.76698089191282	20057162	67.40821757983633	4400000000	pass/pass	NA/NA	pass/pass	fail/fail	warn/fail	pass/pass	warn/warn	fail/fail	warn/pass	pass/pass	raw_concat
SRR23083798	51	95.83625673220301	35169394	56.4346927579804	6600000000	pass/pass	pass/pass	pass/pass	fail/fail	warn/warn	pass/pass	warn/warn	fail/warn	warn/pass	pass/pass	raw_concat
SRR23083799	50.5	117.34382984882141	22987581	57.84616868936229	5200000000	pass/pass	NA/NA	pass/pass	fail/fail	fail/fail	pass/pass	warn/warn	fail/warn	pass/pass	pass/pass	raw_concat
SRR23083801	50	111.54416173598592	50531562	61.196122273321755	11200000000	pass/pass	NA/NA	pass/pass	fail/fail	fail/fail	pass/pass	warn/warn	fail/warn	pass/pass	pass/pass	raw_concat
SRR23083804	51	114.32176191384063	19233869	56.45874146433	4200000000	pass/pass	NA/NA	pass/pass	fail/fail	fail/fail	pass/pass	warn/warn	fail/warn	warn/pass	pass/pass	raw_concat
SRR23083806	50	140.98868058225253	55741383	70.13082947044292	15600000000	pass/pass	NA/NA	pass/pass	fail/fail	warn/fail	pass/pass	warn/warn	fail/fail	pass/pass	pass/pass	raw_concat
SRR23083808	51	102.46522141679097	12644434	44.256387934719356	2500000000	pass/pass	NA/NA	pass/pass	fail/fail	warn/warn	pass/pass	warn/warn	fail/pass	pass/pass	pass/warn	raw_concat
SRR23083810	50	122.23177414764918	40871463	62.92970871423273	9800000000	pass/pass	pass/pass	pass/pass	fail/fail	fail/fail	pass/pass	warn/warn	fail/warn	pass/pass	pass/pass	raw_concat
SRR23083813	50	112.98229353866941	25003302	57.76861654312937	5600000000	pass/pass	NA/NA	pass/pass	fail/fail	fail/fail	pass/pass	warn/warn	fail/warn	pass/pass	pass/pass	raw_concat
SRR23083818	48	117.3683078353951	32262151	62.29602355568649	7400000000	pass/pass	NA/NA	pass/pass	fail/fail	warn/warn	pass/pass	warn/warn	fail/warn	pass/pass	pass/pass	raw_concat
SRR23083820	47.5	118.60055980620265	60208872	67.93013463886169	14200000000	pass/pass	NA/NA	pass/pass	fail/fail	warn/warn	pass/pass	warn/warn	fail/fail	warn/pass	pass/pass	raw_concat
SRR23083822	48.5	80.98204554780676	22583173	60.276355988305696	3600000000	pass/pass	NA/NA	pass/pass	fail/fail	warn/warn	pass/pass	warn/warn	fail/fail	warn/pass	pass/pass	raw_concat
SRR23083823	48	102.88588180081771	27717586	62.71300914741822	5600000000	pass/pass	NA/NA	pass/pass	fail/fail	warn/warn	pass/pass	warn/warn	fail/fail	warn/pass	pass/pass	raw_concat
SRR23083825	50	114.3831256455859	26039331	58.332811827885905	5800000000	pass/pass	NA/NA	pass/pass	fail/fail	fail/fail	pass/pass	warn/warn	fail/warn	pass/pass	pass/pass	raw_concat
SRR23083716	49.5	116.21797795216253	31487079	65.75400182367451	7200000000	pass/pass	NA	pass/pass	warn/fail	fail/fail	pass/pass	warn/warn	fail/fail	warn/pass	pass/pass	cleaned
SRR23083718	48	118.76842574694288	13956422	55.61030520263405	3200000000	pass/pass	NA	pass/pass	warn/fail	fail/warn	pass/pass	warn/warn	fail/warn	warn/pass	pass/pass	cleaned
SRR23083720	49	128.92658831692836	23254364	47.03187459877145	5900000000	pass/pass	NA	pass/pass	warn/fail	warn/warn	pass/pass	warn/warn	fail/warn	pass/pass	pass/pass	cleaned
SRR23083722	44	135.28491634853478	18986099	34.915549700721556	5000000000	pass/pass	NA	pass/pass	warn/fail	pass/pass	pass/pass	warn/warn	warn/warn	pass/pass	pass/pass	cleaned
