position	mean_phred_score	sample	read_pair	stage
1	31.676235972935856	SRR23083716	1	cleaned
2	31.762666082151053	SRR23083716	1	cleaned
3	31.800191757079322	SRR23083716	1	cleaned
4	31.829645299614672	SRR23083716	1	cleaned
5	31.80187797640796	SRR23083716	1	cleaned
6	35.436474222627815	SRR23083716	1	cleaned
7	35.4310176944396	SRR23083716	1	cleaned
8	35.45985973141124	SRR23083716	1	cleaned
9	35.451845831628304	SRR23083716	1	cleaned
12	35.44469115968979	SRR23083716	1	cleaned
17	35.42382165613004	SRR23083716	1	cleaned
22	35.378514389705096	SRR23083716	1	cleaned
27	35.34239259195675	SRR23083716	1	cleaned
32	35.286445007680484	SRR23083716	1	cleaned
37	35.257577421924324	SRR23083716	1	cleaned
42	35.217770019419426	SRR23083716	1	cleaned
47	35.12808359803506	SRR23083716	1	cleaned
52	34.9553144369384	SRR23083716	1	cleaned
57	34.920543811261595	SRR23083716	1	cleaned
62	34.842790816955656	SRR23083716	1	cleaned
67	34.758797664008036	SRR23083716	1	cleaned
72	34.80190211160218	SRR23083716	1	cleaned
77	34.77116940341257	SRR23083716	1	cleaned
82	34.68374622777701	SRR23083716	1	cleaned
87	34.69392558005147	SRR23083716	1	cleaned
92	34.65787334664055	SRR23083716	1	cleaned
97	34.59799993978863	SRR23083716	1	cleaned
102	34.545437016422156	SRR23083716	1	cleaned
107	34.50306539577497	SRR23083716	1	cleaned
112	34.432575407924396	SRR23083716	1	cleaned
117	34.17907305740548	SRR23083716	1	cleaned
122	34.0907124902255	SRR23083716	1	cleaned
127	33.941589469228845	SRR23083716	1	cleaned
132	33.642028243731644	SRR23083716	1	cleaned
137	33.46550450844719	SRR23083716	1	cleaned
142	33.42726407083338	SRR23083716	1	cleaned
147	33.576150185455624	SRR23083716	1	cleaned
150	31.38844849104055	SRR23083716	1	cleaned
1	31.813178008056944	SRR23083716	2	cleaned
2	31.698553525968745	SRR23083716	2	cleaned
3	31.721491995258273	SRR23083716	2	cleaned
4	31.740002701942576	SRR23083716	2	cleaned
5	31.657676349596	SRR23083716	2	cleaned
6	35.404469087547426	SRR23083716	2	cleaned
7	35.38360251809932	SRR23083716	2	cleaned
8	35.37739771350478	SRR23083716	2	cleaned
9	35.364608834442734	SRR23083716	2	cleaned
12	35.35427487042455	SRR23083716	2	cleaned
17	35.31876198388021	SRR23083716	2	cleaned
22	35.30677045534758	SRR23083716	2	cleaned
27	35.25183918352957	SRR23083716	2	cleaned
32	35.210813523709376	SRR23083716	2	cleaned
37	35.21641047880882	SRR23083716	2	cleaned
42	35.174696569777424	SRR23083716	2	cleaned
47	35.1273946621365	SRR23083716	2	cleaned
52	35.02647760134816	SRR23083716	2	cleaned
57	34.95487949949184	SRR23083716	2	cleaned
62	35.00055151319642	SRR23083716	2	cleaned
67	34.89407378649571	SRR23083716	2	cleaned
72	34.894462777737985	SRR23083716	2	cleaned
77	34.91513439876155	SRR23083716	2	cleaned
82	34.8279203243291	SRR23083716	2	cleaned
87	34.78762185180789	SRR23083716	2	cleaned
92	34.82287520502142	SRR23083716	2	cleaned
97	34.81356336017384	SRR23083716	2	cleaned
102	34.780635132993325	SRR23083716	2	cleaned
107	34.70448863906425	SRR23083716	2	cleaned
112	34.612385225291874	SRR23083716	2	cleaned
117	34.478744337289434	SRR23083716	2	cleaned
122	34.21795450242157	SRR23083716	2	cleaned
127	33.85223958622488	SRR23083716	2	cleaned
132	33.470780993823524	SRR23083716	2	cleaned
137	33.226839938970116	SRR23083716	2	cleaned
142	33.16385340015343	SRR23083716	2	cleaned
147	33.52021727567935	SRR23083716	2	cleaned
150	31.316841064036012	SRR23083716	2	cleaned
1	31.378371977312597	SRR23083718	1	cleaned
2	31.513253571893244	SRR23083718	1	cleaned
3	31.531313418708958	SRR23083718	1	cleaned
4	31.56829146763242	SRR23083718	1	cleaned
5	31.511648167979423	SRR23083718	1	cleaned
6	34.48212687959578	SRR23083718	1	cleaned
7	34.486430094120976	SRR23083718	1	cleaned
8	34.61239378684308	SRR23083718	1	cleaned
9	34.66280934604293	SRR23083718	1	cleaned
12	34.722552933220285	SRR23083718	1	cleaned
17	34.71963354106129	SRR23083718	1	cleaned
22	34.63464988280552	SRR23083718	1	cleaned
27	34.54376969706307	SRR23083718	1	cleaned
32	34.39904787835014	SRR23083718	1	cleaned
37	34.290290509248585	SRR23083718	1	cleaned
42	34.16104714160008	SRR23083718	1	cleaned
47	34.03898463815349	SRR23083718	1	cleaned
52	33.84443786712328	SRR23083718	1	cleaned
57	33.839831775378386	SRR23083718	1	cleaned
62	33.79327394631931	SRR23083718	1	cleaned
67	33.54103959608072	SRR23083718	1	cleaned
72	33.446139952776015	SRR23083718	1	cleaned
77	33.299910402351394	SRR23083718	1	cleaned
82	32.9565088287858	SRR23083718	1	cleaned
87	32.94778784560286	SRR23083718	1	cleaned
92	33.209152812791054	SRR23083718	1	cleaned
97	33.136104078138935	SRR23083718	1	cleaned
102	33.024801177717094	SRR23083718	1	cleaned
107	32.87174858267472	SRR23083718	1	cleaned
112	32.640964209970164	SRR23083718	1	cleaned
117	32.08612356096753	SRR23083718	1	cleaned
122	31.87334741324951	SRR23083718	1	cleaned
127	31.62129905278179	SRR23083718	1	cleaned
132	31.358497117619372	SRR23083718	1	cleaned
137	31.22532179224953	SRR23083718	1	cleaned
142	31.35315417878446	SRR23083718	1	cleaned
147	32.055967558798315	SRR23083718	1	cleaned
150	29.774304719613298	SRR23083718	1	cleaned
1	31.178641200768066	SRR23083718	2	cleaned
2	30.734465249013823	SRR23083718	2	cleaned
3	30.94165728983628	SRR23083718	2	cleaned
4	30.54096299928941	SRR23083718	2	cleaned
5	29.585945120164023	SRR23083718	2	cleaned
6	32.29997619452717	SRR23083718	2	cleaned
7	32.40067806279212	SRR23083718	2	cleaned
8	32.427895510416505	SRR23083718	2	cleaned
9	32.34037100793659	SRR23083718	2	cleaned
12	32.46582181782308	SRR23083718	2	cleaned
17	32.35410135954557	SRR23083718	2	cleaned
22	32.776392853651785	SRR23083718	2	cleaned
27	32.286666135827055	SRR23083718	2	cleaned
32	32.268708722093756	SRR23083718	2	cleaned
37	32.7262684100307	SRR23083718	2	cleaned
42	32.27704364202631	SRR23083718	2	cleaned
47	31.467953265656558	SRR23083718	2	cleaned
52	30.6338492731839	SRR23083718	2	cleaned
57	30.84899913617814	SRR23083718	2	cleaned
62	32.695591695081454	SRR23083718	2	cleaned
67	33.31826815481869	SRR23083718	2	cleaned
72	33.12512994278698	SRR23083718	2	cleaned
77	32.8665559375665	SRR23083718	2	cleaned
82	32.61704887333234	SRR23083718	2	cleaned
87	32.55121611944441	SRR23083718	2	cleaned
92	32.7261328598338	SRR23083718	2	cleaned
97	33.082382358038465	SRR23083718	2	cleaned
102	33.11686666942116	SRR23083718	2	cleaned
107	32.959028347818084	SRR23083718	2	cleaned
112	32.68286610419374	SRR23083718	2	cleaned
117	32.33149912052705	SRR23083718	2	cleaned
122	31.947786140568518	SRR23083718	2	cleaned
127	31.60345827858064	SRR23083718	2	cleaned
132	31.36605644652529	SRR23083718	2	cleaned
137	31.33931681054696	SRR23083718	2	cleaned
142	31.432691779049083	SRR23083718	2	cleaned
147	32.09540985312459	SRR23083718	2	cleaned
150	29.01557018011309	SRR23083718	2	cleaned
1	31.758263526773607	SRR23083720	1	cleaned
2	31.83193131198361	SRR23083720	1	cleaned
3	31.869162811510044	SRR23083720	1	cleaned
4	31.89637622926074	SRR23083720	1	cleaned
5	31.87818375577255	SRR23083720	1	cleaned
6	35.669182935253914	SRR23083720	1	cleaned
7	35.65256677881265	SRR23083720	1	cleaned
8	35.6568287492986	SRR23083720	1	cleaned
9	35.657492721333625	SRR23083720	1	cleaned
12	35.660256236334064	SRR23083720	1	cleaned
17	35.641521569098856	SRR23083720	1	cleaned
22	35.6215261259692	SRR23083720	1	cleaned
27	35.59993292602785	SRR23083720	1	cleaned
32	35.57483938892458	SRR23083720	1	cleaned
37	35.55959769267015	SRR23083720	1	cleaned
42	35.544029502509105	SRR23083720	1	cleaned
47	35.528023505456396	SRR23083720	1	cleaned
52	35.491025743639476	SRR23083720	1	cleaned
57	35.43036094452195	SRR23083720	1	cleaned
62	35.389059077788076	SRR23083720	1	cleaned
67	35.34305765455675	SRR23083720	1	cleaned
72	35.314452897361164	SRR23083720	1	cleaned
77	35.314386999441766	SRR23083720	1	cleaned
82	35.30227151256001	SRR23083720	1	cleaned
87	35.292967131832775	SRR23083720	1	cleaned
92	35.24075276296328	SRR23083720	1	cleaned
97	35.19934925174703	SRR23083720	1	cleaned
102	35.178354731984825	SRR23083720	1	cleaned
107	35.16690608007614	SRR23083720	1	cleaned
112	35.1647212485164	SRR23083720	1	cleaned
117	35.117550597483856	SRR23083720	1	cleaned
122	35.087612985771514	SRR23083720	1	cleaned
127	35.04763811409205	SRR23083720	1	cleaned
132	34.96077391961246	SRR23083720	1	cleaned
137	34.90014261861777	SRR23083720	1	cleaned
142	34.912123200285755	SRR23083720	1	cleaned
147	34.98599866010902	SRR23083720	1	cleaned
150	33.504850623557715	SRR23083720	1	cleaned
1	31.917503200949092	SRR23083720	2	cleaned
2	31.813654088883556	SRR23083720	2	cleaned
3	31.76324501117078	SRR23083720	2	cleaned
4	31.81080078046844	SRR23083720	2	cleaned
5	31.788841323979366	SRR23083720	2	cleaned
6	35.64996849124375	SRR23083720	2	cleaned
7	35.641292335508446	SRR23083720	2	cleaned
8	35.62857307430203	SRR23083720	2	cleaned
9	35.62001018968258	SRR23083720	2	cleaned
12	35.60590421724105	SRR23083720	2	cleaned
17	35.58517921013137	SRR23083720	2	cleaned
22	35.5675203872696	SRR23083720	2	cleaned
27	35.54247268078182	SRR23083720	2	cleaned
32	35.521227820681965	SRR23083720	2	cleaned
37	35.526710817229926	SRR23083720	2	cleaned
42	35.52188072690576	SRR23083720	2	cleaned
47	35.48820604093819	SRR23083720	2	cleaned
52	35.44163291286565	SRR23083720	2	cleaned
57	35.387502181473074	SRR23083720	2	cleaned
62	35.36784667624565	SRR23083720	2	cleaned
67	35.31574295568588	SRR23083720	2	cleaned
72	35.26827352203816	SRR23083720	2	cleaned
77	35.23881936239914	SRR23083720	2	cleaned
82	35.20607506352716	SRR23083720	2	cleaned
87	35.21463068945157	SRR23083720	2	cleaned
92	35.233824033947066	SRR23083720	2	cleaned
97	35.17690370008584	SRR23083720	2	cleaned
102	35.14438014526879	SRR23083720	2	cleaned
107	35.103393870582785	SRR23083720	2	cleaned
112	35.071267476973865	SRR23083720	2	cleaned
117	35.00059221955508	SRR23083720	2	cleaned
122	34.87866508375541	SRR23083720	2	cleaned
127	34.765623206512785	SRR23083720	2	cleaned
132	34.62309781313257	SRR23083720	2	cleaned
137	34.384544242553446	SRR23083720	2	cleaned
142	34.1552244308465	SRR23083720	2	cleaned
147	34.0069477182091	SRR23083720	2	cleaned
150	31.990263258814306	SRR23083720	2	cleaned
1	31.635555780222774	SRR23083722	1	cleaned
2	31.717446140471754	SRR23083722	1	cleaned
3	31.78182766128012	SRR23083722	1	cleaned
4	31.825427090746825	SRR23083722	1	cleaned
5	31.787579708402504	SRR23083722	1	cleaned
6	35.493877129358296	SRR23083722	1	cleaned
7	35.472536989869376	SRR23083722	1	cleaned
8	35.47610807763658	SRR23083722	1	cleaned
9	35.47462867203038	SRR23083722	1	cleaned
12	35.491706805496996	SRR23083722	1	cleaned
17	35.45594404478095	SRR23083722	1	cleaned
22	35.430724450459415	SRR23083722	1	cleaned
27	35.405594959397995	SRR23083722	1	cleaned
32	35.37415532860944	SRR23083722	1	cleaned
37	35.36531256265367	SRR23083722	1	cleaned
42	35.34669003692677	SRR23083722	1	cleaned
47	35.301450294298434	SRR23083722	1	cleaned
52	35.18380405477588	SRR23083722	1	cleaned
57	35.111242365889886	SRR23083722	1	cleaned
62	35.083074139144976	SRR23083722	1	cleaned
67	34.99864221749978	SRR23083722	1	cleaned
72	34.96494369091815	SRR23083722	1	cleaned
77	34.954907140180374	SRR23083722	1	cleaned
82	34.90665965907006	SRR23083722	1	cleaned
87	34.86268583262488	SRR23083722	1	cleaned
92	34.842448371334925	SRR23083722	1	cleaned
97	34.80085333234495	SRR23083722	1	cleaned
102	34.76009429687228	SRR23083722	1	cleaned
107	34.71749854445548	SRR23083722	1	cleaned
112	34.69002086415129	SRR23083722	1	cleaned
117	34.61369016424234	SRR23083722	1	cleaned
122	34.51388905434532	SRR23083722	1	cleaned
127	34.42265169735632	SRR23083722	1	cleaned
132	34.270367434289724	SRR23083722	1	cleaned
137	34.09941251944035	SRR23083722	1	cleaned
142	34.006306530464954	SRR23083722	1	cleaned
147	33.99854081605504	SRR23083722	1	cleaned
150	31.966676618389386	SRR23083722	1	cleaned
1	31.861143170562634	SRR23083722	2	cleaned
2	31.758404562416686	SRR23083722	2	cleaned
3	31.709754481935846	SRR23083722	2	cleaned
4	31.77179855870141	SRR23083722	2	cleaned
5	31.71758365572612	SRR23083722	2	cleaned
6	35.514497481321676	SRR23083722	2	cleaned
7	35.501714237731456	SRR23083722	2	cleaned
8	35.48620470299017	SRR23083722	2	cleaned
9	35.47742385217588	SRR23083722	2	cleaned
12	35.461060556316205	SRR23083722	2	cleaned
17	35.43134517780036	SRR23083722	2	cleaned
22	35.40953882088154	SRR23083722	2	cleaned
27	35.376353240383374	SRR23083722	2	cleaned
32	35.337530590249	SRR23083722	2	cleaned
37	35.33523826400588	SRR23083722	2	cleaned
