mean_phred_score	n_sequences	sample	read_pair	stage
25	40805	SRR23083716	1	cleaned
26	132761	SRR23083716	1	cleaned
27	229665	SRR23083716	1	cleaned
28	345272	SRR23083716	1	cleaned
29	478053	SRR23083716	1	cleaned
30	637693	SRR23083716	1	cleaned
31	843787	SRR23083716	1	cleaned
32	1175400	SRR23083716	1	cleaned
33	1896482	SRR23083716	1	cleaned
34	4698706	SRR23083716	1	cleaned
35	21187309	SRR23083716	1	cleaned
36	173	SRR23083716	1	cleaned
25	50352	SRR23083716	2	cleaned
26	133171	SRR23083716	2	cleaned
27	213150	SRR23083716	2	cleaned
28	309450	SRR23083716	2	cleaned
29	428273	SRR23083716	2	cleaned
30	576124	SRR23083716	2	cleaned
31	775802	SRR23083716	2	cleaned
32	1095759	SRR23083716	2	cleaned
33	1792803	SRR23083716	2	cleaned
34	4737623	SRR23083716	2	cleaned
35	21553313	SRR23083716	2	cleaned
36	286	SRR23083716	2	cleaned
25	41495	SRR23083718	1	cleaned
26	128739	SRR23083718	1	cleaned
27	229370	SRR23083718	1	cleaned
28	363229	SRR23083718	1	cleaned
29	527711	SRR23083718	1	cleaned
30	722508	SRR23083718	1	cleaned
31	981365	SRR23083718	1	cleaned
32	1376734	SRR23083718	1	cleaned
33	2126860	SRR23083718	1	cleaned
34	3758530	SRR23083718	1	cleaned
35	3731824	SRR23083718	1	cleaned
36	15	SRR23083718	1	cleaned
25	135071	SRR23083718	2	cleaned
26	323710	SRR23083718	2	cleaned
27	493437	SRR23083718	2	cleaned
28	707298	SRR23083718	2	cleaned
29	953205	SRR23083718	2	cleaned
30	1217828	SRR23083718	2	cleaned
31	1524688	SRR23083718	2	cleaned
32	1957507	SRR23083718	2	cleaned
33	2615709	SRR23083718	2	cleaned
34	3045176	SRR23083718	2	cleaned
35	1014705	SRR23083718	2	cleaned
36	46	SRR23083718	2	cleaned
25	12747	SRR23083720	1	cleaned
26	48668	SRR23083720	1	cleaned
27	87256	SRR23083720	1	cleaned
28	131998	SRR23083720	1	cleaned
29	185009	SRR23083720	1	cleaned
30	247842	SRR23083720	1	cleaned
31	331479	SRR23083720	1	cleaned
32	460739	SRR23083720	1	cleaned
33	732664	SRR23083720	1	cleaned
34	1731508	SRR23083720	1	cleaned
35	19345761	SRR23083720	1	cleaned
36	70	SRR23083720	1	cleaned
25	24476	SRR23083720	2	cleaned
26	65407	SRR23083720	2	cleaned
27	102674	SRR23083720	2	cleaned
28	144955	SRR23083720	2	cleaned
29	195465	SRR23083720	2	cleaned
30	258685	SRR23083720	2	cleaned
31	344599	SRR23083720	2	cleaned
32	486094	SRR23083720	2	cleaned
33	802127	SRR23083720	2	cleaned
34	2154373	SRR23083720	2	cleaned
35	18736623	SRR23083720	2	cleaned
36	263	SRR23083720	2	cleaned
25	19868	SRR23083722	1	cleaned
26	66903	SRR23083722	1	cleaned
27	116326	SRR23083722	1	cleaned
28	172272	SRR23083722	1	cleaned
29	239207	SRR23083722	1	cleaned
30	320655	SRR23083722	1	cleaned
31	430926	SRR23083722	1	cleaned
32	612236	SRR23083722	1	cleaned
33	1014321	SRR23083722	1	cleaned
34	2568182	SRR23083722	1	cleaned
35	13469716	SRR23083722	1	cleaned
36	4	SRR23083722	1	cleaned
25	31481	SRR23083722	2	cleaned
26	79615	SRR23083722	2	cleaned
27	122515	SRR23083722	2	cleaned
28	174093	SRR23083722	2	cleaned
29	237713	SRR23083722	2	cleaned
30	318113	SRR23083722	2	cleaned
31	430439	SRR23083722	2	cleaned
32	615194	SRR23083722	2	cleaned
33	1041996	SRR23083722	2	cleaned
34	2860668	SRR23083722	2	cleaned
35	13118733	SRR23083722	2	cleaned
36	56	SRR23083722	2	cleaned
25	79043	SRR23083725	1	cleaned
26	292108	SRR23083725	1	cleaned
27	540257	SRR23083725	1	cleaned
28	869866	SRR23083725	1	cleaned
29	1274600	SRR23083725	1	cleaned
30	1778218	SRR23083725	1	cleaned
31	2460043	SRR23083725	1	cleaned
32	3559606	SRR23083725	1	cleaned
33	5898897	SRR23083725	1	cleaned
34	13665344	SRR23083725	1	cleaned
35	30521180	SRR23083725	1	cleaned
36	16	SRR23083725	1	cleaned
25	241823	SRR23083725	2	cleaned
26	564142	SRR23083725	2	cleaned
27	852461	SRR23083725	2	cleaned
28	1209332	SRR23083725	2	cleaned
29	1640297	SRR23083725	2	cleaned
30	2173228	SRR23083725	2	cleaned
31	2897068	SRR23083725	2	cleaned
32	4071083	SRR23083725	2	cleaned
33	6641129	SRR23083725	2	cleaned
34	15291886	SRR23083725	2	cleaned
35	25356631	SRR23083725	2	cleaned
36	98	SRR23083725	2	cleaned
25	18905	SRR23083727	1	cleaned
26	56742	SRR23083727	1	cleaned
27	101927	SRR23083727	1	cleaned
28	162503	SRR23083727	1	cleaned
29	238288	SRR23083727	1	cleaned
30	334059	SRR23083727	1	cleaned
31	465633	SRR23083727	1	cleaned
32	666304	SRR23083727	1	cleaned
33	1030860	SRR23083727	1	cleaned
34	1701944	SRR23083727	1	cleaned
35	1361455	SRR23083727	1	cleaned
36	5	SRR23083727	1	cleaned
25	91247	SRR23083727	2	cleaned
26	201241	SRR23083727	2	cleaned
27	286891	SRR23083727	2	cleaned
28	385911	SRR23083727	2	cleaned
29	493044	SRR23083727	2	cleaned
30	597680	SRR23083727	2	cleaned
31	706498	SRR23083727	2	cleaned
32	846674	SRR23083727	2	cleaned
