library,sample,group,date,instrument_model,sample_alias,bioproject,dataset
SRR23083716,SRR23083716,I,09/01/2022,NextSeq 550,I_10922,PRJNA924011,Spurbeck 2023
SRR23083718,SRR23083718,I,02/01/2022,NextSeq 550,I_10222,PRJNA924011,Spurbeck 2023
SRR23083720,SRR23083720,H,26/12/2021,NextSeq 550,H_122621,PRJNA924011,Spurbeck 2023
SRR23083722,SRR23083722,H,19/12/2021,NextSeq 550,H_121921,PRJNA924011,Spurbeck 2023
SRR23083725,SRR23083725,H,05/12/2021,NextSeq 550,H_120521,PRJNA924011,Spurbeck 2023
SRR23083727,SRR23083727,H,09/01/2022,NextSeq 550,H_10922,PRJNA924011,Spurbeck 2023
SRR23083729,SRR23083729,H,02/01/2022,NextSeq 550,H_10222,PRJNA924011,Spurbeck 2023
SRR23083731,SRR23083731,G,26/12/2021,NextSeq 550,G_122621,PRJNA924011,Spurbeck 2023
SRR23083733,SRR23083733,G,19/12/2021,NextSeq 550,G_121921,PRJNA924011,Spurbeck 2023
SRR23083734,SRR23083734,A,12/12/2021,NextSeq 550,A_121221,PRJNA924011,Spurbeck 2023
SRR23083736,SRR23083736,G,12/12/2021,NextSeq 550,G_121221,PRJNA924011,Spurbeck 2023
SRR23083738,SRR23083738,G,05/12/2021,NextSeq 550,G_120521,PRJNA924011,Spurbeck 2023
SRR23083740,SRR23083740,G,09/01/2022,NextSeq 550,G_10922,PRJNA924011,Spurbeck 2023
SRR23083742,SRR23083742,G,02/01/2022,NextSeq 550,G_10222,PRJNA924011,Spurbeck 2023
SRR23083744,SRR23083744,F,26/12/2021,NextSeq 550,F_122621,PRJNA924011,Spurbeck 2023
SRR23083747,SRR23083747,F,19/12/2021,NextSeq 550,F_121921,PRJNA924011,Spurbeck 2023
SRR23083749,SRR23083749,F,12/12/2021,NextSeq 550,F_121221,PRJNA924011,Spurbeck 2023
SRR23083751,SRR23083751,F,05/12/2021,NextSeq 550,F_120521,PRJNA924011,Spurbeck 2023
SRR23083753,SRR23083753,F,09/01/2022,NextSeq 550,F_10922,PRJNA924011,Spurbeck 2023
SRR23083755,SRR23083755,F,02/01/2022,NextSeq 550,F_10222,PRJNA924011,Spurbeck 2023
SRR23083756,SRR23083756,A,05/12/2021,NextSeq 550,A_120521,PRJNA924011,Spurbeck 2023
SRR23083758,SRR23083758,E,26/12/2021,NextSeq 550,E_122621,PRJNA924011,Spurbeck 2023
SRR23083760,SRR23083760,E,19/12/2021,NextSeq 550,E_121921,PRJNA924011,Spurbeck 2023
SRR23083762,SRR23083762,E,12/12/2021,NextSeq 550,E_121221,PRJNA924011,Spurbeck 2023
SRR23083764,SRR23083764,E,05/12/2021,NextSeq 550,E_120521,PRJNA924011,Spurbeck 2023
SRR23083766,SRR23083766,E,09/01/2022,NextSeq 550,E_10922,PRJNA924011,Spurbeck 2023
SRR23083769,SRR23083769,E,02/01/2022,NextSeq 550,E_10222,PRJNA924011,Spurbeck 2023
SRR23083771,SRR23083771,D,19/12/2021,NextSeq 550,D_121921,PRJNA924011,Spurbeck 2023
SRR23083773,SRR23083773,D,12/12/2021,NextSeq 500,D_121221,PRJNA924011,Spurbeck 2023
SRR23083775,SRR23083775,D,05/12/2021,NextSeq 550,D_120521,PRJNA924011,Spurbeck 2023
SRR23083778,SRR23083778,J,09/01/2022,NextSeq 550,J_10922,PRJNA924011,Spurbeck 2023
SRR23083780,SRR23083780,J,02/01/2022,NextSeq 550,J_10222,PRJNA924011,Spurbeck 2023
SRR23083782,SRR23083782,I,26/12/2021,NextSeq 550,I_122621,PRJNA924011,Spurbeck 2023
SRR23083784,SRR23083784,I,19/12/2021,NextSeq 550,I_121921,PRJNA924011,Spurbeck 2023
SRR23083786,SRR23083786,I,12/12/2021,NextSeq 550,I_121221,PRJNA924011,Spurbeck 2023
SRR23083787,SRR23083787,A,19/12/2021,NextSeq 550,A_121921,PRJNA924011,Spurbeck 2023
SRR23083789,SRR23083789,I,05/12/2021,NextSeq 550,I_120521,PRJNA924011,Spurbeck 2023
SRR23083790,SRR23083790,D,09/01/2022,NextSeq 550,D_10922,PRJNA924011,Spurbeck 2023
SRR23083792,SRR23083792,A,09/01/2022,NextSeq 550,A_10922,PRJNA924011,Spurbeck 2023
SRR23083794,SRR23083794,C,19/12/2021,NextSeq 550,C_121921,PRJNA924011,Spurbeck 2023
SRR23083795,SRR23083795,C,05/12/2021,NextSeq 550,C_120521,PRJNA924011,Spurbeck 2023
SRR23083797,SRR23083797,C,09/01/2022,NextSeq 550,C_10922,PRJNA924011,Spurbeck 2023
SRR23083798,SRR23083798,C,02/01/2022,NextSeq 550,C_10222,PRJNA924011,Spurbeck 2023
SRR23083799,SRR23083799,B,26/12/2021,NextSeq 550,B_122621,PRJNA924011,Spurbeck 2023
SRR23083801,SRR23083801,B,19/12/2021,NextSeq 550,B_121921,PRJNA924011,Spurbeck 2023
SRR23083804,SRR23083804,B,12/12/2021,NextSeq 550,B_121221,PRJNA924011,Spurbeck 2023
SRR23083806,SRR23083806,B,05/12/2021,NextSeq 550,B_120521,PRJNA924011,Spurbeck 2023
SRR23083808,SRR23083808,B,09/01/2022,NextSeq 550,B_10922,PRJNA924011,Spurbeck 2023
SRR23083810,SRR23083810,B,02/01/2022,NextSeq 550,B_10222,PRJNA924011,Spurbeck 2023
SRR23083813,SRR23083813,A,26/12/2021,NextSeq 550,A_122621,PRJNA924011,Spurbeck 2023
SRR23083818,SRR23083818,J,26/12/2021,NextSeq 550,J_122621,PRJNA924011,Spurbeck 2023
SRR23083820,SRR23083820,J,19/12/2021,NextSeq 550,J_121921,PRJNA924011,Spurbeck 2023
SRR23083822,SRR23083822,J,12/12/2021,NextSeq 550,J_121221,PRJNA924011,Spurbeck 2023
SRR23083823,SRR23083823,J,05/12/2021,NextSeq 550,J_120521,PRJNA924011,Spurbeck 2023
SRR23083825,SRR23083825,A,02/01/2022,NextSeq 550,A_10222,PRJNA924011,Spurbeck 2023
