position	pc_adapters	sample	adapter	read_pair	stage
1	0.0012628219557675564	SRR8663598	polya	1	dedup
2	0.0031260018905065736	SRR8663598	polya	1	dedup
3	0.0037401612023279535	SRR8663598	polya	1	dedup
4	0.004437128511248846	SRR8663598	polya	1	dedup
5	0.005154797819444615	SRR8663598	polya	1	dedup
6	0.005941473791889978	SRR8663598	polya	1	dedup
7	0.006804057095009894	SRR8663598	polya	1	dedup
8	0.007915064389428345	SRR8663598	polya	1	dedup
9	0.008950164353172243	SRR8663598	polya	1	dedup
10	0.010316496305314189	SRR8663598	polya	1	dedup
12	0.01255576256021349	SRR8663598	polya	1	dedup
14	0.014981346808586694	SRR8663598	polya	1	dedup
16	0.017676057047533306	SRR8663598	polya	1	dedup
18	0.02049497928212919	SRR8663598	polya	1	dedup
20	0.023117232523613737	SRR8663598	polya	1	dedup
22	0.025687730766911082	SRR8663598	polya	1	dedup
24	0.029058706315503714	SRR8663598	polya	1	dedup
26	0.03426525913313552	SRR8663598	polya	1	dedup
28	0.0380192216683134	SRR8663598	polya	1	dedup
30	0.04145920388115562	SRR8663598	polya	1	dedup
32	0.04513380875244646	SRR8663598	polya	1	dedup
34	0.04843922797000197	SRR8663598	polya	1	dedup
36	0.051237448205322986	SRR8663598	polya	1	dedup
38	0.05416678110271822	SRR8663598	polya	1	dedup
40	0.056726928346378123	SRR8663598	polya	1	dedup
42	0.05914216159511389	SRR8663598	polya	1	dedup
44	0.061484937846387575	SRR8663598	polya	1	dedup
46	0.06420725075103403	SRR8663598	polya	1	dedup
48	0.06681570265966866	SRR8663598	polya	1	dedup
50	0.06965187656032693	SRR8663598	polya	1	dedup
52	0.07216716947222461	SRR8663598	polya	1	dedup
54	0.07463415771914757	SRR8663598	polya	1	dedup
56	0.0770045366361211	SRR8663598	polya	1	dedup
58	0.07928175655635768	SRR8663598	polya	1	dedup
60	0.08178324813540543	SRR8663598	polya	1	dedup
62	0.0840432163895796	SRR8663598	polya	1	dedup
64	0.08638254230764082	SRR8663598	polya	1	dedup
66	0.08884262988813882	SRR8663598	polya	1	dedup
68	0.0914752341292608	SRR8663598	polya	1	dedup
70	0.09421824903318213	SRR8663598	polya	1	dedup
72	0.09663003194870542	SRR8663598	polya	1	dedup
74	0.09895210620070422	SRR8663598	polya	1	dedup
76	0.10127763078591552	SRR8663598	polya	1	dedup
78	0.10376532103211336	SRR8663598	polya	1	dedup
80	0.10619090528048655	SRR8663598	polya	1	dedup
82	0.10908228451254451	SRR8663598	polya	1	dedup
84	0.11151821976055515	SRR8663598	polya	1	dedup
86	0.11389549934395364	SRR8663598	polya	1	dedup
88	0.11615891793134031	SRR8663598	polya	1	dedup
90	0.11813250852887866	SRR8663598	polya	1	dedup
92	0.12026826478740357	SRR8663598	polya	1	dedup
94	0.12241092171235345	SRR8663598	polya	1	dedup
96	0.12431205531242974	SRR8663598	polya	1	dedup
98	0.12638570557313	SRR8663598	polya	1	dedup
100	0.1284386538345554	SRR8663598	polya	1	dedup
102	0.13016037010758277	SRR8663598	polya	1	dedup
104	0.13199594737662196	SRR8663598	polya	1	dedup
106	0.13362795498612484	SRR8663598	polya	1	dedup
108	0.13532206859345236	SRR8663598	polya	1	dedup
110	0.13687471853906819	SRR8663598	polya	1	dedup
112	0.13841356715183412	SRR8663598	polya	1	dedup
114	0.13994206476496263	SRR8663598	polya	1	dedup
116	0.14139120471420408	SRR8663598	polya	1	dedup
118	0.1425781193392971	SRR8663598	polya	1	dedup
120	0.1436408219687408	SRR8663598	polya	1	dedup
122	0.1447759815956466	SRR8663598	polya	1	dedup
124	0.1455971609002168	SRR8663598	polya	1	dedup
126	0.14622167121167562	SRR8663598	polya	1	dedup
128	0.14672541986069765	SRR8663598	polya	1	dedup
130	0.1470842545147955	SRR8663598	polya	1	dedup
132	0.14729817517396926	SRR8663598	polya	1	dedup
134	0.1473740825046438	SRR8663598	polya	1	dedup
136	0.1473775328378563	SRR8663598	polya	1	dedup
138	0.1473775328378563	SRR8663598	polya	1	dedup
1	0.0011731132922430851	SRR8663598	polya	2	dedup
2	0.002173709923862187	SRR8663598	polya	2	dedup
3	0.002767167236408689	SRR8663598	polya	2	dedup
4	0.0034365318796297432	SRR8663598	polya	2	dedup
5	0.004043790525026164	SRR8663598	polya	2	dedup
6	0.005044387156645266	SRR8663598	polya	2	dedup
7	0.006472825106611846	SRR8663598	polya	2	dedup
8	0.007549329068905501	SRR8663598	polya	2	dedup
9	0.008970866352447121	SRR8663598	polya	2	dedup
10	0.01144475526579504	SRR8663598	polya	2	dedup
12	0.016399433758915834	SRR8663598	polya	2	dedup
14	0.021216098923537444	SRR8663598	polya	2	dedup
16	0.025867148093960027	SRR8663598	polya	2	dedup
18	0.030300826271996394	SRR8663598	polya	2	dedup
20	0.03607323373647486	SRR8663598	polya	2	dedup
22	0.04233213818391297	SRR8663598	polya	2	dedup
24	0.048125247647666326	SRR8663598	polya	2	dedup
26	0.05986673156973461	SRR8663598	polya	2	dedup
28	0.06632575534349655	SRR8663598	polya	2	dedup
30	0.07100095684640649	SRR8663598	polya	2	dedup
32	0.07494813804148322	SRR8663598	polya	2	dedup
34	0.07863654424562397	SRR8663598	polya	2	dedup
36	0.08164523480690625	SRR8663598	polya	2	dedup
38	0.08452281270611428	SRR8663598	polya	2	dedup
40	0.0869794499533998	SRR8663598	polya	2	dedup
42	0.08994328618291983	SRR8663598	polya	2	dedup
44	0.09258624142367924	SRR8663598	polya	2	dedup
46	0.09521194499837628	SRR8663598	polya	2	dedup
48	0.09781349624058594	SRR8663598	polya	2	dedup
50	0.10016317315828459	SRR8663598	polya	2	dedup
52	0.10240243941318389	SRR8663598	polya	2	dedup
54	0.10455889767098367	SRR8663598	polya	2	dedup
56	0.1065048856028222	SRR8663598	polya	2	dedup
58	0.1085095291992729	SRR8663598	polya	2	dedup
60	0.11077639811987203	SRR8663598	polya	2	dedup
62	0.1128673000466347	SRR8663598	polya	2	dedup
64	0.11494785097375994	SRR8663598	polya	2	dedup
66	0.11703185223409765	SRR8663598	polya	2	dedup
68	0.11904339649697329	SRR8663598	polya	2	dedup
70	0.12113084809052349	SRR8663598	polya	2	dedup
72	0.12301818035774986	SRR8663598	polya	2	dedup
74	0.12473644629756475	SRR8663598	polya	2	dedup
76	0.12661687789836618	SRR8663598	polya	2	dedup
78	0.12846280616704275	SRR8663598	polya	2	dedup
80	0.13028458210323202	SRR8663598	polya	2	dedup
82	0.13202700037553428	SRR8663598	polya	2	dedup
84	0.13341748466016357	SRR8663598	polya	2	dedup
86	0.13472861128090585	SRR8663598	polya	2	dedup
88	0.1361121948991102	SRR8663598	polya	2	dedup
90	0.1375544341819267	SRR8663598	polya	2	dedup
92	0.13892076613406862	SRR8663598	polya	2	dedup
94	0.14022499208838596	SRR8663598	polya	2	dedup
96	0.14159822470695285	SRR8663598	polya	2	dedup
98	0.14307841765510662	SRR8663598	polya	2	dedup
100	0.14451030593828568	SRR8663598	polya	2	dedup
102	0.14568341923052877	SRR8663598	polya	2	dedup
104	0.14668401586214785	SRR8663598	polya	2	dedup
106	0.14782952648869113	SRR8663598	polya	2	dedup
108	0.14911995111015852	SRR8663598	polya	2	dedup
110	0.15041382606483839	SRR8663598	polya	2	dedup
112	0.1514454756953698	SRR8663598	polya	2	dedup
114	0.15243572132735145	SRR8663598	polya	2	dedup
116	0.1532638012983466	SRR8663598	polya	2	dedup
118	0.1540090732722422	SRR8663598	polya	2	dedup
120	0.15464738491655095	SRR8663598	polya	2	dedup
122	0.15515803423199792	SRR8663598	polya	2	dedup
124	0.1556721338806574	SRR8663598	polya	2	dedup
126	0.15606547186688008	SRR8663598	polya	2	dedup
128	0.15630354485854114	SRR8663598	polya	2	dedup
130	0.15647606151916515	SRR8663598	polya	2	dedup
132	0.15656577018268963	SRR8663598	polya	2	dedup
134	0.1566037238480269	SRR8663598	polya	2	dedup
136	0.1566037238480269	SRR8663598	polya	2	dedup
138	0.1566037238480269	SRR8663598	polya	2	dedup
1	0.001234829277992155	SRR8663599	polya	1	dedup
2	0.003841691087086704	SRR8663599	polya	1	dedup
3	0.00462269422017576	SRR8663599	polya	1	dedup
4	0.005604225184733626	SRR8663599	polya	1	dedup
5	0.00650132337814673	SRR8663599	polya	1	dedup
6	0.007546178921063169	SRR8663599	polya	1	dedup
7	0.008569926271193417	SRR8663599	polya	1	dedup
8	0.009678106392468428	SRR8663599	polya	1	dedup
9	0.01094459795963987	SRR8663599	polya	1	dedup
10	0.012796841876628101	SRR8663599	polya	1	dedup
12	0.015572569228012176	SRR8663599	polya	1	dedup
14	0.018643811278402922	SRR8663599	polya	1	dedup
16	0.021957797545834858	SRR8663599	polya	1	dedup
18	0.025382601825394296	SRR8663599	polya	1	dedup
20	0.029007933936422543	SRR8663599	polya	1	dedup
22	0.032791577493347226	SRR8663599	polya	1	dedup
24	0.03745648809909537	SRR8663599	polya	1	dedup
