sample	percent_gc	mean_seq_len	n_read_pairs	percent_duplicates	n_bases_approx	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	stage
SRR8663598	44	124.59442454445596	14491354	23.866365222534128	3500000000	pass/pass	pass/pass	fail/fail	fail/fail	pass/pass	warn/warn	pass/pass	warn/warn	pass/pass	dedup
SRR8663599	41	122.95695802023727	9474994	26.31595811365184	2200000000	pass/pass	pass/pass	fail/warn	warn/warn	pass/pass	warn/warn	pass/pass	warn/pass	pass/pass	dedup
SRR8663600	64	124.43462753557604	7793939	29.25194928600787	1938600000	pass/pass	pass/pass	warn/warn	fail/fail	pass/pass	warn/warn	pass/warn	pass/pass	pass/pass	dedup
SRR8663601	64.5	123.95992540772647	5811862	22.257121598107737	1440000000	pass/pass	pass/pass	warn/warn	fail/fail	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	dedup
SRR8663602	41	125.01923379935246	17091215	11.956309181435856	4200000000	pass/pass	pass/pass	fail/warn	warn/warn	pass/pass	warn/warn	pass/pass	warn/pass	pass/pass	dedup
SRR8663603	41	125.28336743528517	13343811	13.372831733897968	3200000000	pass/pass	pass/pass	fail/warn	warn/warn	pass/pass	warn/warn	pass/pass	warn/pass	pass/pass	dedup
SRR8663604	47	116.79207768671591	16362746	1.358863095233687	3700000000	pass/pass	pass/pass	warn/warn	fail/fail	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	dedup
SRR8663605	48	118.03236237830815	19420158	1.3534002246975376	4500000000	pass/pass	pass/pass	warn/warn	fail/fail	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	dedup
SRR8663606	52.5	121.62733235805005	13542732	2.424477142300674	3200000000	pass/pass	pass/pass	warn/warn	fail/fail	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	dedup
SRR8663607	49	117.1402710670046	16609694	1.0504541729382666	3800000000	pass/pass	pass/pass	warn/warn	fail/fail	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	dedup
SRR8663608	44	120.89201092844694	106145	13.476376654576292	25500000	pass/pass	pass/pass	fail/fail	warn/fail	pass/pass	warn/warn	pass/pass	warn/warn	pass/pass	dedup
SRR8663609	45.5	123.15826195709846	131930	22.709512265003042	32300000	pass/pass	pass/pass	fail/fail	warn/fail	pass/pass	warn/warn	pass/pass	fail/warn	pass/pass	dedup
