position	mean_phred_score	sample	read_pair	stage
1	32.153375592094434	SRR8663598	1	dedup
2	32.537478002400604	SRR8663598	1	dedup
3	32.69605041737301	SRR8663598	1	dedup
4	32.72441160432628	SRR8663598	1	dedup
5	32.59248507765389	SRR8663598	1	dedup
6	34.28439751040517	SRR8663598	1	dedup
7	34.23917903047569	SRR8663598	1	dedup
8	34.224333971829	SRR8663598	1	dedup
9	34.20688266948692	SRR8663598	1	dedup
12	34.20308092673742	SRR8663598	1	dedup
17	34.13332366946567	SRR8663598	1	dedup
22	33.99570536671991	SRR8663598	1	dedup
27	33.84555044975432	SRR8663598	1	dedup
32	33.704190469177846	SRR8663598	1	dedup
37	33.560425051185916	SRR8663598	1	dedup
42	33.398542054698446	SRR8663598	1	dedup
47	33.22225995628943	SRR8663598	1	dedup
52	33.05145603766248	SRR8663598	1	dedup
57	32.86685096558176	SRR8663598	1	dedup
62	32.64962199051108	SRR8663598	1	dedup
67	32.42461688723531	SRR8663598	1	dedup
72	32.25537306176832	SRR8663598	1	dedup
77	32.048723990283925	SRR8663598	1	dedup
82	31.849267607756122	SRR8663598	1	dedup
87	31.714190455795354	SRR8663598	1	dedup
92	31.553452149532415	SRR8663598	1	dedup
97	31.423490998396325	SRR8663598	1	dedup
102	31.312813377627492	SRR8663598	1	dedup
107	31.162817590298562	SRR8663598	1	dedup
112	31.065217131554228	SRR8663598	1	dedup
117	30.921503547011696	SRR8663598	1	dedup
122	30.826553462854736	SRR8663598	1	dedup
127	30.728134866386778	SRR8663598	1	dedup
132	30.64842355192374	SRR8663598	1	dedup
137	30.724688071612313	SRR8663598	1	dedup
142	31.14821090628065	SRR8663598	1	dedup
147	31.928509056756308	SRR8663598	1	dedup
150	33.382335272241825	SRR8663598	1	dedup
1	32.31453161657634	SRR8663598	2	dedup
2	32.33321703410185	SRR8663598	2	dedup
3	32.531541290068546	SRR8663598	2	dedup
4	32.52103461139656	SRR8663598	2	dedup
5	32.24337277248213	SRR8663598	2	dedup
6	34.06762887719118	SRR8663598	2	dedup
7	34.046158143676564	SRR8663598	2	dedup
8	34.02246249729321	SRR8663598	2	dedup
9	33.993550016099256	SRR8663598	2	dedup
12	33.8974961759957	SRR8663598	2	dedup
17	33.745250361075676	SRR8663598	2	dedup
22	33.600725362973535	SRR8663598	2	dedup
27	33.48658967307765	SRR8663598	2	dedup
32	33.34886236300952	SRR8663598	2	dedup
37	33.185673598198676	SRR8663598	2	dedup
42	32.99363679600798	SRR8663598	2	dedup
47	32.79308358989663	SRR8663598	2	dedup
52	32.53451505959127	SRR8663598	2	dedup
57	32.30735890600299	SRR8663598	2	dedup
62	32.07753713864776	SRR8663598	2	dedup
67	31.907753616077674	SRR8663598	2	dedup
72	31.714576872559483	SRR8663598	2	dedup
77	31.54182461269242	SRR8663598	2	dedup
82	31.32711944640844	SRR8663598	2	dedup
87	31.118202222615526	SRR8663598	2	dedup
92	30.96268264792756	SRR8663598	2	dedup
97	30.744908920829307	SRR8663598	2	dedup
102	30.47870846211753	SRR8663598	2	dedup
107	30.160134615382038	SRR8663598	2	dedup
112	29.853538785555127	SRR8663598	2	dedup
117	29.44756760906659	SRR8663598	2	dedup
122	29.14802844496225	SRR8663598	2	dedup
127	28.789259696543958	SRR8663598	2	dedup
132	28.561039155128448	SRR8663598	2	dedup
137	28.605848486564764	SRR8663598	2	dedup
142	29.2980516851626	SRR8663598	2	dedup
147	30.117438560033246	SRR8663598	2	dedup
150	31.612466697678354	SRR8663598	2	dedup
1	31.983932232569224	SRR8663599	1	dedup
2	32.45443490518306	SRR8663599	1	dedup
3	32.629152060676766	SRR8663599	1	dedup
4	32.67607905609228	SRR8663599	1	dedup
5	32.50368242977252	SRR8663599	1	dedup
6	34.17831884642882	SRR8663599	1	dedup
7	34.1529129200504	SRR8663599	1	dedup
8	34.14599618743822	SRR8663599	1	dedup
9	34.126609684396634	SRR8663599	1	dedup
12	34.110362159596086	SRR8663599	1	dedup
17	34.03285926871439	SRR8663599	1	dedup
22	33.899492690744175	SRR8663599	1	dedup
27	33.73470004605849	SRR8663599	1	dedup
32	33.58741069473658	SRR8663599	1	dedup
37	33.42754127376306	SRR8663599	1	dedup
42	33.260788386944654	SRR8663599	1	dedup
47	33.079842441167884	SRR8663599	1	dedup
52	32.90267706213072	SRR8663599	1	dedup
57	32.702807969650586	SRR8663599	1	dedup
62	32.48343101686521	SRR8663599	1	dedup
67	32.250260549844256	SRR8663599	1	dedup
72	32.0711373152001	SRR8663599	1	dedup
77	31.867922088148145	SRR8663599	1	dedup
82	31.655687330228545	SRR8663599	1	dedup
87	31.512962372369646	SRR8663599	1	dedup
92	31.349584627438652	SRR8663599	1	dedup
97	31.215401192479767	SRR8663599	1	dedup
102	31.09894619268157	SRR8663599	1	dedup
107	30.937737618140254	SRR8663599	1	dedup
112	30.827908969762916	SRR8663599	1	dedup
117	30.663507893628037	SRR8663599	1	dedup
122	30.55599640093815	SRR8663599	1	dedup
127	30.453987181564393	SRR8663599	1	dedup
132	30.37092577842082	SRR8663599	1	dedup
137	30.466665786651284	SRR8663599	1	dedup
142	30.934280369970175	SRR8663599	1	dedup
147	31.7503430420756	SRR8663599	1	dedup
150	33.263568019767604	SRR8663599	1	dedup
1	32.25068237510229	SRR8663599	2	dedup
2	32.297805571169754	SRR8663599	2	dedup
3	32.48910405642473	SRR8663599	2	dedup
4	32.49680749138205	SRR8663599	2	dedup
5	32.205772795212326	SRR8663599	2	dedup
6	34.052986313236715	SRR8663599	2	dedup
7	34.02523674421324	SRR8663599	2	dedup
8	34.00453224561409	SRR8663599	2	dedup
9	33.96736314555977	SRR8663599	2	dedup
12	33.87051911589601	SRR8663599	2	dedup
17	33.71850044759549	SRR8663599	2	dedup
22	33.59636435177576	SRR8663599	2	dedup
27	33.46102848628895	SRR8663599	2	dedup
32	33.308827660653	SRR8663599	2	dedup
37	33.14964582420178	SRR8663599	2	dedup
42	32.95999941941643	SRR8663599	2	dedup
47	32.75687411532312	SRR8663599	2	dedup
52	32.500877253321605	SRR8663599	2	dedup
57	32.25561654489894	SRR8663599	2	dedup
62	32.01059658224184	SRR8663599	2	dedup
67	31.828511832804043	SRR8663599	2	dedup
72	31.63857532885303	SRR8663599	2	dedup
77	31.449560305485978	SRR8663599	2	dedup
82	31.23280522149697	SRR8663599	2	dedup
87	31.03719626269925	SRR8663599	2	dedup
92	30.85046404640071	SRR8663599	2	dedup
97	30.622552824010665	SRR8663599	2	dedup
102	30.363115774177185	SRR8663599	2	dedup
107	30.04997007419836	SRR8663599	2	dedup
112	29.72352893576174	SRR8663599	2	dedup
117	29.32662539130966	SRR8663599	2	dedup
122	28.982680088132213	SRR8663599	2	dedup
127	28.62798925877501	SRR8663599	2	dedup
132	28.39779750763135	SRR8663599	2	dedup
137	28.46227147322985	SRR8663599	2	dedup
142	29.131501729373888	SRR8663599	2	dedup
147	30.0327448668745	SRR8663599	2	dedup
150	31.626262711649492	SRR8663599	2	dedup
1	32.38395219670054	SRR8663600	1	dedup
2	32.697524833078624	SRR8663600	1	dedup
3	32.83777214576609	SRR8663600	1	dedup
4	32.86088356606332	SRR8663600	1	dedup
5	32.71441834481897	SRR8663600	1	dedup
6	34.43955219562278	SRR8663600	1	dedup
7	34.40527889684536	SRR8663600	1	dedup
8	34.355519846896414	SRR8663600	1	dedup
9	34.338608244175376	SRR8663600	1	dedup
12	34.264026521121096	SRR8663600	1	dedup
17	34.1431979814099	SRR8663600	1	dedup
22	33.980314210220286	SRR8663600	1	dedup
27	33.818873282840926	SRR8663600	1	dedup
32	33.677864396634234	SRR8663600	1	dedup
37	33.53116792794887	SRR8663600	1	dedup
42	33.39966346328437	SRR8663600	1	dedup
47	33.25170454184272	SRR8663600	1	dedup
52	33.07871593763922	SRR8663600	1	dedup
57	32.904368002135215	SRR8663600	1	dedup
62	32.71554741849617	SRR8663600	1	dedup
67	32.488150184657925	SRR8663600	1	dedup
72	32.33365786060229	SRR8663600	1	dedup
77	32.1527845408066	SRR8663600	1	dedup
82	31.96351574719813	SRR8663600	1	dedup
87	31.85664014184203	SRR8663600	1	dedup
92	31.751309264841872	SRR8663600	1	dedup
97	31.649974413198787	SRR8663600	1	dedup
102	31.582861215387744	SRR8663600	1	dedup
107	31.46133022559393	SRR8663600	1	dedup
112	31.391078501162504	SRR8663600	1	dedup
117	31.284773769934834	SRR8663600	1	dedup
122	31.22684724393456	SRR8663600	1	dedup
127	31.143233984035067	SRR8663600	1	dedup
