mean_phred_score	n_sequences	sample	read_pair	stage
25	16709	SRR8663598	1	dedup
26	86791	SRR8663598	1	dedup
27	254632	SRR8663598	1	dedup
28	569693	SRR8663598	1	dedup
29	1022377	SRR8663598	1	dedup
30	1545695	SRR8663598	1	dedup
31	2082056	SRR8663598	1	dedup
32	2575715	SRR8663598	1	dedup
33	2908165	SRR8663598	1	dedup
34	2581016	SRR8663598	1	dedup
35	847779	SRR8663598	1	dedup
36	726	SRR8663598	1	dedup
25	93119	SRR8663598	2	dedup
26	287230	SRR8663598	2	dedup
27	570369	SRR8663598	2	dedup
28	947228	SRR8663598	2	dedup
29	1384164	SRR8663598	2	dedup
30	1843271	SRR8663598	2	dedup
31	2278158	SRR8663598	2	dedup
32	2603295	SRR8663598	2	dedup
33	2536932	SRR8663598	2	dedup
34	1590110	SRR8663598	2	dedup
35	356142	SRR8663598	2	dedup
36	1336	SRR8663598	2	dedup
25	11405	SRR8663599	1	dedup
26	60473	SRR8663599	1	dedup
27	180644	SRR8663599	1	dedup
28	404190	SRR8663599	1	dedup
29	724982	SRR8663599	1	dedup
30	1094232	SRR8663599	1	dedup
31	1452296	SRR8663599	1	dedup
32	1738249	SRR8663599	1	dedup
33	1838090	SRR8663599	1	dedup
34	1486247	SRR8663599	1	dedup
35	483592	SRR8663599	1	dedup
36	594	SRR8663599	1	dedup
25	56366	SRR8663599	2	dedup
26	180114	SRR8663599	2	dedup
27	366841	SRR8663599	2	dedup
28	623197	SRR8663599	2	dedup
29	929749	SRR8663599	2	dedup
30	1250720	SRR8663599	2	dedup
31	1542139	SRR8663599	2	dedup
32	1721629	SRR8663599	2	dedup
33	1597936	SRR8663599	2	dedup
34	965621	SRR8663599	2	dedup
35	239706	SRR8663599	2	dedup
36	976	SRR8663599	2	dedup
25	7602	SRR8663600	1	dedup
26	42072	SRR8663600	1	dedup
27	122073	SRR8663600	1	dedup
28	268393	SRR8663600	1	dedup
29	479429	SRR8663600	1	dedup
30	741416	SRR8663600	1	dedup
31	1044028	SRR8663600	1	dedup
32	1376009	SRR8663600	1	dedup
33	1667444	SRR8663600	1	dedup
34	1569580	SRR8663600	1	dedup
35	475459	SRR8663600	1	dedup
36	434	SRR8663600	1	dedup
25	32837	SRR8663600	2	dedup
26	114817	SRR8663600	2	dedup
27	242860	SRR8663600	2	dedup
28	425666	SRR8663600	2	dedup
29	656208	SRR8663600	2	dedup
30	931131	SRR8663600	2	dedup
31	1236154	SRR8663600	2	dedup
32	1514219	SRR8663600	2	dedup
33	1543088	SRR8663600	2	dedup
34	928269	SRR8663600	2	dedup
35	167976	SRR8663600	2	dedup
36	714	SRR8663600	2	dedup
25	4681	SRR8663601	1	dedup
26	26471	SRR8663601	1	dedup
27	78976	SRR8663601	1	dedup
28	178562	SRR8663601	1	dedup
29	327010	SRR8663601	1	dedup
30	522394	SRR8663601	1	dedup
31	766531	SRR8663601	1	dedup
32	1057319	SRR8663601	1	dedup
33	1320729	SRR8663601	1	dedup
34	1205208	SRR8663601	1	dedup
35	323727	SRR8663601	1	dedup
36	254	SRR8663601	1	dedup
25	25669	SRR8663601	2	dedup
26	94407	SRR8663601	2	dedup
27	202292	SRR8663601	2	dedup
28	356046	SRR8663601	2	dedup
29	556776	SRR8663601	2	dedup
30	794180	SRR8663601	2	dedup
31	1031565	SRR8663601	2	dedup
32	1176192	SRR8663601	2	dedup
33	1017745	SRR8663601	2	dedup
34	481868	SRR8663601	2	dedup
35	74745	SRR8663601	2	dedup
36	377	SRR8663601	2	dedup
25	16447	SRR8663602	1	dedup
26	88130	SRR8663602	1	dedup
27	263452	SRR8663602	1	dedup
28	592949	SRR8663602	1	dedup
29	1075889	SRR8663602	1	dedup
30	1659335	SRR8663602	1	dedup
31	2293248	SRR8663602	1	dedup
32	2956797	SRR8663602	1	dedup
33	3519219	SRR8663602	1	dedup
34	3363448	SRR8663602	1	dedup
35	1260950	SRR8663602	1	dedup
36	1351	SRR8663602	1	dedup
25	91941	SRR8663602	2	dedup
26	290861	SRR8663602	2	dedup
27	588106	SRR8663602	2	dedup
28	990316	SRR8663602	2	dedup
29	1472742	SRR8663602	2	dedup
30	2007882	SRR8663602	2	dedup
31	2567232	SRR8663602	2	dedup
32	3088222	SRR8663602	2	dedup
33	3221284	SRR8663602	2	dedup
34	2219894	SRR8663602	2	dedup
35	550564	SRR8663602	2	dedup
36	2171	SRR8663602	2	dedup
25	14382	SRR8663603	1	dedup
26	73817	SRR8663603	1	dedup
27	218005	SRR8663603	1	dedup
28	488339	SRR8663603	1	dedup
29	880974	SRR8663603	1	dedup
30	1350306	SRR8663603	1	dedup
31	1851333	SRR8663603	1	dedup
32	2351733	SRR8663603	1	dedup
33	2735546	SRR8663603	1	dedup
34	2510310	SRR8663603	1	dedup
35	868075	SRR8663603	1	dedup
36	991	SRR8663603	1	dedup
25	76249	SRR8663603	2	dedup
26	235736	SRR8663603	2	dedup
27	470584	SRR8663603	2	dedup
28	794320	SRR8663603	2	dedup
29	1177141	SRR8663603	2	dedup
30	1600755	SRR8663603	2	dedup
31	2039794	SRR8663603	2	dedup
32	2428626	SRR8663603	2	dedup
33	2484838	SRR8663603	2	dedup
34	1648479	SRR8663603	2	dedup
35	385687	SRR8663603	2	dedup
36	1602	SRR8663603	2	dedup
25	11700	SRR8663604	1	dedup
26	65272	SRR8663604	1	dedup
27	195745	SRR8663604	1	dedup
28	446150	SRR8663604	1	dedup
29	823448	SRR8663604	1	dedup
30	1298898	SRR8663604	1	dedup
31	1853079	SRR8663604	1	dedup
32	2483291	SRR8663604	1	dedup
33	3184091	SRR8663604	1	dedup
34	3666138	SRR8663604	1	dedup
35	2333065	SRR8663604	1	dedup
36	1869	SRR8663604	1	dedup
25	57097	SRR8663604	2	dedup
26	194349	SRR8663604	2	dedup
27	408218	SRR8663604	2	dedup
28	720047	SRR8663604	2	dedup
29	1119204	SRR8663604	2	dedup
30	1590431	SRR8663604	2	dedup
31	2129193	SRR8663604	2	dedup
32	2719048	SRR8663604	2	dedup
33	3166387	SRR8663604	2	dedup
34	2899621	SRR8663604	2	dedup
35	1357053	SRR8663604	2	dedup
36	2098	SRR8663604	2	dedup
25	15416	SRR8663605	1	dedup
26	86994	SRR8663605	1	dedup
27	264835	SRR8663605	1	dedup
28	609214	SRR8663605	1	dedup
29	1120404	SRR8663605	1	dedup
30	1756230	SRR8663605	1	dedup
31	2463647	SRR8663605	1	dedup
32	3208780	SRR8663605	1	dedup
33	3869638	SRR8663605	1	dedup
34	3957195	SRR8663605	1	dedup
35	2065992	SRR8663605	1	dedup
36	1813	SRR8663605	1	dedup
25	72439	SRR8663605	2	dedup
26	259997	SRR8663605	2	dedup
27	559628	SRR8663605	2	dedup
28	995061	SRR8663605	2	dedup
29	1551290	SRR8663605	2	dedup
30	2189356	SRR8663605	2	dedup
31	2870381	SRR8663605	2	dedup
32	3490189	SRR8663605	2	dedup
33	3670649	SRR8663605	2	dedup
34	2789369	SRR8663605	2	dedup
35	969614	SRR8663605	2	dedup
36	2185	SRR8663605	2	dedup
25	9340	SRR8663606	1	dedup
26	55370	SRR8663606	1	dedup
27	174401	SRR8663606	1	dedup
28	410179	SRR8663606	1	dedup
29	770591	SRR8663606	1	dedup
30	1236248	SRR8663606	1	dedup
31	1786931	SRR8663606	1	dedup
32	2398446	SRR8663606	1	dedup
33	2930199	SRR8663606	1	dedup
34	2750398	SRR8663606	1	dedup
35	1019845	SRR8663606	1	dedup
36	784	SRR8663606	1	dedup
25	68314	SRR8663606	2	dedup
26	271270	SRR8663606	2	dedup
27	592055	SRR8663606	2	dedup
28	1045049	SRR8663606	2	dedup
29	1591557	SRR8663606	2	dedup
30	2131173	SRR8663606	2	dedup
31	2501346	SRR8663606	2	dedup
32	2481035	SRR8663606	2	dedup
33	1873432	SRR8663606	2	dedup
34	844821	SRR8663606	2	dedup
35	141885	SRR8663606	2	dedup
36	795	SRR8663606	2	dedup
25	10502	SRR8663607	1	dedup
26	61225	SRR8663607	1	dedup
27	190947	SRR8663607	1	dedup
28	443710	SRR8663607	1	dedup
29	831281	SRR8663607	1	dedup
30	1325816	SRR8663607	1	dedup
31	1910642	SRR8663607	1	dedup
32	2587667	SRR8663607	1	dedup
33	3318735	SRR8663607	1	dedup
34	3729781	SRR8663607	1	dedup
35	2197643	SRR8663607	1	dedup
36	1745	SRR8663607	1	dedup
25	60704	SRR8663607	2	dedup
26	230487	SRR8663607	2	dedup
27	498778	SRR8663607	2	dedup
28	899677	SRR8663607	2	dedup
29	1423266	SRR8663607	2	dedup
30	2026108	SRR8663607	2	dedup
31	2649589	SRR8663607	2	dedup
32	3126462	SRR8663607	2	dedup
33	3076738	SRR8663607	2	dedup
34	2062431	SRR8663607	2	dedup
35	553708	SRR8663607	2	dedup
36	1746	SRR8663607	2	dedup
25	314	SRR8663608	1	dedup
26	1160	SRR8663608	1	dedup
27	2461	SRR8663608	1	dedup
28	4662	SRR8663608	1	dedup
29	7340	SRR8663608	1	dedup
30	10329	SRR8663608	1	dedup
31	13401	SRR8663608	1	dedup
32	17023	SRR8663608	1	dedup
33	20412	SRR8663608	1	dedup
34	20287	SRR8663608	1	dedup
35	8751	SRR8663608	1	dedup
36	5	SRR8663608	1	dedup
25	1050	SRR8663608	2	dedup
26	2831	SRR8663608	2	dedup
27	4728	SRR8663608	2	dedup
28	6715	SRR8663608	2	dedup
29	9077	SRR8663608	2	dedup
30	12006	SRR8663608	2	dedup
31	14842	SRR8663608	2	dedup
32	18026	SRR8663608	2	dedup
33	19152	SRR8663608	2	dedup
34	13831	SRR8663608	2	dedup
35	3873	SRR8663608	2	dedup
36	14	SRR8663608	2	dedup
25	434	SRR8663609	1	dedup
26	1422	SRR8663609	1	dedup
27	2985	SRR8663609	1	dedup
28	5464	SRR8663609	1	dedup
29	8959	SRR8663609	1	dedup
30	13052	SRR8663609	1	dedup
31	17332	SRR8663609	1	dedup
32	21539	SRR8663609	1	dedup
33	25856	SRR8663609	1	dedup
34	25179	SRR8663609	1	dedup
35	9699	SRR8663609	1	dedup
36	9	SRR8663609	1	dedup
25	1258	SRR8663609	2	dedup
26	3432	SRR8663609	2	dedup
27	5719	SRR8663609	2	dedup
28	8390	SRR8663609	2	dedup
29	11846	SRR8663609	2	dedup
30	15472	SRR8663609	2	dedup
31	18998	SRR8663609	2	dedup
32	22799	SRR8663609	2	dedup
33	23788	SRR8663609	2	dedup
34	16243	SRR8663609	2	dedup
35	3976	SRR8663609	2	dedup
36	9	SRR8663609	2	dedup
25	10010	SRR8663610	1	dedup
26	55537	SRR8663610	1	dedup
27	169050	SRR8663610	1	dedup
28	385842	SRR8663610	1	dedup
29	702921	SRR8663610	1	dedup
30	1101798	SRR8663610	1	dedup
31	1554479	SRR8663610	1	dedup
32	2042055	SRR8663610	1	dedup
33	2463765	SRR8663610	1	dedup
34	2390705	SRR8663610	1	dedup
35	1065557	SRR8663610	1	dedup
36	1149	SRR8663610	1	dedup
25	45658	SRR8663610	2	dedup
26	159405	SRR8663610	2	dedup
27	338352	SRR8663610	2	dedup
28	599775	SRR8663610	2	dedup
29	933280	SRR8663610	2	dedup
30	1327257	SRR8663610	2	dedup
31	1764120	SRR8663610	2	dedup
32	2186200	SRR8663610	2	dedup
33	2326473	SRR8663610	2	dedup
34	1705670	SRR8663610	2	dedup
35	555233	SRR8663610	2	dedup
36	1445	SRR8663610	2	dedup
25	9648	SRR8663611	1	dedup
26	52781	SRR8663611	1	dedup
27	160307	SRR8663611	1	dedup
28	364579	SRR8663611	1	dedup
29	667125	SRR8663611	1	dedup
30	1052893	SRR8663611	1	dedup
31	1503223	SRR8663611	1	dedup
32	2020053	SRR8663611	1	dedup
33	2532613	SRR8663611	1	dedup
34	2629149	SRR8663611	1	dedup
35	1297020	SRR8663611	1	dedup
36	1329	SRR8663611	1	dedup
25	42917	SRR8663611	2	dedup
26	152264	SRR8663611	2	dedup
27	324604	SRR8663611	2	dedup
28	579157	SRR8663611	2	dedup
29	908892	SRR8663611	2	dedup
30	1301757	SRR8663611	2	dedup
31	1756143	SRR8663611	2	dedup
32	2222642	SRR8663611	2	dedup
33	2448968	SRR8663611	2	dedup
34	1894586	SRR8663611	2	dedup
35	657068	SRR8663611	2	dedup
36	1722	SRR8663611	2	dedup
25	10435	SRR8663612	1	dedup
26	58272	SRR8663612	1	dedup
27	176016	SRR8663612	1	dedup
28	401308	SRR8663612	1	dedup
29	738049	SRR8663612	1	dedup
30	1163244	SRR8663612	1	dedup
31	1664444	SRR8663612	1	dedup
32	2234298	SRR8663612	1	dedup
33	2800888	SRR8663612	1	dedup
34	2906543	SRR8663612	1	dedup
35	1435209	SRR8663612	1	dedup
36	1459	SRR8663612	1	dedup
25	48992	SRR8663612	2	dedup
26	169117	SRR8663612	2	dedup
27	357858	SRR8663612	2	dedup
28	633071	SRR8663612	2	dedup
29	986746	SRR8663612	2	dedup
30	1414657	SRR8663612	2	dedup
31	1905911	SRR8663612	2	dedup
32	2430053	SRR8663612	2	dedup
33	2715979	SRR8663612	2	dedup
34	2154264	SRR8663612	2	dedup
35	771687	SRR8663612	2	dedup
36	1830	SRR8663612	2	dedup
25	12959	SRR8663613	1	dedup
26	70653	SRR8663613	1	dedup
27	211177	SRR8663613	1	dedup
28	482789	SRR8663613	1	dedup
29	884662	SRR8663613	1	dedup
30	1392936	SRR8663613	1	dedup
31	1989209	SRR8663613	1	dedup
32	2660499	SRR8663613	1	dedup
33	3324016	SRR8663613	1	dedup
34	3484363	SRR8663613	1	dedup
35	1791673	SRR8663613	1	dedup
36	1610	SRR8663613	1	dedup
25	59988	SRR8663613	2	dedup
26	207390	SRR8663613	2	dedup
27	438165	SRR8663613	2	dedup
28	776711	SRR8663613	2	dedup
29	1212083	SRR8663613	2	dedup
30	1731491	SRR8663613	2	dedup
31	2323890	SRR8663613	2	dedup
32	2930456	SRR8663613	2	dedup
33	3223921	SRR8663613	2	dedup
34	2523368	SRR8663613	2	dedup
35	877117	SRR8663613	2	dedup
36	1966	SRR8663613	2	dedup
25	9423	SRR8663614	1	dedup
26	53409	SRR8663614	1	dedup
27	160113	SRR8663614	1	dedup
28	362586	SRR8663614	1	dedup
29	660614	SRR8663614	1	dedup
30	1032886	SRR8663614	1	dedup
31	1466360	SRR8663614	1	dedup
32	1937321	SRR8663614	1	dedup
33	2366382	SRR8663614	1	dedup
34	2343883	SRR8663614	1	dedup
35	1075338	SRR8663614	1	dedup
36	1159	SRR8663614	1	dedup
25	40232	SRR8663614	2	dedup
26	139415	SRR8663614	2	dedup
27	300052	SRR8663614	2	dedup
28	537926	SRR8663614	2	dedup
29	847516	SRR8663614	2	dedup
30	1218788	SRR8663614	2	dedup
31	1649610	SRR8663614	2	dedup
32	2090306	SRR8663614	2	dedup
33	2299882	SRR8663614	2	dedup
34	1743664	SRR8663614	2	dedup
35	600617	SRR8663614	2	dedup
36	1466	SRR8663614	2	dedup
25	24534	SRR8663615	1	dedup
26	133342	SRR8663615	1	dedup
27	398932	SRR8663615	1	dedup
28	911694	SRR8663615	1	dedup
29	1697317	SRR8663615	1	dedup
30	2700203	SRR8663615	1	dedup
31	3903685	SRR8663615	1	dedup
32	5409562	SRR8663615	1	dedup
33	7411074	SRR8663615	1	dedup
34	9711524	SRR8663615	1	dedup
35	6964751	SRR8663615	1	dedup
36	4524	SRR8663615	1	dedup
25	114084	SRR8663615	2	dedup
26	391036	SRR8663615	2	dedup
27	828930	SRR8663615	2	dedup
28	1487300	SRR8663615	2	dedup
29	2362153	SRR8663615	2	dedup
30	3427784	SRR8663615	2	dedup
31	4709735	SRR8663615	2	dedup
32	6280214	SRR8663615	2	dedup
33	7847861	SRR8663615	2	dedup
34	7997340	SRR8663615	2	dedup
35	3820066	SRR8663615	2	dedup
36	4639	SRR8663615	2	dedup
25	24979	SRR8663616	1	dedup
26	137936	SRR8663616	1	dedup
27	419074	SRR8663616	1	dedup
28	963009	SRR8663616	1	dedup
29	1790284	SRR8663616	1	dedup
30	2846061	SRR8663616	1	dedup
31	4089347	SRR8663616	1	dedup
32	5576842	SRR8663616	1	dedup
33	7327193	SRR8663616	1	dedup
34	8806146	SRR8663616	1	dedup
35	5819559	SRR8663616	1	dedup
36	4379	SRR8663616	1	dedup
25	129420	SRR8663616	2	dedup
26	464036	SRR8663616	2	dedup
27	986256	SRR8663616	2	dedup
28	1755702	SRR8663616	2	dedup
29	2758858	SRR8663616	2	dedup
30	3951027	SRR8663616	2	dedup
31	5297957	SRR8663616	2	dedup
32	6668312	SRR8663616	2	dedup
33	7420251	SRR8663616	2	dedup
34	6166718	SRR8663616	2	dedup
35	2201906	SRR8663616	2	dedup
36	4366	SRR8663616	2	dedup
25	20228	SRR8663617	1	dedup
26	113764	SRR8663617	1	dedup
27	343471	SRR8663617	1	dedup
28	784281	SRR8663617	1	dedup
29	1442999	SRR8663617	1	dedup
30	2283507	SRR8663617	1	dedup
31	3269055	SRR8663617	1	dedup
32	4414527	SRR8663617	1	dedup
33	5684221	SRR8663617	1	dedup
34	6495292	SRR8663617	1	dedup
35	3986394	SRR8663617	1	dedup
36	3470	SRR8663617	1	dedup
25	96618	SRR8663617	2	dedup
26	333152	SRR8663617	2	dedup
27	706829	SRR8663617	2	dedup
28	1257841	SRR8663617	2	dedup
29	1970330	SRR8663617	2	dedup
30	2820448	SRR8663617	2	dedup
31	3813508	SRR8663617	2	dedup
32	4908735	SRR8663617	2	dedup
33	5694595	SRR8663617	2	dedup
34	5055940	SRR8663617	2	dedup
35	2179385	SRR8663617	2	dedup
36	3828	SRR8663617	2	dedup
25	22826	SRR8663618	1	dedup
26	127178	SRR8663618	1	dedup
