sample	classification	n_reads	p_reads
SRR8663598	Filtered	1474598	0.07954458961468615
SRR8663598	Duplicate	2572053	0.13874486494096858
SRR8663598	Ribosomal	7075786	0.38169080221954843
SRR8663598	Unassigned	3021429	0.16298566107841703
SRR8663598	Bacterial	489150	0.026386334451846356
SRR8663598	Archaeal	1902	1.0260003705900392e-4
SRR8663598	Viral	9075	4.895348771348373e-4
SRR8663598	Human	3894012	0.21005561278033963
SRR8663599	Filtered	807400	0.07414364049315347
SRR8663599	Duplicate	607279	0.05576650465078244
SRR8663599	Ribosomal	2425257	0.22271164616237787
SRR8663599	Unassigned	2064889	0.18961900876178742
SRR8663599	Bacterial	458724	0.042124680878847326
SRR8663599	Archaeal	1796	1.6492689909054203e-4
SRR8663599	Viral	2292	2.1047463959661598e-4
SRR8663599	Human	4522036	0.4152591175143643
SRR8663600	Filtered	690428	0.06540866203310942
SRR8663600	Duplicate	2071238	0.19622162822500464
SRR8663600	Ribosomal	22138	0.0020972743864515584
SRR8663600	Unassigned	915627	0.08674320420288557
SRR8663600	Bacterial	6453712	0.6114014308038241
SRR8663600	Archaeal	148	1.4020986954324266e-5
SRR8663600	Viral	83	7.863121062222393e-6
SRR8663600	Human	402231	0.03810591624070814
SRR8663601	Filtered	478448	0.06916694146105998
SRR8663601	Duplicate	626983	0.09063993674982396
SRR8663601	Ribosomal	17266	0.002496063127584736
SRR8663601	Unassigned	778346	0.11252176248714635
SRR8663601	Bacterial	4858878	0.7024247780164871
SRR8663601	Archaeal	114	1.6480435337927712e-5
SRR8663601	Viral	112	1.6191304893402664e-5
SRR8663601	Human	157146	0.022717846417666564
SRR8663602	Filtered	1345619	0.06702240771113392
SRR8663602	Duplicate	1640317	0.08170068552057012
SRR8663602	Ribosomal	4518454	0.22505454085592125
SRR8663602	Unassigned	3785470	0.1885461737076142
SRR8663602	Bacterial	779434	0.03882194241603303
SRR8663602	Archaeal	2960	1.474312764794168e-4
SRR8663602	Viral	5680	2.829086656767188e-4
SRR8663602	Human	7999217	0.39842390984657133
SRR8663603	Filtered	1248815	0.07853680050779142
SRR8663603	Duplicate	1308391	0.08228347910073928
SRR8663603	Ribosomal	3690436	0.23208804820471546
SRR8663603	Unassigned	2843764	0.17884164264461827
SRR8663603	Bacterial	600445	0.0377614211719917
SRR8663603	Archaeal	2598	1.633857758909383e-4
SRR8663603	Viral	4127	2.595431474603165e-4
SRR8663603	Human	6202441	0.3900656794467926
SRR8663604	Filtered	956499	0.054478182476073285
SRR8663604	Duplicate	238224	0.013568242666411656
SRR8663604	Ribosomal	53492	0.0030466805893264
SRR8663604	Unassigned	7253411	0.4131239531164771
SRR8663604	Bacterial	2096196	0.11939055680519783
SRR8663604	Archaeal	2294	1.3065664532854935e-4
SRR8663604	Viral	2260	1.2872014753379318e-4
SRR8663604	Human	6955093	0.3961330075536514
SRR8663605	Filtered	1190721	0.057095207060097984
SRR8663605	Duplicate	244129	0.011706013251109757
SRR8663605	Ribosomal	67899	0.003255764754441715
SRR8663605	Unassigned	9234543	0.4427973846857311
SRR8663605	Bacterial	3389808	0.1625416782386274
SRR8663605	Archaeal	2830	1.356988211176903e-4
SRR8663605	Viral	3477	1.6672254453222937e-4
SRR8663605	Human	6721601	0.32230153064434214
SRR8663606	Filtered	1054042	0.0713967886408036
SRR8663606	Duplicate	166383	0.01127015041565974
SRR8663606	Ribosomal	50428	0.0034158005635244546
SRR8663606	Unassigned	6739834	0.456530672944818
SRR8663606	Bacterial	4805393	0.3254990108145568
SRR8663606	Archaeal	2418	1.6378610618311516e-4
SRR8663606	Viral	2607	1.7658824599643558e-4
SRR8663606	Human	1942052	0.1315472022684579
SRR8663607	Filtered	1031731	0.057850799437915934
SRR8663607	Duplicate	192918	0.010817219339114427
SRR8663607	Ribosomal	49270	0.0027626473260046643
SRR8663607	Unassigned	7910441	0.4435510183918746
SRR8663607	Bacterial	2343684	0.13141409246194266
SRR8663607	Archaeal	3132	1.7561622539165024e-4
SRR8663607	Viral	2033	1.1399354604764527e-4
SRR8663607	Human	6301134	0.35331461327170843
SRR8663608	Filtered	64092	0.35435787425083487
SRR8663608	Duplicate	10631	0.05877767211447022
SRR8663608	Ribosomal	22903	0.12662825928301302
SRR8663608	Unassigned	52796	0.2919034876263352
SRR8663608	Bacterial	6318	0.034931552292279455
SRR8663608	Archaeal	10	5.528894000044231e-5
SRR8663608	Viral	975	0.005390671650043126
SRR8663608	Human	23143	0.12795519384302365
SRR8663609	Filtered	686507	0.8166616307370935
SRR8663609	Duplicate	22189	0.026395805031012604
SRR8663609	Ribosomal	47167	0.05610937563196951
SRR8663609	Unassigned	63107	0.07507143485925964
SRR8663609	Bacterial	6485	0.007714488964176697
SRR8663609	Archaeal	5	5.9479483147083245e-6
SRR8663609	Viral	672	7.994042534967988e-4
SRR8663609	Human	14494	0.017241912574676492
SRR8663610	Filtered	727440	0.05682559851664752
SRR8663610	Duplicate	130965	0.010230623157556283
SRR8663610	Ribosomal	36670	0.00286455886066956
SRR8663610	Unassigned	5336053	0.4168376848146274
SRR8663610	Bacterial	2231598	0.1743262564590256
SRR8663610	Archaeal	1934	1.5107872474870272e-4
SRR8663610	Viral	4164	3.252801498725947e-4
SRR8663610	Human	4332449	0.3384389193168523
SRR8663611	Filtered	722984	0.05490716496641817
