sample	classification	n_reads	p_reads
SRR10002675	Filtered	416158	0.07219161122368457
SRR10002675	Duplicate	287447	0.04986390282396219
SRR10002675	Ribosomal	17673	0.003065764313448684
SRR10002675	Unassigned	2696092	0.4676955038405754
SRR10002675	Bacterial	736710	0.12779829272680246
SRR10002675	Archaeal	7402	0.0012840370875429842
SRR10002675	Viral	642	1.11368793596676e-4
SRR10002675	Human	1602507	0.27798951919038706
SRR10002676	Filtered	374568	0.06795372511113723
SRR10002676	Duplicate	260153	0.04719667843712673
SRR10002676	Ribosomal	15965	0.0028963531892721908
SRR10002676	Unassigned	2673642	0.4850492661241515
SRR10002676	Bacterial	753116	0.13662949755664988
SRR10002676	Archaeal	785	1.4241385866449544e-4
SRR10002676	Viral	811	1.4713075079860613e-4
SRR10002676	Human	1433064	0.2599849349721994
SRR10002677	Filtered	424418	0.072292846514011
SRR10002677	Duplicate	296132	0.050441369649466106
SRR10002677	Ribosomal	17548	0.0029890223096755205
SRR10002677	Unassigned	3140286	0.534897704169233
SRR10002677	Bacterial	911595	0.15527568910352496
SRR10002677	Archaeal	1006	1.7135607724718334e-4
SRR10002677	Viral	782	1.3320124493767136e-4
SRR10002677	Human	1079049	0.18379881093190453
SRR10002678	Filtered	324841	0.053517675820362126
SRR10002678	Duplicate	518702	0.08545634782362287
SRR10002678	Ribosomal	12907	0.002126433060523191
SRR10002678	Unassigned	1840217	0.3031764366108937
SRR10002678	Bacterial	1999342	0.3293923396678204
SRR10002678	Archaeal	1339	2.2060074905404453e-4
SRR10002678	Viral	1284	2.1153947855518537e-4
SRR10002678	Human	1371157	0.22589862678916844
SRR10002679	Filtered	506588	0.07346259634218372
SRR10002679	Duplicate	635649	0.09217831038696679
SRR10002679	Ribosomal	12461	0.001807025458597423
SRR10002679	Unassigned	2642411	0.3831878620558442
SRR10002679	Bacterial	1943505	0.2818363705891489
SRR10002679	Archaeal	4868	7.059304977491578e-4
SRR10002679	Viral	765	1.1093607863149254e-4
SRR10002679	Human	1149616	0.16671096859087833
SRR10002680	Filtered	241483	0.05523916927250726
SRR10002680	Duplicate	386492	0.08840993780295041
SRR10002680	Ribosomal	8916	0.002039532527066811
SRR10002680	Unassigned	1220408	0.2791679915088103
SRR10002680	Bacterial	909686	0.20809042019036553
SRR10002680	Archaeal	993	2.2714847458247457e-4
SRR10002680	Viral	658	1.5051731749775253e-4
SRR10002680	Human	1602954	0.3666752829062195
SRR10002681	Filtered	346899	0.06208871032839456
SRR10002681	Duplicate	571543	0.10229596443697334
SRR10002681	Ribosomal	27521	0.004925766280524726
SRR10002681	Unassigned	2605853	0.46640103337103295
SRR10002681	Bacterial	1095409	0.1960585994543552
SRR10002681	Archaeal	5574	9.976462064476153e-4
SRR10002681	Viral	727	1.3011998422809764e-4
SRR10002681	Human	933625	0.16710215993804356
SRR10002682	Filtered	300409	0.06953612645381473
SRR10002682	Duplicate	410836	0.09509683147901503
SRR10002682	Ribosomal	11174	0.0025864627124850643
SRR10002682	Unassigned	1416455	0.3278689852705416
