name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads	sample
Eukaryota	2759	D	1107392	1302	1108694	0.51895	SRR10002824
Bacteria	2	D	1022579	424	1023003	0.47884	SRR10002824
Archaea	2157	D	3633	1	3634	0.0017	SRR10002824
Viruses	10239	D	1022	48	1070	5e-4	SRR10002824
Bacteria	2	D	1029761	189	1029950	0.53563	SRR10002789
Eukaryota	2759	D	891036	672	891708	0.46374	SRR10002789
Archaea	2157	D	812	0	812	4.2e-4	SRR10002789
Viruses	10239	D	373	14	387	2e-4	SRR10002789
Bacteria	2	D	1187268	451	1187719	0.52052	SRR10002826
Eukaryota	2759	D	1088894	1492	1090386	0.47786	SRR10002826
Archaea	2157	D	2949	0	2949	0.00129	SRR10002826
Viruses	10239	D	712	22	734	3.2e-4	SRR10002826
Eukaryota	2759	D	569699	799	570498	0.5073	SRR10002857
Bacteria	2	D	552656	140	552796	0.49156	SRR10002857
Archaea	2157	D	908	0	908	8.1e-4	SRR10002857
Viruses	10239	D	368	0	368	3.3e-4	SRR10002857
Bacteria	2	D	1308914	519	1309433	0.63179	SRR10002783
Eukaryota	2759	D	759698	1140	760838	0.3671	SRR10002783
Archaea	2157	D	1763	0	1763	8.5e-4	SRR10002783
Viruses	10239	D	516	13	529	2.6e-4	SRR10002783
Eukaryota	2759	D	1685363	816	1686179	0.69973	SRR10002836
Bacteria	2	D	722099	217	722316	0.29975	SRR10002836
Archaea	2157	D	565	0	565	2.3e-4	SRR10002836
Viruses	10239	D	679	25	704	2.9e-4	SRR10002836
Bacteria	2	D	542655	135	542790	0.62234	SRR10002803
Eukaryota	2759	D	327837	748	328585	0.37674	SRR10002803
Archaea	2157	D	630	0	630	7.2e-4	SRR10002803
Viruses	10239	D	166	6	172	2e-4	SRR10002803
Eukaryota	2759	D	1642719	909	1643628	0.64572	SRR10002784
Bacteria	2	D	900069	176	900245	0.35367	SRR10002784
Archaea	2157	D	1081	0	1081	4.2e-4	SRR10002784
Viruses	10239	D	446	3	449	1.8e-4	SRR10002784
Eukaryota	2759	D	860253	728	860981	0.58358	SRR10002830
Bacteria	2	D	612998	220	613218	0.41564	SRR10002830
Archaea	2157	D	604	0	604	4.1e-4	SRR10002830
Viruses	10239	D	538	6	544	3.7e-4	SRR10002830
Eukaryota	2759	D	321847	420	322267	0.60782	SRR10002845
Bacteria	2	D	206610	75	206685	0.38983	SRR10002845
Archaea	2157	D	1107	0	1107	0.00209	SRR10002845
Viruses	10239	D	137	1	138	2.6e-4	SRR10002845
Eukaryota	2759	D	782195	977	783172	0.5379	SRR10002853
Bacteria	2	D	669623	269	669892	0.4601	SRR10002853
Archaea	2157	D	2381	0	2381	0.00164	SRR10002853
Viruses	10239	D	512	23	535	3.7e-4	SRR10002853
Eukaryota	2759	D	281916	459	282375	0.5755	SRR10002850
Bacteria	2	D	207666	79	207745	0.4234	SRR10002850
Archaea	2157	D	431	0	431	8.8e-4	SRR10002850
Viruses	10239	D	109	1	110	2.2e-4	SRR10002850
Eukaryota	2759	D	1054730	940	1055670	0.7078	SRR10002844
Bacteria	2	D	434696	151	434847	0.29155	SRR10002844
Archaea	2157	D	415	0	415	2.8e-4	SRR10002844
Viruses	10239	D	532	18	550	3.7e-4	SRR10002844
Eukaryota	2759	D	1410733	1151	1411884	0.63756	SRR10002829
Bacteria	2	D	800624	325	800949	0.36168	SRR10002829
Archaea	2157	D	899	0	899	4.1e-4	SRR10002829
Viruses	10239	D	776	12	788	3.6e-4	SRR10002829
Bacteria	2	D	103143	40	103183	0.90275	SRR10002817
Eukaryota	2759	D	11055	17	11072	0.09687	SRR10002817
Archaea	2157	D	2	0	2	2e-5	SRR10002817
Viruses	10239	D	15	25	40	3.5e-4	SRR10002817
Eukaryota	2759	D	1305557	1492	1307049	0.51599	SRR10002825
Bacteria	2	D	1222579	480	1223059	0.48283	SRR10002825
Archaea	2157	D	1853	0	1853	7.3e-4	SRR10002825
Viruses	10239	D	1134	14	1148	4.5e-4	SRR10002825
Bacteria	2	D	263328	197	263525	0.89614	SRR10002812
Eukaryota	2759	D	30271	35	30306	0.10306	SRR10002812
Archaea	2157	D	20	0	20	7e-5	SRR10002812
Viruses	10239	D	63	150	213	7.2e-4	SRR10002812
Bacteria	2	D	804873	275	805148	0.56094	SRR10002869
Eukaryota	2759	D	625378	875	626253	0.43631	SRR10002869
Archaea	2157	D	3390	1	3391	0.00236	SRR10002869
Viruses	10239	D	548	9	557	3.9e-4	SRR10002869
Bacteria	2	D	1096322	470	1096792	0.62977	SRR10002827
