sample,library,country,region,city,location,instrument,date
SRR10002775,SRR10002775,Norway,Europe,Oslo,"Oslo, Jernbanetorget",SASS 3100 electret filter air sampler,2017-06-21
SRR10002776,SRR10002776,United Kingdom,Europe,London,"London, Kings Cross St Pancras",SASS 3100 electret filter air sampler,2017-08-18
SRR10002777,SRR10002777,United Kingdom,Europe,London,"London, Vauxhall",SASS 3100 electret filter air sampler,2017-08-21
SRR10002778,SRR10002778,United Kingdom,Europe,London,"London, Green Park",SASS 3100 electret filter air sampler,2017-07-23
SRR10002779,SRR10002779,United Kingdom,Europe,London,"London, Euston",SASS 3100 electret filter air sampler,2017-06-21
SRR10002780,SRR10002780,USA,North America,New York City,"New York City, 28th St.",SASS 3100 electret filter air sampler,2017-06-23
SRR10002781,SRR10002781,United Kingdom,Europe,London,"London, Green Park",SASS 3100 electret filter air sampler,2017-06-21
SRR10002782,SRR10002782,United Kingdom,Europe,London,"London, Oxford Circus",SASS 3100 electret filter air sampler,2017-06-21
SRR10002783,SRR10002783,United Kingdom,Europe,London,"London, Kings Cross St Pancras",SASS 3100 electret filter air sampler,2017-06-21
SRR10002784,SRR10002784,Hong Kong,Asia,Hong Kong,"Hong Kong, East Tsim Sha Tsui",SASS 3100 electret filter air sampler,2017-07-12
SRR10002785,SRR10002785,United Kingdom,Europe,London,"London, Euston",SASS 3100 electret filter air sampler,2017-08-18
SRR10002786,SRR10002786,United Kingdom,Europe,London,"London, Brixton",SASS 3100 electret filter air sampler,2017-08-21
SRR10002787,SRR10002787,Hong Kong,Asia,Hong Kong,"Hong Kong, Hung Hom",SASS 3100 electret filter air sampler,2017-07-12
SRR10002788,SRR10002788,Hong Kong,Asia,Hong Kong,"Hong Kong, Admiralty",SASS 3100 electret filter air sampler,2017-07-07
SRR10002789,SRR10002789,Hong Kong,Asia,Hong Kong,"Hong Kong, Ocean Park",SASS 3100 electret filter air sampler,2017-07-07
SRR10002790,SRR10002790,Hong Kong,Asia,Hong Kong,"Hong Kong, Mong Kok East",SASS 3100 electret filter air sampler,2017-07-12
SRR10002791,SRR10002791,Hong Kong,Asia,Hong Kong,"Hong Kong, Tsing Yi",SASS 3100 electret filter air sampler,2017-07-06
SRR10002792,SRR10002792,Hong Kong,Asia,Hong Kong,"Hong Kong, Lai King",SASS 3100 electret filter air sampler,2017-07-06
SRR10002793,SRR10002793,Hong Kong,Asia,Hong Kong,"Hong Kong, Cheung Sha Wan",SASS 3100 electret filter air sampler,2017-07-06
SRR10002794,SRR10002794,Hong Kong,Asia,Hong Kong,"Hong Kong, Sham Shui Po",SASS 3100 electret filter air sampler,2017-07-06
SRR10002795,SRR10002795,Hong Kong,Asia,Hong Kong,"Hong Kong, Fortress Hill",SASS 3100 electret filter air sampler,2017-07-07
SRR10002796,SRR10002796,Hong Kong,Asia,Hong Kong,"Hong Kong, North Point",SASS 3100 electret filter air sampler,2017-07-07
SRR10002797,SRR10002797,Hong Kong,Asia,Hong Kong,"Hong Kong, Quarry Bay",SASS 3100 electret filter air sampler,2017-07-07
SRR10002798,SRR10002798,Hong Kong,Asia,Hong Kong,"Hong Kong, Yau Tong",SASS 3100 electret filter air sampler,2017-07-07
SRR10002799,SRR10002799,Norway,Europe,Oslo,"Oslo, Vestli",SASS 3100 electret filter air sampler,2017-06-23
SRR10002800,SRR10002800,Norway,Europe,Oslo,"Oslo, Romsaas",SASS 3100 electret filter air sampler,2017-06-23
SRR10002801,SRR10002801,Norway,Europe,Oslo,"Oslo, Nydalen",SASS 3100 electret filter air sampler,2017-06-21
SRR10002802,SRR10002802,Norway,Europe,Oslo,"Oslo, Loeren",SASS 3100 electret filter air sampler,2017-06-21
SRR10002803,SRR10002803,Norway,Europe,Oslo,"Oslo, Majorstua",SASS 3100 electret filter air sampler,2017-06-21
SRR10002804,SRR10002804,Norway,Europe,Oslo,"Oslo, Forskningsparken",SASS 3100 electret filter air sampler,2017-06-21
SRR10002805,SRR10002805,Norway,Europe,Oslo,"Oslo, Helsfyr",SASS 3100 electret filter air sampler,2017-06-21
SRR10002806,SRR10002806,Norway,Europe,Oslo,"Oslo, Toeyen",SASS 3100 electret filter air sampler,2017-06-21
SRR10002807,SRR10002807,Hong Kong,Asia,Hong Kong,"Hong Kong, Che Kung Temple",SASS 3100 electret filter air sampler,2017-07-13
SRR10002808,SRR10002808,Norway,Europe,Oslo,"Oslo, Carl Berners plass",SASS 3100 electret filter air sampler,2017-06-23
SRR10002809,SRR10002809,Norway,Europe,Oslo,"Oslo, Groenland",SASS 3100 electret filter air sampler,2017-06-23
SRR10002810,SRR10002810,Hong Kong,Asia,Hong Kong,"Hong Kong, Fortress Hill",SASS 3100 electret filter air sampler,2017-07-05
SRR10002811,SRR10002811,Norway,Europe,Oslo,"Oslo, Helsfyr",SASS 3100 electret filter air sampler,2017-06-27
SRR10002812,SRR10002812,uncalculated,uncalculated,,"Oslo, Helsfyr",SASS 3100 electret filter air sampler,2017-06-21
SRR10002813,SRR10002813,uncalculated,uncalculated,,"Oslo, Helsfyr",SASS 3100 electret filter air sampler,2017-06-21
SRR10002814,SRR10002814,uncalculated,uncalculated,,"Oslo, Helsfyr",SASS 3100 electret filter air sampler,2017-06-21
SRR10002815,SRR10002815,uncalculated,uncalculated,,"Oslo, Helsfyr",SASS 3100 electret filter air sampler,2017-06-21
SRR10002816,SRR10002816,uncalculated,uncalculated,,"Oslo, Helsfyr",SASS 3100 electret filter air sampler,2017-06-21
SRR10002817,SRR10002817,uncalculated,uncalculated,,"Oslo, Helsfyr",SASS 3100 electret filter air sampler,2017-06-21
SRR10002818,SRR10002818,Hong Kong,Asia,Hong Kong,"Hong Kong, Hung Hom",SASS 3100 electret filter air sampler,2017-07-14
SRR10002819,SRR10002819,Hong Kong,Asia,Hong Kong,"Hong Kong, Mong Kok East",SASS 3100 electret filter air sampler,2017-07-14
SRR10002820,SRR10002820,Hong Kong,Asia,Hong Kong,"Hong Kong, Tsim Sha Tsui",SASS 3100 electret filter air sampler,2017-07-14
SRR10002821,SRR10002821,Hong Kong,Asia,Hong Kong,"Hong Kong, East Tsim Sha Tsui",SASS 3100 electret filter air sampler,2017-07-14
SRR10002822,SRR10002822,USA,North America,New York City,"New York City, Time Square 42nd St.",SASS 3100 electret filter air sampler,2017-06-23
SRR10002823,SRR10002823,USA,North America,New York City,"New York City, Grand Central 42nd St.",SASS 3100 electret filter air sampler,2017-06-23
SRR10002824,SRR10002824,USA,North America,New York City,"New York City, 59th St.",SASS 3100 electret filter air sampler,2017-06-23
SRR10002825,SRR10002825,USA,North America,New York City,"New York City, 77th St.",SASS 3100 electret filter air sampler,2017-06-23
SRR10002826,SRR10002826,USA,North America,New York City,"New York City, 39th St. Herald Sq.",SASS 3100 electret filter air sampler,2017-06-23
SRR10002827,SRR10002827,USA,North America,New York City,"New York City, Union Square 14th St.",SASS 3100 electret filter air sampler,2017-06-23
SRR10002828,SRR10002828,USA,North America,New York City,"New York City, 33rd St.",SASS 3100 electret filter air sampler,2017-06-23
SRR10002829,SRR10002829,USA,North America,New York City,"New York City, 51st St.",SASS 3100 electret filter air sampler,2017-06-23
SRR10002830,SRR10002830,USA,North America,Denver,"Denver, Union Station",SASS 3100 electret filter air sampler,2017-06-23
SRR10002831,SRR10002831,USA,North America,Denver,"Denver, Union Station",SASS 3100 electret filter air sampler,2017-06-23
SRR10002832,SRR10002832,USA,North America,New York City,"New York City, Canal St.",SASS 3100 electret filter air sampler,2017-06-23
SRR10002833,SRR10002833,USA,North America,New York City,"New York City, 86th St.",SASS 3100 electret filter air sampler,2017-06-23
SRR10002834,SRR10002834,USA,North America,Denver,"Denver, Union Station",SASS 3100 electret filter air sampler,2017-06-23
SRR10002835,SRR10002835,USA,North America,Denver,"Denver, Train Cabin - front wagon",SASS 3100 electret filter air sampler,2017-06-23
SRR10002836,SRR10002836,USA,North America,Denver,"Denver, Union Station",SASS 3100 electret filter air sampler,2017-06-23
SRR10002837,SRR10002837,USA,North America,Denver,"Denver, Union Station",SASS 3100 electret filter air sampler,2017-06-23
SRR10002838,SRR10002838,Hong Kong,Asia,Hong Kong,"Hong Kong, Che Kung Temple",SASS 3100 electret filter air sampler,2017-07-04
SRR10002839,SRR10002839,Hong Kong,Asia,Hong Kong,"Hong Kong, Sha Tin Wai",SASS 3100 electret filter air sampler,2017-07-04
SRR10002840,SRR10002840,Hong Kong,Asia,Hong Kong,"Hong Kong, Kowloon Tong",SASS 3100 electret filter air sampler,2017-07-04
SRR10002841,SRR10002841,Hong Kong,Asia,Hong Kong,"Hong Kong, Tai Wai",SASS 3100 electret filter air sampler,2017-07-04
SRR10002842,SRR10002842,Sweden,Europe,Stockholm,"Stockholm, Universitetet",SASS 3100 electret filter air sampler,2017-09-28
SRR10002843,SRR10002843,Sweden,Europe,Stockholm,"Stockholm, Danderyd",SASS 3100 electret filter air sampler,2017-09-28
SRR10002844,SRR10002844,Sweden,Europe,Stockholm,"Stockholm, T-centralen",SASS 3100 electret filter air sampler,2017-09-28
SRR10002845,SRR10002845,Sweden,Europe,Stockholm,"Stockholm, Tekniska hoegskolan",SASS 3100 electret filter air sampler,2017-09-28
SRR10002846,SRR10002846,Hong Kong,Asia,Hong Kong,"Hong Kong, Shek Kip Mei",SASS 3100 electret filter air sampler,2017-07-04
SRR10002847,SRR10002847,Hong Kong,Asia,Hong Kong,"Hong Kong, Prince Edward",SASS 3100 electret filter air sampler,2017-07-04
SRR10002848,SRR10002848,Norway,Europe,Oslo,"Oslo, Loeren",SASS 3100 electret filter air sampler,2017-06-27
SRR10002849,SRR10002849,Norway,Europe,Oslo,"Oslo, Nydalen",SASS 3100 electret filter air sampler,2017-06-27
SRR10002850,SRR10002850,Norway,Europe,Oslo,"Oslo, Forskningsparken",SASS 3100 electret filter air sampler,2017-06-27
