position	pc_adapters	sample	adapter	read_pair	stage
1	1.6023879255917484	SRR5853122	illumina_universal_adapter	1	raw_concat
2	1.6034089884160423	SRR5853122	illumina_universal_adapter	1	raw_concat
3	1.6035791655534246	SRR5853122	illumina_universal_adapter	1	raw_concat
4	1.603749342690807	SRR5853122	illumina_universal_adapter	1	raw_concat
5	1.6040896969655714	SRR5853122	illumina_universal_adapter	1	raw_concat
6	1.6052809369272476	SRR5853122	illumina_universal_adapter	1	raw_concat
7	1.6110669595982459	SRR5853122	illumina_universal_adapter	1	raw_concat
8	1.62025652501689	SRR5853122	illumina_universal_adapter	1	raw_concat
9	1.6391461872663255	SRR5853122	illumina_universal_adapter	1	raw_concat
12	1.6766872637728614	SRR5853122	illumina_universal_adapter	1	raw_concat
17	1.749727291137345	SRR5853122	illumina_universal_adapter	1	raw_concat
22	1.840703988781923	SRR5853122	illumina_universal_adapter	1	raw_concat
27	2.1473291549173537	SRR5853122	illumina_universal_adapter	1	raw_concat
32	2.7087435311415655	SRR5853122	illumina_universal_adapter	1	raw_concat
37	2.9794272858618536	SRR5853122	illumina_universal_adapter	1	raw_concat
42	3.066183590499351	SRR5853122	illumina_universal_adapter	1	raw_concat
47	3.1075025994557732	SRR5853122	illumina_universal_adapter	1	raw_concat
52	3.1422187354817632	SRR5853122	illumina_universal_adapter	1	raw_concat
57	3.1900044756587134	SRR5853122	illumina_universal_adapter	1	raw_concat
62	3.2385730306676224	SRR5853122	illumina_universal_adapter	1	raw_concat
67	3.278836941372275	SRR5853122	illumina_universal_adapter	1	raw_concat
72	3.323185103374102	SRR5853122	illumina_universal_adapter	1	raw_concat
77	3.38676328190013	SRR5853122	illumina_universal_adapter	1	raw_concat
82	3.4792375383536722	SRR5853122	illumina_universal_adapter	1	raw_concat
87	3.610273934138044	SRR5853122	illumina_universal_adapter	1	raw_concat
92	3.817685829179593	SRR5853122	illumina_universal_adapter	1	raw_concat
97	4.154772702906455	SRR5853122	illumina_universal_adapter	1	raw_concat
102	4.666767638434846	SRR5853122	illumina_universal_adapter	1	raw_concat
107	5.46442191677317	SRR5853122	illumina_universal_adapter	1	raw_concat
112	6.666144790112028	SRR5853122	illumina_universal_adapter	1	raw_concat
117	8.411039050547714	SRR5853122	illumina_universal_adapter	1	raw_concat
122	10.834123238879348	SRR5853122	illumina_universal_adapter	1	raw_concat
127	14.080898807568797	SRR5853122	illumina_universal_adapter	1	raw_concat
132	18.17107226912493	SRR5853122	illumina_universal_adapter	1	raw_concat
137	23.075475262200424	SRR5853122	illumina_universal_adapter	1	raw_concat
142	28.56484514731384	SRR5853122	illumina_universal_adapter	1	raw_concat
147	34.40508625428208	SRR5853122	illumina_universal_adapter	1	raw_concat
152	40.40713178347342	SRR5853122	illumina_universal_adapter	1	raw_concat
157	46.29692847284739	SRR5853122	illumina_universal_adapter	1	raw_concat
162	51.95790498329711	SRR5853122	illumina_universal_adapter	1	raw_concat
167	57.24357283496391	SRR5853122	illumina_universal_adapter	1	raw_concat
172	62.135008330170876	SRR5853122	illumina_universal_adapter	1	raw_concat
177	66.50328526963716	SRR5853122	illumina_universal_adapter	1	raw_concat
182	70.39833362547076	SRR5853122	illumina_universal_adapter	1	raw_concat
187	73.8792048643433	SRR5853122	illumina_universal_adapter	1	raw_concat
192	76.91097863766394	SRR5853122	illumina_universal_adapter	1	raw_concat
197	79.54566107861673	SRR5853122	illumina_universal_adapter	1	raw_concat
202	81.86731969306851	SRR5853122	illumina_universal_adapter	1	raw_concat
207	83.86547156935654	SRR5853122	illumina_universal_adapter	1	raw_concat
212	85.59440321430577	SRR5853122	illumina_universal_adapter	1	raw_concat
217	87.09485503460552	SRR5853122	illumina_universal_adapter	1	raw_concat
222	88.41512330184489	SRR5853122	illumina_universal_adapter	1	raw_concat
227	89.57123870236529	SRR5853122	illumina_universal_adapter	1	raw_concat
232	90.55292253706884	SRR5853122	illumina_universal_adapter	1	raw_concat
237	91.41207883285712	SRR5853122	illumina_universal_adapter	1	raw_concat
240	91.8616187589662	SRR5853122	illumina_universal_adapter	1	raw_concat
1	0.0020421256485876147	SRR5853122	polya	1	raw_concat
2	0.0025526570607345184	SRR5853122	polya	1	raw_concat
3	0.003573719885028326	SRR5853122	polya	1	raw_concat
4	0.0045947827093221335	SRR5853122	polya	1	raw_concat
