sample	percent_gc	mean_seq_len	n_read_pairs	percent_duplicates	n_bases_approx	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	stage
SRR5853122	45	251	587623	6.487984624144509	294800000	fail/fail	pass/pass	fail/fail	warn/warn	pass/pass	pass/pass	pass/pass	warn/warn	fail/fail	raw_concat
SRR5853123	45.5	251	486838	13.830693851954464	244200000	pass/fail	pass/pass	warn/fail	warn/warn	pass/pass	pass/pass	pass/pass	warn/warn	fail/fail	raw_concat
SRR5853124	44	251	789167	6.19355990885731	396000000	fail/fail	pass/pass	warn/fail	warn/warn	pass/pass	pass/pass	pass/pass	warn/warn	fail/fail	raw_concat
SRR5853125	45	251	681082	8.17416816907211	341800000	fail/fail	pass/pass	fail/fail	warn/warn	pass/pass	pass/pass	pass/pass	warn/warn	fail/fail	raw_concat
SRR5853127	45.5	251	476257	9.558088637633318	239000000	fail/fail	pass/pass	fail/fail	pass/warn	pass/pass	pass/pass	pass/pass	warn/warn	fail/fail	raw_concat
SRR5853128	45.5	251	721372	6.614088989582683	362000000	fail/fail	pass/pass	fail/fail	warn/warn	pass/pass	pass/pass	pass/pass	warn/warn	fail/fail	raw_concat
SRR5853129	45	251	625241	9.125387656044438	313800000	fail/fail	pass/pass	warn/fail	warn/warn	pass/pass	pass/pass	pass/pass	warn/warn	fail/fail	raw_concat
SRR5853130	44.5	251	727049	6.648738929253717	364800000	warn/fail	pass/pass	fail/fail	warn/warn	pass/pass	pass/pass	pass/pass	warn/warn	fail/fail	raw_concat
SRR5853131	45	251	442961	3.054151689945961	222200000	warn/fail	pass/pass	warn/fail	warn/warn	pass/pass	pass/pass	pass/pass	warn/warn	fail/fail	raw_concat
SRR5853132	44.5	251	629459	40.89337607827797	315800000	warn/fail	pass/pass	fail/fail	fail/pass	pass/pass	pass/pass	warn/warn	fail/warn	fail/fail	raw_concat
SRR5853133	40.5	251	697325	34.07452789537001	350000000	fail/fail	pass/pass	fail/fail	warn/pass	pass/pass	pass/pass	warn/pass	fail/warn	fail/fail	raw_concat
SRR5853134	45	251	573280	83.1683674065151	287600000	fail/fail	pass/warn	fail/fail	fail/fail	pass/pass	pass/pass	fail/fail	fail/fail	fail/fail	raw_concat
SRR5853135	45.5	251	631931	84.97080477812474	317200000	fail/fail	pass/warn	fail/fail	warn/warn	pass/pass	pass/pass	fail/fail	fail/fail	fail/fail	raw_concat
SRR5853136	45	251	841980	6.2477144760831536	422600000	warn/fail	pass/pass	fail/fail	warn/warn	pass/pass	pass/pass	pass/pass	warn/warn	fail/fail	raw_concat
SRR5853137	44.5	251	684650	5.5376974265238985	343600000	fail/fail	pass/pass	warn/fail	warn/warn	pass/pass	pass/pass	pass/pass	warn/warn	fail/fail	raw_concat
SRR5853138	45.5	251	684759	4.63587910392345	343600000	fail/fail	pass/pass	warn/fail	warn/warn	pass/pass	pass/pass	pass/pass	warn/warn	fail/fail	raw_concat
SRR5853139	44	251	734212	12.486075977420533	368400000	fail/fail	pass/pass	fail/fail	warn/warn	pass/pass	pass/pass	pass/pass	warn/warn	fail/fail	raw_concat
SRR5853140	45	251	645454	44.022082457096516	324000000	warn/fail	pass/pass	fail/fail	warn/pass	pass/pass	pass/pass	warn/warn	fail/fail	fail/fail	raw_concat
SRR5853141	44.5	251	602937	32.63164858668002	302600000	pass/fail	pass/pass	fail/fail	pass/warn	pass/pass	pass/pass	warn/pass	fail/warn	fail/fail	raw_concat
SRR5853143	44.5	251	601458	33.8144676108607	301800000	pass/fail	pass/pass	fail/fail	pass/warn	pass/pass	pass/pass	warn/warn	fail/fail	fail/fail	raw_concat
SRR5853144	44.5	251	653675	29.647323357067513	328000000	fail/fail	pass/pass	fail/fail	fail/pass	pass/pass	pass/pass	warn/pass	fail/fail	fail/fail	raw_concat
SRR5853145	47.5	251	713366	34.86147076448063	358000000	pass/fail	pass/pass	fail/fail	pass/warn	pass/pass	pass/pass	warn/pass	warn/warn	fail/fail	raw_concat
SRR5853146	45.5	251	743903	40.010727201103535	373400000	fail/fail	pass/pass	fail/fail	warn/pass	pass/pass	pass/pass	warn/warn	fail/fail	fail/fail	raw_concat
SRR5853147	46.5	251	742287	41.722929793981734	372600000	pass/fail	pass/pass	fail/fail	warn/warn	pass/pass	pass/pass	warn/warn	fail/fail	fail/fail	raw_concat
SRR5853148	46.5	251	651689	42.51043979201193	327000000	fail/fail	pass/fail	fail/fail	fail/pass	pass/pass	pass/pass	fail/warn	fail/fail	fail/fail	raw_concat
SRR5853149	41.5	251	736633	2.932002563764314	369600000	pass/fail	pass/pass	fail/fail	pass/pass	pass/pass	pass/pass	pass/pass	warn/warn	fail/fail	raw_concat
SRR5853122	45	162.55248405851282	518929	0.41737422029827087	168700000	pass/pass	pass/pass	fail/fail	warn/warn	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	dedup
SRR5853123	45	175.49786737536454	398101	0.9579171264919211	139600000	pass/pass	pass/pass	fail/fail	warn/warn	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	dedup
SRR5853124	44	167.43424655780427	702967	0.37010809105891695	235300000	pass/pass	pass/pass	fail/fail	warn/warn	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	dedup
SRR5853125	45	162.93754343426144	591411	0.475703482189644	192600000	pass/pass	pass/pass	fail/fail	fail/fail	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	dedup
SRR5853127	46	153.7598882046375	388746	0.5158096548314504	119500000	pass/pass	pass/pass	fail/fail	warn/warn	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	dedup
