position	mean_phred_score	sample	read_pair	stage
1	32.771326173413904	SRR5853122	1	raw_concat
2	32.89969419168413	SRR5853122	1	raw_concat
3	32.96361272448492	SRR5853122	1	raw_concat
4	33.0316274209825	SRR5853122	1	raw_concat
5	32.88910747196757	SRR5853122	1	raw_concat
6	35.305530927142065	SRR5853122	1	raw_concat
7	35.192938329507186	SRR5853122	1	raw_concat
8	35.168352838469566	SRR5853122	1	raw_concat
9	35.182862141202776	SRR5853122	1	raw_concat
12	35.954199886662025	SRR5853122	1	raw_concat
17	37.15157643591214	SRR5853122	1	raw_concat
22	37.27434120175691	SRR5853122	1	raw_concat
27	37.49469200490792	SRR5853122	1	raw_concat
32	37.54531868221632	SRR5853122	1	raw_concat
37	37.50170772757363	SRR5853122	1	raw_concat
42	37.44831669284558	SRR5853122	1	raw_concat
47	37.55992056131227	SRR5853122	1	raw_concat
52	37.603120708345315	SRR5853122	1	raw_concat
57	37.50576406982027	SRR5853122	1	raw_concat
62	37.53073007693708	SRR5853122	1	raw_concat
67	37.49063021699287	SRR5853122	1	raw_concat
72	37.44271378077441	SRR5853122	1	raw_concat
77	37.41405458942213	SRR5853122	1	raw_concat
82	37.39813077432299	SRR5853122	1	raw_concat
87	37.33688198045345	SRR5853122	1	raw_concat
92	37.307895368288854	SRR5853122	1	raw_concat
97	37.29123332476775	SRR5853122	1	raw_concat
102	37.22825144693111	SRR5853122	1	raw_concat
107	37.253252850892494	SRR5853122	1	raw_concat
112	37.14026101769332	SRR5853122	1	raw_concat
117	37.10831298298399	SRR5853122	1	raw_concat
122	37.055992702804346	SRR5853122	1	raw_concat
127	36.98150957331486	SRR5853122	1	raw_concat
132	36.87018173216501	SRR5853122	1	raw_concat
137	36.76600303255659	SRR5853122	1	raw_concat
142	36.73271332129614	SRR5853122	1	raw_concat
147	36.682466819712644	SRR5853122	1	raw_concat
152	36.47786148602081	SRR5853122	1	raw_concat
157	36.40853642556537	SRR5853122	1	raw_concat
162	36.27850509595438	SRR5853122	1	raw_concat
167	36.10228156488089	SRR5853122	1	raw_concat
172	35.86603962064113	SRR5853122	1	raw_concat
177	35.7723499590724	SRR5853122	1	raw_concat
182	35.518823122988714	SRR5853122	1	raw_concat
187	35.097058147826075	SRR5853122	1	raw_concat
192	34.63764352314324	SRR5853122	1	raw_concat
197	34.08124835140897	SRR5853122	1	raw_concat
202	33.40028964148783	SRR5853122	1	raw_concat
207	32.55024292786361	SRR5853122	1	raw_concat
212	31.52344377262292	SRR5853122	1	raw_concat
217	30.477005495019768	SRR5853122	1	raw_concat
222	29.228425367965514	SRR5853122	1	raw_concat
227	27.964911516397414	SRR5853122	1	raw_concat
232	26.692099186042753	SRR5853122	1	raw_concat
237	25.522612967838224	SRR5853122	1	raw_concat
242	24.426880159558088	SRR5853122	1	raw_concat
247	23.527071608837637	SRR5853122	1	raw_concat
250	22.371908519578028	SRR5853122	1	raw_concat
1	32.23430158451933	SRR5853122	2	raw_concat
2	32.228425367965514	SRR5853122	2	raw_concat
3	32.13769712894152	SRR5853122	2	raw_concat
4	31.900424251603493	SRR5853122	2	raw_concat
5	31.905104122881507	SRR5853122	2	raw_concat
6	32.97996844915873	SRR5853122	2	raw_concat
7	33.50111721290691	SRR5853122	2	raw_concat
8	33.9490251402685	SRR5853122	2	raw_concat
9	34.247449470153484	SRR5853122	2	raw_concat
12	35.04509183609219	SRR5853122	2	raw_concat
17	36.14461108567908	SRR5853122	2	raw_concat
22	36.514976438975324	SRR5853122	2	raw_concat
27	36.60853880804529	SRR5853122	2	raw_concat
32	36.613707428061865	SRR5853122	2	raw_concat
37	36.757038441313554	SRR5853122	2	raw_concat
42	36.77588283644445	SRR5853122	2	raw_concat
47	36.7066728157339	SRR5853122	2	raw_concat
52	36.60772910522563	SRR5853122	2	raw_concat
57	36.62970578074718	SRR5853122	2	raw_concat
62	36.600053435621135	SRR5853122	2	raw_concat
