mean_phred_score	n_sequences	sample	read_pair	stage
16	4	SRR5853122	1	raw_concat
17	11	SRR5853122	1	raw_concat
18	75	SRR5853122	1	raw_concat
19	242	SRR5853122	1	raw_concat
20	501	SRR5853122	1	raw_concat
21	932	SRR5853122	1	raw_concat
22	2227	SRR5853122	1	raw_concat
23	3509	SRR5853122	1	raw_concat
24	4042	SRR5853122	1	raw_concat
25	5849	SRR5853122	1	raw_concat
26	5727	SRR5853122	1	raw_concat
27	7031	SRR5853122	1	raw_concat
28	8723	SRR5853122	1	raw_concat
29	10796	SRR5853122	1	raw_concat
30	15221	SRR5853122	1	raw_concat
31	21584	SRR5853122	1	raw_concat
32	33278	SRR5853122	1	raw_concat
33	50969	SRR5853122	1	raw_concat
34	69197	SRR5853122	1	raw_concat
35	78757	SRR5853122	1	raw_concat
36	81025	SRR5853122	1	raw_concat
37	106342	SRR5853122	1	raw_concat
38	81581	SRR5853122	1	raw_concat
14	23	SRR5853122	2	raw_concat
15	157	SRR5853122	2	raw_concat
16	957	SRR5853122	2	raw_concat
17	3526	SRR5853122	2	raw_concat
18	4672	SRR5853122	2	raw_concat
19	4583	SRR5853122	2	raw_concat
20	5197	SRR5853122	2	raw_concat
21	5490	SRR5853122	2	raw_concat
22	5706	SRR5853122	2	raw_concat
23	6327	SRR5853122	2	raw_concat
24	6805	SRR5853122	2	raw_concat
25	8495	SRR5853122	2	raw_concat
26	10848	SRR5853122	2	raw_concat
27	14916	SRR5853122	2	raw_concat
28	21644	SRR5853122	2	raw_concat
29	33118	SRR5853122	2	raw_concat
30	48512	SRR5853122	2	raw_concat
31	64110	SRR5853122	2	raw_concat
32	71833	SRR5853122	2	raw_concat
33	69469	SRR5853122	2	raw_concat
34	60264	SRR5853122	2	raw_concat
35	49325	SRR5853122	2	raw_concat
36	36667	SRR5853122	2	raw_concat
37	37359	SRR5853122	2	raw_concat
38	17620	SRR5853122	2	raw_concat
17	12	SRR5853123	1	raw_concat
18	60	SRR5853123	1	raw_concat
19	222	SRR5853123	1	raw_concat
20	417	SRR5853123	1	raw_concat
21	813	SRR5853123	1	raw_concat
22	1995	SRR5853123	1	raw_concat
23	3004	SRR5853123	1	raw_concat
24	3178	SRR5853123	1	raw_concat
25	4645	SRR5853123	1	raw_concat
26	4351	SRR5853123	1	raw_concat
27	4953	SRR5853123	1	raw_concat
28	5857	SRR5853123	1	raw_concat
29	7140	SRR5853123	1	raw_concat
30	9774	SRR5853123	1	raw_concat
31	12916	SRR5853123	1	raw_concat
32	18689	SRR5853123	1	raw_concat
33	28034	SRR5853123	1	raw_concat
34	41089	SRR5853123	1	raw_concat
35	55264	SRR5853123	1	raw_concat
36	70810	SRR5853123	1	raw_concat
37	119040	SRR5853123	1	raw_concat
38	94575	SRR5853123	1	raw_concat
13	2	SRR5853123	2	raw_concat
14	29	SRR5853123	2	raw_concat
15	157	SRR5853123	2	raw_concat
16	731	SRR5853123	2	raw_concat
17	2573	SRR5853123	2	raw_concat
18	3349	SRR5853123	2	raw_concat
19	3523	SRR5853123	2	raw_concat
20	4416	SRR5853123	2	raw_concat
21	4667	SRR5853123	2	raw_concat
22	4763	SRR5853123	2	raw_concat
23	4988	SRR5853123	2	raw_concat
24	5149	SRR5853123	2	raw_concat
25	6177	SRR5853123	2	raw_concat
26	7789	SRR5853123	2	raw_concat
27	10040	SRR5853123	2	raw_concat
28	13718	SRR5853123	2	raw_concat
29	19463	SRR5853123	2	raw_concat
30	28047	SRR5853123	2	raw_concat
31	38305	SRR5853123	2	raw_concat
32	48708	SRR5853123	2	raw_concat
33	55348	SRR5853123	2	raw_concat
34	56539	SRR5853123	2	raw_concat
35	53929	SRR5853123	2	raw_concat
36	45697	SRR5853123	2	raw_concat
37	48861	SRR5853123	2	raw_concat
38	19870	SRR5853123	2	raw_concat
15	1	SRR5853124	1	raw_concat
16	3	SRR5853124	1	raw_concat
17	17	SRR5853124	1	raw_concat
18	100	SRR5853124	1	raw_concat
19	338	SRR5853124	1	raw_concat
20	706	SRR5853124	1	raw_concat
21	1240	SRR5853124	1	raw_concat
22	2669	SRR5853124	1	raw_concat
23	4017	SRR5853124	1	raw_concat
24	4889	SRR5853124	1	raw_concat
25	7042	SRR5853124	1	raw_concat
26	7532	SRR5853124	1	raw_concat
27	8655	SRR5853124	1	raw_concat
28	10705	SRR5853124	1	raw_concat
29	13470	SRR5853124	1	raw_concat
30	18900	SRR5853124	1	raw_concat
31	27235	SRR5853124	1	raw_concat
32	41740	SRR5853124	1	raw_concat
33	62810	SRR5853124	1	raw_concat
34	85400	SRR5853124	1	raw_concat
35	98877	SRR5853124	1	raw_concat
36	105020	SRR5853124	1	raw_concat
37	142660	SRR5853124	1	raw_concat
38	145141	SRR5853124	1	raw_concat
13	1	SRR5853124	2	raw_concat
14	27	SRR5853124	2	raw_concat
15	213	SRR5853124	2	raw_concat
16	1480	SRR5853124	2	raw_concat
17	4412	SRR5853124	2	raw_concat
18	5452	SRR5853124	2	raw_concat
19	4973	SRR5853124	2	raw_concat
20	4876	SRR5853124	2	raw_concat
21	5673	SRR5853124	2	raw_concat
22	6883	SRR5853124	2	raw_concat
23	7083	SRR5853124	2	raw_concat
24	8364	SRR5853124	2	raw_concat
25	9606	SRR5853124	2	raw_concat
26	11853	SRR5853124	2	raw_concat
27	15156	SRR5853124	2	raw_concat
28	21307	SRR5853124	2	raw_concat
29	31549	SRR5853124	2	raw_concat
30	47019	SRR5853124	2	raw_concat
31	66846	SRR5853124	2	raw_concat
32	83763	SRR5853124	2	raw_concat
33	92724	SRR5853124	2	raw_concat
34	89990	SRR5853124	2	raw_concat
35	81555	SRR5853124	2	raw_concat
36	71380	SRR5853124	2	raw_concat
37	71417	SRR5853124	2	raw_concat
38	45565	SRR5853124	2	raw_concat
17	27	SRR5853125	1	raw_concat
18	100	SRR5853125	1	raw_concat
19	298	SRR5853125	1	raw_concat
