sample	classification	n_reads	p_reads
SRR5853122	Filtered	38566	0.0656305148028583
SRR5853122	Duplicate	30128	0.05127096795053972
SRR5853122	Ribosomal	486	8.27060887677984e-4
SRR5853122	Unassigned	474940	0.8082392962835016
SRR5853122	Bacterial	18602	0.03165635109585568
SRR5853122	Archaeal	46	7.828148319585857e-5
SRR5853122	Viral	160	2.7228341981168195e-4
SRR5853122	Human	24695	0.04202524407655929
SRR5853123	Filtered	32320	0.06638758683586737
SRR5853123	Duplicate	56417	0.11588454475616118
SRR5853123	Ribosomal	437	8.976291908191226e-4
SRR5853123	Unassigned	371209	0.76248978099491
SRR5853123	Bacterial	15823	0.03250157136460178
SRR5853123	Archaeal	54	1.1091985424309523e-4
SRR5853123	Viral	55	1.1297392561796737e-4
SRR5853123	Human	10523	0.021614993077779466
SRR5853124	Filtered	47675	0.060411801304413384
SRR5853124	Duplicate	38525	0.048817297226062414
SRR5853124	Ribosomal	931	0.0011797249504857654
SRR5853124	Unassigned	512043	0.6488398526547613
SRR5853124	Bacterial	44421	0.05628846619283371
SRR5853124	Archaeal	62	7.856385277133991e-5
SRR5853124	Viral	313	3.966207406036999e-4
SRR5853124	Human	145197	0.1839876730780684
SRR5853125	Filtered	43849	0.06438138139019971
SRR5853125	Duplicate	45822	0.0672782425611013
SRR5853125	Ribosomal	603	8.853559483292761e-4
SRR5853125	Unassigned	536897	0.788300087214168
SRR5853125	Bacterial	20646	0.030313530529363572
SRR5853125	Archaeal	73	1.0718239507137173e-4
SRR5853125	Viral	100	1.4682519872790648e-4
SRR5853125	Human	33092	0.04858739476303881
SRR5853127	Filtered	54862	0.11519410738319857
SRR5853127	Duplicate	32649	0.06855332310076283
SRR5853127	Ribosomal	390	8.188856016814451e-4
SRR5853127	Unassigned	367360	0.7713482426505017
SRR5853127	Bacterial	13598	0.02855181131195972
SRR5853127	Archaeal	30	6.299120012934193e-5
SRR5853127	Viral	43	9.028738685205676e-5
SRR5853127	Human	7325	0.015380351364914321
SRR5853128	Filtered	53909	0.07473120664511514
SRR5853128	Duplicate	35819	0.04965399266952419
SRR5853128	Ribosomal	639	8.858120359537104e-4
SRR5853128	Unassigned	597874	0.8288012287696224
SRR5853128	Bacterial	23151	0.03209301165002246
SRR5853128	Archaeal	59	8.178859173907499e-5
SRR5853128	Viral	93	1.2892100053786396e-4
SRR5853128	Human	9828	0.013624038637485236
SRR5853129	Filtered	59138	0.09458432828301407
SRR5853129	Duplicate	40886	0.06539238469646104
SRR5853129	Ribosomal	518	8.28480537904584e-4
SRR5853129	Unassigned	486972	0.778854873560755
SRR5853129	Bacterial	19451	0.03110960413664491
SRR5853129	Archaeal	39	6.237594783451502e-5
SRR5853129	Viral	117	1.8712784350354505e-4
SRR5853129	Human	18120	0.02898082499388236
SRR5853130	Filtered	51481	0.0708081573594077
SRR5853130	Duplicate	36257	0.04986871586371758
SRR5853130	Ribosomal	1401	0.0019269677834643883
SRR5853130	Unassigned	585737	0.805636208838744
SRR5853130	Bacterial	24346	0.03348605114648394
SRR5853130	Archaeal	52	7.152200195585167e-5
SRR5853130	Viral	267	3.672379715810076e-4
SRR5853130	Human	27508	0.03783513903464553
SRR5853131	Filtered	27032	0.06102568849176338
SRR5853131	Duplicate	8999	0.020315558254564173
SRR5853131	Ribosomal	625	0.0014109594298369382
SRR5853131	Unassigned	326306	0.7366472443397951
SRR5853131	Bacterial	52698	0.11896758405367515
SRR5853131	Archaeal	32	7.224112280765124e-5
SRR5853131	Viral	37	8.352879824634674e-5
SRR5853131	Human	27232	0.0614771955093112
SRR5853132	Filtered	180032	0.2860106853663225
SRR5853132	Duplicate	188298	0.2991425970555668
SRR5853132	Ribosomal	6163	0.009790947464409915
SRR5853132	Unassigned	55010	0.08739250689878134
SRR5853132	Bacterial	27309	0.043384874948169776
SRR5853132	Archaeal	9	1.4297992403000037e-5
SRR5853132	Viral	706	0.001121598070724225
SRR5853132	Human	171932	0.27314249220362247
SRR5853133	Filtered	140657	0.20170938945255082
SRR5853133	Duplicate	171784	0.24634711217868283
SRR5853133	Ribosomal	8505	0.012196608468074428
SRR5853133	Unassigned	309288	0.44353493708098807
SRR5853133	Bacterial	26364	0.0378073351736995
SRR5853133	Archaeal	16	2.294482486645395e-5
SRR5853133	Viral	1018	0.0014598644821281325
SRR5853133	Human	39693	0.05692180833900979
SRR5853134	Filtered	213037	0.3716107312308122
SRR5853134	Duplicate	282874	0.49343078425900083
SRR5853134	Ribosomal	2197	0.0038323332403014236
SRR5853134	Unassigned	24519	0.04276967624895339
SRR5853134	Bacterial	8722	0.015214205972648618
SRR5853134	Archaeal	2	3.488696622941669e-6
SRR5853134	Viral	411	7.16927156014513e-4
SRR5853134	Human	41518	0.0724218531956461
SRR5853135	Filtered	229989	0.3639463802218913
SRR5853135	Duplicate	323512	0.5119419683478101
SRR5853135	Ribosomal	2612	0.004133362661429808
SRR5853135	Unassigned	14575	0.023064226948828273
SRR5853135	Bacterial	11279	0.017848467633333386
SRR5853135	Archaeal	7	1.1077158740432104e-5
SRR5853135	Viral	40	6.32980499453263e-5
SRR5853135	Human	49917	0.07899121897802133
SRR5853136	Filtered	63023	0.07485094657830352
SRR5853136	Duplicate	38526	0.045756431269151285
SRR5853136	Ribosomal	1062	0.0012613126202522624
SRR5853136	Unassigned	672012	0.7981329722796265
SRR5853136	Bacterial	42760	0.05078505427682368
SRR5853136	Archaeal	90	1.0689090002137819e-4
SRR5853136	Viral	1210	0.0014370887669540844
SRR5853136	Human	23297	0.027669303308867195
SRR5853137	Filtered	50348	0.07353830424304389
SRR5853137	Duplicate	26704	0.039003870590812825
SRR5853137	Ribosomal	830	0.0012122982545826335
SRR5853137	Unassigned	536555	0.7836923975754035
SRR5853137	Bacterial	32773	0.04786825385233331
SRR5853137	Archaeal	60	8.763601840356387e-5
SRR5853137	Viral	465	6.791791426276199e-4
SRR5853137	Human	36915	0.053918060322792664
SRR5853138	Filtered	49074	0.07166608982138241
SRR5853138	Duplicate	22909	0.0334555661188827
SRR5853138	Ribosomal	691	0.001009114155491202
SRR5853138	Unassigned	581361	0.8490008893639952
SRR5853138	Bacterial	25732	0.03757818444153344
SRR5853138	Archaeal	72	1.0514648219300513e-4
SRR5853138	Viral	237	3.461071705519752e-4
SRR5853138	Human	4683	0.006838902445970042
SRR5853139	Filtered	71179	0.09694611365654607
SRR5853139	Duplicate	71795	0.09778510838831292
SRR5853139	Ribosomal	726	9.88815219582355e-4
SRR5853139	Unassigned	554369	0.7550530364526867
SRR5853139	Bacterial	27634	0.037637630548125064
SRR5853139	Archaeal	64	8.716828381993212e-5
SRR5853139	Viral	459	6.251600355210757e-4
SRR5853139	Human	7986	0.010876967415405905
SRR5853140	Filtered	204090	0.31619604185581
SRR5853140	Duplicate	199424	0.3089670216622718
SRR5853140	Ribosomal	5362	0.008307330963941659
SRR5853140	Unassigned	117246	0.18164888590046696
SRR5853140	Bacterial	48788	0.07558710612994884
SRR5853140	Archaeal	9	1.3943673755217259e-5
SRR5853140	Viral	2142	0.0033185943537417076
SRR5853140	Human	68393	0.10596107546006377
SRR5853141	Filtered	123160	0.20426678077477414
SRR5853141	Duplicate	151417	0.2511323736974178
SRR5853141	Ribosomal	11146	0.018486176831078536
SRR5853141	Unassigned	200657	0.3327992808535552
SRR5853141	Bacterial	47177	0.07824532247979474
SRR5853141	Archaeal	9	1.492693266460675e-5
SRR5853141	Viral	317	5.257597394089267e-4
SRR5853141	Human	69054	0.11452937869130606
SRR5853143	Filtered	106621	0.17727089838359453
SRR5853143	Duplicate	158098	0.2628579219164098
SRR5853143	Ribosomal	17765	0.02953655949376349
SRR5853143	Unassigned	70970	0.11799660159146608
SRR5853143	Bacterial	42329	0.07037731645434926
SRR5853143	Archaeal	17	2.8264650233266494e-5
SRR5853143	Viral	239	3.9736772975004076e-4
SRR5853143	Human	205419	0.3415350697804335
SRR5853144	Filtered	255004	0.3901082342142502
SRR5853144	Duplicate	111161	0.17005545569281372
SRR5853144	Ribosomal	9743	0.014904960416108923
SRR5853144	Unassigned	146268	0.22376257314414655
SRR5853144	Bacterial	33171	0.050745401002027
SRR5853144	Archaeal	8	1.223849772440433e-5
SRR5853144	Viral	221	3.380884996366696e-4
SRR5853144	Human	98099	0.15007304853329254
SRR5853145	Filtered	100561	0.14096690899201814
SRR5853145	Duplicate	149229	0.2091899529834615
SRR5853145	Ribosomal	185389	0.25987922048429557
SRR5853145	Unassigned	156596	0.219517050153778
SRR5853145	Bacterial	25056	0.03512362517978149
SRR5853145	Archaeal	13	1.8223464532932603e-5
SRR5853145	Viral	68	9.532273755687824e-5
SRR5853145	Human	96454	0.1352096960045755
SRR5853146	Filtered	260400	0.35004563767050273
SRR5853146	Duplicate	202822	0.27264576161139287
SRR5853146	Ribosomal	25024	0.033638794305171506
SRR5853146	Unassigned	155426	0.20893315391926098
SRR5853146	Bacterial	36379	0.04890288115520437
SRR5853146	Archaeal	113	1.5190152479557147e-4
SRR5853146	Viral	2833	0.0038082922101403006
SRR5853146	Human	60906	0.08187357760353164
SRR5853147	Filtered	203157	0.2736906344850442
SRR5853147	Duplicate	222062	0.2991592200860314
SRR5853147	Ribosomal	55676	0.07500602866546228
SRR5853147	Unassigned	85321	0.11494341137592333
SRR5853147	Bacterial	51692	0.0696388324192664
SRR5853147	Archaeal	17	2.2902192817602896e-5
SRR5853147	Viral	339	4.5669666853925773e-4
SRR5853147	Human	124023	0.1670822741069155
SRR5853148	Filtered	342549	0.5256326253780561
SRR5853148	Duplicate	153817	0.23602822818859917
SRR5853148	Ribosomal	8515	0.013066048375835713
SRR5853148	Unassigned	75681	0.11613054693266267
SRR5853148	Bacterial	28099	0.0431171924031248
SRR5853148	Archaeal	5	7.672371330496601e-6
SRR5853148	Viral	233	3.5753250400114163e-4
SRR5853148	Human	42790	0.06566015384638992
SRR5853149	Filtered	38636	0.052449455834859424
SRR5853149	Duplicate	12549	0.017035620179926776
SRR5853149	Ribosomal	1524	0.0020688728308397805
SRR5853149	Unassigned	65794	0.08931720408941766
SRR5853149	Bacterial	2813	0.00381872655718655
SRR5853149	Archaeal	2	2.7150562084511556e-6
SRR5853149	Viral	12	1.6290337250706933e-5
SRR5853149	Human	615303	0.8352911151143106
