instrument,library
Illumina NextSeq 550,ERR3562836
Illumina NextSeq 550,ERR3562837
Illumina MiSeq,ERR3562838
Illumina MiSeq,ERR3562839
Illumina MiSeq,ERR3562840
Illumina MiSeq,ERR3562841
Illumina MiSeq,ERR3562842
Illumina NextSeq 550,ERR3562843
Illumina NextSeq 550,ERR3562844
Illumina NextSeq 550,ERR3562845
Illumina NextSeq 550,ERR3562846
Illumina NextSeq 550,ERR3562847
Illumina NextSeq 550,ERR3562848
Illumina NextSeq 550,ERR3562849
Illumina NextSeq 550,ERR3562850
Illumina NextSeq 550,ERR3562851
Illumina NextSeq 550,ERR3562852
Illumina NextSeq 550,ERR3562853
Illumina NextSeq 550,ERR3562854
Illumina MiSeq,ERR3562855
Illumina MiSeq,ERR3562856
Illumina MiSeq,ERR3562857
Illumina MiSeq,ERR3562858
Illumina MiSeq,ERR3562859
Illumina MiSeq,ERR3562860
Illumina NextSeq 550,ERR3562861
Illumina NextSeq 550,ERR3562862
Illumina NextSeq 550,ERR3562863
Illumina NextSeq 550,ERR3562864
Illumina NextSeq 550,ERR3562865
Illumina NextSeq 550,ERR3562866
Illumina NextSeq 550,ERR3562867
Illumina NextSeq 550,ERR3562868
Illumina NextSeq 550,ERR3562869
Illumina NextSeq 550,ERR3562870
Illumina MiSeq,ERR3562871
Illumina MiSeq,ERR3562872
Illumina MiSeq,ERR3562873
Illumina MiSeq,ERR3562874
Illumina MiSeq,ERR3562875
Illumina MiSeq,ERR3562876
Illumina MiSeq,ERR3562877
Illumina MiSeq,ERR3562878
Illumina MiSeq,ERR3562879
Illumina MiSeq,ERR3562880
Illumina MiSeq,ERR3562881
Illumina MiSeq,ERR3562882
Illumina MiSeq,ERR3562883
Illumina MiSeq,ERR3562884
Illumina MiSeq,ERR3562885
Illumina MiSeq,ERR3562886
Illumina MiSeq,ERR3562887
Illumina MiSeq,ERR3562888
Illumina MiSeq,ERR3562889
Illumina MiSeq,ERR3562890
Illumina MiSeq,ERR3562891
