library,sample,country,city,date,dataset,bioproject
ERR2683114,ERR2683114,Ecuador,Galapagos,2017-06-27,Munk 2022,PRJEB27621
ERR2683115,ERR2683115,Malawi,Kasungu,2017-06-17,Munk 2022,PRJEB27621
ERR2683116,ERR2683116,Malawi,Mzuzu,2017-06-17,Munk 2022,PRJEB27621
ERR2683117,ERR2683117,Malawi,Zomba,2017-06-13,Munk 2022,PRJEB27621
ERR2683118,ERR2683118,Malawi,Blantyre,2017-06-13,Munk 2022,PRJEB27621
ERR2683119,ERR2683119,Iceland,Reykjavik,2017-06-18,Munk 2022,PRJEB27621
ERR2683120,ERR2683120,Poland,Pulawy,2017-06-05,Munk 2022,PRJEB27621
ERR2683121,ERR2683121,Nigeria,Ilorin,2017-06-15,Munk 2022,PRJEB27621
ERR2683122,ERR2683122,Nigeria,Ilorin,2017-06-18,Munk 2022,PRJEB27621
ERR2683123,ERR2683123,Cote d'Ivoire,Yamoussoukro,2017-06-12,Munk 2022,PRJEB27621
ERR2683124,ERR2683124,Nigeria,Ilorin,2017-06-18,Munk 2022,PRJEB27621
ERR2683125,ERR2683125,Nigeria,Zaria,2017-06-12,Munk 2022,PRJEB27621
ERR2683126,ERR2683126,Nigeria,Zaria,2017-06-12,Munk 2022,PRJEB27621
ERR2683127,ERR2683127,Nigeria,Zaria,2017-06-12,Munk 2022,PRJEB27621
ERR2683128,ERR2683128,Nigeria,Ibadan,2017-07-18,Munk 2022,PRJEB27621
ERR2683129,ERR2683129,Nigeria,Ibadan,2017-07-18,Munk 2022,PRJEB27621
ERR2683130,ERR2683130,Nicaragua,Managua,2017-06-29,Munk 2022,PRJEB27621
ERR2683131,ERR2683131,Nicaragua,Matagalpa,2017-06-25,Munk 2022,PRJEB27621
ERR2683132,ERR2683132,Nicaragua,Granada,2017-07-02,Munk 2022,PRJEB27621
ERR2683133,ERR2683133,Nicaragua,Masaya,2017-07-02,Munk 2022,PRJEB27621
ERR2683134,ERR2683134,Malaysia,Kuala Lumpur,2017-06-15,Munk 2022,PRJEB27621
ERR2683135,ERR2683135,Tanzania,Moshi,2017-06-12,Munk 2022,PRJEB27621
ERR2683136,ERR2683136,Estonia,Tartu,2017-06-19,Munk 2022,PRJEB27621
ERR2683137,ERR2683137,Estonia,Tallinn,2017-06-19,Munk 2022,PRJEB27621
ERR2683138,ERR2683138,Estonia,Parnu,2017-06-13,Munk 2022,PRJEB27621
ERR2683139,ERR2683139,Estonia,Narva,2017-06-07,Munk 2022,PRJEB27621
ERR2683140,ERR2683140,Thailand,Pathum Thani,2017-06-15,Munk 2022,PRJEB27621
ERR2683141,ERR2683141,Georgia,Kutaisi,2017-06-19,Munk 2022,PRJEB27621
ERR2683142,ERR2683142,Croatia,Zagreb,2017-06-07,Munk 2022,PRJEB27621
ERR2683143,ERR2683143,South Africa,Pretoria,2017-06-05,Munk 2022,PRJEB27621
ERR2683144,ERR2683144,Luxembourg,Luxembourg,2017-06-13,Munk 2022,PRJEB27621
ERR2683145,ERR2683145,Malaysia,Klang,2017-06-16,Munk 2022,PRJEB27621
ERR2683146,ERR2683146,Italy,Rome,2017-06-05,Munk 2022,PRJEB27621
ERR2683147,ERR2683147,South Korea,Gwangju,2017-06-15,Munk 2022,PRJEB27621
ERR2683148,ERR2683148,Greece,Thessaloniki,2017-06-19,Munk 2022,PRJEB27621
ERR2683149,ERR2683149,Australia,Melbourne,2017-06-14,Munk 2022,PRJEB27621
ERR2683150,ERR2683150,Portugal,Porto,2017-06-13,Munk 2022,PRJEB27621
ERR2683151,ERR2683151,United Kingdom,Edinburgh,2017-06-12,Munk 2022,PRJEB27621
ERR2683152,ERR2683152,Canada,Regina,2017-06-13,Munk 2022,PRJEB27621
ERR2683153,ERR2683153,Canada,Vancouver,2017-06-23,Munk 2022,PRJEB27621
ERR2683154,ERR2683154,Canada,Calgary,2017-06-13,Munk 2022,PRJEB27621
ERR2683155,ERR2683155,Canada,Ottawa,2017-06-14,Munk 2022,PRJEB27621
