country,gdp_per_capita_ppp
Aruba,40144.64744
Africa Eastern and Southern,3788.413507
Afghanistan,2168.133765
Africa Western and Central,4270.578573
Angola,6882.279123
Albania,14618.30061
Andorra,
Arab World,14981.03665
United Arab Emirates,74826.51842
Argentina,23007.83659
Armenia,14924.77693
American Samoa,
Antigua and Barbuda,24641.22935
Australia,52746.71829
Austria,60574.6271
Azerbaijan,15054.54461
Burundi,760.6041261
Belgium,56621.54176
Benin,3290.307
Burkina Faso,2195.355619
Bangladesh,5699.078134
Bulgaria,25527.26356
Bahrain,51879.73634
"Bahamas, The",35780.75967
Bosnia and Herzegovina,16354.49014
Belarus,20106.06891
Belize,9303.718003
Bermuda,85145.94364
Bolivia,8890.462954
Brazil,15307.94124
Barbados,16759.38084
Brunei Darussalam,64029.443
Bhutan,13061.59027
Botswana,15758.84288
Central African Republic,898.3153199
Canada,50522.16024
Central Europe and the Baltics,35470.73063
Switzerland,73732.23533
Channel Islands,
Chile,25853.77015
China,16655.39936
Cote d'Ivoire,5350.010141
Cameroon,3915.827499
Democratic Republic of the Congo,1104.843368
"Congo, Rep.",4267.621523
Colombia,16091.50445
Comoros,3430.21084
Cabo Verde,8071.889116
Costa Rica,22949.52583
Caribbean small states,17095.24657
Cuba,
Curacao,24917.40166
Cayman Islands,75504.44857
Cyprus,44686.71875
Czech Republic,44859.79315
Germany,58251.77308
Djibouti,4970.334219
Dominica,12921.12466
Denmark,60787.46336
Dominican Republic,18941.71678
Algeria,12120.40637
East Asia & Pacific (excluding high income),15029.81671
Early-demographic dividend,9778.022166
East Asia & Pacific,18418.86524
Europe & Central Asia (excluding high income),23125.52555
Europe & Central Asia,38041.8527
Ecuador,11873.28931
"Egypt, Arab Rep.",12280.60639
Euro area,50849.94252
Eritrea,
Spain,43739.63291
Estonia,39578.08172
Ethiopia,2274.185566
European Union,48192.31109
Fragile and conflict affected situations,4862.385199
Finland,52569.80006
Fiji,13803.13539
France,51240.0683
Faroe Islands,
"Micronesia, Fed. Sts.",3691.015088
Gabon,15092.0306
United Kingdom,49911.15665
Georgia,15624.97002
Ghana,5572.669189
Gibraltar,
Guinea,2653.082556
Gambia,2171.664617
Guinea-Bissau,1970.71281
Equatorial Guinea,16929.14277
Greece,31611.21144
Grenada,16046.90915
Guatemala,9040.834113
Guam,
Guyana,13364.23566
High income,52772.68699
Hong Kong,62119.40193
Honduras,5851.742458
Heavily indebted poor countries (HIPC),2681.290212
Croatia,32123.99613
Haiti,3244.292031
Hungary,35152.61383
IBRD only,14038.30444
IDA & IBRD total,11422.08242
IDA total,4083.187874
IDA blend,5272.69117
Indonesia,12360.69174
IDA only,3507.1719
Isle of Man,
India,6897.770037
Not classified,
Ireland,90940.63476
Iran,14681.68732
Iraq,10736.12226
Iceland,60523.79699
Israel,41513.45151
Italy,46470.03733
Jamaica,10678.84167
Jordan,9939.036937
Japan,42678.15487
Kazakhstan,27469.4151
