sample,fastq_1,fastq_2
SRR12596165,s3://nao-mgs-public/PRJNA661613/raw/SRR12596165_1.fastq.gz,s3://nao-mgs-public/PRJNA661613/raw/SRR12596165_2.fastq.gz
SRR12596166,s3://nao-mgs-public/PRJNA661613/raw/SRR12596166_1.fastq.gz,s3://nao-mgs-public/PRJNA661613/raw/SRR12596166_2.fastq.gz
SRR12596167,s3://nao-mgs-public/PRJNA661613/raw/SRR12596167_1.fastq.gz,s3://nao-mgs-public/PRJNA661613/raw/SRR12596167_2.fastq.gz
SRR12596168,s3://nao-mgs-public/PRJNA661613/raw/SRR12596168_1.fastq.gz,s3://nao-mgs-public/PRJNA661613/raw/SRR12596168_2.fastq.gz
SRR12596169,s3://nao-mgs-public/PRJNA661613/raw/SRR12596169_1.fastq.gz,s3://nao-mgs-public/PRJNA661613/raw/SRR12596169_2.fastq.gz
SRR12596170,s3://nao-mgs-public/PRJNA661613/raw/SRR12596170_1.fastq.gz,s3://nao-mgs-public/PRJNA661613/raw/SRR12596170_2.fastq.gz
SRR12596171,s3://nao-mgs-public/PRJNA661613/raw/SRR12596171_1.fastq.gz,s3://nao-mgs-public/PRJNA661613/raw/SRR12596171_2.fastq.gz
SRR12596172,s3://nao-mgs-public/PRJNA661613/raw/SRR12596172_1.fastq.gz,s3://nao-mgs-public/PRJNA661613/raw/SRR12596172_2.fastq.gz
SRR12596173,s3://nao-mgs-public/PRJNA661613/raw/SRR12596173_1.fastq.gz,s3://nao-mgs-public/PRJNA661613/raw/SRR12596173_2.fastq.gz
SRR12596174,s3://nao-mgs-public/PRJNA661613/raw/SRR12596174_1.fastq.gz,s3://nao-mgs-public/PRJNA661613/raw/SRR12596174_2.fastq.gz
SRR12596175,s3://nao-mgs-public/PRJNA661613/raw/SRR12596175_1.fastq.gz,s3://nao-mgs-public/PRJNA661613/raw/SRR12596175_2.fastq.gz
SRR23998353,s3://nao-mgs-public/PRJNA661613/raw/SRR23998353_1.fastq.gz,s3://nao-mgs-public/PRJNA661613/raw/SRR23998353_2.fastq.gz
SRR23998354,s3://nao-mgs-public/PRJNA661613/raw/SRR23998354_1.fastq.gz,s3://nao-mgs-public/PRJNA661613/raw/SRR23998354_2.fastq.gz
SRR23998355,s3://nao-mgs-public/PRJNA661613/raw/SRR23998355_1.fastq.gz,s3://nao-mgs-public/PRJNA661613/raw/SRR23998355_2.fastq.gz
SRR23998356,s3://nao-mgs-public/PRJNA661613/raw/SRR23998356_1.fastq.gz,s3://nao-mgs-public/PRJNA661613/raw/SRR23998356_2.fastq.gz
SRR23998357,s3://nao-mgs-public/PRJNA661613/raw/SRR23998357_1.fastq.gz,s3://nao-mgs-public/PRJNA661613/raw/SRR23998357_2.fastq.gz
SRR23998358,s3://nao-mgs-public/PRJNA661613/raw/SRR23998358_1.fastq.gz,s3://nao-mgs-public/PRJNA661613/raw/SRR23998358_2.fastq.gz
SRR23998359,s3://nao-mgs-public/PRJNA661613/raw/SRR23998359_1.fastq.gz,s3://nao-mgs-public/PRJNA661613/raw/SRR23998359_2.fastq.gz
