task_id	hash	native_id	process	tag	name	status	exit	module	container	cpus	time	disk	memory	attempt	submit	start	complete	duration	realtime	queue	%cpu	%mem	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	read_bytes	write_bytes	vol_ctxt	inv_ctxt	env	workdir	scratch	error_action
3	13/870a53	0866a6fd-ae56-4488-94e4-66330a55105f	RUN:CLEAN:FASTP	-	RUN:CLEAN:FASTP (2)	COMPLETED	0	-	wave.seqera.io/wt/ba458f13ed84/staphb/fastp:0.23.4	32	-	-	64 GB	1	2024-10-17 16:27:41.360	2024-10-17 16:28:56.177	2024-10-17 16:29:06.282	1m 25s	7.2s	will-batch-queue	378.5%	0.2%	575.3 MB	2 GB	575.3 MB	2 GB	68.7 MB	33.2 MB	174	822	0	0	219	15	-	s3://nao-mgs-wb/CC-PRJNA661613-3/work/13/870a5398b6f6489a6c7ee08cf27410	-	-
6	86/63185c	361e22e2-5b9d-4281-8a90-bb8912bbb862	RUN:CLEAN:FASTP	-	RUN:CLEAN:FASTP (3)	COMPLETED	0	-	wave.seqera.io/wt/ba458f13ed84/staphb/fastp:0.23.4	32	-	-	64 GB	1	2024-10-17 16:27:41.355	2024-10-17 16:28:56.174	2024-10-17 16:29:06.254	1m 25s	657ms	will-batch-queue	139.9%	0.0%	1.4 MB	4.3 MB	1.4 MB	4.3 MB	2.6 MB	1.2 MB	172	741	0	0	5	0	-	s3://nao-mgs-wb/CC-PRJNA661613-3/work/86/63185cf72ab25505d504da999eced2	-	-
5	fb/d447a2	5cfa8ac3-7b71-4a5a-a937-0cbaa4a543d8	RUN:RAW:QC:FASTQC	-	RUN:RAW:QC:FASTQC (3)	COMPLETED	0	-	wave.seqera.io/wt/c52ad56fe614/staphb/fastqc:0.12.1	2	-	-	4 GB	1	2024-10-17 16:27:41.383	2024-10-17 16:29:06.288	2024-10-17 16:29:06.304	1m 25s	2.3s	will-batch-queue	236.6%	0.1%	325.1 MB	4.3 GB	325.2 MB	11.9 GB	11.9 MB	4 MB	12058	13546	0	2.3 MB	10	1	-	s3://nao-mgs-wb/CC-PRJNA661613-3/work/fb/d447a27dbb8ddbbdb80201e1c0113b	-	-
11	10/22b1a0	15c0e913-32a6-4219-a585-bf0aa1e109bf	RUN:RAW:QC:FASTQC	-	RUN:RAW:QC:FASTQC (6)	COMPLETED	0	-	wave.seqera.io/wt/c52ad56fe614/staphb/fastqc:0.12.1	2	-	-	4 GB	1	2024-10-17 16:27:41.397	2024-10-17 16:29:06.326	2024-10-17 16:29:06.341	1m 25s	3.4s	will-batch-queue	196.4%	0.2%	494.2 MB	4.2 GB	494.3 MB	11.9 GB	20.7 MB	4 MB	30328	13552	0	2.3 MB	10	3	-	s3://nao-mgs-wb/CC-PRJNA661613-3/work/10/22b1a0c55ac43584cd1609d68ef4b4	-	-
7	d1/f9edc5	8fae24cb-ca53-4f9d-81e9-37af786ef977	RUN:RAW:QC:FASTQC	-	RUN:RAW:QC:FASTQC (4)	COMPLETED	0	-	wave.seqera.io/wt/c52ad56fe614/staphb/fastqc:0.12.1	2	-	-	4 GB	1	2024-10-17 16:27:41.385	2024-10-17 16:29:06.310	2024-10-17 16:29:06.325	1m 25s	3.8s	will-batch-queue	246.1%	0.3%	797.5 MB	4.3 GB	798.2 MB	11.9 GB	34.6 MB	4.3 MB	58659	14082	0	2.5 MB	10	3	-	s3://nao-mgs-wb/CC-PRJNA661613-3/work/d1/f9edc59b942b7f12de081f3e3f8243	-	-
4	89/5472a2	e89e5f66-9d98-4413-bfd7-59d7255f2187	RUN:RAW:QC:FASTQC	-	RUN:RAW:QC:FASTQC (2)	COMPLETED	0	-	wave.seqera.io/wt/c52ad56fe614/staphb/fastqc:0.12.1	2	-	-	4 GB	1	2024-10-17 16:27:41.403	2024-10-17 16:29:06.346	2024-10-17 16:29:16.263	1m 35s	4.3s	will-batch-queue	213.8%	0.3%	803.7 MB	4.3 GB	803.8 MB	11.9 GB	43.9 MB	4.3 MB	77686	13925	0	2.5 MB	10	1	-	s3://nao-mgs-wb/CC-PRJNA661613-3/work/89/5472a2c3a61cf676806ffa432c2ba9	-	-
8	1f/f759cc	9dcde1a1-c58c-49f8-992b-be3a48712d2f	RUN:RAW:QC:FASTQC	-	RUN:RAW:QC:FASTQC (5)	COMPLETED	0	-	wave.seqera.io/wt/c52ad56fe614/staphb/fastqc:0.12.1	2	-	-	4 GB	1	2024-10-17 16:27:41.321	2024-10-17 16:29:06.193	2024-10-17 16:29:16.248	1m 35s	4.9s	will-batch-queue	196.4%	0.3%	707.9 MB	4.4 GB	710 MB	11.9 GB	47 MB	4.3 MB	84130	14019	0	2.6 MB	11	1	-	s3://nao-mgs-wb/CC-PRJNA661613-3/work/1f/f759cc995becf251492d05224e354e	-	-
1	d8/03528d	7bb014f4-694a-4efa-ba75-0a1a6e61ae89	RUN:RAW:QC:FASTQC	-	RUN:RAW:QC:FASTQC (1)	COMPLETED	0	-	wave.seqera.io/wt/c52ad56fe614/staphb/fastqc:0.12.1	2	-	-	4 GB	1	2024-10-17 16:27:41.152	2024-10-17 16:29:06.191	2024-10-17 16:29:16.232	1m 35s	5.2s	will-batch-queue	169.7%	0.3%	685.9 MB	4.4 GB	685.9 MB	11.9 GB	35.2 MB	4.3 MB	59976	13965	0	2.6 MB	10	3	-	s3://nao-mgs-wb/CC-PRJNA661613-3/work/d8/03528db06fcd1ff54dada12c4d541f	-	-
10	85/efbcf5	949ce870-aa1a-42e2-bf7e-39cb6e561b82	RUN:CLEAN:FASTP	-	RUN:CLEAN:FASTP (5)	COMPLETED	0	-	wave.seqera.io/wt/ba458f13ed84/staphb/fastp:0.23.4	32	-	-	64 GB	1	2024-10-17 16:27:41.366	2024-10-17 16:28:56.178	2024-10-17 16:29:26.185	1m 45s	6.4s	will-batch-queue	468.0%	0.3%	639.1 MB	1.9 GB	639.1 MB	2 GB	67.8 MB	36.2 MB	174	840	0	0	867	15	-	s3://nao-mgs-wb/CC-PRJNA661613-3/work/85/efbcf5f7ee2975c86ce3687de09e36	-	-
20	a3/cb40e9	9f2e0f95-4c67-46ba-aaba-0906aa3eb190	RUN:CLEAN:FASTP	-	RUN:CLEAN:FASTP (9)	COMPLETED	0	-	wave.seqera.io/wt/ba458f13ed84/staphb/fastp:0.23.4	32	-	-	64 GB	1	2024-10-17 16:27:41.763	2024-10-17 16:29:36.161	2024-10-17 16:29:36.193	1m 54s	1.9s	will-batch-queue	242.3%	0.0%	40 MB	45.7 MB	40.2 MB	46 MB	7.6 MB	2.7 MB	168	744	0	0	68	0	-	s3://nao-mgs-wb/CC-PRJNA661613-3/work/a3/cb40e9655a195bd8fbf88b86d7d9c6	-	-
